Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,8.83,8.83,8.76,8.77,28000,8.512
2016-03-31,8.83,8.83,8.82,8.82,15000,8.561
2016-03-30,8.90,8.90,8.79,8.80,88000,8.541
2016-03-29,8.72,8.80,8.72,8.75,52000,8.493
2016-03-28,8.76,8.76,8.76,8.76,000,8.502
2016-03-25,8.76,8.76,8.76,8.76,000,8.502
2016-03-24,8.75,8.87,8.73,8.76,58000,8.502
2016-03-23,8.88,8.88,8.77,8.78,158000,8.522
2016-03-22,9.00,9.00,8.83,8.87,173000,8.609
2016-03-21,9.29,9.29,9.04,9.09,202000,8.823
2016-03-18,9.09,9.36,9.01,9.32,143000,9.046
2016-03-17,9.10,9.10,9.00,9.09,56000,8.823
2016-03-16,9.02,9.07,8.99,9.07,62000,8.803
2016-03-15,9.04,9.09,8.92,8.99,42000,8.726
2016-03-14,8.95,9.08,8.88,9.08,84000,8.813
2016-03-11,8.87,8.93,8.87,8.89,106000,8.629
2016-03-10,8.85,8.90,8.85,8.90,58000,8.638
2016-03-09,8.88,8.88,8.79,8.81,47900,8.551
2016-03-08,8.89,8.97,8.85,8.88,44200,8.619
2016-03-07,8.84,8.90,8.76,8.87,59100,8.609
2016-03-04,8.85,8.86,8.78,8.84,70000,8.58
2016-03-03,8.84,8.89,8.69,8.87,20000,8.609
2016-03-02,8.73,8.89,8.72,8.84,112000,8.58
2016-03-01,8.89,8.89,8.69,8.73,21000,8.473
2016-02-29,8.68,8.76,8.50,8.68,82000,8.425
2016-02-26,8.70,8.70,8.68,8.68,13000,8.425
2016-02-25,8.74,8.75,8.63,8.70,40000,8.444
2016-02-24,8.77,8.77,8.77,8.75,8000,8.493
2016-02-23,8.66,8.66,8.66,8.68,11000,8.425
2016-02-22,8.75,8.80,8.73,8.73,67000,8.473
2016-02-19,8.75,8.75,8.70,8.72,15200,8.464
2016-02-18,8.66,8.74,8.66,8.70,24000,8.444
2016-02-17,8.71,8.71,8.63,8.63,8000,8.376
2016-02-16,8.80,8.80,8.80,8.71,5000,8.454
2016-02-15,8.66,8.66,8.60,8.64,14000,8.386
2016-02-12,8.62,8.76,8.60,8.64,28000,8.386
2016-02-11,8.61,8.74,8.61,8.62,51000,8.366
2016-02-10,8.79,8.79,8.79,8.79,000,8.531
2016-02-09,8.79,8.79,8.79,8.79,000,8.531
2016-02-08,8.79,8.79,8.79,8.79,000,8.531
2016-02-05,8.72,8.79,8.72,8.79,4100,8.531
2016-02-04,8.71,8.75,8.68,8.68,23000,8.425
2016-02-03,8.70,8.73,8.62,8.62,94000,8.366
2016-02-02,8.79,8.80,8.65,8.70,97000,8.444
2016-02-01,8.63,8.66,8.57,8.58,68000,8.328
2016-01-29,8.55,8.74,8.55,8.60,32000,8.347
2016-01-28,8.41,8.80,8.38,8.52,162200,8.269
2016-01-27,8.53,8.53,8.39,8.40,50000,8.153
2016-01-26,8.48,8.52,8.48,8.48,22000,8.231
2016-01-25,8.49,8.52,8.47,8.47,87000,8.221
2016-01-22,8.57,8.57,8.46,8.46,154000,8.211
2016-01-21,8.52,8.60,8.50,8.50,28000,8.25
2016-01-20,8.60,8.61,8.42,8.51,257000,8.26
2016-01-19,8.69,8.76,8.67,8.72,37000,8.464
2016-01-18,8.77,8.77,8.72,8.72,42000,8.464
2016-01-15,8.80,8.88,8.80,8.82,129000,8.561
2016-01-14,8.56,8.87,8.56,8.80,28000,8.541
2016-01-13,8.88,8.93,8.83,8.93,35000,8.667
2016-01-12,8.89,8.89,8.85,8.85,77000,8.59
2016-01-11,8.97,8.97,8.81,8.89,61000,8.629
2016-01-08,8.98,9.19,8.98,9.01,59100,8.745
2016-01-07,9.05,9.05,8.98,8.98,93000,8.716
2016-01-06,9.15,9.15,9.07,9.09,30000,8.823
2016-01-05,9.00,9.22,9.00,9.22,31000,8.949
2016-01-04,9.14,9.14,9.10,9.14,15000,8.871
2016-01-01,9.20,9.20,9.20,9.20,000,8.929
2015-12-31,9.23,9.34,9.16,9.20,21000,8.929
2015-12-30,9.30,9.30,9.20,9.26,34000,8.988
2015-12-29,9.30,9.30,9.28,9.30,24000,9.026
2015-12-28,9.29,9.36,9.29,9.30,46000,9.026
2015-12-25,9.28,9.28,9.28,9.28,000,9.007
2015-12-24,9.28,9.28,9.28,9.28,000,9.007
2015-12-23,9.35,9.35,9.26,9.26,65000,8.988
2015-12-22,9.38,9.38,9.32,9.33,32000,9.056
2015-12-21,9.37,9.44,9.26,9.35,81000,9.075
2015-12-18,9.12,9.40,9.09,9.39,102000,9.114
2015-12-17,9.05,9.21,9.03,9.20,79000,8.929
2015-12-16,9.11,9.11,9.04,9.05,8000,8.784
2015-12-15,9.01,9.12,9.01,9.11,16000,8.842
2015-12-14,8.98,9.08,8.98,9.08,50300,8.813
2015-12-11,9.03,9.09,9.03,9.03,215000,8.764
2015-12-10,9.03,9.05,9.00,9.03,70000,8.764
2015-12-09,9.08,9.08,9.03,9.03,61400,8.764
2015-12-08,9.09,9.12,9.06,9.10,79000,8.832
2015-12-07,9.00,9.14,9.00,9.09,319100,8.823
2015-12-04,8.94,9.07,8.94,8.97,117000,8.706
2015-12-03,8.96,9.00,8.96,8.97,40000,8.706
2015-12-02,9.01,9.03,8.95,9.00,55000,8.735
2015-12-01,9.00,9.10,8.97,9.00,41000,8.735
2015-11-30,8.99,9.00,8.96,9.00,32000,8.735
2015-11-27,9.03,9.09,8.99,9.02,103000,8.755
2015-11-26,9.01,9.04,9.01,9.04,249000,8.774
2015-11-25,9.01,9.10,9.00,9.00,165000,8.735
2015-11-24,9.02,9.02,9.01,9.01,57000,8.745
2015-11-23,9.02,9.02,9.00,9.01,81000,8.745
2015-11-20,9.04,9.06,9.03,9.04,58000,8.774
2015-11-19,9.01,9.14,9.00,9.03,188000,8.764
2015-11-18,9.00,9.10,8.97,8.98,28000,8.716
2015-11-17,9.08,9.15,9.00,9.00,99000,8.735
2015-11-16,8.90,9.06,8.90,8.98,151000,8.716
2015-11-13,8.99,9.01,8.94,8.94,104000,8.677
2015-11-12,9.05,9.05,9.02,9.03,15000,8.764
2015-11-11,8.99,9.05,8.98,9.01,158000,8.745
2015-11-10,9.02,9.08,8.99,8.99,72000,8.726
2015-11-09,9.12,9.19,9.01,9.03,35000,8.764
2015-11-06,9.02,9.05,9.00,9.04,44100,8.774
2015-11-05,9.03,9.04,9.01,9.02,30000,8.755
2015-11-04,9.04,9.12,8.95,9.07,208100,8.803
2015-11-03,9.05,9.11,9.03,9.05,54000,8.784
2015-11-02,9.05,9.05,9.02,9.04,55800,8.774
2015-10-30,9.04,9.08,9.04,9.05,75000,8.784
2015-10-29,9.04,9.12,9.04,9.04,89000,8.774
2015-10-28,9.05,9.06,9.05,9.05,38000,8.784
2015-10-27,9.07,9.09,9.04,9.08,57000,8.813
2015-10-26,9.17,9.17,9.10,9.13,28000,8.861
2015-10-23,9.14,9.21,9.08,9.15,101600,8.881
2015-10-22,9.00,9.10,9.00,9.10,59000,8.832
2015-10-21,9.01,9.01,9.01,9.01,000,8.745
2015-10-20,9.00,9.01,9.00,9.01,5000,8.745
2015-10-19,9.00,9.03,9.00,9.02,24000,8.755
2015-10-16,9.03,9.10,8.90,9.05,52000,8.784
2015-10-15,8.95,9.08,8.90,9.04,52200,8.774
2015-10-14,8.85,9.09,8.85,8.95,45000,8.687
2015-10-13,8.83,9.08,8.83,8.91,41000,8.648
2015-10-12,8.89,9.00,8.82,8.90,132000,8.638
2015-10-09,8.97,9.02,8.88,8.96,80000,8.696
2015-10-08,8.98,9.11,8.90,8.98,33100,8.716
2015-10-07,8.86,9.08,8.86,9.05,31000,8.784
2015-10-06,9.00,9.12,8.96,8.96,15000,8.696
2015-10-05,9.14,9.14,8.95,9.00,36000,8.735
2015-10-02,8.67,9.10,8.67,8.92,43000,8.658
2015-10-01,8.84,8.84,8.84,8.84,000,8.58
2015-09-30,8.74,8.94,8.74,8.84,34000,8.58
2015-09-29,8.86,8.86,8.63,8.71,179000,8.454
2015-09-28,8.94,8.94,8.94,8.94,000,8.677
2015-09-25,9.07,9.07,8.91,8.94,27000,8.677
2015-09-24,8.90,9.03,8.89,9.01,148000,8.745
2015-09-23,8.80,8.89,8.80,8.89,82000,8.629
2015-09-22,8.94,8.94,8.81,8.87,28000,8.609
2015-09-21,8.92,8.99,8.81,8.87,74000,8.609
2015-09-18,8.70,9.10,8.70,9.03,530000,8.764
2015-09-17,8.88,8.88,8.72,8.75,139000,8.493
2015-09-16,8.80,8.80,8.70,8.78,337000,8.522
2015-09-15,8.83,8.90,8.72,8.72,277500,8.464
2015-09-14,9.20,9.20,8.88,8.93,106000,8.667
2015-09-11,8.82,8.94,8.80,8.84,95000,8.58
2015-09-10,8.88,8.95,8.76,8.90,138000,8.541
2015-09-09,9.16,9.27,8.71,8.88,923000,8.522
2015-09-08,8.80,9.20,8.70,9.16,100100,8.791
2015-09-07,8.65,8.78,8.65,8.78,49000,8.426
2015-09-04,9.10,9.56,8.20,8.81,119000,8.455
2015-09-03,9.10,9.10,9.10,9.10,000,8.733
2015-09-02,9.10,9.15,9.10,9.10,130000,8.733
2015-09-01,9.11,9.15,9.05,9.05,32000,8.685
2015-08-31,9.11,9.19,9.10,9.11,70000,8.743
2015-08-28,9.20,9.30,9.13,9.17,72000,8.80
2015-08-27,9.09,9.19,9.00,9.13,152500,8.762
2015-08-26,9.18,9.20,9.01,9.01,147000,8.647
2015-08-25,9.22,9.45,9.22,9.22,85000,8.848
2015-08-24,9.80,9.80,9.29,9.44,207600,9.059
2015-08-21,10.02,10.02,9.88,9.92,115000,9.52
2015-08-20,10.96,10.96,10.02,10.10,177000,9.693
2015-08-19,10.80,10.88,10.44,10.56,46000,10.134
2015-08-18,10.96,10.96,10.80,10.84,101000,10.403
2015-08-17,10.80,10.92,10.80,10.88,82000,10.441
2015-08-14,10.80,10.90,10.78,10.80,58000,10.365
2015-08-13,10.84,10.96,10.76,10.86,54000,10.422
2015-08-12,10.92,10.98,10.84,10.84,94000,10.403
2015-08-11,10.96,11.12,10.90,10.98,81000,10.537
2015-08-10,11.06,11.20,10.90,10.96,101000,10.518
2015-08-07,11.28,11.28,10.94,11.16,69000,10.71
2015-08-06,11.24,11.24,11.00,11.06,16000,10.614
2015-08-05,11.24,11.30,11.00,11.14,19000,10.691
2015-08-04,11.06,11.20,11.00,11.18,38000,10.729
2015-08-03,11.26,11.38,10.92,11.16,95000,10.71
2015-07-31,11.16,11.30,11.02,11.18,21000,10.729
2015-07-30,11.16,11.16,10.94,11.06,46000,10.614
2015-07-29,11.08,11.08,10.80,11.04,37000,10.595
2015-07-28,10.86,11.14,10.80,10.96,118000,10.518
2015-07-27,11.48,11.48,10.80,10.96,132000,10.518
2015-07-24,11.48,11.48,11.02,11.20,46000,10.748
2015-07-23,11.20,11.30,11.20,11.24,32000,10.787
2015-07-22,11.50,11.50,11.00,11.12,103000,10.672
2015-07-21,11.42,11.48,11.30,11.30,77000,10.844
2015-07-20,11.48,11.60,11.10,11.30,95000,10.844
2015-07-17,11.56,11.56,11.40,11.50,46000,11.036
2015-07-16,11.54,11.54,11.22,11.34,111500,10.883
2015-07-15,11.48,11.78,11.20,11.30,240000,10.844
2015-07-14,11.62,11.62,11.10,11.24,140000,10.787
2015-07-13,11.50,11.50,11.02,11.14,143200,10.691
2015-07-10,11.00,11.50,11.00,11.18,81000,10.729
2015-07-09,10.34,11.00,10.34,10.98,405000,10.537
2015-07-08,10.24,10.32,9.90,10.32,512700,9.904
2015-07-07,10.16,10.64,10.00,10.30,163000,9.885
2015-07-06,10.90,10.90,10.06,10.16,322000,9.75
2015-07-03,11.74,11.74,10.74,10.90,144000,10.461
2015-07-02,11.68,11.80,11.28,11.36,99000,10.902
2015-07-01,11.54,11.54,11.54,11.54,000,11.075
2015-06-30,11.62,11.80,11.50,11.54,218000,11.075
2015-06-29,11.48,11.80,11.48,11.66,306000,11.19
2015-06-26,11.76,11.90,11.66,11.84,225000,11.363
2015-06-25,11.60,11.96,11.60,11.82,61000,11.343
2015-06-24,11.74,11.90,11.72,11.80,104000,11.324
2015-06-23,11.78,11.80,11.56,11.68,159000,11.209
2015-06-22,12.00,12.00,11.62,11.62,75000,11.152
2015-06-19,11.60,11.94,11.30,11.86,499000,11.382
2015-06-18,11.76,11.86,11.40,11.40,75000,10.94
2015-06-17,11.28,11.50,11.10,11.32,213000,10.864
2015-06-16,11.30,11.30,11.12,11.26,242000,10.806
2015-06-15,11.36,11.38,11.00,11.18,264000,10.729
2015-06-12,11.50,11.50,11.30,11.38,119000,10.921
2015-06-11,11.04,11.44,11.04,11.28,226000,10.825
2015-06-10,11.60,11.60,11.06,11.14,181000,10.691
2015-06-09,11.70,11.70,11.30,11.48,211000,11.017
2015-06-08,11.42,11.78,11.40,11.62,191000,11.152
2015-06-05,12.00,12.00,11.30,11.42,331000,10.96
2015-06-04,11.82,12.14,11.70,11.80,231000,11.324
2015-06-03,12.14,12.20,11.70,11.74,288000,11.267
2015-06-02,12.30,12.58,12.00,12.14,203000,11.651
2015-06-01,12.60,12.82,12.50,12.58,328000,11.823
2015-05-29,12.60,12.60,12.40,12.52,258000,11.767
2015-05-28,12.68,12.80,12.34,12.52,531000,11.767
2015-05-27,12.80,12.96,12.38,12.48,316000,11.729
2015-05-26,12.50,12.90,12.50,12.68,332000,11.917
2015-05-25,12.68,12.68,12.68,12.68,000,11.917
2015-05-22,12.58,12.70,12.34,12.68,293000,11.917
2015-05-21,12.22,12.50,12.20,12.50,512000,11.748
2015-05-20,11.66,12.26,11.64,12.14,732000,11.41
2015-05-19,11.58,11.68,11.38,11.64,549000,10.94
2015-05-18,11.64,11.68,11.38,11.50,476000,10.808
2015-05-15,11.34,11.68,11.30,11.64,512000,10.94
2015-05-14,10.90,11.56,10.88,11.56,1116000,10.865
2015-05-13,10.70,10.88,10.70,10.82,669000,10.169
2015-05-12,10.64,10.74,10.60,10.74,754000,10.094
2015-05-11,10.66,10.68,10.56,10.58,704000,9.944
2015-05-08,10.58,10.66,10.40,10.58,455000,9.944
2015-05-07,10.60,10.68,10.48,10.62,235000,9.981
2015-05-06,10.68,10.72,10.58,10.66,276000,10.019
2015-05-05,10.76,10.80,10.58,10.64,397000,10.00
2015-05-04,10.60,10.80,10.56,10.74,534200,10.094
2015-05-01,10.56,10.56,10.56,10.56,000,9.925
2015-04-30,10.50,10.56,10.44,10.56,221000,9.925
2015-04-29,10.50,10.62,10.36,10.50,483000,9.868
2015-04-28,10.40,10.62,10.40,10.56,579900,9.925
2015-04-27,10.46,10.48,10.38,10.46,223000,9.831
2015-04-24,10.34,10.48,10.32,10.42,194000,9.793
2015-04-23,10.38,10.44,10.34,10.40,298000,9.774
2015-04-22,10.40,10.40,10.22,10.32,1279000,9.699
2015-04-21,10.30,10.50,10.26,10.34,888000,9.718
2015-04-20,10.34,10.44,10.14,10.18,214000,9.568
2015-04-17,10.46,10.46,10.34,10.40,107700,9.774
2015-04-16,10.36,10.40,10.30,10.38,261000,9.756
2015-04-15,10.34,10.40,10.28,10.38,204000,9.756
2015-04-14,10.30,10.40,10.26,10.34,315000,9.718
2015-04-13,10.26,10.40,10.20,10.34,511400,9.718
2015-04-10,10.22,10.22,10.10,10.18,247000,9.568
2015-04-09,10.22,10.30,9.99,10.16,399000,9.549
2015-04-08,10.22,10.40,10.00,10.20,373500,9.586
2015-04-07,10.10,10.10,10.10,10.10,000,9.492
2015-04-06,10.10,10.10,10.10,10.10,000,9.492
2015-04-03,10.10,10.10,10.10,10.10,000,9.492
2015-04-02,10.08,10.12,10.00,10.10,260000,9.492
2015-04-01,10.00,10.10,9.97,10.00,244000,9.398
2015-03-31,10.04,10.14,9.95,9.97,193000,9.37
2015-03-30,9.99,10.00,9.90,10.00,397000,9.398
2015-03-27,9.85,9.93,9.84,9.93,140000,9.333
2015-03-26,9.88,9.89,9.83,9.89,145000,9.295
2015-03-25,9.96,9.99,9.82,9.90,179000,9.304
2015-03-24,10.00,10.04,9.94,10.00,236000,9.398
2015-03-23,10.14,10.32,9.96,10.00,137000,9.398
2015-03-20,10.20,10.20,9.94,10.06,577000,9.455
2015-03-19,10.60,10.60,10.00,10.12,625000,9.511
2015-03-18,10.70,10.82,10.34,10.52,166000,9.887
2015-03-17,10.88,10.88,10.44,10.60,218000,9.962
2015-03-16,9.95,10.96,9.95,10.84,716700,10.188
2015-03-13,9.80,10.00,9.80,10.00,522000,9.398
2015-03-12,9.85,9.85,9.75,9.80,117000,9.211
2015-03-11,9.71,9.85,9.71,9.82,124000,9.229
2015-03-10,9.70,9.85,9.61,9.80,225000,9.211
2015-03-09,9.73,9.73,9.60,9.65,154000,9.07
2015-03-06,9.80,9.80,9.70,9.73,115000,9.145
2015-03-05,9.89,9.89,9.72,9.84,240000,9.248
2015-03-04,10.20,10.22,9.75,9.89,461000,9.295
2015-03-03,9.38,10.28,9.38,10.16,1449700,9.549
2015-03-02,9.21,9.45,9.21,9.37,366000,8.806
2015-02-27,8.83,9.19,8.83,9.16,337000,8.609
2015-02-26,8.80,8.86,8.74,8.82,122000,8.289
2015-02-25,8.80,8.82,8.80,8.80,37000,8.271
2015-02-24,8.72,8.76,8.72,8.76,27000,8.233
2015-02-23,8.88,8.88,8.71,8.76,26000,8.233
2015-02-20,8.74,8.74,8.74,8.74,000,8.214
2015-02-19,8.74,8.74,8.74,8.74,000,8.214
2015-02-18,8.78,8.81,8.74,8.74,27000,8.214
2015-02-17,8.79,8.82,8.78,8.80,71000,8.271
2015-02-16,8.77,8.83,8.77,8.83,71000,8.299
2015-02-13,8.76,8.76,8.76,8.77,1000,8.242
2015-02-12,8.79,8.79,8.78,8.81,2000,8.28
2015-02-11,8.80,8.81,8.78,8.78,18000,8.252
2015-02-10,8.77,8.77,8.74,8.77,66000,8.242
2015-02-09,8.80,8.80,8.70,8.80,38800,8.271
2015-02-06,8.85,8.91,8.80,8.80,22000,8.271
2015-02-05,8.90,8.90,8.80,8.85,35200,8.318
2015-02-04,8.78,8.95,8.73,8.90,144000,8.365
2015-02-03,8.78,8.83,8.78,8.78,36000,8.252
2015-02-02,8.76,8.76,8.71,8.72,138000,8.195
2015-01-30,8.73,8.75,8.69,8.73,67000,8.205
2015-01-29,8.77,8.77,8.70,8.70,177700,8.177
2015-01-28,8.66,8.68,8.62,8.64,61000,8.12
2015-01-27,8.79,8.79,8.62,8.65,182000,8.13
2015-01-26,8.48,8.64,8.48,8.61,270000,8.092
2015-01-23,8.54,8.54,8.48,8.48,63000,7.97
2015-01-22,8.45,8.54,8.45,8.50,162000,7.989
2015-01-21,8.40,8.44,8.40,8.44,77600,7.932
2015-01-20,8.40,8.40,8.38,8.38,33000,7.876
2015-01-19,8.42,8.45,8.38,8.38,37000,7.876
2015-01-16,8.43,8.43,8.39,8.39,15000,7.885
2015-01-15,8.45,8.48,8.35,8.40,156000,7.895
2015-01-14,8.42,8.42,8.42,8.42,000,7.914
2015-01-13,8.42,8.49,8.38,8.42,93000,7.914
2015-01-12,8.42,8.48,8.42,8.45,147500,7.942
2015-01-09,8.49,8.49,8.37,8.37,177000,7.867
2015-01-08,8.45,8.50,8.40,8.40,64000,7.895
2015-01-07,8.40,8.45,8.33,8.40,120000,7.895
2015-01-06,8.48,8.48,8.34,8.38,72000,7.876
2015-01-05,8.42,8.49,8.40,8.49,36000,7.979
2015-01-02,8.50,8.50,8.48,8.50,16000,7.989
2015-01-01,8.44,8.44,8.44,8.44,000,7.932
2014-12-31,8.31,8.49,8.31,8.44,10000,7.932
2014-12-30,8.30,8.30,8.30,8.44,1000,7.932
2014-12-29,8.47,8.48,8.40,8.44,63000,7.932
2014-12-26,8.47,8.47,8.47,8.47,000,7.961
2014-12-25,8.47,8.47,8.47,8.47,000,7.961
2014-12-24,8.41,8.54,8.41,8.47,26000,7.961
2014-12-23,8.54,8.55,8.54,8.54,15000,8.026
2014-12-22,8.46,8.54,8.45,8.54,17000,8.026
2014-12-19,8.43,8.43,8.43,8.50,1000,7.989
2014-12-18,8.37,8.55,8.37,8.55,4000,8.036
2014-12-17,8.38,8.46,8.38,8.44,14000,7.932
2014-12-16,8.40,8.57,8.40,8.49,15000,7.979
2014-12-15,8.57,8.57,8.57,8.57,5500,8.054
2014-12-12,8.58,8.58,8.57,8.57,4000,8.054
2014-12-11,8.63,8.63,8.58,8.58,3000,8.064
2014-12-10,8.43,8.53,8.43,8.53,36000,8.017
2014-12-09,8.54,8.54,8.43,8.49,17000,7.979
2014-12-08,8.57,8.57,8.53,8.53,7000,8.017
2014-12-05,8.63,8.67,8.52,8.56,109100,8.045
2014-12-04,8.71,8.71,8.52,8.62,42000,8.101
2014-12-03,8.70,8.70,8.54,8.62,101000,8.101
2014-12-02,8.60,8.72,8.60,8.71,11000,8.186
2014-12-01,8.72,8.79,8.66,8.70,103000,8.177
2014-11-28,8.89,9.01,8.80,8.86,212000,8.327
2014-11-27,8.83,8.83,8.83,8.83,8800,8.299
2014-11-26,8.90,8.93,8.80,8.84,243000,8.308
2014-11-25,8.85,8.87,8.80,8.87,78000,8.336
2014-11-24,8.80,8.88,8.80,8.84,27000,8.308
2014-11-21,8.85,8.85,8.83,8.83,6000,8.299
2014-11-20,8.80,8.80,8.80,8.80,4000,8.271
2014-11-19,8.85,8.85,8.80,8.83,14000,8.299
2014-11-18,8.83,8.85,8.77,8.85,184000,8.318
2014-11-17,8.95,8.95,8.80,8.83,52000,8.299
2014-11-14,8.75,8.89,8.73,8.75,68000,8.224
2014-11-13,8.76,8.78,8.72,8.72,117000,8.195
2014-11-12,8.84,8.84,8.74,8.78,89600,8.252
2014-11-11,8.90,8.90,8.82,8.87,36500,8.336
2014-11-10,8.94,8.94,8.84,8.89,58000,8.355
2014-11-07,9.09,9.09,8.80,8.88,165000,8.346
2014-11-06,8.79,8.84,8.77,8.80,21000,8.271
2014-11-05,8.82,8.87,8.80,8.85,61000,8.318
2014-11-04,8.88,8.88,8.80,8.82,130000,8.289
2014-11-03,8.85,8.97,8.77,8.89,95000,8.355
2014-10-31,8.80,8.94,8.80,8.88,97000,8.346
2014-10-30,8.60,9.03,8.60,8.80,666000,8.271
2014-10-29,8.46,8.59,8.45,8.56,281600,8.045
2014-10-28,8.45,8.46,8.38,8.45,69700,7.942
