Date,Open,High,Low,Close,Volume,Adj_Close
2015-04-01,0.061,0.061,0.061,0.061,000,0.061
2015-03-31,0.064,0.064,0.064,0.064,000,0.064
2015-03-30,0.057,0.057,0.057,0.057,000,0.057
2015-03-27,0.058,0.058,0.058,0.058,000,0.058
2015-03-26,0.054,0.054,0.054,0.054,000,0.054
2015-03-25,0.055,0.055,0.055,0.055,000,0.055
2015-03-24,0.048,0.048,0.048,0.048,000,0.048
2015-03-23,0.066,0.066,0.066,0.066,000,0.066
2015-03-20,0.058,0.058,0.058,0.058,000,0.058
2015-03-19,0.055,0.055,0.055,0.055,000,0.055
2015-03-18,0.047,0.047,0.047,0.047,000,0.047
2015-03-17,0.04,0.04,0.04,0.04,000,0.04
2015-03-16,0.03,0.03,0.03,0.03,000,0.03
2015-03-13,0.03,0.03,0.03,0.03,000,0.03
2015-03-12,0.028,0.028,0.028,0.028,000,0.028
2015-03-11,0.047,0.047,0.047,0.047,000,0.047
2015-03-10,0.05,0.05,0.05,0.05,000,0.05
2015-03-09,0.04,0.04,0.04,0.04,000,0.04
2015-03-06,0.043,0.043,0.043,0.043,000,0.043
2015-03-05,0.047,0.047,0.047,0.047,000,0.047
2015-03-04,0.042,0.042,0.042,0.042,000,0.042
2015-03-03,0.042,0.042,0.042,0.042,000,0.042
2015-03-02,0.042,0.042,0.042,0.042,000,0.042
2015-02-27,0.051,0.051,0.051,0.051,000,0.051
2015-02-26,0.05,0.05,0.05,0.05,000,0.05
2015-02-25,0.05,0.05,0.05,0.05,000,0.05
2015-02-24,0.05,0.05,0.05,0.05,000,0.05
2015-02-23,0.05,0.05,0.05,0.05,000,0.05
2015-02-20,0.05,0.05,0.05,0.05,000,0.05
2015-02-19,0.05,0.05,0.05,0.05,000,0.05
2015-02-18,0.05,0.05,0.05,0.05,000,0.05
2015-02-17,0.05,0.05,0.05,0.05,000,0.05
2015-02-16,0.05,0.05,0.05,0.05,000,0.05
2015-02-13,0.05,0.05,0.05,0.05,000,0.05
2015-02-12,0.05,0.05,0.05,0.05,000,0.05
2015-02-11,0.05,0.05,0.05,0.05,000,0.05
2015-02-10,0.05,0.05,0.05,0.05,000,0.05
2015-02-09,0.05,0.05,0.05,0.05,000,0.05
2015-02-06,0.05,0.05,0.05,0.05,000,0.05
2015-02-05,0.05,0.05,0.05,0.05,000,0.05
2015-02-04,0.05,0.05,0.05,0.05,000,0.05
2015-02-03,0.045,0.045,0.045,0.045,000,0.045
2015-02-02,0.045,0.045,0.045,0.045,000,0.045
2015-01-30,0.052,0.052,0.052,0.052,000,0.052
2015-01-29,0.053,0.053,0.053,0.053,000,0.053
2015-01-28,0.054,0.054,0.054,0.054,000,0.054
2015-01-27,0.061,0.061,0.061,0.061,000,0.061
2015-01-26,0.054,0.054,0.054,0.054,000,0.054
2015-01-23,0.058,0.058,0.058,0.058,000,0.058
2015-01-22,0.057,0.057,0.057,0.057,000,0.057
2015-01-21,0.057,0.057,0.057,0.057,000,0.057
2015-01-20,0.057,0.057,0.057,0.057,000,0.057
2015-01-19,0.057,0.057,0.057,0.057,000,0.057
2015-01-16,0.057,0.057,0.057,0.057,000,0.057
2015-01-15,0.067,0.067,0.067,0.067,000,0.067
2015-01-14,0.065,0.065,0.065,0.065,000,0.065
2015-01-13,0.066,0.066,0.066,0.066,000,0.066
2015-01-12,0.066,0.066,0.066,0.066,000,0.066
2015-01-09,0.076,0.076,0.076,0.076,000,0.076
2015-01-08,0.059,0.059,0.059,0.059,000,0.059
2015-01-07,0.055,0.055,0.055,0.055,000,0.055
2015-01-06,0.058,0.058,0.058,0.058,000,0.058
2015-01-05,0.053,0.053,0.053,0.053,000,0.053
2015-01-02,0.058,0.058,0.058,0.058,000,0.058
2015-01-01,0.057,0.057,0.057,0.057,000,0.057
2014-12-31,0.057,0.057,0.057,0.057,000,0.057
2014-12-30,0.057,0.057,0.057,0.057,000,0.057
2014-12-29,0.057,0.057,0.057,0.057,000,0.057
2014-12-26,0.056,0.056,0.056,0.056,000,0.056
2014-12-25,0.056,0.056,0.056,0.056,000,0.056
2014-12-24,0.056,0.056,0.056,0.056,000,0.056
2014-12-23,0.056,0.056,0.056,0.056,000,0.056
2014-12-22,0.057,0.057,0.057,0.057,000,0.057
2014-12-19,0.056,0.056,0.056,0.056,000,0.056
2014-12-18,0.056,0.056,0.056,0.056,000,0.056
2014-12-17,0.055,0.055,0.055,0.055,000,0.055
2014-12-16,0.056,0.056,0.056,0.056,000,0.056
2014-12-15,0.056,0.056,0.056,0.056,000,0.056
2014-12-12,0.05,0.05,0.05,0.05,000,0.05
2014-12-11,0.057,0.057,0.057,0.057,000,0.057
2014-12-10,0.057,0.057,0.057,0.057,000,0.057
2014-12-09,0.053,0.053,0.053,0.053,000,0.053
2014-12-08,0.054,0.054,0.054,0.054,000,0.054
2014-12-05,0.058,0.058,0.058,0.058,000,0.058
2014-12-04,0.058,0.058,0.058,0.058,000,0.058
2014-12-03,0.058,0.058,0.058,0.058,000,0.058
2014-12-02,0.062,0.062,0.062,0.062,000,0.062
2014-12-01,0.065,0.065,0.065,0.065,000,0.065
2014-11-28,0.055,0.055,0.055,0.055,000,0.055
2014-11-27,0.059,0.059,0.059,0.059,000,0.059
2014-11-26,0.062,0.062,0.062,0.062,000,0.062
2014-11-25,0.059,0.059,0.059,0.059,000,0.059
2014-11-24,0.056,0.056,0.056,0.056,000,0.056
2014-11-21,0.059,0.059,0.059,0.059,000,0.059
2014-11-20,0.055,0.055,0.055,0.055,000,0.055
2014-11-19,0.07,0.07,0.07,0.07,000,0.07
2014-11-18,0.056,0.056,0.056,0.056,000,0.056
2014-11-17,0.063,0.063,0.063,0.063,000,0.063
2014-11-14,0.074,0.074,0.074,0.074,000,0.074
2014-11-13,0.074,0.074,0.074,0.074,000,0.074
