Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,13.92,13.92,13.92,13.92,000,13.92
2016-03-31,14.305,14.305,14.065,14.08,000,14.08
2016-03-30,14.295,14.485,14.295,14.485,400,14.485
2016-03-29,14.50,14.50,14.33,14.33,300,14.33
2016-03-28,14.495,14.495,14.495,14.495,000,14.495
2016-03-25,14.495,14.495,14.495,14.495,000,14.495
2016-03-24,14.495,14.495,14.495,14.495,000,14.495
2016-03-23,14.84,14.84,14.84,14.84,000,14.84
2016-03-22,14.865,14.865,14.865,14.865,000,14.865
2016-03-21,14.625,14.625,14.625,14.625,000,14.625
2016-03-18,14.46,14.46,14.46,14.46,000,14.46
2016-03-17,14.40,14.40,14.40,14.40,300,14.40
2016-03-16,15.005,15.005,14.335,14.335,000,14.335
2016-03-15,15.095,15.095,15.095,15.095,000,15.095
2016-03-14,15.085,15.085,15.085,15.085,000,15.085
2016-03-11,14.705,14.705,14.705,14.705,000,14.705
2016-03-10,14.82,14.82,14.75,14.75,2000,14.75
2016-03-09,14.79,14.79,14.79,14.79,000,14.79
2016-03-08,14.87,14.87,14.87,14.87,000,14.87
2016-03-07,14.89,14.89,14.82,14.82,100,14.82
2016-03-04,14.985,14.985,14.985,14.985,000,14.985
2016-03-03,14.865,14.94,14.865,14.94,000,14.94
2016-03-02,14.525,14.855,14.525,14.855,100,14.855
2016-03-01,14.05,14.485,14.05,14.485,2000,14.485
2016-02-29,14.02,14.02,14.02,14.02,100,14.02
2016-02-26,13.695,13.695,13.695,13.695,000,13.695
2016-02-25,13.305,13.305,13.305,13.305,000,13.305
2016-02-24,13.45,13.45,13.315,13.315,700,13.315
2016-02-23,13.67,13.67,13.67,13.67,000,13.67
2016-02-22,13.36,13.785,13.36,13.785,000,13.785
2016-02-19,13.365,13.365,13.365,13.365,000,13.365
2016-02-18,13.60,13.60,13.50,13.50,1000,13.50
2016-02-17,13.205,13.205,13.205,13.205,000,13.205
2016-02-16,13.35,13.35,13.35,13.35,000,13.35
2016-02-15,13.565,13.565,13.42,13.42,700,13.42
2016-02-12,12.565,13.00,12.565,13.00,100,13.00
2016-02-11,13.255,13.255,13.255,13.255,200,13.255
2016-02-10,12.46,13.16,12.46,13.16,300,13.16
2016-02-09,13.02,13.02,12.665,12.67,500,12.67
2016-02-08,13.80,13.80,13.155,13.155,1800,13.155
2016-02-05,13.615,13.87,13.615,13.87,000,13.87
2016-02-04,13.905,13.905,13.515,13.52,500,13.52
2016-02-03,14.16,14.16,13.91,13.91,300,13.91
2016-02-02,14.995,14.995,13.91,13.91,2300,13.91
2016-02-01,15.09,15.09,15.09,15.09,000,15.09
2016-01-29,15.035,15.035,15.025,15.025,100,15.025
2016-01-28,14.825,14.825,14.825,14.825,000,14.825
2016-01-27,14.91,14.91,14.91,14.91,000,14.91
2016-01-26,14.66,14.66,14.66,14.66,000,14.66
2016-01-25,15.315,15.315,15.145,15.235,500,15.235
2016-01-22,15.305,15.305,15.305,15.305,000,15.305
2016-01-21,14.835,14.835,14.835,14.835,000,14.835
2016-01-20,15.005,15.005,15.005,15.005,000,15.005
2016-01-19,15.345,15.635,15.345,15.635,400,15.635
2016-01-18,15.19,15.19,15.19,15.19,000,15.19
2016-01-15,15.735,15.735,15.735,15.735,000,15.735
2016-01-14,15.92,15.92,15.50,15.50,1000,15.50
2016-01-13,16.26,16.26,16.26,16.26,000,16.26
