Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,24550.00,25100.00,24450.00,24950.00,31800,24950.00
2016-03-31,24650.00,24800.00,24350.00,24550.00,31400,24550.00
2016-03-30,24950.00,25300.00,24400.00,24550.00,54700,24550.00
2016-03-29,25300.00,25600.00,24250.00,24700.00,94700,24700.00
2016-03-28,25850.00,26100.00,25100.00,25150.00,45400,25150.00
2016-03-25,26300.00,26450.00,25800.00,26000.00,52000,26000.00
2016-03-24,26400.00,26650.00,25900.00,26500.00,59100,26500.00
2016-03-23,26750.00,27150.00,26250.00,26500.00,33600,26500.00
2016-03-22,26850.00,26850.00,26250.00,26750.00,41700,26750.00
2016-03-21,26900.00,27300.00,26000.00,26900.00,59100,26900.00
2016-03-18,27050.00,27800.00,26750.00,27000.00,44800,27000.00
2016-03-17,26350.00,27350.00,25700.00,27350.00,130000,27350.00
2016-03-16,25650.00,26450.00,25350.00,26150.00,120400,26150.00
2016-03-15,25450.00,26150.00,25300.00,25650.00,44100,25650.00
2016-03-14,25400.00,25550.00,24850.00,25450.00,45900,25450.00
2016-03-11,24900.00,26500.00,24800.00,25350.00,66200,25350.00
2016-03-10,24950.00,25300.00,24800.00,24900.00,31000,24900.00
2016-03-09,25100.00,25250.00,24750.00,24950.00,26600,24950.00
2016-03-08,25200.00,25650.00,24900.00,25050.00,59400,25050.00
2016-03-07,25000.00,25700.00,24600.00,25200.00,47100,25200.00
2016-03-04,25400.00,25400.00,24600.00,24900.00,18500,24900.00
2016-03-03,25950.00,25950.00,25150.00,25200.00,20300,25200.00
2016-03-02,25250.00,25900.00,25100.00,25900.00,44500,25900.00
2016-03-01,24900.00,24900.00,24900.00,24900.00,000,24900.00
2016-02-29,25150.00,25450.00,24700.00,24900.00,34000,24900.00
2016-02-26,25250.00,25450.00,25050.00,25400.00,19100,25400.00
2016-02-25,25600.00,25950.00,25050.00,25400.00,44800,25400.00
2016-02-24,25550.00,26000.00,25450.00,25550.00,31300,25550.00
2016-02-23,26100.00,26350.00,25250.00,26150.00,38400,26150.00
2016-02-22,26200.00,26400.00,25750.00,26100.00,18000,26100.00
2016-02-19,26850.00,26950.00,25950.00,26300.00,23600,26300.00
2016-02-18,27000.00,27200.00,26200.00,26850.00,34800,26850.00
2016-02-17,27500.00,27700.00,26700.00,26900.00,9300,26900.00
2016-02-16,25900.00,27700.00,25900.00,27500.00,29300,27500.00
2016-02-15,25700.00,26700.00,25300.00,26100.00,19500,26100.00
2016-02-12,26700.00,27500.00,25050.00,25200.00,83900,25200.00
2016-02-11,27350.00,27900.00,25850.00,27500.00,72400,27500.00
2016-02-10,28700.00,28700.00,28700.00,28700.00,000,28700.00
2016-02-09,28700.00,28700.00,28700.00,28700.00,000,28700.00
2016-02-08,28700.00,28700.00,28700.00,28700.00,000,28700.00
2016-02-05,28950.00,28950.00,28400.00,28700.00,8000,28700.00
2016-02-04,29150.00,29200.00,28100.00,28950.00,16800,28950.00
