Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,16.25,16.35,15.95,16.05,1451000,16.05
2016-03-31,16.20,16.50,16.15,16.40,1411000,16.40
2016-03-30,15.90,16.20,15.85,16.00,1112000,16.00
2016-03-29,16.50,16.50,15.75,15.80,1618000,15.80
2016-03-28,16.35,16.55,16.20,16.20,1170000,16.20
2016-03-25,17.00,17.00,16.25,16.35,2623000,16.35
2016-03-24,17.00,17.10,16.80,16.80,1421000,16.80
2016-03-23,17.40,17.45,17.00,17.00,1658000,17.00
2016-03-22,18.10,18.20,17.30,17.35,5320000,17.35
2016-03-21,17.40,18.20,17.15,18.00,7174000,18.00
2016-03-18,17.05,17.30,16.90,17.30,1682000,17.30
2016-03-17,17.40,17.45,16.90,16.95,2548000,16.95
2016-03-16,17.10,17.40,17.00,17.20,2398000,17.20
2016-03-15,17.50,17.55,16.80,16.90,3682000,16.90
2016-03-14,17.60,17.80,17.35,17.45,3519000,17.45
2016-03-11,17.05,17.50,17.00,17.50,4746000,17.50
2016-03-10,16.80,17.05,16.60,16.85,2953000,16.85
2016-03-09,17.35,17.45,16.45,16.80,4371000,16.80
2016-03-08,17.65,17.85,17.20,17.25,3009000,17.25
2016-03-07,17.70,17.95,17.35,17.45,4394000,17.45
2016-03-04,17.50,17.70,17.40,17.50,5358000,17.50
2016-03-03,17.40,17.70,17.20,17.40,3951000,17.40
2016-03-02,17.50,17.70,17.20,17.30,3752000,17.30
2016-03-01,17.05,17.90,17.05,17.20,7055000,17.20
2016-02-29,16.85,16.85,16.85,16.85,000,16.85
2016-02-26,16.65,16.85,16.40,16.85,3266000,16.85
2016-02-25,16.40,16.60,16.20,16.25,1217000,16.25
2016-02-24,16.50,16.65,16.20,16.20,1298000,16.20
2016-02-23,16.40,16.65,16.30,16.60,2222000,16.60
2016-02-22,17.00,17.05,16.30,16.30,3490000,16.30
2016-02-19,16.85,17.10,16.50,16.90,4332000,16.90
2016-02-18,15.80,16.75,15.80,16.70,6403000,16.70
2016-02-17,15.75,15.75,15.55,15.65,1424000,15.65
2016-02-16,15.50,15.60,15.40,15.55,1418000,15.55
2016-02-15,15.10,15.50,15.05,15.25,1338000,15.25
2016-02-12,15.10,15.10,15.10,15.10,000,15.10
2016-02-11,15.10,15.10,15.10,15.10,000,15.10
2016-02-10,15.10,15.10,15.10,15.10,000,15.10
2016-02-09,15.10,15.10,15.10,15.10,000,15.10
2016-02-08,15.10,15.10,15.10,15.10,000,15.10
2016-02-04,15.10,15.10,15.10,15.10,000,15.10
2016-02-03,15.40,15.45,15.10,15.10,1391000,15.10
2016-02-02,15.65,15.65,15.40,15.45,1225000,15.45
2016-02-01,15.70,15.95,15.50,15.50,2340000,15.50
2016-01-29,15.50,15.80,15.30,15.70,2759000,15.70
2016-01-28,15.60,15.90,15.50,15.50,2721000,15.50
2016-01-27,15.65,15.75,15.30,15.60,2133000,15.60
2016-01-26,15.60,15.70,15.40,15.45,1277000,15.45
2016-01-25,15.30,15.90,15.30,15.65,3623000,15.65
2016-01-22,15.35,15.55,15.10,15.15,1826000,15.15
2016-01-21,15.80,15.90,15.15,15.20,5414000,15.20
2016-01-20,14.85,16.10,14.85,15.45,6443000,15.45
2016-01-19,15.00,15.00,14.60,14.85,1566000,14.85
2016-01-18,13.70,15.30,13.70,15.00,4085000,15.00
2016-01-15,14.45,14.65,14.15,14.30,1449000,14.30
2016-01-14,14.45,14.65,14.15,14.25,1912000,14.25
2016-01-13,14.15,14.80,14.15,14.80,4387000,14.80
2016-01-12,14.70,14.90,13.80,13.90,4322000,13.90
2016-01-11,14.95,15.05,14.45,14.60,2185000,14.60
2016-01-08,14.65,15.35,14.65,15.20,2549000,15.20
2016-01-07,16.05,16.20,14.70,14.95,3468000,14.95
2016-01-06,16.45,16.65,16.05,16.05,1617000,16.05
2016-01-05,16.25,16.60,16.20,16.35,1652000,16.35
2016-01-04,17.20,17.20,16.30,16.30,2471000,16.30
2016-01-01,17.20,17.20,17.20,17.20,000,17.20
2015-12-31,16.70,17.20,16.55,17.20,2647000,17.20
2015-12-30,16.90,16.90,16.55,16.90,1600000,16.90
2015-12-29,16.60,16.85,16.40,16.80,1824000,16.80
2015-12-28,16.70,16.85,16.55,16.60,1447000,16.60
2015-12-25,16.60,16.75,16.35,16.65,1483000,16.65
2015-12-24,16.75,17.00,16.35,16.60,2223000,16.60
2015-12-23,16.85,17.25,16.55,16.55,6014000,16.55
2015-12-22,17.10,17.10,16.55,16.55,3555000,16.55
2015-12-21,16.30,17.25,16.30,17.05,6202000,17.05
2015-12-18,16.20,16.65,16.05,16.50,2543000,16.50
2015-12-17,16.20,16.75,16.05,16.40,5046000,16.40
2015-12-16,15.65,16.50,15.65,16.00,6520000,16.00
2015-12-15,15.00,15.50,15.00,15.50,2022000,15.50
2015-12-14,14.80,15.30,14.60,15.20,2010000,15.20
2015-12-11,15.75,16.00,15.15,15.15,3075000,15.15
2015-12-10,16.00,16.20,15.75,15.75,3561000,15.75
2015-12-09,16.65,16.95,16.05,16.05,4531000,16.05
2015-12-08,16.90,17.40,16.75,16.80,6027000,16.80
2015-12-07,17.10,17.25,16.80,16.85,2836000,16.85
2015-12-04,17.10,17.25,16.85,16.90,3153000,16.90
2015-12-03,17.00,17.50,16.65,17.40,4711000,17.40
2015-12-02,17.45,17.65,16.95,17.00,3669000,17.00
2015-12-01,17.15,17.60,16.95,17.35,3516000,17.35
2015-11-30,16.80,17.15,16.75,16.85,2295000,16.85
2015-11-27,17.75,17.85,16.90,17.00,3762000,17.00
2015-11-26,16.45,17.70,16.45,17.45,5979000,17.45
2015-11-25,16.75,16.80,16.20,16.40,2273000,16.40
2015-11-24,16.85,17.05,16.60,16.60,2733000,16.60
2015-11-23,17.15,17.35,16.85,16.85,2148000,16.85
2015-11-20,17.40,17.75,17.10,17.10,3895000,17.10
2015-11-19,17.15,17.55,16.95,17.35,5376000,17.35
2015-11-18,17.35,17.55,16.75,16.80,4051000,16.80
2015-11-17,17.10,17.65,17.10,17.40,3538000,17.40
2015-11-16,16.40,16.95,16.35,16.75,1940000,16.75
2015-11-13,17.20,17.35,16.80,16.80,3040000,16.80
2015-11-12,16.80,17.40,16.80,17.25,3859000,17.25
2015-11-11,17.60,17.95,16.60,16.70,6306000,16.70
2015-11-10,17.55,17.85,17.20,17.60,4033000,17.60
2015-11-09,18.85,19.00,17.60,17.75,6247000,17.75
2015-11-06,19.50,19.85,18.75,18.75,10556000,18.75
2015-11-05,19.05,19.35,18.70,19.30,8378000,19.30
2015-11-04,18.85,19.20,18.50,18.90,5846000,18.90
2015-11-03,19.05,19.25,18.55,18.55,5495000,18.55
2015-11-02,18.50,19.00,18.30,18.70,5563000,18.70
2015-10-30,18.60,18.80,17.85,18.30,9967000,18.30
2015-10-29,19.50,20.05,18.55,18.55,18798000,18.55
2015-10-28,18.20,19.35,18.05,19.30,16005000,19.30
2015-10-27,17.45,18.40,17.15,18.20,16691000,18.20
2015-10-26,16.50,17.60,16.45,17.40,16796000,17.40
2015-10-23,16.30,16.45,16.10,16.20,3765000,16.20
2015-10-22,15.95,16.35,15.90,15.90,2721000,15.90
2015-10-21,16.40,16.45,15.60,15.90,5893000,15.90
2015-10-20,16.25,16.65,16.20,16.40,7947000,16.40
2015-10-19,16.15,16.50,16.10,16.10,7315000,16.10
2015-10-16,16.00,16.45,15.90,16.00,5822000,16.00
2015-10-15,16.50,16.55,15.85,15.90,8592000,15.90
2015-10-14,14.95,16.20,14.90,16.10,11812000,16.10
2015-10-13,14.75,15.10,14.75,14.85,2795000,14.85
2015-10-12,14.80,15.00,14.65,14.65,2547000,14.65
2015-10-09,14.65,14.65,14.65,14.65,000,14.65
2015-10-08,14.60,15.25,14.55,14.65,5595000,14.65
2015-10-07,14.50,14.50,14.15,14.25,3130000,14.25
2015-10-06,14.30,14.70,14.25,14.50,5094000,14.50
2015-10-05,14.15,14.25,14.05,14.10,1870000,14.10
2015-10-02,14.10,14.20,13.90,14.00,1773000,14.00
2015-10-01,13.75,14.30,13.75,13.90,2831000,13.90
2015-09-30,13.65,13.95,13.50,13.60,2217000,13.60
2015-09-29,13.90,13.90,13.90,13.90,000,13.90
2015-09-28,13.90,13.90,13.90,13.90,000,13.90
2015-09-25,13.60,13.90,13.55,13.90,2331000,13.90
2015-09-24,14.75,14.95,13.60,13.65,5251000,13.65
2015-09-23,14.70,15.15,14.45,14.75,3137000,14.75
2015-09-22,15.00,15.05,14.50,14.75,3413000,14.75
2015-09-21,15.50,15.50,14.85,15.00,3171000,15.00
2015-09-18,15.60,16.00,15.50,15.80,2610000,15.80
2015-09-17,15.60,15.95,15.50,15.80,2974000,15.80
2015-09-16,15.40,15.65,15.30,15.45,1567000,15.45
2015-09-15,15.45,15.55,15.35,15.35,1528000,15.35
2015-09-14,15.70,15.90,15.15,15.45,3237000,15.45
2015-09-11,15.95,16.00,15.70,15.70,2532000,15.70
2015-09-10,15.85,16.00,15.50,15.95,4457000,15.95
2015-09-09,14.95,16.00,14.95,16.00,8014000,16.00
2015-09-08,14.70,14.95,14.55,14.65,2050000,14.65
2015-09-07,14.40,14.70,14.20,14.55,1278000,14.55
2015-09-04,14.70,15.25,14.50,14.55,4357000,14.55
2015-09-03,14.30,14.90,14.10,14.65,3567000,14.65
2015-09-02,13.65,14.20,13.55,14.20,2643000,14.20
2015-09-01,13.45,14.00,13.40,14.00,2187000,14.00
2015-08-31,13.50,13.90,13.30,13.70,2308000,13.70
2015-08-28,13.10,13.50,13.10,13.50,3270000,13.50
2015-08-27,12.75,13.10,12.75,12.85,2599000,12.85
2015-08-26,12.20,12.65,12.10,12.60,2590000,12.60
2015-08-25,11.25,12.60,11.25,12.60,4848000,12.60
2015-08-24,12.20,12.65,11.60,12.10,6309000,12.10
2015-08-21,13.50,14.00,12.75,12.85,5546000,12.85
2015-08-20,13.50,14.25,13.50,14.00,2958000,14.00
2015-08-19,14.50,14.65,13.60,13.85,4031000,13.85
2015-08-18,14.80,14.85,14.40,14.50,1960000,14.50
2015-08-17,14.90,14.95,14.60,14.70,1607000,14.70
2015-08-14,14.85,15.00,14.70,15.00,1428000,15.00
2015-08-13,15.00,15.20,14.75,15.00,2349000,15.00
2015-08-12,15.05,15.10,14.70,15.00,2028000,15.00
2015-08-11,15.70,15.75,15.00,15.20,3302000,15.20
2015-08-10,15.25,15.65,15.10,15.60,2273000,15.60
2015-08-07,15.80,15.80,15.25,15.50,4295000,15.50
2015-08-06,15.95,16.05,15.50,16.00,5693000,16.00
2015-08-05,14.50,15.40,14.50,15.40,2769000,15.40
2015-08-04,15.45,15.55,14.35,14.70,3276000,14.70
2015-08-03,15.25,15.40,14.70,15.40,3782000,15.40
2015-07-31,15.70,15.90,15.20,15.20,1979000,15.20
2015-07-30,15.35,16.00,15.35,15.70,2507000,15.70
2015-07-29,15.90,15.95,15.30,15.30,2867000,15.30
2015-07-28,15.10,15.90,15.05,15.65,3822000,15.65
2015-07-27,16.65,17.20,15.30,15.30,6197000,15.30
2015-07-24,17.60,17.90,16.95,16.95,3888000,16.95
2015-07-23,18.10,18.55,17.70,17.90,2464000,17.90
2015-07-22,18.70,19.00,18.50,18.55,1251000,18.55
2015-07-21,18.80,19.10,18.75,18.80,1872000,18.80
2015-07-20,19.30,19.40,18.80,18.90,890000,18.90
2015-07-17,19.20,19.35,19.00,19.00,834000,19.00
2015-07-16,18.95,19.25,18.80,19.10,763000,19.10
2015-07-15,19.50,19.55,18.80,18.80,1902000,18.80
2015-07-14,19.15,19.75,19.10,19.50,3236000,19.50
2015-07-13,18.25,19.20,18.25,19.15,3213000,19.15
2015-07-10,18.55,18.55,18.55,18.55,000,18.55
2015-07-09,18.25,18.80,17.90,18.55,2859000,18.55
2015-07-08,18.80,18.80,17.70,18.30,7061000,18.30
2015-07-07,20.25,20.25,19.00,19.00,8236000,19.00
2015-07-06,20.35,20.65,20.20,20.20,2022000,20.20
2015-07-03,20.65,20.65,20.25,20.45,2040000,20.45
2015-07-02,20.80,20.90,20.60,20.60,2137000,20.60
2015-07-01,20.30,20.70,20.05,20.60,2816000,20.60
2015-06-30,19.60,20.15,19.60,20.05,3510000,20.05
2015-06-29,21.45,21.45,20.40,20.40,4044000,19.49
2015-06-26,21.40,21.70,21.20,21.55,2589000,20.59
2015-06-25,21.35,21.75,21.30,21.55,1500000,20.59
2015-06-24,21.85,21.95,21.35,21.35,1903000,20.40
2015-06-23,21.75,22.10,21.60,21.85,2755000,20.88
2015-06-22,21.75,21.85,21.40,21.50,2209000,20.54
2015-06-19,21.60,21.60,21.60,21.60,000,20.64
2015-06-18,21.50,21.70,21.30,21.60,3338000,20.64
2015-06-17,21.00,21.60,21.00,21.25,3997000,20.30
2015-06-16,21.20,21.35,20.75,20.85,1492000,19.92
2015-06-15,20.65,21.20,20.50,21.15,2568000,20.21
2015-06-12,21.30,21.40,20.35,20.65,5950000,19.73
2015-06-11,21.50,21.75,21.30,21.30,2645000,20.35
2015-06-10,21.00,21.85,21.00,21.35,6292000,20.40
2015-06-09,24.00,24.05,21.65,21.65,11224000,20.68
2015-06-08,24.00,24.35,23.70,24.05,3686000,22.98
2015-06-05,24.90,24.90,23.75,24.00,5985000,22.93
2015-06-04,25.70,25.95,25.00,25.00,2701000,23.88
2015-06-03,25.85,26.05,25.70,25.75,1238000,24.60
2015-06-02,25.85,26.25,25.80,25.85,2294000,24.70
2015-06-01,26.40,26.40,25.65,25.85,3387000,24.70
2015-05-29,26.20,26.45,26.10,26.10,4338000,24.94
2015-05-28,25.80,25.95,25.60,25.80,2341000,24.65
2015-05-27,25.25,25.85,24.90,25.80,5415000,24.65
2015-05-26,25.30,25.55,25.10,25.25,2448000,24.12
2015-05-25,25.75,25.75,25.40,25.45,1796000,24.31
2015-05-22,25.10,25.85,25.10,25.75,1994000,24.60
2015-05-21,25.30,25.55,25.10,25.10,1896000,23.98
2015-05-20,25.65,25.70,25.00,25.60,3309000,24.46
2015-05-19,25.90,26.15,25.65,25.80,3748000,24.65
2015-05-18,26.00,26.35,25.65,25.65,2486000,24.51
2015-05-15,27.60,27.60,26.50,26.50,2637000,25.32
2015-05-14,27.70,27.80,27.00,27.00,3300000,25.80
2015-05-13,26.70,26.75,26.45,26.65,1299000,25.46
2015-05-12,26.10,26.60,25.70,26.60,1855000,25.41
2015-05-11,28.00,28.00,25.60,26.10,5091000,24.94
2015-05-08,28.30,28.35,27.40,27.50,2524000,26.27
2015-05-07,28.25,28.35,28.00,28.00,2844000,26.75
2015-05-06,27.50,28.40,27.40,28.25,6171000,26.99
2015-05-05,27.80,27.85,27.60,27.70,1956000,26.46
2015-05-04,28.00,28.15,27.45,27.50,3470000,26.27
2015-05-01,27.80,27.80,27.80,27.80,000,26.56
2015-04-30,27.45,28.65,27.45,27.80,10713000,26.56
2015-04-29,27.40,27.60,27.15,27.40,1298000,26.18
2015-04-28,27.70,27.75,27.35,27.40,1545000,26.18
2015-04-27,27.80,27.90,27.50,27.70,2461000,26.46
2015-04-24,27.45,27.65,27.30,27.60,2482000,26.37
2015-04-23,27.00,27.40,26.95,27.40,3176000,26.18
2015-04-22,26.80,27.00,26.55,26.90,1506000,25.70
2015-04-21,26.95,27.15,26.70,26.80,1385000,25.60
2015-04-20,26.90,26.90,26.60,26.85,1489000,25.65
2015-04-17,27.60,27.60,26.80,26.90,3178000,25.70
2015-04-16,26.90,27.25,26.80,27.10,2362000,25.89
2015-04-15,26.95,27.10,26.70,26.70,2596000,25.51
2015-04-14,26.55,26.95,26.50,26.95,3674000,25.75
2015-04-13,27.30,27.45,26.35,26.60,5685000,25.41
2015-04-10,27.60,27.60,27.25,27.30,1446000,26.08
2015-04-09,27.45,27.65,27.30,27.40,2544000,26.18
2015-04-08,28.30,28.60,27.25,27.50,8927000,26.27
2015-04-07,27.15,28.35,27.05,28.25,7028000,26.99
2015-04-06,27.00,27.00,27.00,27.00,000,25.80
2015-04-03,27.00,27.00,27.00,27.00,000,25.80
2015-04-02,27.10,27.60,26.90,27.00,5167000,25.80
2015-04-01,28.15,28.25,26.70,27.00,8231000,25.80
2015-03-31,28.60,28.65,27.95,28.20,3211000,26.94
2015-03-30,29.15,29.15,27.90,28.20,3547000,26.94
2015-03-27,29.00,29.25,28.60,28.85,3679000,27.56
2015-03-26,28.85,29.15,28.55,28.85,8383000,27.56
2015-03-25,30.80,30.80,29.40,29.65,7739000,28.33
2015-03-24,31.80,32.10,30.60,30.80,5659000,29.43
2015-03-23,32.50,32.65,31.80,31.80,4658000,30.38
2015-03-20,31.85,32.55,31.65,32.30,6642000,30.86
2015-03-19,32.10,32.75,31.80,31.85,4751000,30.43
2015-03-18,32.70,32.75,31.85,32.10,4372000,30.67
2015-03-17,33.05,33.10,32.15,32.65,5545000,31.19
2015-03-16,32.95,33.25,32.45,32.75,7342000,31.29
2015-03-13,31.90,33.15,31.80,32.60,15655000,31.15
2015-03-12,31.45,31.60,31.00,31.60,5448000,30.19
2015-03-11,31.00,31.60,30.95,31.00,2889000,29.62
2015-03-10,31.85,31.85,31.20,31.30,2461000,29.90
2015-03-09,31.10,31.60,31.05,31.60,4622000,30.19
2015-03-06,30.90,31.15,30.80,31.10,2560000,29.71
2015-03-05,30.80,30.95,30.55,30.80,1276000,29.43
2015-03-04,30.85,31.20,30.75,30.80,2126000,29.43
2015-03-03,31.35,31.35,30.75,30.80,3832000,29.43
2015-03-02,31.70,31.80,31.30,31.35,2870000,29.95
2015-02-27,31.70,31.70,31.70,31.70,000,30.29
2015-02-26,31.10,31.85,31.05,31.70,4082000,30.29
2015-02-25,31.05,31.35,30.80,31.20,3516000,29.81
2015-02-24,31.30,31.50,30.90,30.95,8112000,29.57
2015-02-23,30.80,30.80,30.80,30.80,000,29.43
2015-02-20,30.80,30.80,30.80,30.80,000,29.43
2015-02-19,30.80,30.80,30.80,30.80,000,29.43
2015-02-18,30.80,30.80,30.80,30.80,000,29.43
2015-02-17,30.80,30.80,30.80,30.80,000,29.43
2015-02-16,30.80,30.80,30.80,30.80,000,29.43
2015-02-13,30.85,31.15,30.80,30.80,1448000,29.43
2015-02-12,30.95,31.10,30.85,30.95,3542000,29.57
2015-02-11,30.75,31.05,30.70,30.70,1828000,29.33
2015-02-10,31.00,31.15,30.70,30.70,2458000,29.33
2015-02-09,30.50,31.20,30.35,30.95,5565000,29.57
2015-02-06,30.30,30.50,30.05,30.50,3171000,29.14
2015-02-05,15.10,15.10,15.10,15.10,000,14.43
2015-02-04,30.45,30.45,29.50,29.95,2796000,28.61
2015-02-03,29.95,30.15,29.25,29.95,4144000,28.61
2015-02-02,30.10,30.30,29.85,29.85,1698000,28.52
2015-01-30,30.55,30.60,30.10,30.30,1392000,28.95
2015-01-29,30.70,30.80,30.30,30.30,1506000,28.95
2015-01-28,30.80,31.05,30.65,30.70,1249000,29.33
2015-01-27,31.20,31.25,30.75,30.80,1475000,29.43
2015-01-26,31.00,31.30,30.65,30.90,3177000,29.52
2015-01-23,31.45,31.55,30.70,30.80,3695000,29.43
2015-01-22,31.65,31.75,30.85,30.95,5111000,29.57
2015-01-21,30.80,32.00,30.70,31.45,10407000,30.05
2015-01-20,30.00,30.50,29.80,30.50,3054000,29.14
2015-01-19,30.70,30.75,29.60,29.60,3057000,28.28
2015-01-16,31.30,31.30,30.20,30.20,4057000,28.85
2015-01-15,30.60,31.45,30.55,31.00,6063000,29.62
2015-01-14,30.60,30.75,30.35,30.55,2037000,29.19
2015-01-13,30.70,30.80,30.25,30.30,2319000,28.95
2015-01-12,31.00,31.00,30.55,30.70,1793000,29.33
2015-01-09,31.20,31.30,30.30,31.00,3120000,29.62
2015-01-08,31.00,31.20,30.70,30.90,3922000,29.52
2015-01-07,30.00,30.80,29.80,30.75,3328000,29.38
2015-01-06,30.55,30.80,29.80,30.00,3815000,28.66
2015-01-05,30.95,31.65,30.85,30.85,4905000,29.47
2015-01-02,30.95,30.95,30.95,30.95,000,29.57
2015-01-01,30.95,30.95,30.95,30.95,000,29.57
2014-12-31,30.30,30.95,30.00,30.95,8011000,29.57
2014-12-30,30.50,30.60,30.00,30.00,4018000,28.66
2014-12-29,29.95,30.40,29.95,30.00,2372000,28.66
2014-12-26,29.90,30.50,29.75,30.30,4260000,28.95
2014-12-25,30.05,30.30,29.90,29.90,1519000,28.57
2014-12-24,30.25,30.50,30.15,30.20,4616000,28.85
2014-12-23,29.80,30.50,29.75,30.45,5091000,29.09
2014-12-22,29.70,30.15,29.60,29.70,1491000,28.37
2014-12-19,29.80,30.15,29.30,29.35,2965000,28.04
2014-12-18,29.65,30.15,29.50,29.50,3181000,28.18
2014-12-17,29.50,30.30,29.40,29.50,4483000,28.18
2014-12-16,29.35,29.70,29.30,29.45,2397000,28.14
2014-12-15,28.60,29.35,28.55,29.25,1597000,27.95
2014-12-12,28.95,29.30,28.85,28.85,1894000,27.56
2014-12-11,28.80,29.00,28.70,28.70,848000,27.42
2014-12-10,28.70,29.35,28.70,29.10,2059000,27.80
2014-12-09,28.65,29.20,28.60,28.85,1435000,27.56
2014-12-08,29.00,29.00,28.70,29.00,997000,27.71
2014-12-05,29.15,29.40,28.90,29.00,1568000,27.71
2014-12-04,29.65,29.80,29.15,29.15,2071000,27.85
2014-12-03,29.00,29.70,28.85,29.50,4447000,28.18
2014-12-02,28.90,29.10,28.50,28.80,2221000,27.52
2014-12-01,27.55,28.70,27.55,28.70,2164000,27.42
2014-11-28,28.20,28.35,28.00,28.15,1222000,26.89
2014-11-27,28.50,28.50,28.05,28.05,2229000,26.80
2014-11-26,28.75,28.85,28.45,28.45,1565000,27.18
2014-11-25,28.70,28.80,28.55,28.75,1373000,27.47
2014-11-24,29.00,29.35,28.55,28.55,5450000,27.28
2014-11-21,28.15,28.85,27.85,28.50,4121000,27.23
2014-11-20,28.20,28.25,27.85,28.15,3772000,26.89
2014-11-19,27.30,27.95,27.25,27.85,4837000,26.61
2014-11-18,27.80,27.95,27.20,27.30,4494000,26.08
2014-11-17,27.95,28.20,27.50,27.80,3497000,26.56
2014-11-14,27.65,27.80,27.10,27.80,2971000,26.56
2014-11-13,26.80,27.55,26.80,27.40,3558000,26.18
2014-11-12,26.95,27.35,26.80,27.00,2980000,25.80
2014-11-11,27.30,27.40,26.90,27.30,4345000,26.08
2014-11-10,26.40,27.40,26.25,27.00,7708000,25.80
2014-11-07,26.15,26.40,26.00,26.25,2846000,25.08
2014-11-06,26.60,26.80,25.85,25.95,5719000,24.79
2014-11-05,26.00,26.55,26.00,26.20,6430000,25.03
2014-11-04,26.00,26.20,25.50,25.65,2671000,24.51
2014-11-03,25.50,26.50,25.20,26.00,6527000,24.84
2014-10-31,25.20,25.40,24.90,25.30,3547000,24.17
2014-10-30,25.10,25.10,24.45,24.95,4272000,23.84
2014-10-29,24.80,25.40,24.55,25.15,10713000,24.03
2014-10-28,24.60,24.80,23.65,24.20,10514000,23.12
2014-10-27,26.30,26.35,24.40,24.40,9428000,23.31
2014-10-24,26.30,26.60,26.15,26.20,2581000,25.03
2014-10-23,26.50,26.75,26.20,26.25,5507000,25.08
2014-10-22,27.90,27.90,26.75,27.00,9641000,25.80
2014-10-21,28.15,28.35,27.80,27.85,3812000,26.61
2014-10-20,28.90,28.90,28.30,28.35,2381000,27.09
2014-10-17,28.70,28.85,27.95,28.35,5601000,27.09
2014-10-16,28.00,28.60,26.90,28.60,5578000,27.32
2014-10-15,28.90,29.20,28.20,28.25,5814000,26.99
2014-10-14,27.70,28.00,27.40,27.90,4789000,26.66
2014-10-13,29.00,29.00,27.90,27.90,6639000,26.66
2014-10-10,29.95,29.95,29.95,29.95,000,28.61
2014-10-09,31.00,31.00,29.95,29.95,3124000,28.61
2014-10-08,30.80,31.05,30.70,30.70,2067000,29.33
2014-10-07,30.95,31.20,30.80,31.00,2566000,29.62
2014-10-06,31.25,31.70,30.95,31.45,3534000,30.05
2014-10-03,30.40,31.45,30.25,31.00,4034000,29.62
2014-10-02,30.10,30.70,30.05,30.60,2091000,29.23
2014-10-01,30.35,30.70,30.25,30.35,1364000,29.00
2014-09-30,30.85,30.90,30.10,30.50,3063000,29.14
2014-09-29,31.20,31.30,30.80,30.95,3432000,29.57
2014-09-26,30.40,31.10,30.30,31.00,3049000,29.62
2014-09-25,31.40,31.45,30.50,30.50,3196000,29.14
2014-09-24,31.15,31.30,30.80,31.00,3188000,29.62
2014-09-23,31.55,31.60,30.85,30.90,4034000,29.52
2014-09-22,31.85,32.00,31.50,31.50,3850000,30.09
2014-09-19,31.55,31.85,31.30,31.85,5705000,30.43
2014-09-18,31.80,32.20,31.25,31.55,9382000,30.14
2014-09-17,31.25,32.40,31.10,31.55,11727000,30.14
2014-09-16,31.00,31.05,30.45,30.50,2791000,29.14
2014-09-15,30.70,31.20,30.70,30.80,2605000,29.43
2014-09-12,30.70,31.20,30.20,30.80,5545000,29.43
2014-09-11,31.35,31.70,30.30,30.55,6782000,29.19
2014-09-10,31.40,31.85,31.10,31.30,3292000,29.90
2014-09-09,31.80,31.90,31.35,31.40,3536000,30.00
2014-09-08,31.55,31.55,31.55,31.55,000,30.14
2014-09-05,31.95,32.00,31.50,31.55,5319000,30.14
2014-09-04,31.50,31.90,31.25,31.35,7570000,29.95
2014-09-03,32.05,32.35,31.10,31.35,10243000,29.95
2014-09-02,33.25,33.25,31.90,32.05,13799000,30.62
2014-09-01,33.75,34.00,33.25,33.50,13190000,32.01
2014-08-29,32.80,34.00,32.30,33.50,26436000,32.01
2014-08-28,32.60,32.60,31.45,32.60,38026000,31.15
2014-08-27,30.50,30.50,30.50,30.50,4421000,29.14
2014-08-26,28.25,28.55,28.20,28.55,2000000,27.28
2014-08-25,28.00,28.25,27.70,28.20,2632000,26.94
2014-08-22,27.45,27.85,27.05,27.85,4909000,26.61
2014-08-21,28.50,28.50,26.55,27.00,12308000,25.80
2014-08-20,30.00,30.00,28.45,28.50,8494000,27.23
2014-08-19,30.35,30.50,29.90,30.00,3951000,28.66
2014-08-18,31.20,31.20,30.00,30.05,4309000,28.71
2014-08-15,31.20,31.50,30.70,30.80,6784000,29.43
2014-08-14,31.20,31.20,30.65,31.05,6857000,29.66
2014-08-13,30.50,30.65,29.80,30.50,4095000,29.14
2014-08-12,30.20,30.90,30.20,30.40,3020000,29.04
2014-08-11,30.10,30.35,29.95,30.20,2065000,28.85
2014-08-08,30.00,30.25,29.20,29.80,3159000,28.47
