Date,Open,High,Low,Close,Volume,Adj_Close
2016-03-08,5.043,5.043,5.043,5.043,000,5.043
2016-03-07,5.107,5.107,5.107,5.107,000,5.107
2016-03-04,5.126,5.126,5.126,5.126,000,5.126
2016-03-03,5.157,5.157,5.157,5.157,000,5.157
2016-03-02,5.059,5.059,5.059,5.059,000,5.059
2016-03-01,4.979,4.979,4.979,4.979,000,4.979
2016-02-29,4.939,4.939,4.939,4.939,000,4.939
2016-02-26,4.829,4.829,4.829,4.829,000,4.829
2016-02-25,4.792,4.792,4.792,4.792,000,4.792
2016-02-24,4.782,4.782,4.782,4.782,000,4.782
2016-02-23,4.758,4.758,4.758,4.758,000,4.758
2016-02-22,4.674,4.674,4.674,4.674,000,4.674
2016-02-19,4.616,4.616,4.616,4.616,000,4.616
2016-02-18,4.597,4.597,4.597,4.597,000,4.597
2016-02-17,4.549,4.549,4.549,4.549,000,4.549
2016-02-16,4.585,4.585,4.585,4.585,000,4.585
2016-02-15,4.609,4.609,4.609,4.609,000,4.609
2016-02-12,4.523,4.523,4.523,4.523,000,4.523
2016-02-11,4.54,4.54,4.54,4.54,000,4.54
2016-02-10,4.579,4.579,4.579,4.579,000,4.579
2016-02-09,4.566,4.566,4.566,4.566,000,4.566
2016-02-08,4.639,4.639,4.639,4.639,000,4.639
2016-02-05,4.576,4.576,4.576,4.576,000,4.576
2016-02-04,4.668,4.668,4.668,4.668,000,4.668
2016-02-03,4.743,4.743,4.743,4.743,000,4.743
2016-02-02,4.739,4.739,4.739,4.739,000,4.739
2016-02-01,4.71,4.71,4.71,4.71,000,4.71
2016-01-29,4.728,4.728,4.728,4.728,000,4.728
2016-01-28,4.687,4.687,4.687,4.687,000,4.687
2016-01-27,4.71,4.71,4.71,4.71,000,4.71
2016-01-26,4.726,4.726,4.726,4.726,000,4.726
2016-01-25,3.833,3.833,3.833,3.833,000,3.833
2016-01-22,3.759,3.759,3.759,3.759,000,3.759
2016-01-21,3.524,3.524,3.524,3.524,000,3.524
2016-01-20,3.525,3.525,3.525,3.525,000,3.525
2016-01-19,3.204,3.204,3.204,3.204,000,3.204
2016-01-18,3.179,3.179,3.179,3.179,000,3.179
2016-01-15,3.349,3.349,3.349,3.349,000,3.349
2016-01-14,3.534,3.534,3.534,3.534,000,3.534
2016-01-13,3.533,3.533,3.533,3.533,000,3.533
2016-01-12,3.543,3.543,3.543,3.543,000,3.543
2016-01-11,3.473,3.473,3.473,3.473,000,3.473
2016-01-08,3.514,3.514,3.514,3.514,000,3.514
2016-01-07,3.46,3.46,3.46,3.46,000,3.46
2016-01-06,3.506,3.506,3.506,3.506,000,3.506
2016-01-05,3.463,3.463,3.463,3.463,000,3.463
2016-01-04,3.436,3.436,3.436,3.436,000,3.436
