Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,0.315,0.315,0.315,0.315,320000,0.315
2016-03-31,0.315,0.315,0.315,0.315,598700,0.315
2016-03-30,0.32,0.32,0.32,0.32,000,0.32
2016-03-29,0.32,0.32,0.32,0.32,000,0.32
2016-03-28,0.32,0.32,0.32,0.32,000,0.32
2016-03-25,0.32,0.32,0.32,0.32,000,0.32
2016-03-24,0.32,0.32,0.32,0.32,000,0.32
2016-03-23,0.32,0.32,0.32,0.32,000,0.32
2016-03-22,0.32,0.32,0.32,0.32,000,0.32
2016-03-21,0.32,0.32,0.32,0.32,000,0.32
2016-03-18,0.32,0.32,0.32,0.32,000,0.32
2016-03-17,0.32,0.32,0.32,0.32,000,0.32
2016-03-16,0.32,0.32,0.32,0.32,000,0.32
2016-03-15,0.32,0.32,0.32,0.32,000,0.32
2016-03-14,0.315,0.32,0.315,0.32,135900,0.32
2016-03-11,0.32,0.32,0.32,0.32,000,0.32
2016-03-10,0.32,0.32,0.32,0.32,000,0.32
2016-03-09,0.32,0.32,0.32,0.32,000,0.32
2016-03-08,0.32,0.32,0.32,0.32,000,0.32
2016-03-07,0.32,0.32,0.32,0.32,30000,0.32
2016-03-04,0.32,0.32,0.32,0.32,30000,0.32
2016-03-03,0.32,0.325,0.315,0.325,80000,0.325
2016-03-02,0.325,0.325,0.325,0.325,000,0.325
2016-03-01,0.325,0.325,0.325,0.325,000,0.325
2016-02-29,0.32,0.325,0.32,0.325,120600,0.325
2016-02-26,0.32,0.325,0.32,0.325,174100,0.325
2016-02-25,0.325,0.325,0.325,0.325,000,0.325
2016-02-24,0.325,0.325,0.325,0.325,000,0.325
2016-02-23,0.325,0.325,0.325,0.325,000,0.325
2016-02-22,0.31,0.325,0.31,0.325,140000,0.325
2016-02-19,0.325,0.325,0.325,0.325,000,0.325
2016-02-18,0.32,0.325,0.32,0.325,122000,0.325
2016-02-17,0.315,0.315,0.31,0.315,91500,0.315
2016-02-16,0.315,0.315,0.305,0.315,221000,0.315
2016-02-15,0.32,0.325,0.315,0.325,181000,0.325
2016-02-12,0.33,0.33,0.33,0.33,000,0.33
2016-02-11,0.33,0.33,0.33,0.33,000,0.33
2016-02-10,0.33,0.33,0.33,0.33,000,0.33
2016-02-09,0.33,0.33,0.33,0.33,000,0.33
2016-02-08,0.33,0.33,0.33,0.33,000,0.33
2016-02-05,0.33,0.33,0.33,0.33,000,0.33
2016-02-04,0.33,0.33,0.33,0.33,000,0.33
2016-02-03,0.315,0.33,0.315,0.33,80000,0.33
2016-02-02,0.325,0.325,0.325,0.325,000,0.325
2016-02-01,0.315,0.325,0.315,0.325,70000,0.325
2016-01-29,0.325,0.325,0.325,0.325,000,0.325
2016-01-28,0.325,0.325,0.325,0.325,209000,0.325
2016-01-27,0.325,0.325,0.325,0.325,000,0.325
2016-01-26,0.325,0.325,0.325,0.325,000,0.325
2016-01-25,0.32,0.325,0.315,0.325,210000,0.325
2016-01-22,0.325,0.325,0.325,0.325,000,0.325
2016-01-21,0.325,0.325,0.325,0.325,000,0.325
2016-01-20,0.32,0.325,0.32,0.325,127200,0.325
2016-01-19,0.325,0.325,0.325,0.325,250000,0.325
2016-01-18,0.33,0.33,0.33,0.33,000,0.33
2016-01-15,0.325,0.33,0.325,0.33,209000,0.33
2016-01-14,0.345,0.345,0.345,0.345,000,0.345
2016-01-13,0.33,0.345,0.33,0.345,298500,0.345
2016-01-12,0.335,0.345,0.33,0.345,120500,0.345
2016-01-11,0.345,0.345,0.345,0.345,000,0.345
2016-01-08,0.345,0.345,0.345,0.345,000,0.345
2016-01-07,0.345,0.345,0.345,0.345,25000,0.345
2016-01-06,0.35,0.35,0.35,0.35,000,0.35
2016-01-05,0.35,0.35,0.35,0.35,000,0.35
2016-01-04,0.345,0.35,0.345,0.35,20000,0.35
2016-01-01,0.345,0.345,0.345,0.345,000,0.345
2015-12-31,0.345,0.345,0.345,0.345,20000,0.345
2015-12-30,0.345,0.345,0.345,0.345,30000,0.345
2015-12-29,0.35,0.35,0.35,0.35,30000,0.35
2015-12-28,0.33,0.33,0.33,0.33,1000,0.33
2015-12-25,0.345,0.345,0.345,0.345,000,0.345
2015-12-24,0.345,0.345,0.345,0.345,000,0.345
2015-12-23,0.345,0.345,0.345,0.345,20000,0.345
2015-12-22,0.345,0.345,0.345,0.345,000,0.345
2015-12-21,0.345,0.345,0.345,0.345,30000,0.345
2015-12-18,0.345,0.345,0.345,0.345,000,0.345
2015-12-17,0.345,0.345,0.345,0.345,000,0.345
2015-12-16,0.345,0.345,0.345,0.345,000,0.345
2015-12-15,0.345,0.345,0.345,0.345,000,0.345
2015-12-14,0.345,0.345,0.345,0.345,000,0.345
2015-12-11,0.325,0.345,0.325,0.345,42500,0.345
2015-12-10,0.325,0.35,0.325,0.35,50000,0.35
2015-12-09,0.325,0.325,0.325,0.325,50000,0.325
2015-12-08,0.32,0.32,0.32,0.32,4000,0.32
2015-12-07,0.325,0.325,0.32,0.32,157000,0.32
2015-12-04,0.325,0.325,0.325,0.325,000,0.325
2015-12-03,0.325,0.325,0.325,0.325,50000,0.325
2015-12-02,0.325,0.325,0.325,0.325,10000,0.325
2015-12-01,0.33,0.33,0.33,0.33,000,0.33
2015-11-30,0.33,0.33,0.33,0.33,000,0.33
2015-11-27,0.33,0.33,0.33,0.33,000,0.33
2015-11-26,0.33,0.33,0.33,0.33,109700,0.33
2015-11-25,0.335,0.335,0.33,0.335,209700,0.335
2015-11-24,0.335,0.335,0.335,0.335,300000,0.335
2015-11-23,0.35,0.35,0.35,0.35,000,0.35
2015-11-20,0.345,0.35,0.325,0.35,259800,0.35
2015-11-19,0.35,0.35,0.35,0.35,000,0.35
2015-11-18,0.35,0.35,0.35,0.35,000,0.35
2015-11-17,0.35,0.35,0.35,0.35,000,0.35
2015-11-16,0.35,0.35,0.35,0.35,000,0.35
2015-11-13,0.35,0.35,0.35,0.35,000,0.35
2015-11-12,0.33,0.35,0.33,0.35,45000,0.35
2015-11-11,0.35,0.35,0.34,0.35,108000,0.35
2015-11-10,0.35,0.35,0.35,0.35,000,0.35
2015-11-09,0.35,0.35,0.35,0.35,000,0.35
2015-11-06,0.34,0.35,0.34,0.35,18000,0.35
2015-11-05,0.35,0.35,0.35,0.35,000,0.35
2015-11-04,0.35,0.35,0.35,0.35,32000,0.35
2015-11-03,0.335,0.335,0.335,0.335,230000,0.335
2015-11-02,0.34,0.34,0.34,0.34,22000,0.34
2015-10-30,0.34,0.34,0.34,0.34,123000,0.34
2015-10-29,0.345,0.345,0.34,0.34,165000,0.34
2015-10-28,0.345,0.345,0.345,0.345,80000,0.345
2015-10-27,0.345,0.345,0.345,0.345,000,0.345
2015-10-26,0.34,0.345,0.34,0.345,93000,0.345
2015-10-23,0.36,0.36,0.36,0.36,000,0.36
