Date,Open,High,Low,Close,Volume,Adj_Close
2015-04-01,12.945,12.945,12.945,12.945,000,12.945
2015-03-31,12.865,12.865,12.865,12.865,000,12.865
2015-03-30,12.805,12.805,12.805,12.805,000,12.805
2015-03-27,12.825,12.825,12.825,12.825,000,12.825
2015-03-26,12.84,12.84,12.84,12.84,000,12.84
2015-03-25,12.875,12.875,12.875,12.875,000,12.875
2015-03-24,12.845,12.845,12.845,12.845,000,12.845
2015-03-23,12.895,12.895,12.895,12.895,000,12.895
2015-03-20,12.91,12.91,12.91,12.91,000,12.91
2015-03-19,13.025,13.025,13.025,13.025,000,13.025
2015-03-18,12.98,12.98,12.98,12.98,000,12.98
2015-03-17,13.24,13.24,13.24,13.24,000,13.24
2015-03-16,13.32,13.32,13.32,13.32,000,13.32
2015-03-13,13.555,13.555,13.555,13.555,000,13.555
2015-03-12,13.415,13.415,13.415,13.415,000,13.415
2015-03-11,13.63,13.63,13.63,13.63,000,13.63
2015-03-10,13.605,13.605,13.605,13.605,000,13.605
2015-03-09,13.53,13.53,13.53,13.53,000,13.53
2015-03-06,14.475,14.475,14.475,14.475,000,14.475
2015-03-05,16.02,16.02,16.02,16.02,000,16.02
2015-03-04,15.385,15.385,15.385,15.385,000,15.385
2015-03-03,15.54,15.54,15.54,15.54,000,15.54
2015-03-02,15.515,15.515,15.515,15.515,000,15.515
2015-02-27,15.345,15.345,15.345,15.345,000,15.345
2015-02-26,15.31,15.31,15.31,15.31,000,15.31
2015-02-25,15.675,15.675,15.675,15.675,000,15.675
2015-02-24,15.515,15.515,15.515,15.515,000,15.515
2015-02-23,15.435,15.435,15.435,15.435,000,15.435
2015-02-20,15.45,15.45,15.45,15.45,000,15.45
2015-02-19,15.30,15.30,15.30,15.30,000,15.30
2015-02-18,15.365,15.365,15.365,15.365,000,15.365
2015-02-17,15.15,15.15,15.15,15.15,000,15.15
2015-02-16,15.07,15.07,15.07,15.07,000,15.07
2015-02-13,15.075,15.075,15.075,15.075,000,15.075
2015-02-12,15.195,15.195,15.195,15.195,000,15.195
2015-02-11,15.065,15.065,15.065,15.065,000,15.065
2015-02-10,14.98,14.98,14.98,14.98,000,14.98
2015-02-09,15.05,15.05,15.05,15.05,000,15.05
2015-02-06,14.925,14.925,14.925,14.925,000,14.925
2015-02-05,15.08,15.08,15.08,15.08,000,15.08
2015-02-04,15.185,15.185,15.185,15.185,000,15.185
2015-02-03,15.145,15.145,15.145,15.145,000,15.145
2015-02-02,14.94,14.94,14.94,14.94,000,14.94
2015-01-30,14.99,14.99,14.99,14.99,000,14.99
2015-01-29,14.99,14.99,14.99,14.99,000,14.99
2015-01-28,14.965,14.965,14.965,14.965,000,14.965
2015-01-27,15.18,15.18,15.18,15.18,000,15.18
2015-01-26,15.30,15.30,15.30,15.30,000,15.30
2015-01-23,15.31,15.31,15.31,15.31,000,15.31
2015-01-22,14.83,14.83,14.83,14.83,000,14.83
2015-01-21,14.975,14.975,14.975,14.975,000,14.975
2015-01-20,15.10,15.10,15.10,15.10,000,15.10
2015-01-19,15.095,15.095,15.095,15.095,000,15.095
2015-01-16,15.03,15.03,15.03,15.03,000,15.03
2015-01-15,14.93,14.93,14.93,14.93,000,14.93
2015-01-14,14.915,14.915,14.915,14.915,000,14.915
2015-01-13,14.45,14.45,14.45,14.45,000,14.45
2015-01-12,14.695,14.695,14.695,14.695,000,14.695
2015-01-09,15.04,15.04,15.04,15.04,000,15.04
2015-01-08,14.96,14.96,14.96,14.96,000,14.96
2015-01-07,15.175,15.175,15.175,15.175,000,15.175
2015-01-06,15.185,15.185,15.185,15.185,000,15.185
2015-01-05,15.125,15.125,15.125,15.125,000,15.125
2015-01-02,15.01,15.01,15.01,15.01,000,15.01
2015-01-01,14.835,14.835,14.835,14.835,000,14.835
2014-12-31,14.835,14.835,14.835,14.835,000,14.835
2014-12-30,14.835,14.835,14.835,14.835,000,14.835
2014-12-29,14.915,14.915,14.915,14.915,000,14.915
2014-12-26,14.99,14.99,14.99,14.99,000,14.99
2014-12-25,14.99,14.99,14.99,14.99,000,14.99
2014-12-24,14.99,14.99,14.99,14.99,000,14.99
2014-12-23,14.99,14.99,14.99,14.99,000,14.99
2014-12-22,14.90,14.90,14.90,14.90,000,14.90
2014-12-19,14.65,14.65,14.65,14.65,000,14.65
2014-12-18,14.44,14.44,14.44,14.44,000,14.44
2014-12-17,13.735,13.735,13.735,13.735,000,13.735
2014-12-16,14.065,14.065,14.065,14.065,000,14.065
2014-12-15,14.26,14.26,14.26,14.26,000,14.26
2014-12-12,14.26,14.26,14.26,14.26,000,14.26
2014-12-11,14.245,14.245,14.245,14.245,000,14.245
2014-12-10,14.56,14.56,14.56,14.56,000,14.56
2014-12-09,14.68,14.68,14.68,14.68,000,14.68
2014-12-08,15.02,15.02,15.02,15.02,000,15.02
2014-12-05,14.725,14.725,14.725,14.725,000,14.725
2014-12-04,15.15,15.15,15.15,15.15,000,15.15
2014-12-03,14.985,14.985,14.985,14.985,000,14.985
2014-12-02,14.60,14.60,14.60,14.60,000,14.60
2014-12-01,14.875,14.875,14.875,14.875,000,14.875
2014-11-28,15.14,15.14,15.14,15.14,000,15.14
2014-11-27,15.08,15.08,15.08,15.08,000,15.08
2014-11-26,15.23,15.23,15.23,15.23,000,15.23
2014-11-25,15.105,15.105,15.105,15.105,000,15.105
2014-11-24,15.25,15.25,15.25,15.25,000,15.25
2014-11-21,15.075,15.075,15.075,15.075,000,15.075
2014-11-20,15.015,15.015,15.015,15.015,000,15.015
2014-11-19,15.105,15.105,15.105,15.105,000,15.105
2014-11-18,15.095,15.095,15.095,15.095,000,15.095
2014-11-17,14.935,14.935,14.875,14.875,000,14.875
2014-11-14,14.97,14.97,14.97,14.97,000,14.97
2014-11-13,15.065,15.065,15.065,15.065,000,15.065
2014-11-12,15.03,15.03,15.03,15.03,000,15.03
2014-11-11,15.04,15.04,15.04,15.04,000,15.04
2014-11-10,15.005,15.355,15.005,15.355,000,15.355
2014-11-07,14.52,14.52,14.52,14.52,000,14.52
2014-11-06,14.40,14.40,14.40,14.40,000,14.40
2014-11-05,14.11,14.11,14.11,14.11,000,14.11
2014-11-04,14.015,14.015,14.015,14.015,000,14.015
2014-11-03,14.02,14.02,14.02,14.02,000,14.02
2014-10-31,13.66,13.66,13.66,13.66,000,13.66
2014-10-30,13.705,13.705,13.705,13.705,000,13.705
2014-10-29,13.62,13.62,13.62,13.62,000,13.62
2014-10-28,13.435,13.435,13.435,13.435,000,13.435
