Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,41.30,41.45,40.25,40.65,348000,40.65
2016-03-31,40.60,44.10,40.30,41.80,904000,41.80
2016-03-30,40.00,40.40,39.50,40.10,168100,40.10
2016-03-29,41.80,42.25,39.80,39.80,464000,39.80
2016-03-28,45.00,45.20,41.50,41.50,705000,41.50
2016-03-25,43.35,46.50,43.35,44.05,2454000,44.05
2016-03-24,39.00,42.90,39.00,42.90,1061000,42.90
2016-03-23,38.80,39.00,38.80,39.00,93000,39.00
2016-03-22,39.25,39.25,38.80,38.80,138000,38.80
2016-03-21,39.80,39.85,39.20,39.20,77000,39.20
2016-03-18,39.20,39.30,39.05,39.15,75000,39.15
2016-03-17,39.45,39.90,39.00,39.00,215000,39.00
2016-03-16,39.40,39.75,39.25,39.75,157000,39.75
2016-03-15,41.45,41.45,39.20,39.20,191000,39.20
2016-03-14,41.80,41.80,40.55,41.50,245000,41.50
2016-03-11,40.50,41.80,40.10,41.50,429000,41.50
2016-03-10,40.60,41.90,40.00,41.00,425000,41.00
2016-03-09,40.00,40.00,39.00,39.50,217000,39.50
2016-03-08,39.60,40.75,39.50,40.00,185100,40.00
2016-03-07,42.00,42.00,39.30,39.45,413000,39.45
2016-03-04,42.10,42.80,41.05,41.70,743000,41.70
2016-03-03,40.00,42.80,40.00,41.70,1084100,41.70
2016-03-02,41.10,42.00,39.55,39.95,730000,39.95
2016-03-01,41.40,42.80,41.10,42.00,1458000,42.00
2016-02-29,41.10,41.10,41.10,41.10,000,41.10
2016-02-26,41.10,41.10,41.00,41.10,1602000,41.10
2016-02-25,34.10,37.40,34.10,37.40,1045000,37.40
2016-02-24,34.05,34.05,32.90,34.00,571100,34.00
2016-02-23,32.80,33.80,32.80,33.80,279000,33.80
2016-02-22,32.20,32.85,32.20,32.35,77000,32.35
2016-02-19,32.70,32.80,32.10,32.10,100000,32.10
2016-02-18,33.00,33.60,32.55,32.70,106000,32.70
2016-02-17,33.20,33.30,32.60,32.80,90000,32.80
2016-02-16,32.30,33.60,32.30,33.25,200000,33.25
2016-02-15,31.45,31.85,31.40,31.85,67000,31.85
2016-02-12,32.15,32.15,32.15,32.15,000,32.15
2016-02-11,32.15,32.15,32.15,32.15,000,32.15
2016-02-10,32.15,32.15,32.15,32.15,000,32.15
2016-02-09,32.15,32.15,32.15,32.15,000,32.15
2016-02-08,32.15,32.15,32.15,32.15,000,32.15
2016-02-05,32.15,32.15,32.15,32.15,000,32.15
2016-02-04,32.15,32.15,32.15,32.15,000,32.15
2016-02-03,32.50,32.50,32.05,32.15,55000,32.15
2016-02-02,33.20,33.80,32.65,32.65,217000,32.65
2016-02-01,32.75,33.80,32.50,33.05,356000,33.05
2016-01-29,32.70,32.80,32.05,32.45,181000,32.45
2016-01-28,31.30,32.70,31.30,32.55,135000,32.55
2016-01-27,32.00,32.05,31.30,31.30,104000,31.30
2016-01-26,31.75,32.30,31.65,31.85,64000,31.85
2016-01-25,32.00,32.55,31.30,32.55,140000,32.55
2016-01-22,32.70,33.30,31.50,31.85,176000,31.85
2016-01-21,34.95,35.25,32.30,32.30,326000,32.30
2016-01-20,34.70,36.70,34.70,34.85,549000,34.85
2016-01-19,35.10,35.35,34.70,35.00,106100,35.00
2016-01-18,35.00,35.45,34.50,35.45,181000,35.45
2016-01-15,36.00,36.65,35.50,35.55,213000,35.55
2016-01-14,35.40,36.65,35.40,35.70,274000,35.70
2016-01-13,35.90,36.30,35.60,35.60,116000,35.60
2016-01-12,38.95,38.95,35.55,35.60,388000,35.60
2016-01-11,37.25,39.20,36.85,38.00,633100,38.00
2016-01-08,35.50,36.50,35.50,36.40,142000,36.40
2016-01-07,35.55,35.70,35.50,35.50,233100,35.50
2016-01-06,35.95,35.95,35.50,35.75,234000,35.75
2016-01-05,35.50,36.25,35.50,35.50,183100,35.50
2016-01-04,38.20,38.20,35.55,35.60,383600,35.60
2016-01-01,38.20,38.20,38.20,38.20,000,38.20
2015-12-31,37.90,38.60,37.55,38.20,134000,38.20
2015-12-30,37.85,39.00,37.75,37.75,244000,37.75
2015-12-29,39.70,39.70,37.25,37.75,500000,37.75
2015-12-28,43.50,43.75,40.00,40.00,726600,40.00
2015-12-25,46.35,46.35,43.40,43.40,817100,43.40
2015-12-24,46.00,46.95,44.10,46.50,2893000,46.50
2015-12-23,42.75,43.30,42.70,42.70,155000,42.70
2015-12-22,42.80,43.35,42.75,42.75,111000,42.75
2015-12-21,43.00,43.60,42.75,42.95,128000,42.95
2015-12-18,43.25,43.35,42.75,42.75,131000,42.75
2015-12-17,43.45,44.15,43.15,43.25,113000,43.25
2015-12-16,42.75,44.20,42.75,43.25,184000,43.25
2015-12-15,42.80,43.35,42.75,42.75,83000,42.75
2015-12-14,42.75,43.30,42.75,42.80,127000,42.80
2015-12-11,42.95,43.50,42.90,42.90,140000,42.90
2015-12-10,42.90,43.85,42.90,42.95,137000,42.95
2015-12-09,43.40,44.90,42.90,42.90,485000,42.90
2015-12-08,43.45,43.50,42.90,43.00,241200,43.00
2015-12-07,43.60,43.75,43.30,43.45,158000,43.45
2015-12-04,43.40,43.70,43.30,43.30,91000,43.30
2015-12-03,44.35,44.60,43.30,43.30,279000,43.30
2015-12-02,45.10,46.30,44.35,44.35,479200,44.35
2015-12-01,44.60,44.95,44.20,44.25,118000,44.25
2015-11-30,44.25,44.40,43.65,44.00,115000,44.00
2015-11-27,44.80,45.00,43.65,45.00,273000,45.00
2015-11-26,44.45,45.95,44.40,44.70,334100,44.70
2015-11-25,43.85,45.95,43.85,44.10,445000,44.10
2015-11-24,48.50,49.00,43.85,43.85,768000,43.85
2015-11-23,50.60,51.50,48.70,50.40,344100,50.40
2015-11-20,48.60,50.80,48.50,50.40,644000,50.40
2015-11-19,48.90,49.80,48.40,48.50,311200,48.50
2015-11-18,50.00,50.00,48.10,48.25,581000,48.25
2015-11-17,49.45,52.00,49.45,50.20,685000,50.20
2015-11-16,49.65,51.30,48.10,48.40,769000,48.40
2015-11-13,55.00,56.00,52.00,52.30,902000,52.30
2015-11-12,55.10,56.80,54.60,56.30,562000,56.30
2015-11-11,60.00,60.00,55.00,55.00,816000,55.00
2015-11-10,55.10,61.20,54.60,58.90,1195000,58.90
2015-11-09,58.00,59.10,55.00,55.90,465300,55.90
2015-11-06,60.20,60.50,57.00,58.00,537300,58.00
2015-11-05,60.90,61.20,59.30,59.70,481000,59.70
2015-11-04,59.00,61.00,58.70,59.50,836100,59.50
2015-11-03,61.90,64.80,58.50,58.50,1644000,58.50
2015-11-02,54.50,60.50,53.70,60.50,953000,60.50
2015-10-30,56.80,57.50,53.90,55.00,683100,55.00
2015-10-29,59.90,60.50,54.80,56.80,792100,56.80
2015-10-28,61.50,62.50,59.00,59.10,641000,59.10
2015-10-27,61.80,63.70,61.00,61.00,621100,61.00
2015-10-26,62.00,64.80,60.40,61.80,935000,61.80
2015-10-23,66.00,66.20,61.10,61.10,1490200,61.10
2015-10-22,57.60,64.70,57.40,64.00,1905100,64.00
2015-10-21,53.30,58.90,53.30,58.90,1788100,58.90
2015-10-20,58.90,58.90,58.90,58.90,432100,58.90
