Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,21.883,21.883,21.883,21.883,000,21.883
2016-03-31,21.102,21.102,21.102,21.102,000,21.102
2016-03-30,21.102,21.102,21.102,21.102,000,21.102
2016-03-29,21.671,21.671,21.671,21.671,000,21.671
2016-03-28,21.863,21.863,21.863,21.863,000,21.863
2016-03-25,21.863,21.863,21.863,21.863,000,21.863
2016-03-24,21.863,21.863,21.863,21.863,000,21.863
2016-03-23,21.838,21.838,21.838,21.838,000,21.838
2016-03-22,21.099,21.099,21.099,21.099,000,21.099
2016-03-21,20.454,20.454,20.454,20.454,000,20.454
2016-03-18,21.397,21.397,21.397,21.397,000,21.397
2016-03-17,21.249,21.249,21.249,21.249,000,21.249
2016-03-16,21.004,21.004,21.004,21.004,000,21.004
2016-03-15,20.246,20.246,20.246,20.246,000,20.246
2016-03-14,20.437,20.437,20.437,20.437,000,20.437
2016-03-11,19.757,20.176,19.757,20.176,100,20.176
2016-03-10,19.652,19.652,19.652,19.652,000,19.652
2016-03-09,20.186,20.186,20.186,20.186,000,20.186
2016-03-08,20.671,20.671,20.671,20.671,000,20.671
2016-03-07,20.796,20.796,20.796,20.796,000,20.796
2016-03-04,20.804,20.804,20.804,20.804,000,20.804
2016-03-03,22.00,22.00,22.00,22.00,000,22.00
2016-03-02,21.503,21.503,21.503,21.503,000,21.503
2016-03-01,21.659,21.659,21.659,21.659,000,21.659
2016-02-29,21.083,21.083,21.083,21.083,000,21.083
2016-02-26,21.098,21.098,21.098,21.098,000,21.098
2016-02-25,20.261,20.261,20.261,20.261,000,20.261
2016-02-24,20.263,20.263,20.263,20.263,000,20.263
2016-02-23,20.234,20.234,20.234,20.234,000,20.234
2016-02-22,19.578,19.578,19.578,19.578,000,19.578
2016-02-19,19.578,19.578,19.578,19.578,000,19.578
2016-02-18,17.819,17.819,17.819,17.819,000,17.819
2016-02-17,17.819,17.819,17.819,17.819,000,17.819
2016-02-16,17.819,17.819,17.819,17.819,000,17.819
2016-02-15,17.749,17.749,17.749,17.749,000,17.749
2016-02-12,17.855,17.855,17.855,17.855,000,17.855
2016-02-11,17.569,17.569,17.569,17.569,000,17.569
2016-02-10,16.602,16.602,16.602,16.602,000,16.602
2016-02-09,18.271,18.271,18.271,18.271,000,18.271
2016-02-08,18.271,18.271,18.271,18.271,000,18.271
2016-02-05,21.242,22.30,18.271,18.271,200,18.271
2016-02-04,21.184,21.184,21.184,21.184,000,21.184
2016-02-03,19.353,19.353,19.353,19.353,000,19.353
2016-02-02,19.223,19.223,19.223,19.223,000,19.223
2016-02-01,18.943,19.325,18.943,19.325,000,19.325
2016-01-29,18.541,19.545,18.541,19.545,000,19.545
2016-01-28,20.80,20.80,19.00,19.00,400,19.00
2016-01-27,21.871,21.871,21.871,21.871,000,21.871
2016-01-26,21.569,21.569,21.484,21.484,000,21.484
2016-01-25,22.53,22.937,22.53,22.937,000,22.937
2016-01-22,22.154,23.05,22.154,23.05,000,23.05
2016-01-21,20.957,22.006,20.957,22.006,000,22.006
2016-01-20,21.719,21.764,21.719,21.764,000,21.764
2016-01-19,23.379,23.379,23.379,23.379,000,23.379
2016-01-18,23.364,23.364,23.364,23.364,000,23.364
2016-01-15,24.436,24.436,22.457,22.457,800,22.457
2016-01-14,24.828,24.853,24.237,24.30,500,24.30
2016-01-13,24.557,24.557,23.957,23.957,100,23.957
2016-01-12,24.632,24.632,24.632,24.632,000,24.632
2016-01-11,25.50,25.50,25.189,25.189,200,25.189
2016-01-08,24.519,26.30,24.519,25.107,100,25.107
2016-01-07,25.20,25.20,24.30,24.30,200,24.30
2016-01-06,24.703,24.703,24.703,24.703,000,24.703
2016-01-05,25.557,25.77,25.557,25.744,200,25.744
2016-01-04,28.301,28.301,25.993,26.477,1000,26.477
2016-01-01,28.60,28.60,28.60,28.60,000,28.60
2015-12-31,28.60,28.60,28.60,28.60,000,28.60
2015-12-30,28.738,28.738,28.60,28.60,700,28.60
2015-12-29,26.591,28.542,26.563,28.542,300,28.542
2015-12-28,27.001,27.001,25.996,26.263,1200,26.263
2015-12-25,27.801,27.801,27.801,27.801,000,27.801
2015-12-24,27.801,27.801,27.801,27.801,000,27.801
2015-12-23,27.801,27.801,27.801,27.801,100,27.801
2015-12-22,28.001,28.75,27.60,27.60,2200,27.60
2015-12-21,25.688,26.981,25.688,26.981,300,26.981
2015-12-18,26.053,26.166,26.028,26.028,200,26.028
2015-12-17,24.173,25.553,24.173,25.553,200,25.553
2015-12-16,24.459,24.618,24.432,24.618,700,24.618
2015-12-15,23.547,24.567,23.547,24.567,400,24.567
