Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,0.032,0.032,0.032,0.032,2224000,0.032
2016-03-31,0.032,0.032,0.032,0.032,1625000,0.032
2016-03-30,0.032,0.032,0.032,0.032,2847900,0.032
2016-03-29,0.032,0.032,0.032,0.032,2287000,0.032
2016-03-28,0.032,0.032,0.032,0.032,1366000,0.032
2016-03-25,0.032,0.032,0.032,0.032,000,0.032
2016-03-24,0.032,0.032,0.032,0.032,334000,0.032
2016-03-23,0.032,0.033,0.032,0.033,4397000,0.033
2016-03-22,0.032,0.033,0.032,0.032,4065000,0.032
2016-03-21,0.032,0.032,0.032,0.032,6023900,0.032
2016-03-18,0.032,0.032,0.032,0.032,5740000,0.032
2016-03-17,0.032,0.032,0.032,0.032,8694000,0.032
2016-03-16,0.032,0.032,0.032,0.032,9624300,0.032
2016-03-15,0.032,0.036,0.032,0.032,53690800,0.032
2016-03-14,0.032,0.032,0.031,0.031,716000,0.031
2016-03-11,0.031,0.032,0.031,0.032,60100,0.032
2016-03-10,0.031,0.032,0.031,0.031,343400,0.031
2016-03-09,0.031,0.032,0.031,0.032,4547200,0.032
2016-03-08,0.031,0.031,0.031,0.031,843000,0.031
2016-03-07,0.031,0.031,0.031,0.031,140000,0.031
2016-03-04,0.031,0.031,0.031,0.031,9625000,0.031
2016-03-03,0.031,0.031,0.031,0.031,2350000,0.031
2016-03-02,0.031,0.032,0.031,0.031,4591600,0.031
2016-03-01,0.031,0.031,0.031,0.031,3925000,0.031
2016-02-29,0.03,0.031,0.03,0.031,9423700,0.031
2016-02-26,0.03,0.03,0.03,0.03,1812500,0.03
2016-02-25,0.031,0.031,0.03,0.03,9934000,0.03
2016-02-24,0.021,0.021,0.021,0.021,000,0.021
2016-02-23,0.02,0.021,0.02,0.021,874300,0.021
2016-02-22,0.019,0.021,0.019,0.02,1090300,0.02
2016-02-19,0.019,0.019,0.019,0.019,289000,0.019
2016-02-18,0.019,0.019,0.019,0.019,320000,0.019
2016-02-17,0.019,0.019,0.019,0.019,300000,0.019
2016-02-16,0.019,0.019,0.019,0.019,40000,0.019
2016-02-15,0.019,0.019,0.019,0.019,450000,0.019
