Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,8.184,8.388,8.184,8.388,000,8.388
2016-03-31,8.263,8.263,8.20,8.20,000,8.20
2016-03-30,8.392,8.392,8.286,8.286,000,8.286
2016-03-29,8.246,8.25,7.786,7.786,000,7.786
2016-03-28,8.694,8.694,8.694,8.694,000,8.694
2016-03-25,8.694,8.694,8.694,8.694,000,8.694
2016-03-24,8.608,8.694,8.608,8.694,000,8.694
2016-03-23,9.763,9.817,9.763,9.817,000,9.817
2016-03-22,10.047,10.263,10.047,10.263,000,10.263
2016-03-21,9.386,9.386,9.386,9.386,000,9.386
2016-03-18,8.696,8.823,8.696,8.823,000,8.823
2016-03-17,9.331,9.331,8.986,8.986,000,8.986
2016-03-16,12.788,12.788,12.788,12.788,000,12.788
2016-03-15,19.25,19.25,17.00,17.00,400,17.00
2016-03-14,7.453,17.836,7.453,17.836,000,17.836
2016-03-11,7.083,7.083,7.042,7.042,000,7.042
2016-03-10,7.258,7.258,7.228,7.228,000,7.228
2016-03-09,7.198,7.203,7.172,7.172,000,7.172
2016-03-08,7.332,7.40,7.328,7.328,000,7.328
2016-03-07,5.762,6.258,5.762,6.258,000,6.258
2016-03-04,5.239,5.383,5.239,5.383,000,5.383
2016-03-03,5.442,5.442,5.338,5.338,000,5.338
2016-03-02,5.385,5.399,5.385,5.399,000,5.399
2016-03-01,5.437,5.455,5.437,5.455,000,5.455
2016-02-29,5.437,5.437,5.263,5.263,000,5.263
2016-02-26,5.295,5.295,5.269,5.269,000,5.269
2016-02-25,5.38,5.38,5.275,5.275,000,5.275
2016-02-24,5.324,5.485,5.324,5.324,000,5.324
2016-02-23,5.16,5.16,4.781,4.781,400,4.781
2016-02-22,5.331,5.331,5.321,5.321,000,5.321
2016-02-19,5.70,5.70,5.37,5.491,000,5.491
2016-02-18,5.651,5.651,5.64,5.64,000,5.64
2016-02-17,5.443,5.698,5.443,5.698,000,5.698
2016-02-16,5.73,5.878,5.577,5.878,000,5.878
2016-02-15,5.706,5.846,5.706,5.774,400,5.774
2016-02-12,5.162,5.648,5.162,5.648,000,5.648
2016-02-11,4.357,4.357,4.31,4.31,000,4.31
2016-02-10,4.682,4.789,4.682,4.789,000,4.789
2016-02-09,5.145,5.145,5.07,5.07,000,5.07
2016-02-08,5.465,5.465,5.279,5.279,000,5.279
2016-02-05,5.562,5.626,5.562,5.626,000,5.626
2016-02-04,5.383,5.703,5.383,5.703,000,5.703
2016-02-03,5.678,5.678,5.678,5.678,000,5.678
2016-02-02,5.773,5.773,5.649,5.649,000,5.649
