Date,Open,High,Low,Close,Volume,Adj_Close
2016-01-07,0.938,0.938,0.938,0.938,000,0.938
2016-01-06,1.017,1.017,1.017,1.017,000,1.017
2016-01-05,1.03,1.03,1.03,1.03,000,1.03
2016-01-01,1.101,1.101,1.101,1.101,000,1.101
2015-12-31,1.101,1.101,1.101,1.101,000,1.101
2015-12-30,1.029,1.101,1.029,1.101,5000,1.101
2015-12-29,1.042,1.042,1.042,1.042,000,1.042
2015-12-28,1.044,1.044,1.044,1.044,000,1.044
2015-12-25,1.08,1.08,1.08,1.08,000,1.08
2015-12-24,1.08,1.08,1.08,1.08,000,1.08
2015-12-23,1.042,1.08,1.042,1.08,3100,1.08
2015-12-22,1.016,1.016,1.016,1.016,000,1.016
2015-12-21,1.026,1.026,1.026,1.026,000,1.026
2015-12-18,1.044,1.044,1.044,1.044,000,1.044
2015-12-16,1.047,1.047,1.047,1.047,000,1.047
2015-12-15,1.018,1.018,1.018,1.018,000,1.018
2015-12-14,1.033,1.033,1.033,1.033,000,1.033
2015-12-11,1.062,1.062,1.062,1.062,000,1.062
2015-12-09,1.071,1.071,1.071,1.071,000,1.071
2015-12-08,1.042,1.042,1.042,1.042,000,1.042
2015-12-04,1.101,1.101,1.101,1.101,000,1.101
2015-12-03,1.151,1.151,1.151,1.151,000,1.151
2015-12-02,1.186,1.186,1.186,1.186,000,1.186
2015-12-01,1.164,1.164,1.164,1.164,000,1.164
2015-11-30,1.153,1.153,1.153,1.153,000,1.153
2015-11-27,1.178,1.178,1.17,1.17,5500,1.17
2015-11-26,1.18,1.18,1.18,1.18,000,1.18
2015-11-25,1.18,1.18,1.18,1.18,000,1.18
2015-11-24,1.234,1.234,1.234,1.234,000,1.234
2015-11-23,1.234,1.234,1.234,1.234,000,1.234
2015-11-20,1.216,1.216,1.216,1.216,000,1.216
2015-11-19,1.252,1.252,1.252,1.252,000,1.252
2015-11-18,1.245,1.245,1.245,1.245,000,1.245
2015-11-16,1.232,1.232,1.232,1.232,000,1.232
2015-11-13,1.238,1.238,1.238,1.238,000,1.238
2015-11-12,1.29,1.29,1.29,1.29,000,1.29
2015-11-11,1.267,1.267,1.267,1.267,000,1.267
2015-11-10,1.272,1.272,1.272,1.272,000,1.272
2015-11-09,1.325,1.325,1.325,1.325,000,1.325
2015-11-06,1.361,1.361,1.361,1.361,000,1.361
2015-11-05,1.314,1.314,1.314,1.314,000,1.314
2015-11-04,1.34,1.34,1.34,1.34,000,1.34
2015-11-03,1.30,1.30,1.30,1.30,000,1.30
2015-11-02,1.277,1.277,1.277,1.277,000,1.277
2015-10-30,1.231,1.231,1.231,1.231,000,1.231
2015-10-29,1.241,1.241,1.241,1.241,000,1.241
2015-10-28,1.213,1.213,1.213,1.213,000,1.213
2015-10-27,1.248,1.248,1.248,1.248,000,1.248
2015-10-26,1.279,1.279,1.279,1.279,000,1.279
2015-10-23,1.238,1.238,1.238,1.238,000,1.238
2015-10-22,1.198,1.198,1.198,1.198,000,1.198
2015-10-21,1.208,1.208,1.208,1.208,000,1.208
2015-10-20,1.208,1.208,1.208,1.208,000,1.208
2015-10-19,1.225,1.225,1.225,1.225,000,1.225
2015-10-16,1.265,1.265,1.265,1.265,000,1.265
2015-10-15,1.282,1.282,1.282,1.282,000,1.282
2015-10-14,1.229,1.229,1.229,1.229,000,1.229
2015-10-13,1.254,1.254,1.254,1.254,000,1.254
2015-10-12,1.223,1.223,1.223,1.223,000,1.223
2015-10-09,1.267,1.267,1.267,1.267,000,1.267
2015-10-08,1.236,1.236,1.236,1.236,000,1.236
2015-10-07,1.188,1.188,1.188,1.188,000,1.188
2015-10-06,1.16,1.16,1.16,1.16,000,1.16
2015-10-05,1.095,1.095,1.095,1.095,000,1.095
2015-10-02,1.069,1.069,1.069,1.069,000,1.069
2015-10-01,0.99,0.99,0.99,0.99,000,0.99
2015-09-30,0.97,0.97,0.97,0.97,000,0.97
2015-09-29,0.996,0.996,0.996,0.996,000,0.996
2015-09-28,1.052,1.052,1.052,1.052,000,1.052
2015-09-25,1.068,1.068,1.068,1.068,000,1.068
2015-09-24,1.093,1.093,1.093,1.093,000,1.093
2015-09-23,1.088,1.088,1.088,1.088,000,1.088
2015-09-22,1.167,1.167,1.167,1.167,000,1.167
2015-09-21,1.214,1.214,1.214,1.214,000,1.214
2015-09-18,1.231,1.231,1.231,1.231,000,1.231
2015-09-17,1.229,1.229,1.229,1.229,000,1.229
2015-09-16,1.215,1.215,1.215,1.215,000,1.215
2015-09-15,1.155,1.155,1.155,1.155,000,1.155
2015-09-14,1.172,1.172,1.172,1.172,000,1.172
2015-09-11,1.214,1.214,1.214,1.214,000,1.214
2015-09-10,1.277,1.277,1.277,1.277,000,1.277
2015-09-09,1.34,1.34,1.34,1.34,000,1.34
2015-09-08,1.269,1.269,1.269,1.269,000,1.269
2015-09-07,1.259,1.259,1.259,1.259,000,1.259
2015-09-04,1.302,1.302,1.302,1.302,000,1.302
2015-09-03,1.30,1.30,1.30,1.30,000,1.30
2015-09-02,1.297,1.297,1.297,1.297,000,1.297
2015-09-01,1.318,1.318,1.318,1.318,000,1.318
2015-08-31,1.362,1.362,1.362,1.362,000,1.362
2015-08-28,1.479,1.479,1.479,1.479,000,1.479
2015-08-27,1.427,1.427,1.427,1.427,000,1.427
2015-08-26,1.355,1.355,1.355,1.355,000,1.355
2015-08-25,1.428,1.428,1.428,1.428,000,1.428
2015-08-24,1.423,1.423,1.423,1.423,000,1.423
2015-08-21,1.522,1.522,1.522,1.522,000,1.522
2015-08-20,1.607,1.607,1.607,1.607,000,1.607
2015-08-19,1.68,1.68,1.68,1.68,000,1.68
2015-08-18,1.75,1.75,1.75,1.75,000,1.75
2015-08-17,1.765,1.765,1.765,1.765,000,1.765
2015-08-14,1.766,1.766,1.766,1.766,000,1.766
2015-08-13,1.719,1.719,1.719,1.719,000,1.719
2015-08-12,1.802,1.802,1.802,1.802,000,1.802
2015-08-11,1.895,1.895,1.895,1.895,000,1.895
2015-08-10,1.887,1.887,1.887,1.887,000,1.887
2015-08-07,1.795,1.795,1.795,1.795,000,1.795
2015-08-06,1.786,1.786,1.786,1.786,000,1.786
2015-08-05,1.791,1.791,1.791,1.791,000,1.791
2015-08-04,1.765,1.765,1.765,1.765,000,1.765
2015-08-03,1.765,1.765,1.765,1.765,000,1.765
2015-07-31,1.875,1.875,1.875,1.875,000,1.875
2015-07-30,1.801,1.801,1.801,1.801,000,1.801
2015-07-29,1.774,1.774,1.774,1.774,000,1.774
2015-07-28,1.72,1.72,1.72,1.72,000,1.72
2015-07-27,1.79,1.79,1.79,1.79,000,1.79
2015-07-24,1.861,1.861,1.861,1.861,000,1.861
2015-07-23,1.805,1.805,1.805,1.805,000,1.805
2015-07-22,1.733,1.733,1.733,1.733,000,1.733
2015-07-21,1.793,1.793,1.793,1.793,000,1.793
2015-07-20,1.859,1.859,1.859,1.859,000,1.859
2015-07-17,1.816,1.816,1.816,1.816,000,1.816
2015-07-16,1.768,1.768,1.768,1.768,000,1.768
2015-07-15,1.775,1.775,1.775,1.775,000,1.775
2015-07-14,1.845,1.845,1.845,1.845,000,1.845
2015-07-13,1.796,1.796,1.796,1.796,000,1.796
2015-07-10,1.736,1.736,1.736,1.736,000,1.736
2015-07-09,1.651,1.651,1.651,1.651,000,1.651
2015-07-08,1.627,1.627,1.627,1.627,000,1.627
2015-07-07,1.625,1.625,1.625,1.625,000,1.625
2015-07-06,1.596,1.596,1.596,1.596,000,1.596
2015-07-03,1.666,1.666,1.666,1.666,000,1.666
2015-07-02,1.684,1.684,1.684,1.684,000,1.684
2015-07-01,1.50,1.50,1.50,1.50,000,1.50
2015-06-30,1.442,1.442,1.442,1.442,000,1.442
2015-06-29,1.482,1.482,1.482,1.482,000,1.482
2015-06-26,1.548,1.548,1.548,1.548,000,1.548
2015-06-25,1.55,1.55,1.55,1.55,000,1.55
2015-06-24,1.587,1.587,1.587,1.587,000,1.587
2015-06-23,1.559,1.559,1.559,1.559,000,1.559
2015-06-22,1.546,1.546,1.546,1.546,000,1.546
2015-06-19,1.589,1.589,1.589,1.589,000,1.589
2015-06-18,1.585,1.585,1.585,1.585,000,1.585
2015-06-17,1.584,1.584,1.584,1.584,000,1.584
2015-06-16,1.587,1.587,1.587,1.587,000,1.587
2015-06-15,1.591,1.591,1.591,1.591,000,1.591
2015-06-12,1.623,1.623,1.623,1.623,000,1.623
2015-06-11,1.587,1.587,1.587,1.587,000,1.587
2015-06-10,1.59,1.59,1.59,1.59,000,1.59
2015-06-09,1.588,1.588,1.588,1.588,000,1.588
2015-06-08,1.698,1.698,1.698,1.698,000,1.698
2015-06-05,1.693,1.693,1.693,1.693,000,1.693
2015-06-04,1.68,1.68,1.68,1.68,000,1.68
2015-06-03,1.552,1.552,1.552,1.552,000,1.552
2015-06-02,1.65,1.65,1.65,1.65,000,1.65
2015-06-01,1.66,1.66,1.66,1.66,000,1.66
2015-05-29,1.71,1.71,1.71,1.71,000,1.71
2015-05-28,1.739,1.739,1.739,1.739,000,1.739
2015-05-27,1.783,1.783,1.783,1.783,000,1.783
2015-05-26,1.803,1.803,1.803,1.803,000,1.803
2015-05-25,1.871,1.871,1.871,1.871,100,1.871
2015-05-22,1.763,1.763,1.763,1.763,000,1.763
2015-05-21,1.758,1.758,1.758,1.758,000,1.758
2015-05-20,1.747,1.747,1.747,1.747,000,1.747
2015-05-19,1.708,1.708,1.708,1.708,000,1.708
2015-05-18,1.705,1.705,1.705,1.705,000,1.705
2015-05-15,1.719,1.719,1.719,1.719,000,1.719
2015-05-14,1.693,1.693,1.693,1.693,000,1.693
2015-05-13,1.772,1.772,1.772,1.772,000,1.772
2015-05-12,1.788,1.788,1.788,1.788,000,1.788
2015-05-11,1.788,1.788,1.788,1.788,000,1.788
