Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,5.14,5.15,4.99,5.10,112900,5.02031
2016-03-31,5.27,5.29,5.11,5.14,115000,5.05969
2016-03-30,5.20,5.29,5.11,5.21,119200,5.12859
2016-03-29,5.00,5.20,5.00,5.18,288000,5.09906
2016-03-28,4.90,5.05,4.88,5.04,120300,4.96125
2016-03-25,4.91,4.91,4.91,4.91,000,4.83328
2016-03-24,5.01,5.01,4.86,4.91,112800,4.83328
2016-03-23,4.99,5.08,4.88,4.96,128300,4.8825
2016-03-22,4.93,5.05,4.86,5.05,180800,4.97109
2016-03-21,4.70,4.95,4.70,4.92,224200,4.84313
2016-03-18,4.80,4.94,4.68,4.77,3302400,4.69547
2016-03-17,4.73,4.87,4.66,4.79,348700,4.71516
2016-03-16,4.80,4.83,4.68,4.71,272100,4.63641
2016-03-15,4.96,4.96,4.76,4.82,212400,4.74469
2016-03-14,5.02,5.02,4.83,4.96,274200,4.8825
2016-03-11,5.03,5.12,4.92,4.95,227300,4.87266
2016-03-10,5.17,5.18,5.00,5.01,281400,4.93172
2016-03-09,5.18,5.20,5.09,5.13,107800,5.04984
2016-03-08,5.30,5.31,5.05,5.12,138500,5.04
2016-03-07,5.14,5.30,5.14,5.29,152000,5.20734
2016-03-04,4.93,5.13,4.93,5.09,152200,5.01047
2016-03-03,4.99,5.01,4.88,4.92,173300,4.84313
2016-03-02,4.83,4.98,4.82,4.96,154000,4.8825
2016-03-01,4.84,4.99,4.78,4.81,181000,4.73484
2016-02-29,4.86,4.89,4.71,4.80,146900,4.725
2016-02-26,4.91,5.00,4.85,4.86,124100,4.78406
2016-02-25,4.68,4.82,4.61,4.81,81900,4.73484
2016-02-24,4.62,4.68,4.52,4.67,157500,4.59703
2016-02-23,4.61,4.80,4.61,4.67,99100,4.59703
2016-02-22,4.83,4.90,4.66,4.67,264600,4.59703
2016-02-19,4.81,4.89,4.69,4.79,79200,4.71516
2016-02-18,4.93,4.99,4.81,4.84,236200,4.76438
2016-02-17,4.70,4.95,4.69,4.92,199100,4.84313
2016-02-16,4.59,4.73,4.54,4.69,152000,4.61672
2016-02-15,4.53,4.53,4.53,4.53,000,4.45922
2016-02-12,4.45,4.56,4.37,4.53,200700,4.45922
2016-02-11,4.35,4.42,4.20,4.32,245700,4.2525
2016-02-10,4.57,4.58,4.33,4.43,138100,4.36078
