Date,Open,High,Low,Close,Volume,Adj_Close
2016-02-26,21.22,22.14,21.22,21.65,8300,21.65
2016-02-25,21.00,21.00,20.69,20.70,2400,20.70
2016-02-24,20.72,20.84,20.50,20.84,2500,20.84
2016-02-23,20.36,20.74,20.36,20.72,2300,20.72
2016-02-22,20.72,20.73,20.21,20.31,11400,20.31
2016-02-19,20.03,20.89,20.03,20.82,7000,20.82
2016-02-18,20.20,20.25,20.00,20.00,3300,20.00
2016-02-17,20.12,20.27,20.11,20.20,1400,20.20
2016-02-16,20.34,20.34,20.06,20.06,3100,20.06
2016-02-15,20.00,20.39,19.85,20.34,2700,20.34
2016-02-12,19.80,20.03,19.79,19.79,2700,19.79
2016-02-11,20.00,20.14,19.75,20.00,4800,20.00
2016-02-10,19.95,20.50,19.90,20.00,6200,20.00
2016-02-09,19.90,20.12,19.50,19.60,7300,19.60
2016-02-08,21.19,21.21,19.11,20.10,14900,20.10
2016-02-05,21.74,21.99,21.14,21.14,2600,21.14
2016-02-04,22.17,22.17,21.71,21.84,1600,21.84
2016-02-03,21.97,22.21,21.50,22.21,2400,22.21
2016-02-02,22.40,22.40,22.00,22.00,2300,22.00
2016-02-01,22.49,22.49,22.07,22.10,4100,22.10
2016-01-29,22.00,22.50,22.00,22.40,2300,22.40
2016-01-28,22.38,22.39,22.09,22.11,3200,22.11
2016-01-27,20.50,22.31,20.50,22.20,8200,22.20
2016-01-26,21.11,21.11,20.21,20.50,4300,20.50
2016-01-25,21.00,21.00,20.79,20.80,2500,20.80
2016-01-22,20.20,21.55,20.20,21.00,6000,21.00
2016-01-21,20.00,20.29,19.90,20.20,6800,20.20
2016-01-20,21.00,21.00,19.64,20.02,7600,20.02
2016-01-19,21.56,21.56,20.71,20.98,11300,20.98
2016-01-18,21.60,21.60,21.30,21.30,9800,21.30
2016-01-15,22.66,22.66,21.70,21.70,10600,21.70
2016-01-14,22.70,22.75,22.11,22.45,7100,22.45
2016-01-13,23.64,23.65,22.94,22.94,4700,22.94
2016-01-12,22.80,23.77,22.67,23.50,9300,23.50
2016-01-11,23.00,23.05,22.80,22.95,7300,22.95
2016-01-08,23.10,23.43,22.81,23.09,6800,23.09
2016-01-07,23.29,23.41,21.70,23.10,21100,23.10
2016-01-06,24.21,24.40,23.16,23.30,20700,23.30
2016-01-05,23.70,23.97,23.70,23.87,6400,23.87
2016-01-04,24.40,24.40,23.83,23.84,4500,23.84
2016-01-01,24.00,24.00,24.00,24.00,000,24.00
2015-12-31,24.00,24.00,24.00,24.00,000,24.00
2015-12-30,23.80,24.02,23.79,24.00,1300,24.00
2015-12-29,23.99,23.99,23.69,23.78,1400,23.78
2015-12-28,23.61,23.96,23.57,23.66,1600,23.66
2015-12-25,23.81,23.81,23.81,23.81,000,23.81
2015-12-24,23.85,23.85,23.80,23.81,200,23.81
2015-12-23,23.61,23.90,23.61,23.80,1000,23.80
2015-12-22,23.56,23.98,23.55,23.59,700,23.59
2015-12-21,23.53,23.99,23.50,23.56,2900,23.56
2015-12-18,24.20,24.20,23.46,23.56,10500,23.56
2015-12-17,24.40,24.40,24.20,24.24,5400,24.24
2015-12-16,24.40,24.40,24.26,24.26,1600,24.26
2015-12-15,23.50,24.40,23.50,24.11,2200,24.11
2015-12-14,23.70,23.83,23.28,23.50,1300,23.50
2015-12-11,23.21,23.70,23.20,23.60,3000,23.60
2015-12-10,24.03,24.40,22.68,23.30,7300,23.30
2015-12-09,24.51,24.60,24.00,24.15,9500,24.15
2015-12-08,24.51,24.98,24.51,24.51,12500,24.51
2015-12-07,25.00,25.12,24.52,24.55,3800,24.55
2015-12-04,25.22,25.50,24.75,25.00,11900,25.00
2015-12-03,25.79,26.20,25.15,25.35,9000,25.35
2015-12-02,25.34,26.00,25.34,25.59,8900,25.59
2015-12-01,25.00,25.96,24.62,25.36,7400,25.36
2015-11-30,24.50,24.96,24.35,24.89,7100,24.89
2015-11-27,24.71,24.90,24.34,24.52,25800,24.52
2015-11-26,24.02,24.65,24.00,24.25,16900,24.25
2015-11-25,24.37,24.40,23.91,24.00,4300,24.00
2015-11-24,24.00,24.88,23.85,24.42,11300,24.42
2015-11-23,22.95,24.00,22.80,24.00,13200,24.00
2015-11-20,22.90,23.00,22.56,22.62,3700,22.62
2015-11-19,22.70,22.85,22.47,22.57,2400,22.57
2015-11-18,22.06,22.90,22.06,22.50,3400,22.50
2015-11-17,22.00,22.85,21.76,22.80,7500,22.80
2015-11-16,21.60,22.00,21.50,22.00,5400,22.00
2015-11-13,22.18,22.68,21.87,22.44,3300,22.44
2015-11-12,22.60,22.60,21.72,22.19,3500,22.19
2015-11-11,22.14,22.60,21.58,22.50,8500,22.50
2015-11-10,21.85,22.25,21.71,22.24,2300,22.24
2015-11-09,22.20,22.23,21.82,21.94,2700,21.94
2015-11-06,21.68,22.25,21.50,22.22,5400,22.22
2015-11-05,21.70,21.70,21.40,21.62,1300,21.62
2015-11-04,21.60,21.70,21.30,21.45,12400,21.45
2015-11-03,21.69,21.70,21.30,21.52,14500,21.52
2015-11-02,21.84,21.84,21.45,21.50,5300,21.50
2015-10-30,21.60,21.80,21.60,21.65,5800,21.65
2015-10-29,21.95,22.25,21.60,21.65,7600,21.65
2015-10-28,21.50,21.90,21.49,21.90,3600,21.90
2015-10-27,20.97,21.55,20.90,21.49,4700,21.49
2015-10-26,21.00,21.20,20.91,21.00,1900,21.00
2015-10-23,20.87,21.20,20.80,21.00,5200,21.00
2015-10-22,20.88,21.20,20.65,21.00,24300,21.00
2015-10-21,21.20,21.20,20.85,20.85,7800,20.85
2015-10-20,21.20,21.20,21.04,21.20,13100,21.20
2015-10-19,21.15,21.20,21.00,21.20,12500,21.20
2015-10-16,20.89,21.10,20.67,21.10,7800,21.10
2015-10-15,20.61,20.95,20.45,20.81,7900,20.81
2015-10-14,20.73,20.99,20.00,20.05,8700,20.05
2015-10-13,19.59,20.31,19.59,20.30,13100,20.30
2015-10-12,19.03,19.35,19.03,19.08,1000,19.08
2015-10-09,18.79,19.35,18.79,19.01,4900,19.01
2015-10-08,19.00,19.37,18.79,18.90,5500,18.90
2015-10-07,19.00,19.09,18.79,18.90,5500,18.90
2015-10-06,19.27,19.30,18.87,19.01,6000,19.01
2015-10-05,18.74,19.30,18.68,19.00,5700,19.00
2015-10-02,19.00,19.18,18.68,18.68,3600,18.68
2015-10-01,18.66,19.02,18.66,19.00,1800,19.00
2015-09-30,18.96,18.97,18.62,18.63,1400,18.63
2015-09-29,18.70,19.06,18.50,18.98,2800,18.98
2015-09-28,19.53,19.55,18.65,18.88,2500,18.88
2015-09-25,18.50,19.45,18.45,18.95,2100,18.95
2015-09-24,18.98,19.06,18.53,18.56,4300,18.56
2015-09-23,18.71,18.96,18.52,18.52,2300,18.52
2015-09-22,19.02,19.09,18.65,18.65,4900,18.65
2015-09-21,19.00,19.10,18.95,19.00,7800,19.00
2015-09-18,19.50,19.50,19.12,19.12,3000,19.12
2015-09-17,19.50,19.55,19.22,19.26,3700,19.26
2015-09-16,19.40,19.50,19.21,19.49,2800,19.49
2015-09-15,19.56,19.56,19.38,19.44,1200,19.44
2015-09-14,19.97,19.97,19.03,19.54,21000,19.54
2015-09-11,20.17,20.17,19.78,19.78,200,19.78
2015-09-10,19.90,20.20,19.80,19.80,2800,19.80
2015-09-09,19.87,19.88,19.48,19.88,3300,19.88
2015-09-08,19.88,19.88,19.72,19.73,400,19.73
2015-09-07,19.71,19.99,19.68,19.79,1700,19.79
2015-09-04,19.96,20.05,19.70,19.80,1400,19.80
2015-09-03,20.02,20.13,19.84,19.86,1800,19.86
2015-09-02,19.66,20.04,19.66,19.99,1000,19.99
2015-09-01,19.79,20.19,19.63,19.63,3200,19.63
2015-08-31,20.20,20.20,19.80,20.10,4500,20.10
2015-08-28,19.99,20.08,19.90,20.08,800,20.08
2015-08-27,20.10,20.18,19.59,19.97,2600,19.97
2015-08-26,19.88,20.20,19.50,19.60,7300,19.60
2015-08-25,18.35,19.99,18.35,19.60,8800,19.60
2015-08-24,20.00,20.00,18.15,18.22,22900,18.22
2015-08-21,19.82,20.17,19.80,19.80,24400,19.80
2015-08-20,20.40,20.40,19.92,19.93,6000,19.93
2015-08-19,20.41,20.42,20.19,20.20,5100,20.20
2015-08-18,20.18,20.42,20.18,20.40,1100,20.40
