Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,0.02,0.02,0.02,0.02,15000,0.02
2016-03-31,0.023,0.0248,0.023,0.0248,80000,0.0248
2016-03-30,0.021,0.0229,0.021,0.0229,21200,0.0229
2016-03-29,0.023,0.023,0.023,0.023,000,0.023
2016-03-28,0.021,0.023,0.021,0.023,92000,0.023
2016-03-25,0.021,0.021,0.021,0.021,000,0.021
2016-03-24,0.021,0.021,0.021,0.021,000,0.021
2016-03-23,0.021,0.021,0.021,0.021,000,0.021
2016-03-22,0.0205,0.021,0.0205,0.021,447500,0.021
2016-03-21,0.0205,0.0205,0.0205,0.0205,000,0.0205
2016-03-18,0.0205,0.0234,0.0205,0.0205,31100,0.0205
2016-03-17,0.02,0.02194,0.02,0.0215,164200,0.0215
2016-03-16,0.02,0.02,0.02,0.02,000,0.02
2016-03-15,0.02,0.02,0.02,0.02,000,0.02
2016-03-14,0.018,0.02065,0.018,0.02,530300,0.02
2016-03-11,0.02,0.02,0.02,0.02,000,0.02
2016-03-10,0.02,0.02,0.02,0.02,2900,0.02
2016-03-09,0.0199,0.0199,0.0199,0.0199,000,0.0199
2016-03-08,0.0199,0.0199,0.0199,0.0199,000,0.0199
2016-03-07,0.0199,0.0199,0.0199,0.0199,000,0.0199
2016-03-04,0.0163,0.0199,0.0163,0.0199,51900,0.0199
2016-03-03,0.0212,0.0212,0.0212,0.0212,000,0.0212
2016-03-02,0.0212,0.0212,0.0212,0.0212,000,0.0212
2016-03-01,0.0212,0.0212,0.0212,0.0212,000,0.0212
2016-02-29,0.0212,0.0212,0.0212,0.0212,000,0.0212
2016-02-26,0.0212,0.0212,0.0212,0.0212,000,0.0212
2016-02-25,0.0212,0.0212,0.0212,0.0212,000,0.0212
2016-02-24,0.0212,0.0212,0.0212,0.0212,000,0.0212
2016-02-23,0.0212,0.0212,0.0212,0.0212,000,0.0212
2016-02-22,0.0212,0.0212,0.0192,0.0212,134000,0.0212
2016-02-19,0.01926,0.01926,0.01926,0.01926,000,0.01926
2016-02-18,0.01926,0.01926,0.01926,0.01926,000,0.01926
2016-02-17,0.01926,0.01926,0.01926,0.01926,000,0.01926
2016-02-16,0.0197,0.0197,0.01882,0.01926,40000,0.01926
2016-02-15,0.01882,0.01882,0.01882,0.01882,000,0.01882
2016-02-12,0.01882,0.01882,0.01882,0.01882,000,0.01882
2016-02-11,0.01882,0.01882,0.01882,0.01882,000,0.01882
2016-02-10,0.01882,0.01882,0.01882,0.01882,2000,0.01882
2016-02-09,0.01869,0.01869,0.01869,0.01869,000,0.01869
2016-02-08,0.01869,0.01869,0.01869,0.01869,000,0.01869
2016-02-05,0.01869,0.01869,0.01869,0.01869,000,0.01869
2016-02-04,0.01869,0.01869,0.01869,0.01869,000,0.01869
2016-02-03,0.01869,0.01869,0.01869,0.01869,1500,0.01869
2016-02-02,0.0198,0.0198,0.0198,0.0198,000,0.0198
2016-02-01,0.0198,0.0198,0.0198,0.0198,000,0.0198
2016-01-29,0.0198,0.0198,0.0198,0.0198,000,0.0198
2016-01-28,0.0198,0.0198,0.0198,0.0198,000,0.0198
2016-01-27,0.0198,0.0198,0.0198,0.0198,000,0.0198
