Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,0.002,0.0024,0.002,0.0022,2429600,0.0022
2016-03-31,0.0018,0.0024,0.0018,0.0021,9932800,0.0021
2016-03-30,0.002,0.002,0.002,0.002,84000,0.002
2016-03-29,0.0019,0.0021,0.0018,0.002,3916300,0.002
2016-03-28,0.0019,0.0024,0.0019,0.0021,11067100,0.0021
2016-03-25,0.0019,0.0019,0.0019,0.0019,000,0.0019
2016-03-24,0.0021,0.0023,0.0019,0.0019,11093800,0.0019
2016-03-23,0.0022,0.0028,0.0022,0.0023,11987900,0.0023
2016-03-22,0.0025,0.0034,0.002,0.0023,7168600,0.0023
2016-03-21,0.0021,0.003,0.002,0.0025,19077300,0.0025
2016-03-18,0.0026,0.0026,0.002,0.0021,2010900,0.0021
2016-03-17,0.0021,0.003,0.0021,0.0027,9698700,0.0027
2016-03-16,0.0024,0.0024,0.0019,0.0021,8264100,0.0021
2016-03-15,0.0034,0.0037,0.0024,0.0024,6728400,0.0024
2016-03-14,0.0029,0.0037,0.0029,0.0034,853000,0.0034
2016-03-11,0.0033,0.0037,0.0032,0.0032,245000,0.0032
2016-03-10,0.0036,0.0045,0.0029,0.0029,1409600,0.0029
2016-03-09,0.003,0.0045,0.0029,0.004,5597700,0.004
2016-03-08,0.003,0.00304,0.0027,0.003,617500,0.003
2016-03-07,0.0037,0.0037,0.0026,0.0037,1412800,0.0037
2016-03-04,0.0041,0.0057,0.0037,0.0037,13765900,0.0037
2016-03-03,0.0027,0.0041,0.0025,0.0037,2686700,0.0037
2016-03-02,0.002,0.0027,0.002,0.0027,4745900,0.0027
2016-03-01,0.0021,0.0024,0.0019,0.0021,835000,0.0021
2016-02-29,0.0019,0.0024,0.0019,0.0021,1410000,0.0021
2016-02-26,0.0018,0.00202,0.0016,0.0019,1209100,0.0019
2016-02-25,0.0016,0.0017,0.0016,0.0017,648000,0.0017
2016-02-24,0.0017,0.0018,0.0016,0.0018,1381600,0.0018
2016-02-23,0.0016,0.0021,0.0015,0.00185,2311200,0.00185
2016-02-22,0.0018,0.0018,0.0016,0.0016,1355000,0.0016
2016-02-19,0.0014,0.0018,0.0012,0.0016,2452000,0.0016
2016-02-18,0.002,0.002,0.0013,0.0015,5605400,0.0015
2016-02-17,0.0016,0.0028,0.0016,0.002,22398500,0.002
2016-02-16,0.0014,0.002,0.0013,0.0016,6136700,0.0016
2016-02-15,0.0015,0.0015,0.0015,0.0015,000,0.0015
2016-02-12,0.0018,0.0018,0.0015,0.0015,1326600,0.0015
2016-02-11,0.0017,0.00175,0.0016,0.00175,202000,0.00175
2016-02-10,0.0019,0.0019,0.0017,0.0017,340600,0.0017
2016-02-09,0.002,0.002,0.0019,0.0019,142600,0.0019
2016-02-08,0.0019,0.0021,0.0017,0.0017,1007100,0.0017
2016-02-05,0.0018,0.0022,0.0018,0.0022,545200,0.0022
2016-02-04,0.0023,0.0023,0.0018,0.0022,319000,0.0022
2016-02-03,0.0024,0.0024,0.0018,0.0021,2144900,0.0021
2016-02-02,0.002,0.0024,0.0019,0.002,1624200,0.002
2016-02-01,0.0023,0.0023,0.0023,0.0023,000,0.0023
2016-01-29,0.0018,0.0024,0.0017,0.0023,1126600,0.0023
2016-01-28,0.0019,0.0019,0.0016,0.0018,2034200,0.0018
2016-01-27,0.0017,0.0019,0.0016,0.0019,162800,0.0019
2016-01-26,0.0018,0.0024,0.0017,0.0022,895100,0.0022
2016-01-25,0.0018,0.0018,0.0018,0.0018,000,0.0018
2016-01-22,0.0018,0.0019,0.0013,0.0018,3806300,0.0018
2016-01-21,0.00195,0.0021,0.0016,0.0016,1181900,0.0016
2016-01-20,0.0019,0.0022,0.0012,0.0022,3124300,0.0022
2016-01-19,0.002,0.0022,0.0019,0.0019,4166600,0.0019
2016-01-18,0.0023,0.0023,0.0023,0.0023,000,0.0023
2016-01-15,0.0022,0.0024,0.0021,0.0023,533300,0.0023
2016-01-14,0.0025,0.0025,0.0025,0.0025,000,0.0025
2016-01-13,0.0022,0.0027,0.0022,0.0025,1062100,0.0025
2016-01-12,0.002,0.0027,0.002,0.0022,2023100,0.0022
2016-01-11,0.0023,0.0023,0.0019,0.0023,756500,0.0023
2016-01-08,0.0023,0.0023,0.0021,0.0021,95600,0.0021
2016-01-07,0.0023,0.0025,0.0021,0.0021,622300,0.0021
2016-01-06,0.0023,0.0028,0.0023,0.0025,2865700,0.0025
2016-01-05,0.0022,0.0025,0.0018,0.0023,7112700,0.0023
2016-01-04,0.0022,0.0028,0.0022,0.0028,915000,0.0028
2016-01-01,0.0022,0.0022,0.0022,0.0022,000,0.0022
2015-12-31,0.0025,0.0029,0.002,0.0022,3004200,0.0022
2015-12-30,0.0025,0.0025,0.0025,0.0025,427500,0.0025
2015-12-29,0.0027,0.0029,0.0021,0.00255,990500,0.00255
2015-12-28,0.0025,0.003,0.0021,0.0025,5529900,0.0025
2015-12-25,0.0025,0.0025,0.0025,0.0025,000,0.0025
2015-12-24,0.0025,0.0028,0.0018,0.0025,5856200,0.0025
2015-12-23,0.002,0.0029,0.002,0.0029,1238300,0.0029
2015-12-22,0.003,0.0033,0.0023,0.0026,6764300,0.0026
2015-12-21,0.0036,0.004,0.0034,0.0034,1868500,0.0034
2015-12-18,0.0036,0.0036,0.00289,0.0034,214500,0.0034
2015-12-17,0.0035,0.0035,0.0028,0.0034,822700,0.0034
2015-12-16,0.0028,0.00351,0.0028,0.0034,2598000,0.0034
2015-12-15,0.0035,0.0036,0.003,0.0033,932300,0.0033
2015-12-14,0.0026,0.003,0.0025,0.003,998400,0.003
2015-12-11,0.0033,0.0036,0.0026,0.0026,468200,0.0026
2015-12-10,0.00308,0.0036,0.0024,0.0033,2908100,0.0033
2015-12-09,0.0027,0.0029,0.0025,0.0029,286000,0.0029
2015-12-08,0.003,0.003,0.0025,0.0027,1257100,0.0027
2015-12-07,0.0026,0.0039,0.0026,0.0028,838600,0.0028
2015-12-04,0.0032,0.0032,0.0026,0.0026,406300,0.0026
2015-12-03,0.0034,0.0034,0.0026,0.0032,530000,0.0032
2015-12-02,0.0033,0.0039,0.0025,0.0034,5042800,0.0034
2015-12-01,0.0036,0.0038,0.0026,0.0033,889000,0.0033
2015-11-30,0.004,0.004,0.0033,0.0036,226000,0.0036
2015-11-27,0.003,0.004,0.003,0.004,124500,0.004
2015-11-26,0.0034,0.0034,0.0034,0.0034,000,0.0034
2015-11-25,0.0032,0.0034,0.0031,0.0034,766500,0.0034
2015-11-24,0.0034,0.0038,0.0031,0.0032,2278100,0.0032
2015-11-23,0.0053,0.0053,0.0033,0.0038,4100300,0.0038
2015-11-20,0.0064,0.0065,0.004,0.0056,25532700,0.0056
2015-11-19,0.0059,0.0073,0.0042,0.00545,3639000,0.00545
2015-11-18,0.004,0.0043,0.004,0.004,347500,0.004
2015-11-17,0.00406,0.0046,0.004,0.004,393500,0.004
2015-11-16,0.00555,0.0058,0.0045,0.0046,614000,0.0046
2015-11-13,0.0053,0.0069,0.005,0.0051,776500,0.0051
2015-11-12,0.00545,0.00545,0.005,0.005,215600,0.005
2015-11-11,0.0065,0.0069,0.0055,0.0069,886500,0.0069
2015-11-10,0.0085,0.0085,0.004,0.0075,2549400,0.0075
2015-11-09,0.0083,0.0095,0.008,0.008,541700,0.008
2015-11-06,0.008,0.0084,0.0073,0.0079,1186200,0.0079
2015-11-05,0.007,0.0088,0.0065,0.008,3541900,0.008
2015-11-04,0.006,0.008,0.006,0.0075,4274900,0.0075
2015-11-03,0.0048,0.0065,0.0044,0.006,2067300,0.006
2015-11-02,0.008,0.0085,0.0045,0.0055,5140900,0.0055
2015-10-30,0.0046,0.0069,0.0037,0.0065,4823200,0.0065
2015-10-29,0.0048,0.01,0.004,0.005,5526700,0.005
2015-10-28,0.0045,0.0049,0.004,0.0049,208900,0.0049
2015-10-27,0.0044,0.0045,0.0033,0.0042,391900,0.0042
2015-10-26,0.0035,0.0045,0.0031,0.0038,2206300,0.0038
2015-10-23,0.0041,0.0047,0.0034,0.004,1110300,0.004
2015-10-22,0.0046,0.00522,0.0032,0.00522,2246500,0.00522
2015-10-21,0.0059,0.0059,0.004,0.005,897200,0.005
2015-10-20,0.008,0.008,0.004,0.0041,2232600,0.0041
2015-10-19,0.0064,0.0089,0.006,0.006,991300,0.006
2015-10-16,0.0096,0.01,0.006,0.009,596400,0.009
2015-10-15,0.0115,0.0145,0.0096,0.0098,1959000,0.0098
2015-10-14,0.015,0.0164,0.0115,0.0115,1808400,0.0115
2015-10-13,0.01525,0.0225,0.01,0.011,4210400,0.011
2015-10-12,0.031,0.039,0.0136,0.01535,2797700,0.01535
2015-10-09,0.0125,0.015,0.01,0.0138,93600,0.0138
2015-10-08,0.011,0.015,0.011,0.015,115800,0.015
2015-10-07,0.004,0.0499,0.004,0.017,1077000,0.017
2015-10-06,0.004,0.0067,0.003,0.003,519000,0.003
2015-10-05,0.0051,0.0055,0.005,0.0054,100000,0.0054
2015-10-02,0.006,0.0093,0.0051,0.0051,350300,0.0051
2015-10-01,0.0189,0.0189,0.008,0.015,110500,0.015
