Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,5.589,5.589,5.589,5.589,000,5.459
2016-03-31,5.59,5.59,5.59,5.59,100,5.46
2016-03-30,5.618,5.618,5.618,5.618,000,5.487
2016-03-29,5.651,5.651,5.651,5.651,000,5.519
2016-03-28,5.593,5.593,5.593,5.593,000,5.463
2016-03-25,5.593,5.593,5.593,5.593,000,5.463
2016-03-24,5.641,5.641,5.593,5.593,000,5.463
2016-03-23,6.246,6.246,5.939,5.939,000,5.801
2016-03-22,6.278,6.278,6.236,6.236,000,6.091
2016-03-21,6.251,6.332,6.251,6.332,000,6.185
2016-03-18,6.319,6.319,6.319,6.319,000,6.172
2016-03-17,6.20,6.20,6.20,6.20,000,6.056
2016-03-16,6.109,6.20,6.109,6.20,400,6.056
2016-03-15,6.106,6.106,6.106,6.106,000,5.964
2016-03-14,6.407,6.485,6.407,6.485,1300,6.334
2016-03-11,6.23,6.23,6.23,6.23,000,6.085
2016-03-10,6.004,6.374,6.004,6.161,3100,6.018
2016-03-09,5.871,6.015,5.871,6.015,1900,5.875
2016-03-08,6.151,6.151,6.151,6.151,000,6.008
2016-03-07,6.50,6.50,6.23,6.23,200,6.085
2016-03-04,5.719,6.008,5.719,6.008,000,5.868
2016-03-03,5.505,5.72,5.505,5.547,100,5.418
2016-03-02,5.365,5.365,5.236,5.236,000,5.114
2016-03-01,4.882,4.882,4.85,4.85,000,4.737
2016-02-29,4.626,4.626,4.501,4.501,000,4.396
2016-02-26,4.379,4.379,4.379,4.379,000,4.277
2016-02-25,4.27,4.305,4.21,4.305,500,4.205
2016-02-24,4.422,4.422,4.291,4.291,000,4.191
2016-02-23,4.554,4.606,4.554,4.606,000,4.499
2016-02-22,4.571,4.571,4.571,4.571,000,4.465
2016-02-19,4.666,4.666,4.666,4.666,000,4.557
2016-02-18,4.855,4.923,4.855,4.923,1000,4.808
2016-02-17,4.416,4.416,4.416,4.416,000,4.313
2016-02-16,4.964,4.964,4.964,4.964,000,4.848
2016-02-15,4.726,4.726,4.726,4.726,000,4.616
2016-02-12,4.446,4.446,4.446,4.446,000,4.343
2016-02-11,4.50,4.50,4.277,4.293,1500,4.193
2016-02-10,4.643,4.643,4.643,4.643,000,4.535
2016-02-09,4.98,4.98,4.98,4.98,000,4.864
2016-02-08,5.261,5.261,5.261,5.261,000,5.139
2016-02-05,5.365,5.512,5.365,5.464,100,5.337
2016-02-04,5.144,5.144,5.144,5.144,000,5.024
2016-02-03,5.00,5.134,4.939,5.134,800,5.014
2016-02-02,5.321,5.321,5.321,5.321,000,5.197
2016-02-01,5.418,5.418,5.379,5.379,000,5.254
2016-01-29,5.348,5.386,5.348,5.386,000,5.261
2016-01-28,5.065,5.212,5.065,5.212,800,5.091
2016-01-27,4.955,4.985,4.955,4.985,000,4.869
2016-01-26,4.73,4.73,4.73,4.73,000,4.62
2016-01-25,5.286,5.286,5.151,5.151,400,5.031
2016-01-22,5.314,5.349,5.314,5.349,000,5.224
2016-01-21,4.55,4.55,4.55,4.55,000,4.444
2016-01-20,4.657,4.657,4.571,4.571,000,4.465
2016-01-19,5.258,5.258,5.258,5.258,000,5.136
2016-01-18,5.084,5.084,5.084,5.084,000,4.966
2016-01-15,5.223,5.223,5.223,5.223,000,5.101
2016-01-14,4.915,4.915,4.915,4.915,000,4.801
2016-01-13,4.922,4.922,4.922,4.922,000,4.807
2016-01-12,4.828,4.985,4.828,4.985,000,4.869
2016-01-11,5.076,5.076,5.037,5.037,100,4.92
2016-01-08,5.30,5.303,5.30,5.30,300,5.177
2016-01-07,5.37,5.37,5.37,5.37,000,5.245
2016-01-06,5.934,5.934,5.75,5.75,1000,5.616
2016-01-05,5.809,5.951,5.809,5.951,1000,5.812
2016-01-04,5.75,5.75,5.75,5.75,000,5.616
2016-01-01,6.00,6.00,6.00,6.00,000,5.86
2015-12-31,6.00,6.00,6.00,6.00,000,5.86
2015-12-30,6.00,6.05,6.00,6.00,2200,5.86
2015-12-29,5.961,5.961,5.961,5.961,000,5.822
2015-12-28,5.966,6.031,5.966,6.031,400,5.891
2015-12-25,6.072,6.072,6.072,6.072,000,5.931
2015-12-24,6.072,6.072,6.072,6.072,000,5.931
2015-12-23,5.838,6.072,5.838,6.072,100,5.931
2015-12-22,5.353,5.573,5.353,5.573,300,5.443
2015-12-21,5.358,5.358,5.358,5.358,000,5.233
2015-12-18,5.30,5.30,5.30,5.30,000,5.177
2015-12-17,5.497,5.497,5.497,5.497,000,5.369
2015-12-16,5.326,5.326,5.326,5.326,000,5.202
2015-12-15,5.332,5.332,5.332,5.332,000,5.208
2015-12-14,5.328,5.328,5.328,5.328,000,5.204
2015-12-11,5.599,5.599,5.599,5.599,000,5.469
2015-12-10,5.498,5.498,5.498,5.498,000,5.37
2015-12-09,5.398,5.398,5.398,5.398,000,5.272
2015-12-08,5.363,5.363,5.363,5.363,000,5.238
