Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,0.26,0.26,0.25,0.25,10100,0.25
2016-03-31,0.28,0.28,0.28,0.28,000,0.28
2016-03-30,0.28,0.28,0.28,0.28,000,0.28
2016-03-29,0.28,0.28,0.28,0.28,2700,0.28
2016-03-28,0.25,0.30,0.25,0.25,9400,0.25
2016-03-24,0.24,0.24,0.24,0.24,000,0.24
2016-03-23,0.24,0.24,0.24,0.24,000,0.24
2016-03-22,0.24,0.24,0.24,0.24,000,0.24
2016-03-21,0.25,0.25,0.24,0.24,4000,0.24
2016-03-18,0.25,0.25,0.25,0.25,200,0.25
2016-03-17,0.27,0.27,0.27,0.27,000,0.27
2016-03-16,0.27,0.27,0.27,0.27,000,0.27
2016-03-15,0.27,0.27,0.27,0.27,000,0.27
2016-03-14,0.27,0.27,0.27,0.27,000,0.27
2016-03-11,0.27,0.27,0.27,0.27,000,0.27
2016-03-10,0.27,0.27,0.27,0.27,700,0.27
2016-03-09,0.25,0.25,0.25,0.25,12500,0.25
2016-03-08,0.27,0.27,0.27,0.27,15800,0.27
2016-03-07,0.25,0.25,0.25,0.25,000,0.25
2016-03-04,0.25,0.25,0.25,0.25,12500,0.25
2016-03-03,0.25,0.25,0.25,0.25,000,0.25
2016-03-02,0.25,0.25,0.25,0.25,000,0.25
2016-03-01,0.25,0.25,0.25,0.25,100,0.25
2016-02-29,0.21,0.21,0.21,0.21,000,0.21
2016-02-26,0.21,0.21,0.21,0.21,000,0.21
2016-02-25,0.21,0.21,0.21,0.21,000,0.21
2016-02-24,0.21,0.21,0.21,0.21,000,0.21
2016-02-23,0.21,0.21,0.21,0.21,000,0.21
2016-02-22,0.21,0.21,0.21,0.21,800,0.21
2016-02-19,0.22,0.22,0.22,0.22,000,0.22
2016-02-18,0.22,0.22,0.22,0.22,000,0.22
2016-02-17,0.22,0.22,0.22,0.22,4900,0.22
2016-02-16,0.21,0.21,0.21,0.21,400,0.21
2016-02-12,0.21,0.21,0.21,0.21,000,0.21
2016-02-11,0.21,0.21,0.21,0.21,000,0.21
