Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,4.75,4.93,4.57,4.76,7651800,4.76
2016-03-31,4.70,4.84,4.59,4.81,8905500,4.81
2016-03-30,4.62,4.80,4.62,4.70,7544300,4.70
2016-03-29,4.59,4.71,4.43,4.63,6524400,4.63
2016-03-28,4.43,4.67,4.43,4.64,8683100,4.64
2016-03-24,4.32,4.34,4.00,4.28,6088300,4.28
2016-03-23,4.55,4.72,4.32,4.38,7814400,4.38
2016-03-22,4.65,4.72,4.50,4.53,7292700,4.53
2016-03-21,4.80,4.97,4.58,4.73,14011600,4.73
2016-03-18,4.38,4.85,4.38,4.79,16622300,4.79
2016-03-17,4.05,4.46,4.01,4.40,7555300,4.40
2016-03-16,3.97,4.15,3.77,4.12,5453100,4.12
2016-03-15,4.32,4.39,3.94,4.02,4726000,4.02
2016-03-14,4.25,4.45,4.18,4.38,5159800,4.38
2016-03-11,4.28,4.50,4.13,4.20,7072800,4.20
2016-03-10,4.01,4.25,3.91,4.22,6651400,4.22
2016-03-09,4.03,4.13,3.92,3.96,5115000,3.96
2016-03-08,4.12,4.16,3.88,3.96,5539200,3.96
2016-03-07,4.08,4.32,4.07,4.23,5812500,4.23
2016-03-04,4.07,4.44,3.99,4.16,11722700,4.16
2016-03-03,3.73,4.09,3.73,4.05,11940600,4.05
2016-03-02,3.70,3.79,3.59,3.75,7603900,3.75
2016-03-01,3.80,3.82,3.65,3.73,5541900,3.73
2016-02-29,3.74,3.88,3.69,3.81,5764300,3.81
2016-02-26,3.75,3.85,3.60,3.73,6650900,3.73
2016-02-25,3.74,3.89,3.63,3.74,4734400,3.74
2016-02-24,3.64,3.80,3.50,3.76,4972500,3.76
2016-02-23,3.65,3.88,3.65,3.73,5023800,3.73
2016-02-22,3.50,3.75,3.50,3.73,5603700,3.73
2016-02-19,3.67,3.72,3.47,3.52,7749700,3.52
2016-02-18,3.88,3.90,3.53,3.86,13656100,3.86
2016-02-17,3.38,3.94,3.36,3.92,12241800,3.92
2016-02-16,3.25,3.48,3.07,3.37,7125400,3.37
2016-02-12,2.76,3.26,2.75,3.17,10538700,3.17
2016-02-11,2.92,3.06,2.61,2.63,12382900,2.63
2016-02-10,3.40,3.50,3.24,3.25,8641400,3.25
2016-02-09,3.20,3.50,3.10,3.43,7902200,3.43
2016-02-08,3.10,3.32,3.03,3.31,8442500,3.31
2016-02-05,3.35,3.43,3.19,3.23,5174400,3.23
2016-02-04,3.00,3.36,3.00,3.33,5893600,3.33
2016-02-03,3.03,3.08,2.82,3.04,9688900,3.04
2016-02-02,3.16,3.16,2.96,3.01,6409900,3.01
2016-02-01,3.34,3.42,3.14,3.20,10719500,3.20
2016-01-29,2.95,3.40,2.94,3.39,15866900,3.39
2016-01-28,2.86,3.06,2.86,2.93,7929600,2.93
2016-01-27,2.71,3.03,2.69,2.83,8970300,2.83
2016-01-26,2.62,2.90,2.62,2.78,11456300,2.78
2016-01-25,2.59,2.70,2.52,2.61,8293300,2.61
2016-01-22,2.73,2.83,2.49,2.59,15055800,2.59
2016-01-21,2.50,2.79,2.32,2.62,19125600,2.62
2016-01-20,2.30,2.54,2.21,2.43,16493600,2.43
2016-01-19,2.59,2.59,2.34,2.38,13200300,2.38
2016-01-15,2.58,2.58,2.44,2.50,7802200,2.50
2016-01-14,2.53,2.71,2.46,2.68,8142900,2.68
2016-01-13,2.54,2.62,2.47,2.51,6215500,2.51
2016-01-12,2.76,2.79,2.35,2.51,14499600,2.51
2016-01-11,2.79,2.81,2.60,2.64,6184200,2.64
2016-01-08,3.10,3.23,2.78,2.79,9021400,2.79
2016-01-07,3.21,3.32,2.76,3.00,22675500,3.00
2016-01-06,3.59,3.66,3.42,3.43,10838600,3.43
2016-01-05,4.06,4.10,3.65,3.66,11530400,3.66
2016-01-04,4.05,4.13,3.93,4.06,10417800,4.06
2015-12-31,4.03,4.18,3.99,4.05,6280300,4.05
2015-12-30,4.15,4.22,3.97,4.08,4224200,4.08
2015-12-29,4.16,4.28,3.98,4.25,5722400,4.25
2015-12-28,4.12,4.24,4.05,4.11,4331500,4.11
2015-12-24,4.22,4.30,4.11,4.15,2487800,4.15
2015-12-23,4.01,4.31,4.01,4.26,8530500,4.26
2015-12-22,3.95,4.07,3.86,4.02,8742200,4.02
2015-12-21,3.86,4.06,3.69,4.00,9966700,4.00
2015-12-18,4.08,4.10,3.79,3.87,20010400,3.87
2015-12-17,4.70,4.78,4.02,4.03,18864100,4.03
2015-12-16,4.00,4.12,3.87,4.09,7107200,4.09
2015-12-15,3.91,4.03,3.85,3.94,7173100,3.94
2015-12-14,4.00,4.10,3.76,3.89,7869600,3.89
2015-12-11,4.24,4.24,3.91,4.00,9602500,4.00
2015-12-10,4.22,4.41,4.20,4.28,8341100,4.28
2015-12-09,4.09,4.29,4.04,4.23,7342000,4.23
2015-12-08,4.45,4.50,4.00,4.13,13111100,4.13
2015-12-07,4.14,4.51,4.14,4.50,15874100,4.50
2015-12-04,4.45,4.52,4.08,4.22,27038100,4.22
2015-12-03,3.76,4.17,3.48,3.99,25369500,3.99
2015-12-02,3.45,4.10,3.42,3.73,24845100,3.73
2015-12-01,3.41,3.63,3.36,3.49,5482900,3.49
2015-11-30,3.45,3.58,3.33,3.45,8989600,3.45
2015-11-27,3.37,3.51,3.34,3.45,3105800,3.45
2015-11-25,3.42,3.46,3.25,3.33,6953000,3.33
2015-11-24,3.09,3.65,3.09,3.34,23103500,3.34
2015-11-23,2.70,2.88,2.62,2.85,7111000,2.85
2015-11-20,2.70,2.76,2.67,2.72,3840400,2.72
2015-11-19,2.62,2.74,2.60,2.66,6170900,2.66
2015-11-18,2.98,3.02,2.53,2.64,11094600,2.64
2015-11-17,2.66,2.66,2.51,2.57,9375500,2.57
2015-11-16,2.55,2.72,2.52,2.58,15453000,2.58
2015-11-13,2.77,2.79,2.41,2.50,26419600,2.50
2015-11-12,3.12,3.13,2.66,2.66,22065200,2.66
2015-11-11,3.19,3.19,3.01,3.09,7059600,3.03
2015-11-10,3.05,3.19,2.96,3.16,9888400,3.098641
2015-11-09,3.20,3.20,3.00,3.05,12892500,2.990777
2015-11-06,3.10,3.23,3.04,3.19,9836200,3.128058
2015-11-05,3.38,3.39,3.03,3.14,24917000,3.079029
2015-11-04,3.94,3.97,3.40,3.45,24954700,3.38301
2015-11-03,4.16,4.54,4.15,4.31,11523500,4.226311
2015-11-02,4.03,4.18,3.99,4.15,6816300,4.069418
2015-10-30,3.84,4.05,3.82,4.03,7396800,3.951748
2015-10-29,3.81,3.94,3.76,3.86,5344000,3.785048
2015-10-28,3.51,3.93,3.48,3.86,8485500,3.785048
2015-10-27,3.56,3.58,3.25,3.46,12282300,3.392816
2015-10-26,3.77,3.78,3.51,3.57,7422400,3.50068
2015-10-23,3.73,3.85,3.68,3.76,5211300,3.68699
2015-10-22,3.77,3.81,3.65,3.69,8074100,3.61835
2015-10-21,3.85,3.86,3.68,3.70,3515500,3.628155
2015-10-20,3.80,3.97,3.77,3.79,4472200,3.716408
2015-10-19,3.75,3.88,3.68,3.78,5087500,3.706602
2015-10-16,4.06,4.06,3.67,3.72,8485900,3.647767
2015-10-15,3.88,4.08,3.83,4.06,6495600,3.981165
2015-10-14,3.88,3.91,3.76,3.90,5850400,3.824272
2015-10-13,3.73,3.99,3.58,3.90,4712500,3.824272
2015-10-12,4.04,4.17,3.71,3.83,8152100,3.755631
2015-10-09,4.37,4.38,4.08,4.14,8331900,4.059612
2015-10-08,3.84,4.41,3.81,4.33,10984300,4.245922
2015-10-07,3.72,4.04,3.64,3.80,14488500,3.726214
2015-10-06,3.82,3.84,3.52,3.64,12052300,3.569321
2015-10-05,3.50,3.98,3.41,3.84,12043700,3.765437
2015-10-02,3.22,3.52,3.21,3.51,7888000,3.441845
2015-10-01,3.26,3.35,3.21,3.25,6796500,3.186893
2015-09-30,3.28,3.32,3.18,3.25,8290000,3.186893
2015-09-29,3.20,3.30,3.19,3.25,5892100,3.186893
2015-09-28,3.45,3.45,3.22,3.22,6910400,3.157476
2015-09-25,3.51,3.54,3.37,3.45,7484100,3.38301
2015-09-24,3.40,3.51,3.21,3.48,8555500,3.412427
2015-09-23,3.60,3.67,3.40,3.41,5680000,3.343787
2015-09-22,3.55,3.64,3.48,3.57,8576800,3.50068
2015-09-21,3.99,4.01,3.66,3.66,8119000,3.588932
2015-09-18,4.04,4.16,3.89,3.93,17804200,3.853689
2015-09-17,3.95,4.09,3.77,4.07,13540700,3.990971
2015-09-16,3.85,4.04,3.74,3.90,14944600,3.824272
2015-09-15,3.48,3.82,3.45,3.81,25733800,3.736019
2015-09-14,3.55,3.68,3.36,3.51,18847000,3.441845
2015-09-11,4.10,4.11,3.31,3.48,46633200,3.412427
2015-09-10,4.51,5.10,4.07,4.10,40378500,4.020388
2015-09-09,4.63,4.71,4.53,4.53,5190500,4.442039
2015-09-08,4.52,4.61,4.42,4.59,7392100,4.500874
2015-09-04,4.65,4.68,4.41,4.42,6658600,4.334175
2015-09-03,4.80,4.84,4.68,4.71,6806900,4.618544
2015-09-02,4.87,4.90,4.70,4.77,6266500,4.677379
2015-09-01,5.08,5.09,4.74,4.75,8311200,4.657767
2015-08-31,5.14,5.20,5.00,5.19,8219700,5.089223
2015-08-28,4.78,5.18,4.74,5.16,9487400,5.059806
2015-08-27,4.72,4.87,4.68,4.79,6460100,4.69699
2015-08-26,4.65,4.69,4.49,4.66,6463600,4.569514
2015-08-25,4.53,4.84,4.50,4.54,11049200,4.451845
2015-08-24,4.57,4.67,4.37,4.38,11714000,4.294952
2015-08-21,4.96,5.02,4.71,4.85,13905300,4.755825
2015-08-20,5.30,5.34,4.99,5.02,9379500,4.922524
2015-08-19,5.53,5.54,5.28,5.31,6725600,5.206893
2015-08-18,5.71,5.71,5.56,5.57,2748800,5.461845
2015-08-17,5.54,5.74,5.49,5.70,4267400,5.58932
2015-08-14,5.68,5.75,5.55,5.60,8187100,5.491262
2015-08-13,5.89,5.94,5.65,5.68,4378300,5.569709
2015-08-12,6.00,6.05,5.82,5.88,5889400,5.765825
2015-08-11,6.47,6.54,6.10,6.11,8552800,5.991359
2015-08-10,6.10,6.69,6.07,6.64,15619600,6.452233
2015-08-07,6.00,6.15,5.98,6.13,6404300,5.956655
2015-08-06,6.04,6.06,5.94,6.00,4391000,5.830331
2015-08-05,6.03,6.11,5.94,6.02,8554000,5.849765
2015-08-04,5.82,6.01,5.78,6.00,8164800,5.830331
2015-08-03,5.67,5.87,5.57,5.85,14273100,5.684573
2015-07-31,5.53,5.71,5.47,5.67,13129600,5.509663
2015-07-30,5.53,5.56,5.39,5.51,7806800,5.354187
2015-07-29,5.33,5.44,5.27,5.38,7967000,5.227864
2015-07-28,5.28,5.36,5.16,5.35,8698700,5.198712
2015-07-27,5.40,5.41,5.24,5.25,5150400,5.10154
2015-07-24,5.64,5.66,5.42,5.43,9304700,5.276449
2015-07-23,5.63,5.67,5.59,5.65,7036300,5.490228
2015-07-22,5.61,5.70,5.54,5.60,4839900,5.441642
2015-07-21,5.58,5.70,5.57,5.65,5718000,5.490228
2015-07-20,5.70,5.73,5.53,5.60,4290400,5.441642
2015-07-17,5.78,5.79,5.67,5.69,5924700,5.529097
2015-07-16,5.80,5.93,5.76,5.79,6315300,5.626269
2015-07-15,5.99,6.00,5.75,5.80,6893800,5.635987
2015-07-14,6.08,6.11,5.93,5.94,15195100,5.772028
2015-07-13,5.96,6.08,5.91,6.02,7882800,5.849765
2015-07-10,6.01,6.06,5.89,5.90,8062000,5.733159
2015-07-09,6.12,6.29,5.96,5.97,8103800,5.801179
2015-07-08,6.22,6.29,5.99,6.00,5635800,5.830331
2015-07-07,6.15,6.31,5.97,6.28,9717200,6.102413
2015-07-06,6.16,6.27,6.11,6.17,4378100,5.995524
2015-07-02,6.37,6.46,6.24,6.26,5133900,6.082979
2015-07-01,6.31,6.37,6.27,6.34,6032300,6.160717
2015-06-30,6.46,6.48,6.23,6.26,9775200,6.082979
2015-06-29,6.56,6.68,6.37,6.38,8189100,6.199585
2015-06-26,6.74,6.77,6.61,6.66,11945500,6.471667
2015-06-25,6.78,6.83,6.72,6.76,4210900,6.56884
2015-06-24,7.00,7.00,6.72,6.78,5714500,6.588274
2015-06-23,6.79,7.09,6.79,7.00,6206600,6.802053
2015-06-22,6.82,6.84,6.69,6.80,5220600,6.607709
2015-06-19,6.80,6.94,6.75,6.77,6786600,6.578557
2015-06-18,6.79,6.85,6.73,6.81,6209800,6.617426
