Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,13.52,13.52,13.52,13.52,1100,13.52
2016-03-31,13.51,13.52,13.51,13.52,600,13.52
2016-03-30,13.98,13.98,13.52,13.52,1100,13.52
2016-03-29,13.23,13.26,13.14,13.26,3600,13.26
2016-03-28,13.06,13.06,13.06,13.06,000,13.06
2016-03-24,13.00,13.06,13.00,13.06,700,13.06
2016-03-23,13.50,13.50,13.38,13.40,1300,13.40
2016-03-22,13.55,13.55,13.55,13.55,100,13.55
2016-03-21,13.40,13.40,13.33,13.33,700,13.33
2016-03-18,13.41,13.41,13.40,13.40,400,13.40
2016-03-17,13.40,13.40,13.40,13.40,000,13.40
2016-03-16,13.40,13.40,13.40,13.40,000,13.40
2016-03-15,13.00,13.40,13.00,13.40,900,13.40
2016-03-14,13.00,13.00,13.00,13.00,500,13.00
2016-03-11,13.26,13.28,13.26,13.28,300,13.28
2016-03-10,13.77,13.77,13.25,13.25,1500,13.25
2016-03-09,13.25,13.25,13.25,13.25,000,13.25
2016-03-08,13.26,13.26,13.25,13.25,500,13.25
2016-03-07,12.87,12.87,12.87,12.87,200,12.87
2016-03-04,12.70,12.87,12.60,12.87,3600,12.87
2016-03-03,12.30,12.30,12.30,12.30,000,12.30
2016-03-02,12.30,12.30,12.30,12.30,200,12.30
2016-03-01,12.15,12.15,12.15,12.15,000,12.15
2016-02-29,12.17,12.17,12.15,12.15,800,12.15
2016-02-26,12.11,12.11,12.11,12.11,000,12.11
2016-02-25,12.06,12.35,11.95,12.11,1900,12.11
2016-02-24,12.35,12.35,12.35,12.35,000,12.35
2016-02-23,12.87,12.87,12.35,12.35,1600,12.35
2016-02-22,12.72,12.72,12.72,12.72,000,12.72
2016-02-19,12.70,12.72,12.70,12.72,800,12.72
2016-02-18,12.83,12.87,12.83,12.87,1000,12.87
2016-02-17,12.60,12.60,12.60,12.60,000,12.60
2016-02-16,12.58,12.60,12.58,12.60,400,12.60
2016-02-12,12.59,12.59,12.59,12.59,100,12.59
2016-02-11,12.80,12.80,12.40,12.40,1700,12.40
2016-02-10,12.80,12.80,12.80,12.80,200,12.80
2016-02-09,12.81,12.87,12.80,12.80,2400,12.80
2016-02-08,12.89,12.90,12.89,12.90,1000,12.90
2016-02-05,12.80,12.80,12.80,12.80,700,12.80
2016-02-04,13.10,13.10,13.10,13.10,000,13.10
2016-02-03,12.99,13.10,12.99,13.10,500,13.10
2016-02-02,12.96,12.96,12.80,12.80,3000,12.80
2016-02-01,12.80,12.80,12.80,12.80,200,12.80
2016-01-29,13.15,13.15,13.15,13.15,1100,13.15
2016-01-28,12.80,12.80,12.80,12.80,000,12.80
2016-01-27,12.95,13.12,12.80,12.80,400,12.80
