Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,0.395,0.395,0.395,0.395,000,0.395
2016-03-31,0.395,0.395,0.395,0.395,000,0.395
2016-03-30,0.395,0.395,0.395,0.395,000,0.395
2016-03-29,0.395,0.395,0.395,0.395,000,0.395
2016-03-28,0.395,0.395,0.395,0.395,000,0.395
2016-03-25,0.395,0.395,0.395,0.395,000,0.395
2016-03-24,0.395,0.395,0.395,0.395,000,0.395
2016-03-23,0.395,0.395,0.395,0.395,000,0.395
2016-03-22,0.395,0.395,0.395,0.395,000,0.395
2016-03-21,0.395,0.395,0.395,0.395,000,0.395
2016-03-18,0.395,0.395,0.395,0.395,000,0.395
2016-03-17,0.395,0.395,0.395,0.395,000,0.395
2016-03-16,0.395,0.395,0.395,0.395,000,0.395
2016-03-15,0.395,0.395,0.395,0.395,000,0.395
2016-03-14,0.395,0.395,0.395,0.395,000,0.395
2016-03-11,0.395,0.395,0.395,0.395,000,0.395
2016-03-10,0.395,0.395,0.395,0.395,000,0.395
2016-03-09,0.395,0.395,0.395,0.395,000,0.395
2016-03-08,0.26,0.395,0.255,0.395,1100,0.395
2016-03-07,0.39,0.39,0.39,0.39,000,0.39
2016-03-04,0.39,0.39,0.39,0.39,000,0.39
2016-03-03,0.39,0.39,0.39,0.39,000,0.39
2016-03-02,0.39,0.39,0.39,0.39,000,0.39
2016-03-01,0.39,0.39,0.39,0.39,000,0.39
2016-02-29,0.39,0.39,0.39,0.39,000,0.39
2016-02-26,0.39,0.39,0.39,0.39,000,0.39
2016-02-25,0.39,0.39,0.39,0.39,000,0.39
2016-02-24,0.39,0.39,0.39,0.39,000,0.39
2016-02-23,0.39,0.39,0.39,0.39,000,0.39
2016-02-22,0.39,0.39,0.39,0.39,000,0.39
2016-02-19,0.29,0.39,0.29,0.39,500,0.39
2016-02-18,0.29,0.29,0.29,0.29,000,0.29
2016-02-17,0.265,0.29,0.265,0.29,1300,0.29
2016-02-16,0.265,0.275,0.265,0.275,300,0.275
2016-02-15,0.255,0.255,0.255,0.255,100,0.255
2016-02-12,0.255,0.265,0.25,0.265,400,0.265
2016-02-11,0.245,0.28,0.245,0.28,5500,0.28
2016-02-10,0.255,0.255,0.255,0.255,100,0.255
2016-02-09,0.275,0.275,0.275,0.275,000,0.275
2016-02-08,0.275,0.275,0.275,0.275,000,0.275
2016-02-05,0.26,0.275,0.26,0.275,1000,0.275
2016-02-04,0.28,0.28,0.28,0.28,200,0.28
2016-02-03,0.25,0.265,0.25,0.265,500,0.265
2016-02-02,0.245,0.30,0.245,0.30,1300,0.30
2016-02-01,0.275,0.275,0.275,0.275,000,0.275
2016-01-29,0.275,0.275,0.275,0.275,000,0.275
2016-01-28,0.26,0.275,0.26,0.275,1200,0.275
2016-01-27,0.30,0.30,0.30,0.30,000,0.30
2016-01-26,0.30,0.30,0.30,0.30,000,0.30
2016-01-25,0.30,0.30,0.30,0.30,100,0.30
2016-01-22,0.265,0.34,0.265,0.34,700,0.34
2016-01-21,0.255,0.255,0.255,0.255,000,0.255
2016-01-20,0.255,0.255,0.255,0.255,000,0.255
2016-01-19,0.255,0.255,0.255,0.255,000,0.255
2016-01-18,0.255,0.255,0.255,0.255,100,0.255
2016-01-15,0.265,0.28,0.255,0.28,17900,0.28
2016-01-14,0.26,0.29,0.26,0.285,2500,0.285
2016-01-13,0.29,0.29,0.29,0.29,100,0.29
2016-01-12,0.265,0.265,0.265,0.265,5000,0.265
2016-01-11,0.27,0.275,0.26,0.275,39500,0.275
2016-01-08,0.275,0.275,0.275,0.275,100,0.275
2016-01-07,0.275,0.365,0.275,0.365,3900,0.365
2016-01-06,0.28,0.30,0.27,0.30,9700,0.30
2016-01-05,0.37,0.37,0.37,0.37,000,0.37
2016-01-04,0.32,0.37,0.275,0.37,2500,0.37
2016-01-01,0.295,0.295,0.295,0.295,000,0.295
2015-12-31,0.295,0.385,0.295,0.295,11900,0.295
2015-12-30,0.27,0.27,0.27,0.27,100,0.27
2015-12-29,0.35,0.385,0.285,0.385,600,0.385
2015-12-28,0.285,0.285,0.285,0.285,000,0.285
2015-12-25,0.285,0.285,0.285,0.285,000,0.285
2015-12-24,0.285,0.285,0.285,0.285,000,0.285
2015-12-23,0.285,0.285,0.285,0.285,100,0.285
2015-12-22,0.275,0.275,0.275,0.275,4000,0.275
2015-12-21,0.30,0.30,0.27,0.30,11000,0.30
2015-12-18,0.275,0.275,0.275,0.275,200,0.275
2015-12-17,0.39,0.39,0.275,0.35,1200,0.35
2015-12-16,0.275,0.275,0.275,0.275,10200,0.275
2015-12-15,0.40,0.40,0.40,0.40,800,0.40
2015-12-14,0.38,0.50,0.38,0.50,300,0.50
2015-12-11,0.275,0.275,0.275,0.275,000,0.275
2015-12-10,0.275,0.275,0.275,0.275,000,0.275
2015-12-09,0.275,0.275,0.275,0.275,000,0.275
2015-12-08,0.275,0.275,0.275,0.275,000,0.275
2015-12-07,0.275,0.275,0.275,0.275,20000,0.275
2015-12-04,0.27,0.34,0.27,0.34,20000,0.34
2015-12-03,0.28,0.31,0.28,0.31,15100,0.31
2015-12-02,0.44,0.44,0.285,0.34,10200,0.34
2015-12-01,0.34,0.34,0.34,0.34,000,0.34
2015-11-30,0.34,0.34,0.34,0.34,4800,0.34
2015-11-27,0.44,0.44,0.44,0.44,000,0.44
2015-11-26,0.44,0.44,0.44,0.44,000,0.44
2015-11-25,0.44,0.44,0.44,0.44,000,0.44
2015-11-24,0.255,0.44,0.255,0.44,69100,0.44
2015-11-23,0.44,0.44,0.44,0.44,300,0.44
2015-11-20,0.42,0.42,0.42,0.42,000,0.42
2015-11-19,0.32,0.42,0.32,0.42,500,0.42
