Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,11.96,11.96,11.96,11.96,3500,11.96
2016-03-31,12.00,12.00,12.00,12.00,000,12.00
2016-03-30,12.20,12.20,12.00,12.00,400,12.00
2016-03-29,11.96,11.96,11.96,11.96,6200,11.96
2016-03-28,11.96,11.96,11.96,11.96,1000,11.96
2016-03-24,12.00,12.00,11.96,11.96,1500,11.96
2016-03-23,11.96,11.96,11.96,11.96,000,11.96
2016-03-22,11.96,11.96,11.96,11.96,000,11.96
2016-03-21,11.96,11.96,11.96,11.96,000,11.96
2016-03-18,11.96,11.96,11.96,11.96,000,11.96
2016-03-17,11.96,11.96,11.96,11.96,000,11.96
2016-03-16,11.96,11.96,11.96,11.96,000,11.96
2016-03-15,11.96,11.96,11.96,11.96,000,11.96
2016-03-14,11.96,11.96,11.96,11.96,200,11.96
2016-03-11,12.12,12.12,12.12,12.12,000,12.12
2016-03-10,12.05,12.30,12.05,12.12,1400,12.12
2016-03-09,12.05,12.05,11.96,11.96,2000,11.96
2016-03-08,12.35,12.35,12.35,12.35,000,12.35
2016-03-07,12.19,12.35,12.19,12.35,900,12.35
2016-03-04,11.97,11.97,11.96,11.96,1000,11.96
2016-03-03,11.97,11.97,11.97,11.97,000,11.97
2016-03-02,11.97,11.97,11.97,11.97,200,11.97
2016-03-01,12.00,12.00,11.95,11.95,700,11.95
2016-02-29,12.02,12.02,12.02,12.02,000,12.02
2016-02-26,12.10,12.10,12.02,12.02,1600,12.02
2016-02-25,12.02,12.02,12.00,12.02,3000,12.02
2016-02-24,12.05,12.11,12.02,12.02,6900,12.02
2016-02-23,12.29,12.29,12.29,12.29,000,12.29
2016-02-22,12.29,12.29,12.29,12.29,200,12.29
2016-02-19,12.15,12.15,12.01,12.01,3000,12.01
2016-02-18,12.20,12.20,12.20,12.20,000,12.20
2016-02-17,12.40,12.40,12.20,12.20,2000,12.20
2016-02-16,12.55,12.55,12.55,12.55,000,12.55
2016-02-12,12.55,12.55,12.55,12.55,000,12.55
2016-02-11,12.55,12.55,12.55,12.55,000,12.55
2016-02-10,12.70,12.70,12.55,12.55,3100,12.55
2016-02-09,12.75,12.75,12.75,12.75,200,12.75
2016-02-08,12.80,12.80,12.80,12.80,000,12.80
2016-02-05,12.90,12.90,12.80,12.80,1200,12.80
2016-02-04,13.00,13.01,13.00,13.00,1300,13.00
2016-02-03,13.05,13.10,13.05,13.10,51000,13.10
2016-02-02,13.08,13.08,13.08,13.08,000,13.08
2016-02-01,13.08,13.08,13.08,13.08,000,13.08
2016-01-29,13.08,13.08,13.08,13.08,200,13.08
2016-01-28,13.00,13.00,13.00,13.00,1800,13.00
2016-01-27,13.00,13.00,13.00,13.00,300,13.00
2016-01-26,13.00,13.00,13.00,13.00,000,13.00
2016-01-25,13.00,13.00,13.00,13.00,1200,13.00
2016-01-22,13.00,13.00,13.00,13.00,1400,13.00
2016-01-21,13.00,13.00,13.00,13.00,2200,13.00
2016-01-20,13.06,13.06,12.90,12.90,4400,12.90
2016-01-19,13.11,13.11,13.11,13.11,3900,13.11
2016-01-15,13.11,13.20,13.11,13.20,1000,13.20
2016-01-14,13.11,13.11,13.11,13.11,1100,13.11
2016-01-13,13.20,13.20,13.20,13.20,000,13.20
2016-01-12,13.20,13.20,13.20,13.20,000,13.20
2016-01-11,13.21,13.21,13.20,13.20,500,13.20
2016-01-08,13.25,13.25,13.25,13.25,000,13.25
2016-01-07,13.25,13.25,13.25,13.25,000,13.25
2016-01-06,13.25,13.25,13.25,13.25,000,13.25
2016-01-05,13.25,13.25,13.25,13.25,500,13.25
2016-01-04,13.25,13.25,13.25,13.25,000,13.25
2015-12-31,13.25,13.25,13.25,13.25,000,13.25
2015-12-30,13.25,13.25,13.25,13.25,000,13.25
2015-12-29,13.25,13.25,13.25,13.25,300,13.25
2015-12-28,13.23,13.23,13.23,13.23,7500,13.23
2015-12-24,13.21,13.21,13.21,13.21,000,13.21
