Date,Open,High,Low,Close,Volume,Adj_Close
2015-04-01,7.456,7.456,7.456,7.456,000,7.456
2015-03-31,7.60,7.60,7.60,7.60,000,7.60
2015-03-30,7.525,7.525,7.525,7.525,000,7.525
2015-03-27,7.51,7.51,7.51,7.51,000,7.51
2015-03-26,7.535,7.535,7.535,7.535,000,7.535
2015-03-25,7.556,7.556,7.556,7.556,000,7.556
2015-03-24,7.45,7.45,7.45,7.45,000,7.45
2015-03-23,7.609,7.609,7.609,7.609,000,7.609
2015-03-20,7.45,7.45,7.45,7.45,000,7.45
2015-03-19,7.45,7.45,7.45,7.45,000,7.45
2015-03-18,7.504,7.504,7.504,7.504,000,7.504
2015-03-17,7.58,7.58,7.58,7.58,000,7.58
2015-03-16,7.546,7.546,7.546,7.546,000,7.546
2015-03-13,7.558,7.558,7.558,7.558,000,7.558
2015-03-12,7.526,7.526,7.526,7.526,000,7.526
2015-03-11,7.666,7.666,7.666,7.666,000,7.666
2015-03-10,7.49,7.49,7.49,7.49,000,7.49
2015-03-09,7.769,7.769,7.769,7.769,000,7.769
2015-03-06,7.772,7.772,7.772,7.772,000,7.772
2015-03-05,7.655,7.655,7.655,7.655,000,7.655
2015-03-04,7.701,7.701,7.701,7.701,000,7.701
2015-03-03,7.74,7.74,7.74,7.74,000,7.74
2015-03-02,7.70,7.70,7.70,7.70,000,7.70
2015-02-27,7.49,7.49,7.49,7.49,000,7.49
2015-02-26,7.55,7.55,7.55,7.55,000,7.55
2015-02-25,7.61,7.61,7.61,7.61,000,7.61
2015-02-24,7.55,7.55,7.55,7.55,000,7.55
2015-02-23,7.35,7.35,7.35,7.35,000,7.35
2015-02-20,7.278,7.278,7.278,7.278,000,7.278
2015-02-19,7.337,7.337,7.337,7.337,000,7.337
2015-02-18,7.311,7.311,7.311,7.311,000,7.311
2015-02-17,7.30,7.30,7.30,7.30,000,7.30
2015-02-16,7.15,7.15,7.15,7.15,000,7.15
2015-02-13,6.931,6.931,6.931,6.931,000,6.931
2015-02-12,6.864,6.864,6.864,6.864,000,6.864
2015-02-11,6.879,6.879,6.879,6.879,000,6.879
2015-02-10,6.911,6.911,6.911,6.911,000,6.911
2015-02-09,6.92,6.92,6.92,6.92,000,6.92
2015-02-06,6.941,6.941,6.941,6.941,000,6.941
2015-02-05,6.934,6.934,6.934,6.934,000,6.934
2015-02-04,6.94,6.94,6.94,6.94,000,6.94
2015-02-03,6.75,6.75,6.75,6.75,000,6.75
2015-02-02,6.849,6.849,6.849,6.849,000,6.849
2015-01-30,6.852,6.852,6.852,6.852,000,6.852
2015-01-29,6.832,6.832,6.832,6.832,000,6.832
2015-01-28,6.70,6.70,6.70,6.70,000,6.70
2015-01-27,6.65,6.65,6.65,6.65,000,6.65
2015-01-26,6.708,6.708,6.708,6.708,000,6.708
2015-01-23,6.57,6.57,6.57,6.57,000,6.57
2015-01-22,6.55,6.55,6.55,6.55,000,6.55
2015-01-21,6.621,6.621,6.621,6.621,000,6.621
2015-01-20,6.50,6.50,6.50,6.50,000,6.50
2015-01-19,6.53,6.53,6.53,6.53,000,6.53
2015-01-16,6.574,6.574,6.574,6.574,000,6.574
2015-01-15,6.504,6.504,6.504,6.504,000,6.504
2015-01-14,6.475,6.475,6.475,6.475,000,6.475
2015-01-13,6.486,6.486,6.486,6.486,000,6.486
2015-01-12,6.511,6.511,6.511,6.511,000,6.511
2015-01-09,6.463,6.463,6.463,6.463,000,6.463
2015-01-08,6.40,6.40,6.40,6.40,000,6.40
2015-01-07,6.45,6.45,6.45,6.45,000,6.45
2015-01-06,6.30,6.30,6.30,6.30,000,6.30
2015-01-05,6.40,6.40,6.40,6.40,000,6.40
2015-01-02,6.40,6.40,6.40,6.40,000,6.40
2015-01-01,6.402,6.402,6.402,6.402,000,6.402
2014-12-31,6.402,6.402,6.402,6.402,000,6.402
2014-12-30,6.50,6.50,6.402,6.402,000,6.402
2014-12-29,6.42,6.42,6.42,6.42,000,6.42
2014-12-26,6.42,6.42,6.42,6.42,000,6.42
2014-12-25,6.42,6.42,6.42,6.42,000,6.42
2014-12-24,6.42,6.42,6.42,6.42,000,6.42
2014-12-23,6.42,6.42,6.42,6.42,000,6.42
2014-12-22,6.521,6.521,6.521,6.521,000,6.521
2014-12-19,6.357,6.357,6.357,6.357,000,6.357
2014-12-18,6.51,6.51,6.51,6.51,000,6.51
2014-12-17,6.50,6.50,6.50,6.50,000,6.50
2014-12-16,6.20,6.20,6.20,6.20,000,6.20
2014-12-15,6.679,6.679,6.679,6.679,000,6.679
2014-12-12,6.666,6.666,6.666,6.666,000,6.666
2014-12-11,6.665,6.665,6.665,6.665,000,6.665
2014-12-10,6.655,6.655,6.655,6.655,000,6.655
2014-12-09,6.515,6.515,6.515,6.515,000,6.515
2014-12-08,6.806,6.806,6.806,6.806,000,6.806
2014-12-05,6.817,6.817,6.817,6.817,000,6.817
2014-12-04,6.818,6.818,6.818,6.818,000,6.818
2014-12-03,6.836,6.836,6.836,6.836,000,6.836
2014-12-02,6.756,6.756,6.756,6.756,000,6.756
2014-12-01,6.835,6.835,6.835,6.835,000,6.835
2014-11-28,6.636,6.636,6.636,6.636,000,6.636
2014-11-27,6.69,6.69,6.69,6.69,000,6.69
2014-11-26,6.55,6.55,6.55,6.55,000,6.55
2014-11-25,6.54,6.54,6.54,6.54,000,6.54
2014-11-24,6.502,6.502,6.502,6.502,000,6.502
2014-11-21,6.515,6.515,6.515,6.515,000,6.515
2014-11-20,6.45,6.45,6.45,6.45,000,6.45
2014-11-19,6.48,6.48,6.48,6.48,000,6.48
2014-11-18,6.45,6.45,6.45,6.45,000,6.45
2014-11-17,6.45,6.45,6.45,6.45,000,6.45
2014-11-14,6.455,6.455,6.455,6.455,000,6.455
2014-11-13,6.224,6.224,6.224,6.224,000,6.224
2014-11-12,6.251,6.251,6.251,6.251,000,6.251
2014-11-11,6.20,6.20,6.20,6.20,000,6.20
2014-11-10,6.192,6.192,6.192,6.192,000,6.192
2014-11-07,6.111,6.111,6.111,6.111,000,6.111
2014-11-06,6.18,6.18,6.18,6.18,000,6.18
2014-11-05,6.187,6.187,6.187,6.187,000,6.187
2014-11-04,6.214,6.214,6.214,6.214,000,6.214
2014-11-03,6.06,6.06,6.06,6.06,000,6.06
2014-10-31,6.20,6.20,6.20,6.20,000,6.20
2014-10-30,6.218,6.218,6.218,6.218,000,6.218
2014-10-29,6.215,6.215,6.215,6.215,000,6.215
2014-10-28,6.174,6.191,6.174,6.191,000,6.191
2014-10-27,6.221,6.221,6.221,6.221,000,6.221
2014-10-24,6.20,6.20,6.20,6.20,000,6.20
2014-10-23,6.256,6.256,6.256,6.256,000,6.256
2014-10-22,6.171,6.171,6.171,6.171,000,6.171
2014-10-21,6.162,6.162,6.162,6.162,000,6.162
2014-10-20,6.24,6.24,6.24,6.24,000,6.24
2014-10-17,6.123,6.123,6.123,6.123,000,6.123
2014-10-16,6.13,6.13,6.13,6.13,000,6.13
2014-10-15,6.095,6.095,6.095,6.095,000,6.095
2014-10-14,6.15,6.15,6.15,6.15,000,6.15
2014-10-13,6.25,6.25,6.25,6.25,000,6.25
2014-10-10,6.25,6.25,6.25,6.25,000,6.25
2014-10-09,6.25,6.25,6.25,6.25,000,6.25
2014-10-08,6.401,6.401,6.401,6.401,000,6.401
2014-10-07,6.458,6.458,6.458,6.458,000,6.458
2014-10-06,6.381,6.381,6.381,6.381,000,6.381
2014-10-03,6.295,6.295,6.295,6.295,000,6.295
2014-10-02,6.353,6.353,6.353,6.353,000,6.353
2014-10-01,6.42,6.42,6.42,6.42,000,6.42
2014-09-30,6.35,6.35,6.35,6.35,000,6.35
2014-09-29,6.35,6.35,6.35,6.35,000,6.35
2014-09-26,6.45,6.45,6.45,6.45,000,6.45
2014-09-25,6.45,6.45,6.45,6.45,000,6.45
2014-09-24,6.36,6.36,6.36,6.36,000,6.36
2014-09-23,6.45,6.45,6.45,6.45,000,6.45
2014-09-22,6.531,6.531,6.531,6.531,000,6.531
2014-09-19,6.529,6.529,6.529,6.529,000,6.529
2014-09-18,6.484,6.484,6.484,6.484,000,6.484
2014-09-17,6.562,6.562,6.562,6.562,000,6.562
2014-09-16,6.479,6.479,6.479,6.479,000,6.479
2014-09-15,6.565,6.565,6.565,6.565,000,6.565
2014-09-12,6.59,6.59,6.59,6.59,000,6.59
2014-09-11,6.567,6.567,6.567,6.567,000,6.567
2014-09-10,6.599,6.599,6.599,6.599,000,6.599
2014-09-09,6.57,6.57,6.57,6.57,000,6.57
2014-09-08,6.586,6.586,6.586,6.586,000,6.586
2014-09-05,6.622,6.622,6.622,6.622,000,6.622
2014-09-04,6.545,6.545,6.545,6.545,000,6.545
2014-09-03,6.545,6.545,6.545,6.545,000,6.545
2014-09-02,6.52,6.52,6.52,6.52,000,6.52
2014-09-01,6.533,6.533,6.533,6.533,000,6.533
2014-08-29,6.536,6.536,6.536,6.536,000,6.536
2014-08-28,6.50,6.50,6.50,6.50,000,6.50
2014-08-27,6.577,6.577,6.577,6.577,000,6.577
2014-08-26,6.455,6.455,6.455,6.455,000,6.455
2014-08-25,6.548,6.548,6.548,6.548,000,6.548
2014-08-22,6.426,6.426,6.426,6.426,000,6.426
2014-08-21,6.511,6.511,6.511,6.511,000,6.511
2014-08-20,6.522,6.522,6.522,6.522,000,6.522
2014-08-19,6.532,6.532,6.532,6.532,000,6.532
2014-08-18,6.524,6.524,6.524,6.524,000,6.524
2014-08-15,6.438,6.438,6.438,6.438,000,6.438
2014-08-14,6.488,6.488,6.488,6.488,000,6.488
2014-08-13,6.473,6.473,6.473,6.473,000,6.473
2014-08-12,6.457,6.457,6.457,6.457,000,6.457
2014-08-11,6.355,6.355,6.355,6.355,000,6.355
2014-08-08,6.437,6.437,6.437,6.437,000,6.437
2014-08-07,6.29,6.29,6.29,6.29,000,6.29
2014-08-06,6.317,6.317,6.317,6.317,000,6.317
2014-08-05,6.432,6.432,6.432,6.432,000,6.432
