Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,48.73,48.73,48.11,48.11,3000,48.11
2016-03-31,49.09,49.09,49.09,49.09,900,49.09
2016-03-30,48.46,48.46,48.46,48.46,000,48.46
2016-03-29,48.46,48.46,48.46,48.46,1500,48.46
2016-03-28,49.24,49.24,49.24,49.24,3000,49.24
2016-03-25,49.77,49.77,49.77,49.77,000,49.77
2016-03-24,49.77,49.77,49.77,49.77,000,49.77
2016-03-23,49.77,49.77,49.77,49.77,000,49.77
2016-03-22,49.77,49.77,49.77,49.77,000,49.77
2016-03-21,49.77,49.77,49.77,49.77,3000,49.77
2016-03-18,49.78,49.78,49.78,49.78,2500,49.78
2016-03-17,50.29,50.29,50.29,50.29,000,50.29
2016-03-16,50.29,50.29,50.29,50.29,000,50.29
2016-03-15,50.29,50.29,50.29,50.29,800,50.29
2016-03-14,49.45,49.45,49.45,49.45,1200,49.45
2016-03-11,48.76,49.04,48.76,49.04,7600,49.04
2016-03-10,47.78,47.78,47.78,47.78,300,47.78
2016-03-09,50.76,50.76,50.76,50.76,000,50.76
2016-03-08,50.76,50.76,50.76,50.76,000,50.76
2016-03-07,50.76,50.76,50.76,50.76,15200,50.76
2016-03-04,50.23,50.23,50.23,50.23,000,50.23
2016-03-03,50.23,50.23,50.23,50.23,000,50.23
2016-03-02,50.23,50.23,50.23,50.23,000,50.23
2016-03-01,50.23,50.23,50.23,50.23,000,50.23
2016-02-29,50.58,50.58,50.23,50.23,14700,50.23
2016-02-26,48.45,48.45,48.45,48.45,000,48.45
2016-02-25,48.45,48.45,48.45,48.45,1000,48.45
2016-02-24,49.21,49.21,49.21,49.21,000,49.21
2016-02-23,49.21,49.21,49.21,49.21,000,49.21
2016-02-22,49.43,49.43,49.21,49.21,2100,49.21
2016-02-19,48.83,48.83,48.48,48.48,900,48.48
2016-02-18,50.60,50.60,50.60,50.60,000,50.60
2016-02-17,50.60,50.60,50.60,50.60,400,50.60
2016-02-16,49.26,50.20,49.26,50.20,2000,50.20
2016-02-15,45.11,45.11,45.11,45.11,000,45.11
2016-02-12,45.11,45.11,45.11,45.11,000,45.11
2016-02-11,44.81,45.11,44.81,45.11,5600,45.11
2016-02-10,47.84,48.18,47.84,47.84,8800,47.84
2016-02-09,51.06,51.06,51.06,51.06,000,51.06
2016-02-08,51.06,51.06,51.06,51.06,000,51.06
2016-02-05,51.06,51.06,51.06,51.06,100,51.06
2016-02-04,53.11,53.11,53.11,53.11,000,53.11
2016-02-03,53.11,53.11,53.11,53.11,000,53.11
2016-02-02,53.11,53.11,53.11,53.11,1600,53.11
2016-02-01,55.49,55.49,55.49,55.49,000,55.49
2016-01-29,55.49,55.49,55.49,55.49,600,55.49
2016-01-28,54.88,54.88,54.88,54.88,000,54.88
2016-01-27,54.88,54.88,54.88,54.88,1200,54.88
2016-01-26,54.18,54.34,54.09,54.34,6900,54.34
2016-01-25,56.22,56.22,56.22,56.22,000,56.22
2016-01-22,56.22,56.22,56.22,56.22,000,56.22
2016-01-21,56.31,56.31,56.22,56.22,2200,56.22
2016-01-20,54.77,55.06,54.77,55.06,700,55.06
2016-01-19,57.64,57.90,57.64,57.90,4100,57.90
2016-01-18,58.21,58.21,58.21,58.21,000,58.21
2016-01-15,58.21,58.21,58.21,58.21,1300,58.21
2016-01-14,60.79,60.79,60.79,60.79,600,60.79
2016-01-13,60.79,60.79,60.33,60.56,400,60.56
2016-01-12,60.91,60.91,60.91,60.91,000,60.91
2016-01-11,60.91,60.91,60.91,60.91,10900,60.91
2016-01-08,62.26,62.26,62.26,62.26,200,62.26
2016-01-07,66.32,66.32,66.32,66.32,000,66.32
2016-01-06,66.32,66.32,66.32,66.32,000,66.32
2016-01-05,66.32,66.32,66.32,66.32,300,66.32
2016-01-04,68.23,68.23,68.23,68.23,000,68.23
2016-01-01,68.23,68.23,68.23,68.23,000,68.23
2015-12-31,68.23,68.23,68.23,68.23,000,68.23
2015-12-30,68.23,68.23,68.23,68.23,3700,68.23
2015-12-29,66.59,66.59,66.59,66.59,000,66.59
2015-12-28,66.34,66.59,66.34,66.59,6600,66.59
2015-12-25,67.49,67.49,67.49,67.49,000,67.49
2015-12-24,67.49,67.49,67.49,67.49,000,67.49
2015-12-23,67.49,67.49,67.49,67.49,000,67.49
2015-12-22,67.49,67.49,67.49,67.49,000,67.49
2015-12-21,67.29,67.81,67.29,67.49,5400,67.49
2015-12-18,65.53,65.53,65.53,65.53,000,65.53
2015-12-17,65.53,65.53,65.53,65.53,000,65.53
2015-12-16,65.53,65.53,65.53,65.53,000,65.53
2015-12-15,65.53,65.53,65.53,65.53,000,65.53
2015-12-14,65.43,65.53,65.04,65.53,6700,65.53
2015-12-11,66.20,66.20,66.20,66.20,000,66.20
2015-12-10,66.20,66.20,66.20,66.20,000,66.20
2015-12-09,66.20,66.20,66.20,66.20,000,66.20
2015-12-08,66.25,66.38,66.20,66.20,3300,66.20
2015-12-07,66.27,66.27,65.85,66.23,900,66.23
2015-12-04,66.19,66.19,66.19,66.19,2500,66.19
2015-12-03,68.10,68.10,68.10,68.10,000,68.10
2015-12-02,68.10,68.10,68.10,68.10,2800,68.10
2015-12-01,68.62,68.62,68.62,68.62,000,68.62
2015-11-30,68.24,68.62,68.24,68.62,2600,68.62
2015-11-27,65.28,65.28,65.28,65.28,000,65.28
2015-11-26,65.28,65.28,65.28,65.28,000,65.28
2015-11-25,65.28,65.28,65.28,65.28,000,65.28
2015-11-24,65.28,65.28,65.28,65.28,100,65.28
2015-11-23,65.62,66.21,65.50,66.21,15100,66.21
2015-11-20,66.06,66.06,66.06,66.06,000,66.06
2015-11-19,66.06,66.06,66.06,66.06,000,66.06
2015-11-18,66.06,66.06,66.06,66.06,000,66.06
2015-11-17,66.06,66.06,66.06,66.06,000,66.06
2015-11-16,66.06,66.06,66.06,66.06,5900,66.06
2015-11-13,66.97,66.97,66.97,66.97,000,66.97
2015-11-12,66.97,66.97,66.97,66.97,000,66.97
2015-11-11,66.97,66.97,66.97,66.97,600,66.97
2015-11-10,67.72,67.72,67.72,67.72,000,67.72
2015-11-09,67.02,67.72,67.02,67.72,7200,67.72
2015-11-06,67.36,67.99,67.25,67.99,5000,67.99
2015-11-05,65.99,65.99,65.99,65.99,200,65.99
2015-11-04,64.84,65.24,64.84,65.24,12400,65.24
2015-11-03,65.38,65.38,65.38,65.38,000,65.38
2015-11-02,65.38,65.38,65.38,65.38,000,65.38
2015-10-30,65.69,65.69,65.38,65.38,1700,65.38
2015-10-29,68.15,68.15,68.15,68.15,000,68.15
2015-10-28,68.15,68.15,68.15,68.15,1100,68.15
2015-10-27,63.97,63.97,63.97,63.97,3700,63.97
2015-10-26,64.10,64.76,64.10,64.76,6100,64.76
2015-10-23,64.62,64.62,64.62,64.62,300,64.62
2015-10-22,63.71,63.71,63.71,63.71,000,63.71
2015-10-21,63.71,63.71,63.71,63.71,000,63.71
2015-10-20,63.20,63.71,63.20,63.71,5400,63.71
2015-10-19,63.43,63.43,63.43,63.43,1000,63.43
2015-10-16,61.84,61.84,61.84,61.84,000,61.84
2015-10-15,61.84,61.84,61.84,61.84,400,61.84
2015-10-14,59.40,59.92,59.40,59.92,6600,59.92
2015-10-13,60.58,60.58,60.58,60.58,500,60.58
2015-10-12,60.24,60.24,60.24,60.24,000,60.24
2015-10-09,60.24,60.24,60.24,60.24,000,60.24
2015-10-08,60.24,60.24,60.24,60.24,000,60.24
2015-10-07,60.24,60.24,60.24,60.24,9100,60.24
2015-10-06,60.69,60.69,60.11,60.11,15400,60.11
2015-10-05,60.77,60.77,60.77,60.77,000,60.77
2015-10-02,60.25,60.77,60.03,60.77,37200,60.77
2015-10-01,61.77,62.72,61.77,62.61,1200,62.61
2015-09-30,64.11,64.11,64.11,64.11,000,64.11
2015-09-29,64.11,64.11,64.11,64.11,000,64.11
2015-09-28,62.72,64.11,62.72,64.11,18900,64.11
2015-09-25,62.95,63.44,62.95,63.40,13800,63.40
2015-09-24,62.41,62.41,62.41,62.41,500,62.41
2015-09-23,65.57,65.57,65.57,65.57,300,65.57
2015-09-22,62.94,62.94,62.94,62.94,000,62.94
2015-09-21,62.37,63.07,62.09,62.94,217300,62.94
2015-09-18,61.15,61.94,61.15,61.94,800,61.94
2015-09-17,63.33,63.33,63.33,63.33,000,63.33
2015-09-16,63.33,63.33,63.33,63.33,000,63.33
2015-09-15,63.00,63.67,63.00,63.33,1500,63.33
2015-09-14,61.44,61.44,61.43,61.43,400,61.43
2015-09-11,62.21,62.21,62.21,62.21,1200,62.21
2015-09-10,62.12,62.12,61.50,61.50,900,61.50
2015-09-09,60.95,60.95,60.81,60.81,400,60.81
2015-09-08,60.02,60.02,60.02,60.02,000,60.02
2015-09-07,60.02,60.02,60.02,60.02,000,60.02
2015-09-04,60.02,60.02,60.02,60.02,700,60.02
2015-09-03,61.01,61.01,61.01,61.01,000,61.01
2015-09-02,61.01,61.01,61.01,61.01,000,61.01
2015-09-01,61.01,61.01,61.01,61.01,000,61.01
2015-08-31,61.00,61.01,61.00,61.01,300,61.01
2015-08-28,57.72,57.72,57.72,57.72,000,57.72
2015-08-27,57.70,57.72,57.70,57.72,700,57.72
2015-08-26,56.00,57.31,56.00,57.31,1400,57.31
2015-08-25,57.12,57.12,56.59,56.59,700,56.59
2015-08-24,56.88,56.88,56.88,56.88,000,56.88
2015-08-21,56.95,56.95,56.88,56.88,7400,56.88
2015-08-20,58.40,58.40,58.40,58.40,200,58.40
2015-08-19,61.55,61.55,61.55,61.55,400,61.55
2015-08-18,61.80,61.80,61.76,61.76,600,61.76
2015-08-17,61.33,62.56,61.33,62.51,1200,62.51
2015-08-14,61.25,61.97,61.25,61.97,3000,61.97
2015-08-13,62.33,62.33,62.33,62.33,300,62.33
2015-08-12,62.94,62.94,62.94,62.94,000,62.94
2015-08-11,62.94,62.94,62.94,62.94,000,62.94
2015-08-10,62.94,62.94,62.94,62.94,600,62.94
2015-08-07,62.71,62.80,62.71,62.80,1900,62.80
2015-08-06,63.21,63.43,63.21,63.43,1500,63.43
2015-08-05,62.87,63.00,62.87,63.00,35300,63.00
2015-08-04,61.96,61.96,61.96,61.96,200,61.96
2015-08-03,60.88,60.88,60.88,60.88,1300,60.88
2015-07-31,61.26,61.60,61.26,61.60,1600,61.60
2015-07-30,60.71,60.71,60.71,60.71,000,60.71
2015-07-29,60.71,60.71,60.71,60.71,000,60.71
2015-07-28,59.95,60.71,59.95,60.71,500,60.71
2015-07-27,60.35,60.35,60.35,60.35,000,60.35
2015-07-24,60.31,60.35,60.31,60.35,1500,60.35
2015-07-23,59.70,59.70,59.70,59.70,000,59.70
2015-07-22,59.70,59.70,59.70,59.70,800,59.70
2015-07-21,57.50,57.50,57.15,57.15,3100,57.15
2015-07-20,58.47,58.47,58.47,58.47,170700,58.47
2015-07-17,57.50,57.50,57.50,57.50,1700,57.50
2015-07-16,53.73,53.73,53.73,53.73,000,53.73
2015-07-15,53.73,53.73,53.73,53.73,000,53.73
2015-07-14,53.73,53.73,53.73,53.73,000,53.73
2015-07-13,53.73,53.73,53.73,53.73,400,53.73
2015-07-10,53.28,53.28,53.28,53.28,400,53.28
2015-07-09,53.21,53.21,53.21,53.21,000,53.21
2015-07-08,53.21,53.21,53.21,53.21,000,53.21
2015-07-07,53.21,53.21,53.21,53.21,000,53.21
2015-07-06,53.05,53.21,53.05,53.21,900,53.21
2015-07-03,54.87,54.87,54.87,54.87,000,54.87
2015-07-02,54.87,54.87,54.87,54.87,000,54.87
2015-07-01,54.87,54.87,54.87,54.87,000,54.87
2015-06-30,54.87,54.87,54.87,54.87,000,54.87
2015-06-29,54.87,54.87,54.87,54.87,000,54.87
2015-06-26,54.87,54.87,54.87,54.87,1300,54.87
2015-06-25,54.55,54.55,54.55,54.55,000,54.55
2015-06-24,54.47,54.55,54.47,54.55,1000,54.55
2015-06-23,54.33,54.33,54.33,54.33,000,54.33
2015-06-22,53.49,54.33,53.49,54.33,85500,54.33
2015-06-19,53.78,53.78,53.76,53.76,1300,53.76
2015-06-18,52.75,52.75,52.75,52.75,4300,52.75
2015-06-17,54.64,54.64,54.64,54.64,000,54.64
2015-06-16,54.64,54.64,54.64,54.64,300,54.64
2015-06-15,54.42,54.42,54.42,54.42,100,54.42
2015-06-12,54.79,54.79,54.79,54.79,000,54.79
2015-06-11,54.79,54.79,54.79,54.79,200,54.79
2015-06-10,54.98,54.98,54.98,54.98,100,54.98
2015-06-09,52.91,52.91,52.91,52.91,000,52.91
2015-06-08,53.75,53.75,52.91,52.91,300,52.91
2015-06-05,54.56,54.56,54.56,54.56,1700,54.56
2015-06-04,52.81,52.81,52.81,52.81,000,52.81
2015-06-03,52.99,52.99,52.81,52.81,9800,52.81
2015-06-02,52.52,52.62,52.52,52.62,10100,52.62
2015-06-01,52.49,52.49,52.49,52.49,000,52.49
2015-05-29,52.49,52.49,52.49,52.49,000,52.49
2015-05-28,52.49,52.49,52.49,52.49,200,52.49
2015-05-27,52.39,52.84,52.39,52.84,9300,52.84
2015-05-26,52.11,52.11,52.11,52.11,000,52.11
2015-05-25,52.11,52.11,52.11,52.11,000,52.11
2015-05-22,52.11,52.11,52.11,52.11,400,52.11
2015-05-21,50.95,50.95,50.95,50.95,400,50.95
2015-05-20,50.66,50.66,50.66,50.66,200,50.66
2015-05-19,50.30,50.30,50.30,50.30,000,50.30
2015-05-18,50.30,50.30,50.30,50.30,000,50.30
2015-05-15,50.30,50.30,50.30,50.30,000,50.30
2015-05-14,50.30,50.30,50.30,50.30,000,50.30
2015-05-13,50.02,50.30,50.02,50.30,600,50.30
2015-05-12,49.30,49.30,49.30,49.30,100,49.30
2015-05-11,51.10,51.10,50.74,50.74,400,50.74
2015-05-08,48.75,48.75,48.75,48.75,200,48.75
2015-05-07,50.00,50.00,50.00,50.00,000,50.00
2015-05-06,50.00,50.00,50.00,50.00,300,50.00
2015-05-05,50.98,50.98,50.98,50.98,000,50.98
2015-05-04,50.34,50.98,50.34,50.98,1400,50.98
2015-05-01,47.51,47.51,47.51,47.51,000,47.51
2015-04-30,47.51,47.51,47.51,47.51,000,47.51
2015-04-29,47.51,47.51,47.51,47.51,500,47.51
2015-04-28,45.46,45.75,45.46,45.75,15800,45.75
2015-04-27,47.34,47.34,47.34,47.34,000,47.34
2015-04-24,47.34,47.34,47.34,47.34,000,47.34
2015-04-23,47.34,47.34,47.34,47.34,200,47.34
2015-04-22,48.11,48.11,48.11,48.11,000,48.11
2015-04-21,48.11,48.11,48.11,48.11,000,48.11
2015-04-20,48.11,48.11,48.11,48.11,000,48.11
2015-04-17,48.11,48.11,48.11,48.11,000,48.11
2015-04-16,48.11,48.11,48.11,48.11,400,48.11
2015-04-15,48.78,48.78,48.78,48.78,000,48.78
2015-04-14,48.49,48.78,48.49,48.78,300,48.78
2015-04-13,49.10,49.10,49.10,49.10,600,49.10
2015-04-10,48.62,48.62,48.62,48.62,400,48.62
2015-04-09,48.24,48.24,48.24,48.24,000,48.24
2015-04-08,48.24,48.24,48.24,48.24,300,48.24
2015-04-07,49.00,49.00,49.00,49.00,000,49.00
2015-04-06,49.00,49.00,49.00,49.00,000,49.00
2015-04-03,49.00,49.00,49.00,49.00,000,49.00
2015-04-02,49.00,49.00,49.00,49.00,2800,49.00
2015-04-01,48.85,49.27,48.85,49.27,400,49.27
2015-03-31,50.39,50.39,50.39,50.39,000,50.39
2015-03-30,50.39,50.39,50.39,50.39,100,50.39
2015-03-27,49.05,49.05,49.05,49.05,000,49.05
2015-03-26,49.05,49.05,49.05,49.05,000,49.05
