Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,15.38,15.81,15.10,15.68,71000,15.68
2016-03-31,15.22,15.77,15.00,15.38,214400,15.38
2016-03-30,15.97,15.97,15.19,15.25,40900,15.25
2016-03-29,15.57,15.95,15.45,15.90,29500,15.90
2016-03-28,16.059999,16.059999,15.59,15.59,24400,15.53
2016-03-24,16.360001,16.360001,15.92,16.059999,31100,15.998191
2016-03-23,16.700001,16.74,16.01,16.540001,271500,16.476345
2016-03-22,16.98,17.10,16.58,16.67,431500,16.605844
2016-03-21,16.799999,16.90,16.799999,16.860001,87500,16.795113
2016-03-18,16.799999,16.98,16.75,16.90,94900,16.834958
2016-03-17,16.40,17.00,16.40,16.809999,120500,16.745304
2016-03-16,17.209999,17.209999,15.82,16.40,143600,16.336882
2016-03-15,18.26,18.26,17.879999,17.93,39500,17.860995
2016-03-14,18.35,18.639999,18.049999,18.360001,122600,18.28934
2016-03-11,18.139999,18.32,17.98,18.040001,56700,17.970572
2016-03-10,18.459999,18.459999,17.73,18.00,19800,17.930725
2016-03-09,18.139999,18.299999,18.049999,18.209999,13500,18.139916
2016-03-08,18.450001,18.450001,17.809999,18.120001,34300,18.050264
2016-03-07,17.879999,18.450001,17.85,18.24,52600,18.169801
2016-03-04,17.65,17.90,17.41,17.709999,27500,17.64184
2016-03-03,17.879999,17.879999,17.18,17.65,23500,17.582072
2016-03-02,17.76,17.950001,17.370001,17.57,30100,17.50238
2016-03-01,17.48,17.75,17.200001,17.60,144200,17.532265
2016-02-29,17.00,17.299999,17.00,17.24,14300,17.17365
2016-02-26,17.379999,17.51,17.01,17.01,20400,16.944535
2016-02-25,16.92,17.280001,16.92,17.219999,36400,17.153726
2016-02-24,17.299999,17.299999,16.719999,17.09,160400,17.024227
2016-02-23,17.700001,17.700001,17.299999,17.379999,16200,17.31311
2016-02-22,17.459999,17.799999,17.33,17.65,45600,17.582072
2016-02-19,17.370001,17.440001,17.17,17.299999,74100,17.233418
2016-02-18,16.790001,17.50,16.790001,17.389999,49100,17.323072
2016-02-17,16.60,17.25,15.94,17.00,82200,16.934574
2016-02-16,16.60,16.60,15.94,16.26,120200,16.197422
2016-02-12,16.51,16.549999,16.10,16.389999,56400,16.326921
2016-02-11,16.690001,16.870001,16.389999,16.559999,39500,16.496266
2016-02-10,16.98,16.99,16.68,16.700001,14100,16.635729
2016-02-09,16.50,17.27,16.43,17.25,549900,17.183611
2016-02-08,17.00,17.08,16.360001,16.57,58000,16.506228
2016-02-05,17.299999,17.49,17.00,17.110001,181700,17.044151
2016-02-04,17.370001,17.68,17.299999,17.42,24200,17.352957
2016-02-03,16.950001,17.23,16.870001,17.23,86200,17.163688
2016-02-02,16.75,16.889999,16.75,16.799999,44300,16.735343
2016-02-01,17.40,17.40,16.889999,17.110001,45300,17.044151
2016-01-29,16.98,17.799999,16.77,17.799999,116400,17.731494
2016-01-28,16.790001,16.879999,16.50,16.84,25900,16.77519
2016-01-27,16.959999,17.030001,16.719999,16.75,35800,16.685536
2016-01-26,16.41,17.10,16.41,17.059999,32300,16.994342
2016-01-25,16.65,17.01,16.030001,16.379999,104600,16.316959
2016-01-22,16.799999,17.040001,16.42,16.549999,140700,16.486305
2016-01-21,16.18,16.639999,15.75,16.48,32500,16.416574
2016-01-20,15.54,16.16,15.37,16.110001,31600,16.047999
2016-01-19,15.78,16.540001,15.78,16.200001,46700,16.137653
2016-01-18,16.00,16.09,15.50,15.53,23400,15.470231
2016-01-15,16.08,16.68,15.60,16.16,92200,16.097806
2016-01-14,16.139999,16.559999,16.00,16.389999,56100,16.326921
