Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,14.74,14.75,14.53,14.75,1200,14.75
2016-03-31,14.75,14.75,14.52,14.52,8500,14.52
2016-03-30,14.77,14.87,14.65,14.70,15000,14.70
2016-03-29,14.87,14.87,14.72,14.76,1800,14.76
2016-03-28,14.83,15.00,14.80,14.90,10100,14.90
2016-03-24,14.46,14.85,14.46,14.74,3200,14.74
2016-03-23,14.76,14.76,14.50,14.50,11700,14.50
2016-03-22,14.78,14.85,14.74,14.85,2800,14.85
2016-03-21,14.71,14.85,14.67,14.80,9800,14.80
2016-03-18,14.70,14.79,14.70,14.72,4000,14.72
2016-03-17,14.79,14.80,14.70,14.79,5300,14.79
2016-03-16,14.70,14.75,14.70,14.75,4400,14.75
2016-03-15,14.70,14.70,14.33,14.47,7500,14.47
2016-03-14,14.75,14.75,14.70,14.75,3200,14.75
2016-03-11,14.66,14.70,14.60,14.65,11200,14.65
2016-03-10,14.56,14.56,14.34,14.54,4500,14.54
2016-03-09,14.55,14.62,14.34,14.45,6600,14.45
2016-03-08,14.58,14.58,14.44,14.45,2000,14.45
2016-03-07,14.66,14.66,14.49,14.50,5300,14.50
2016-03-04,14.28,14.43,14.28,14.29,11300,14.29
2016-03-03,14.65,14.65,14.35,14.35,8600,14.35
2016-03-02,14.52,14.52,14.35,14.35,3700,14.35
2016-03-01,14.40,14.41,14.33,14.41,2600,14.41
2016-02-29,14.45,14.45,14.35,14.45,2100,14.45
2016-02-26,14.37,14.40,14.37,14.40,2200,14.40
2016-02-25,14.35,14.40,14.21,14.40,1900,14.40
2016-02-24,14.24,14.40,14.24,14.35,8800,14.35
2016-02-23,14.29,14.35,14.24,14.24,2600,14.24
2016-02-22,14.39,14.39,14.35,14.35,2700,14.35
2016-02-19,14.27,14.36,14.27,14.34,1300,14.34
2016-02-18,14.58,14.58,14.13,14.44,3900,14.44
2016-02-17,14.58,14.58,14.13,14.25,5600,14.25
2016-02-16,14.59,14.59,14.14,14.14,3400,14.14
2016-02-12,14.42,14.42,14.16,14.20,2000,14.20
2016-02-11,14.41,14.41,14.41,14.41,000,14.41
2016-02-10,14.40,14.49,14.40,14.41,2000,14.41
2016-02-09,13.80,14.40,13.80,14.40,2900,14.40
2016-02-08,14.45,14.45,13.59,13.93,3800,13.93
2016-02-05,14.51,14.51,14.10,14.15,5200,14.15
2016-02-04,14.74,14.75,14.47,14.47,3000,14.47
2016-02-03,14.73,14.73,14.72,14.72,300,14.72
2016-02-02,14.55,14.68,14.55,14.66,2000,14.66
2016-02-01,14.80,14.80,14.36,14.43,7600,14.43
2016-01-29,14.75,14.75,14.50,14.75,5800,14.75
2016-01-28,14.38,14.80,14.38,14.80,2100,14.80
2016-01-27,14.11,14.25,14.10,14.25,4800,14.25
2016-01-26,14.49,14.51,14.14,14.14,1300,14.14
2016-01-25,14.37,14.37,14.21,14.30,1500,14.30
2016-01-22,14.78,14.78,13.92,14.07,4200,14.07
2016-01-21,13.68,14.09,13.45,14.09,7300,14.09
2016-01-20,13.70,13.70,13.25,13.65,11600,13.65
2016-01-19,13.56,13.80,13.55,13.60,8400,13.60
2016-01-18,13.22,13.75,13.21,13.50,9900,13.50
2016-01-15,14.19,14.19,13.60,13.60,5600,13.60
2016-01-14,13.94,14.10,13.50,13.74,17600,13.74
2016-01-13,14.14,14.15,14.01,14.01,14400,14.01
2016-01-12,14.14,14.25,14.10,14.15,5900,14.15
2016-01-11,14.30,14.40,14.20,14.40,12200,14.40
2016-01-08,14.30,14.32,14.20,14.30,5100,14.30
2016-01-07,14.57,14.57,14.27,14.27,2600,14.27
2016-01-06,14.60,14.75,14.56,14.56,2000,14.56
2016-01-05,14.80,14.80,14.55,14.55,700,14.55
2016-01-04,14.92,14.92,14.80,14.80,800,14.80
2015-12-31,14.58,14.84,14.58,14.66,4300,14.66
2015-12-30,14.61,14.62,14.55,14.55,800,14.55
2015-12-29,14.67,14.85,14.60,14.62,3000,14.62
2015-12-24,14.79,15.08,14.65,14.65,600,14.65
2015-12-23,15.00,15.00,14.81,15.00,300,15.00
2015-12-22,14.75,15.00,14.75,15.00,1900,15.00
2015-12-21,14.65,14.77,14.65,14.75,600,14.75
2015-12-18,14.59,15.08,14.59,15.08,3500,15.08
2015-12-17,14.60,15.00,14.60,14.81,6700,14.81
2015-12-16,14.35,14.50,14.24,14.50,4100,14.50
2015-12-15,14.68,14.68,14.47,14.47,5000,14.47
2015-12-14,14.55,14.60,14.47,14.47,5000,14.47
2015-12-11,14.55,14.60,14.52,14.60,900,14.60
2015-12-10,14.60,14.71,14.60,14.60,3700,14.60
2015-12-09,14.68,14.68,14.50,14.50,4000,14.50
2015-12-08,14.55,14.60,14.55,14.60,2600,14.60
2015-12-07,14.69,14.69,14.55,14.55,7600,14.55
2015-12-04,14.53,14.55,14.50,14.55,1700,14.55
2015-12-03,14.52,14.60,14.50,14.55,1900,14.55
2015-12-02,14.70,14.71,14.70,14.71,4800,14.71
2015-12-01,14.47,14.51,14.47,14.47,5800,14.47
2015-11-30,14.75,14.75,14.69,14.70,1100,14.70
2015-11-27,14.69,14.73,14.67,14.73,3000,14.73
2015-11-26,14.60,14.60,14.60,14.60,000,14.60
2015-11-25,14.67,14.67,14.60,14.60,1500,14.60
2015-11-24,14.66,14.75,14.37,14.55,3700,14.55
2015-11-23,14.45,14.60,14.45,14.55,6300,14.55
2015-11-20,14.42,14.42,14.42,14.42,000,14.42
2015-11-19,14.42,14.42,14.42,14.42,000,14.42
2015-11-18,14.64,14.65,14.30,14.42,2800,14.42
2015-11-17,14.59,14.60,14.40,14.47,8300,14.47
2015-11-16,14.30,14.65,14.30,14.64,6100,14.64
2015-11-13,14.10,14.20,14.10,14.10,1400,14.10
2015-11-12,14.18,14.20,14.07,14.16,1200,14.16
2015-11-11,14.10,14.12,14.05,14.10,6000,14.10
2015-11-10,14.12,14.29,14.03,14.29,2900,14.29
2015-11-09,14.45,14.45,14.25,14.25,2800,14.25
2015-11-06,14.56,14.56,14.25,14.25,7500,14.25
2015-11-05,14.35,14.35,14.25,14.30,15300,14.30
2015-11-04,14.15,14.25,14.15,14.16,2200,14.16
2015-11-03,14.06,14.21,14.05,14.15,2500,14.15
2015-11-02,14.48,14.55,14.10,14.10,7500,14.10
2015-10-30,14.13,14.67,14.00,14.10,7600,14.10
2015-10-29,14.00,14.05,13.95,13.95,9600,13.95
2015-10-28,13.86,14.00,13.86,14.00,4200,14.00
2015-10-27,14.38,14.38,13.95,14.00,8800,14.00
2015-10-26,14.62,14.62,13.80,13.96,12500,13.96
2015-10-23,13.99,13.99,13.81,13.81,11600,13.81
2015-10-22,13.97,13.99,13.80,13.96,4000,13.96
2015-10-21,13.61,13.61,13.61,13.61,000,13.61
2015-10-20,14.01,14.01,13.51,13.70,9900,13.70
2015-10-19,13.95,14.01,13.88,14.00,8100,14.00
2015-10-16,13.80,14.10,13.80,14.05,3100,14.05
2015-10-15,13.82,13.85,13.80,13.80,2500,13.80
2015-10-14,13.85,13.85,13.80,13.84,3300,13.84
2015-10-13,13.77,13.85,13.77,13.85,3600,13.85
2015-10-09,13.88,13.88,13.75,13.85,4000,13.85
2015-10-08,13.60,13.95,13.60,13.85,3100,13.85
2015-10-07,13.68,13.69,13.60,13.60,3700,13.60
2015-10-06,13.60,13.65,13.40,13.45,4500,13.45
2015-10-05,13.27,13.35,13.26,13.35,3200,13.35
2015-10-02,13.29,13.50,13.29,13.29,1500,13.29
2015-10-01,13.49,13.50,13.29,13.29,3300,13.29
2015-09-30,13.45,13.50,13.40,13.45,5400,13.45
2015-09-29,13.30,13.34,13.26,13.34,1700,13.34
2015-09-28,13.48,13.51,13.25,13.51,2200,13.51
2015-09-25,13.73,13.73,13.50,13.50,13700,13.50
2015-09-24,13.70,13.72,13.53,13.53,9300,13.53
2015-09-23,13.75,13.75,13.60,13.60,1100,13.60
2015-09-22,13.60,13.62,13.60,13.60,2500,13.60
2015-09-21,13.56,13.78,13.56,13.78,6900,13.78
2015-09-18,13.64,13.64,13.56,13.60,3600,13.60
2015-09-17,13.79,13.79,13.55,13.66,9900,13.66
2015-09-16,13.61,13.75,13.60,13.67,1900,13.67
2015-09-15,13.53,13.79,13.53,13.68,8000,13.68
2015-09-14,13.74,13.74,13.46,13.53,3800,13.53
2015-09-11,13.65,13.65,13.65,13.65,1100,13.65
2015-09-10,13.62,13.75,13.45,13.75,7100,13.75
2015-09-09,13.86,13.86,13.60,13.60,8100,13.60
2015-09-08,14.16,14.16,13.75,13.86,10300,13.86
2015-09-04,14.30,14.30,14.20,14.20,1200,14.20
2015-09-03,14.35,14.35,14.35,14.35,1800,14.35
2015-09-02,14.45,14.50,14.45,14.50,2100,14.50
2015-09-01,14.72,14.72,14.25,14.31,1500,14.31
2015-08-31,14.26,14.39,14.25,14.34,2300,14.34
2015-08-28,14.32,14.41,14.28,14.28,1800,14.28
2015-08-27,14.10,14.10,13.78,14.10,6000,14.10
2015-08-26,14.08,14.10,13.82,14.10,3100,14.10
2015-08-25,14.09,14.17,13.91,14.04,3200,14.04
2015-08-24,14.05,14.08,13.75,13.75,13100,13.75
2015-08-21,14.10,14.12,14.05,14.05,5600,14.05
2015-08-20,14.07,14.10,14.05,14.09,1300,14.09
2015-08-19,14.06,14.08,14.00,14.00,14700,14.00
2015-08-18,13.91,13.92,13.75,13.92,3300,13.92
2015-08-17,14.21,14.21,13.79,13.94,10200,13.94
2015-08-14,14.50,14.62,14.20,14.30,7600,14.30
2015-08-13,14.70,14.70,14.54,14.55,600,14.55
2015-08-12,14.48,14.72,14.34,14.72,4800,14.72
2015-08-11,14.77,14.77,14.51,14.59,1500,14.59
2015-08-10,14.59,14.64,14.50,14.50,2700,14.50
2015-08-07,14.89,14.89,14.82,14.82,2700,14.82
2015-08-06,15.10,15.10,14.83,14.89,3300,14.89
2015-08-05,14.80,15.10,14.57,15.07,6700,15.07
2015-08-04,15.05,15.05,14.69,14.72,6500,14.72
2015-07-31,14.63,14.75,14.63,14.73,5800,14.73
2015-07-30,14.60,14.80,14.57,14.80,2800,14.80
2015-07-29,14.80,14.80,14.59,14.59,4900,14.59
2015-07-28,15.01,15.01,14.50,14.50,6100,14.50
2015-07-27,15.07,15.10,14.89,14.95,11200,14.95
2015-07-24,15.04,15.04,14.84,14.89,13000,14.89
2015-07-23,15.21,15.21,14.94,14.94,2600,14.94
2015-07-22,15.18,15.24,15.09,15.09,4100,15.09
2015-07-21,15.16,15.23,15.15,15.18,2800,15.18
2015-07-20,15.22,15.25,15.19,15.21,3100,15.21
2015-07-17,15.10,15.20,15.08,15.20,11000,15.20
2015-07-16,14.97,15.10,14.97,15.10,11100,15.10
2015-07-15,14.99,14.99,14.88,14.88,3200,14.88
2015-07-14,14.95,14.95,14.88,14.95,3400,14.95
2015-07-13,14.97,15.00,14.90,14.95,9000,14.95
2015-07-10,14.90,14.99,14.88,14.99,4500,14.99
2015-07-09,14.95,15.00,14.70,14.84,9700,14.84
2015-07-08,14.99,14.99,14.95,14.95,1700,14.95
2015-07-07,15.00,15.00,14.81,14.99,5500,14.99
2015-07-06,15.12,15.12,14.95,14.95,9600,14.95
2015-07-03,15.13,15.13,15.00,15.00,3500,15.00
2015-07-02,15.03,15.03,14.97,14.97,2700,14.97
2015-06-30,14.92,15.03,14.92,15.03,2200,15.03
2015-06-29,15.00,15.02,14.90,14.90,11200,14.90
2015-06-26,15.03,15.25,15.00,15.05,17100,15.05
2015-06-25,15.06,15.13,14.90,14.96,17900,14.856
2015-06-24,14.91,15.00,14.80,14.80,6600,14.697113
2015-06-23,14.95,15.02,14.91,14.91,2600,14.806347
2015-06-22,15.00,15.01,14.88,14.90,20800,14.796417
2015-06-19,14.80,15.00,14.79,15.00,15700,14.895722
2015-06-18,14.70,14.80,14.70,14.75,5500,14.64746
2015-06-17,14.66,14.66,14.59,14.66,2400,14.558085
2015-06-16,14.62,14.62,14.49,14.49,900,14.389267
2015-06-15,14.74,14.74,14.47,14.47,4900,14.369407
2015-06-12,14.62,14.62,14.55,14.55,2800,14.448851
2015-06-11,14.65,14.80,14.61,14.80,9700,14.697113
2015-06-10,14.63,14.63,14.50,14.50,400,14.399198
2015-06-09,14.62,14.63,14.48,14.48,2500,14.379336
2015-06-08,14.65,14.65,14.50,14.50,4400,14.399198
2015-06-05,14.50,14.69,14.50,14.69,5700,14.587877
2015-06-04,14.52,14.60,14.52,14.60,2600,14.498503
2015-06-03,14.55,14.60,14.55,14.60,3200,14.498503
2015-06-02,14.58,14.65,14.52,14.60,16400,14.498503
