Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,1.77079,1.77079,1.77079,1.77079,000,1.77079
2016-03-31,1.77625,1.77625,1.77625,1.77625,000,1.77625
2016-03-30,1.7878,1.7878,1.7878,1.7878,000,1.7878
2016-03-29,1.76257,1.76257,1.76257,1.76257,000,1.76257
2016-03-28,1.76506,1.76506,1.76506,1.76506,000,1.76506
2016-03-25,1.76668,1.76668,1.76668,1.76668,000,1.76668
2016-03-24,1.78,1.78,1.78,1.765,10000,1.765
2016-03-23,1.78787,1.78787,1.78787,1.78787,000,1.78787
2016-03-22,1.76,1.76,1.76,1.76,000,1.76
2016-03-21,1.77,1.77,1.77,1.77,000,1.77
2016-03-18,1.77,1.77,1.77,1.77,000,1.77
2016-03-17,1.78302,1.78302,1.78302,1.78302,000,1.78302
2016-03-16,1.78418,1.78418,1.78418,1.78418,000,1.78418
2016-03-15,1.77767,1.77767,1.77767,1.77767,000,1.77767
2016-03-14,1.78925,1.78925,1.78925,1.78925,000,1.78925
2016-03-11,1.7668,1.7668,1.7668,1.755,1100,1.755
2016-03-10,1.743,1.743,1.74,1.755,21800,1.755
2016-03-09,1.755,1.755,1.755,1.755,000,1.755
2016-03-08,1.7568,1.7568,1.74,1.755,18600,1.755
2016-03-07,1.765,1.7896,1.75,1.765,12300,1.765
2016-03-04,1.77,1.795,1.77,1.78,10800,1.78
2016-03-03,1.7842,1.7842,1.7842,1.7842,000,1.7842
2016-03-02,1.761,1.7625,1.761,1.7625,2900,1.7625
2016-03-01,1.79851,1.79851,1.79851,1.79851,000,1.79851
2016-02-29,1.72,1.72,1.72,1.7175,1500,1.7175
2016-02-26,1.77971,1.77971,1.77971,1.77971,000,1.77971
2016-02-25,1.695,1.71,1.71,1.7075,1600,1.7075
2016-02-24,1.70736,1.70736,1.70736,1.70736,000,1.70736
2016-02-23,1.72411,1.72411,1.72411,1.72411,000,1.72411
2016-02-22,1.74289,1.74289,1.74289,1.74289,000,1.74289
2016-02-19,1.72678,1.72678,1.72678,1.72678,000,1.72678
2016-02-18,1.72983,1.72983,1.72983,1.72983,000,1.72983
2016-02-17,1.73379,1.73379,1.73379,1.73379,000,1.73379
2016-02-16,1.671,1.671,1.671,1.67,500,1.67
2016-02-15,1.68726,1.68726,1.68726,1.68726,000,1.68726
2016-02-12,1.65304,1.65304,1.65304,1.65304,000,1.65304
2016-02-11,1.61,1.61,1.61,1.595,4000,1.595
2016-02-10,1.64462,1.64462,1.64462,1.64462,000,1.64462
2016-02-09,1.6875,1.6875,1.6764,1.665,1100,1.665
2016-02-08,1.64053,1.64053,1.64053,1.64053,000,1.64053
2016-02-05,1.735,1.735,1.735,1.735,000,1.735
2016-02-04,1.75,1.75,1.75,1.735,1000,1.735
2016-02-03,1.71279,1.71279,1.71279,1.71279,000,1.71279
2016-02-02,1.74597,1.74597,1.74597,1.74597,000,1.74597
2016-02-01,1.77943,1.77943,1.77943,1.77943,000,1.77943
2016-01-29,1.7496,1.7496,1.7496,1.74,500,1.74
2016-01-28,1.74232,1.74232,1.74232,1.74232,000,1.74232
2016-01-27,1.7529,1.7529,1.7529,1.7529,000,1.7529
2016-01-26,1.715,1.715,1.715,1.715,000,1.715
2016-01-25,1.7225,1.75,1.7225,1.73,3600,1.73
2016-01-22,1.675,1.74,1.675,1.725,20700,1.725
2016-01-21,1.69,1.69,1.69,1.69,000,1.69
2016-01-20,1.66681,1.66681,1.66681,1.66681,000,1.66681
2016-01-19,1.71672,1.71672,1.71672,1.71672,000,1.71672
2016-01-18,1.68908,1.68908,1.68908,1.68908,000,1.68908
2016-01-15,1.69808,1.69808,1.69808,1.69808,000,1.69808
2016-01-14,1.78,1.78,1.7415,1.765,8500,1.765
2016-01-13,1.8135,1.8135,1.8135,1.80,2700,1.80
2016-01-12,1.7825,1.7825,1.7825,1.795,10000,1.795
2016-01-11,1.7422,1.7422,1.7422,1.7422,000,1.7422
