Date,Open,High,Low,Close,Volume,Adj_Close
2015-10-29,4.25,4.25,4.25,4.25,000,4.25
2015-10-28,4.25,4.25,4.25,4.25,000,4.25
2015-10-27,4.25,4.25,4.25,4.25,000,4.25
2015-10-26,4.25,4.25,4.25,4.25,000,4.25
2015-10-23,4.25,4.25,4.25,4.25,000,4.25
2015-10-22,4.25,4.25,4.25,4.25,000,4.25
2015-10-21,4.25,4.25,4.25,4.25,000,4.25
2015-10-20,4.25,4.25,4.25,4.25,000,4.25
2015-10-19,4.25,4.25,4.25,4.25,000,4.25
2015-10-16,4.25,4.25,4.25,4.25,000,4.25
2015-10-15,4.25,4.25,4.25,4.25,000,4.25
2015-10-14,4.25,4.25,4.25,4.25,000,4.25
2015-10-13,4.25,4.25,4.25,4.25,000,4.25
2015-10-12,4.25,4.25,4.25,4.25,000,4.25
2015-10-09,4.25,4.25,4.25,4.25,000,4.25
2015-10-08,4.25,4.25,4.25,4.25,000,4.25
2015-10-07,4.25,4.25,4.25,4.25,000,4.25
2015-10-06,4.25,4.25,4.25,4.25,000,4.25
2015-10-05,4.25,4.25,4.25,4.25,000,4.25
2015-10-02,4.25,4.25,4.25,4.25,000,4.25
2015-10-01,4.25,4.25,4.25,4.25,000,4.25
2015-09-30,4.25,4.25,4.25,4.25,000,4.25
2015-09-29,4.00,4.00,4.00,4.25,2900,4.25
2015-09-28,4.50,4.50,3.75,4.25,273500,4.25
2015-09-25,3.75,4.00,3.75,4.00,65600,4.00
2015-09-24,3.74,3.75,3.30,3.625,124400,3.625
2015-09-23,3.26,3.74,3.26,3.625,18800,3.625
2015-09-22,3.25,3.75,3.25,3.625,33100,3.625
2015-09-21,3.40,3.50,3.25,3.625,86400,3.625
2015-09-18,3.75,3.75,3.75,3.625,16600,3.625
2015-09-17,3.80,3.90,3.25,3.625,254700,3.625
2015-09-16,3.94,3.94,3.75,4.00,396600,4.00
2015-09-15,4.12,4.12,3.50,4.00,151400,4.00
2015-09-14,4.00,4.125,4.00,4.00,101100,4.00
2015-09-11,4.62,4.62,4.00,4.25,81300,4.25
2015-09-10,4.30,4.675,4.25,4.50,430500,4.50
2015-09-09,4.40,4.45,4.20,4.25,465000,4.25
2015-09-08,4.25,4.70,4.25,4.625,272500,4.625
2015-09-07,5.55,5.55,4.25,4.625,227900,4.625
2015-09-04,5.05,5.06,5.05,5.375,55200,5.375
2015-09-03,5.06,5.56,5.06,5.375,27700,5.375
2015-09-02,5.563,5.563,5.05,5.375,25900,5.375
2015-09-01,5.05,5.05,5.05,5.375,10500,5.375
2015-08-31,5.375,5.375,5.375,5.375,000,5.375
2015-08-28,5.563,5.563,5.05,5.375,62500,5.375
2015-08-27,4.88,5.765,4.785,5.375,676000,5.375
2015-08-26,5.00,5.322,4.88,4.875,23900,4.875
2015-08-25,4.813,5.00,4.438,4.75,449000,4.75
2015-08-24,5.15,5.15,4.753,4.625,302100,4.625
2015-08-21,5.05,5.70,5.05,5.25,182700,5.25
2015-08-20,4.91,5.40,4.88,5.125,167700,5.125
2015-08-19,4.95,4.95,4.60,4.75,75300,4.75
2015-08-18,4.77,5.10,4.60,4.75,280000,4.75
2015-08-17,5.40,5.40,4.70,4.875,132900,4.875
2015-08-14,4.47,5.40,4.175,5.00,244300,5.00
2015-08-13,3.75,4.475,3.75,4.25,500600,4.25
2015-08-12,4.70,4.725,3.75,4.00,681100,4.00
2015-08-11,6.25,6.25,4.50,4.75,1644100,4.75
2015-08-10,10.575,11.10,6.10,6.625,347600,6.625
2015-08-07,10.85,11.05,10.85,11.25,81500,11.25
2015-08-06,10.80,11.50,10.80,11.25,31400,11.25
2015-08-05,12.20,12.20,11.50,11.75,70800,11.75
2015-08-04,12.84,12.84,12.84,13.00,11000,13.00
2015-08-03,12.95,12.95,12.50,13.00,41800,13.00
2015-07-31,13.00,13.00,12.50,13.00,10600,13.00
2015-07-30,13.00,13.00,12.50,13.00,14000,13.00
2015-07-29,13.15,13.15,13.15,13.25,200,13.25
2015-07-28,13.00,13.00,13.00,13.25,2200,13.25
2015-07-27,13.50,13.50,12.50,13.25,67100,13.25
2015-07-24,14.25,14.25,14.25,14.25,000,14.25
2015-07-23,13.50,13.50,13.50,14.25,2500,14.25
2015-07-22,14.25,14.25,14.25,14.25,000,14.25
2015-07-21,13.50,13.50,13.50,14.25,8300,14.25
2015-07-20,13.50,13.95,13.50,14.25,17600,14.25
2015-07-17,13.50,14.10,13.50,14.25,20400,14.25
2015-07-16,13.50,13.50,13.50,14.25,7700,14.25
2015-07-15,13.50,13.50,13.50,14.25,400,14.25
2015-07-14,14.175,14.175,14.175,14.25,600,14.25
2015-07-13,13.60,13.60,13.50,14.25,13800,14.25
2015-07-10,14.213,14.213,14.213,14.25,1100,14.25
2015-07-09,12.898,13.50,12.898,14.125,145000,14.125
2015-07-08,13.008,13.008,13.00,12.75,8000,12.75
2015-07-07,14.00,14.00,13.015,13.25,52100,13.25
2015-07-06,13.225,13.25,13.00,13.25,166400,13.25
2015-07-03,13.50,13.65,12.50,13.25,123600,13.25
2015-07-02,13.80,13.90,13.50,13.75,33500,13.75
2015-07-01,14.25,14.25,14.25,14.25,000,14.25
2015-06-30,14.25,14.25,14.25,14.25,000,14.25
2015-06-29,14.50,14.60,13.75,14.25,53000,14.25
2015-06-26,14.50,14.50,14.50,15.25,3600,15.25
2015-06-25,15.25,15.25,15.25,15.25,000,15.25
2015-06-24,14.50,14.50,14.431,15.25,16100,15.25
2015-06-23,14.75,15.10,14.50,15.25,42800,15.25
2015-06-22,14.50,15.10,14.50,15.375,31600,15.375
2015-06-19,15.75,15.75,14.736,15.50,45000,15.50
2015-06-18,15.50,15.795,15.50,15.50,6500,15.50
2015-06-17,16.00,16.00,15.50,16.25,16700,16.25
2015-06-16,16.30,16.75,15.50,16.50,90800,16.50
2015-06-15,16.00,16.25,16.00,16.50,75000,16.50
2015-06-12,16.00,16.34,15.10,16.50,273200,16.50
2015-06-11,15.06,15.90,15.00,16.25,56200,16.25
2015-06-10,16.00,16.00,16.00,16.00,143600,16.00
2015-06-09,15.80,15.80,15.00,16.00,58000,16.00
2015-06-08,15.00,15.90,15.00,16.00,8000,16.00
2015-06-05,16.00,16.00,16.00,16.00,000,16.00
2015-06-04,15.50,15.50,15.50,16.00,10000,16.00
2015-06-03,15.65,16.165,15.60,15.75,32200,15.75
2015-06-02,16.125,16.125,16.00,16.50,41700,16.50
2015-06-01,16.625,16.90,16.00,16.50,198100,16.50
2015-05-29,15.875,16.75,15.60,16.25,252900,16.25
2015-05-28,14.30,15.188,14.30,15.75,142300,15.75
2015-05-27,14.90,15.00,14.10,14.50,81500,14.50
2015-05-26,15.10,15.10,14.075,14.50,70300,14.50
2015-05-25,15.50,15.50,15.50,15.50,000,15.50
2015-05-22,15.55,15.895,15.06,15.50,37800,15.50
2015-05-21,14.90,15.04,14.50,15.50,184700,15.50
2015-05-20,14.753,14.753,14.30,14.50,290000,14.50
2015-05-19,14.80,15.00,14.30,14.50,225000,14.50
2015-05-18,15.50,15.85,14.80,15.25,50500,15.25
2015-05-15,15.00,15.10,15.00,15.25,28100,15.25
2015-05-14,15.50,16.25,14.50,15.50,392100,15.50
2015-05-13,13.90,14.99,13.80,14.50,96600,14.50
2015-05-12,16.39,16.39,13.008,14.50,515400,14.50
2015-05-11,16.95,16.95,16.00,16.25,196800,16.25
2015-05-08,17.113,17.113,16.839,17.125,48600,17.125
2015-05-07,17.12,17.596,17.113,17.375,648800,17.375
2015-05-06,17.13,17.85,17.00,17.50,233700,17.50
2015-05-05,17.89,17.89,17.00,17.25,217700,17.25
2015-05-04,17.50,17.50,17.50,17.50,000,17.50
2015-05-01,18.01,18.01,17.00,17.50,94000,17.50
2015-04-30,18.005,18.35,18.00,18.25,137200,18.25
2015-04-29,18.25,19.343,18.00,18.50,163300,18.50
2015-04-28,20.40,20.55,18.20,19.00,268800,19.00
2015-04-27,20.375,20.90,19.00,20.25,462100,20.25
2015-04-24,22.995,22.995,18.55,20.50,1139200,20.50
2015-04-23,36.235,36.235,21.00,22.75,1185200,22.75
2015-04-22,35.39,37.00,34.50,35.50,79500,35.50
2015-04-21,35.10,35.50,34.015,35.00,94500,35.00
2015-04-20,38.00,40.00,35.893,36.25,209500,36.25
2015-04-17,32.00,37.985,32.00,36.00,211100,36.00
2015-04-16,34.15,34.15,32.25,31.75,25000,31.75
2015-04-15,34.00,35.00,34.00,34.75,14100,34.75
2015-04-14,31.667,35.60,31.667,34.75,134100,34.75
2015-04-13,30.033,31.00,30.033,32.00,32000,32.00
2015-04-10,32.75,32.75,29.50,29.50,74700,29.50
2015-04-09,34.45,34.45,32.60,33.00,19600,33.00
2015-04-08,29.70,38.50,29.685,34.75,439200,34.75
2015-04-07,26.80,29.00,26.50,28.50,63800,28.50
2015-04-06,26.00,26.00,26.00,26.00,000,26.00
2015-04-03,26.00,26.00,26.00,26.00,000,26.00
2015-04-02,26.00,27.80,23.75,26.00,278200,26.00
2015-04-01,22.305,26.00,22.25,24.25,58000,24.25
