Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,0.11,0.11,0.11,0.11,000,0.11
2016-03-31,0.11,0.11,0.1023,0.11,31200,0.11
2016-03-30,0.10,0.10,0.10,0.10,13000,0.10
2016-03-29,0.10,0.10,0.10,0.10,000,0.10
2016-03-28,0.10,0.10,0.10,0.10,000,0.10
2016-03-24,0.10,0.10,0.10,0.10,000,0.10
2016-03-23,0.10,0.10,0.10,0.10,000,0.10
2016-03-22,0.10,0.10,0.10,0.10,2000,0.10
2016-03-21,0.09,0.09,0.09,0.09,000,0.09
2016-03-18,0.09,0.09,0.09,0.09,4500,0.09
2016-03-17,0.095,0.095,0.095,0.095,000,0.095
2016-03-16,0.10,0.10,0.095,0.095,32000,0.095
2016-03-15,0.095,0.095,0.095,0.095,000,0.095
2016-03-14,0.095,0.095,0.095,0.095,000,0.095
2016-03-11,0.095,0.095,0.095,0.095,000,0.095
2016-03-10,0.095,0.095,0.095,0.095,000,0.095
2016-03-09,0.095,0.095,0.095,0.095,1100,0.095
2016-03-08,0.095,0.095,0.095,0.095,1000,0.095
2016-03-07,0.11,0.11,0.095,0.095,3500,0.095
2016-03-04,0.0995,0.10,0.0995,0.10,26200,0.10
2016-03-03,0.10,0.10,0.10,0.10,1100,0.10
2016-03-02,0.10,0.10,0.0951,0.0951,3000,0.0951
2016-03-01,0.095,0.095,0.095,0.095,000,0.095
2016-02-29,0.095,0.095,0.095,0.095,7000,0.095
2016-02-26,0.10,0.10,0.10,0.10,7000,0.10
2016-02-25,0.0981,0.11,0.098,0.098,33200,0.098
2016-02-24,0.11,0.11,0.11,0.11,4000,0.11
2016-02-23,0.0946,0.0946,0.0946,0.0946,000,0.0946
2016-02-22,0.0946,0.0946,0.0946,0.0946,000,0.0946
2016-02-19,0.0946,0.0946,0.0946,0.0946,10000,0.0946
2016-02-18,0.095,0.095,0.0947,0.095,40000,0.095
2016-02-17,0.105,0.105,0.105,0.105,000,0.105
2016-02-16,0.105,0.105,0.105,0.105,000,0.105
2016-02-12,0.106,0.106,0.105,0.105,200,0.105
2016-02-11,0.112,0.112,0.112,0.112,000,0.112
2016-02-10,0.112,0.112,0.112,0.112,5000,0.112
2016-02-09,0.115,0.115,0.115,0.115,000,0.115
