Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,4.90,4.90,4.90,4.90,000,4.90
2016-03-31,4.90,4.90,4.90,4.90,000,4.90
2016-03-30,4.90,4.90,4.90,4.90,000,4.90
2016-03-29,4.90,4.90,4.90,4.90,000,4.90
2016-03-28,4.90,4.90,4.90,4.90,000,4.90
2016-03-24,4.90,4.90,4.90,4.90,000,4.90
2016-03-23,4.90,4.90,4.90,4.90,000,4.90
2016-03-22,4.90,4.90,4.90,4.90,000,4.90
2016-03-21,4.90,4.90,4.90,4.90,000,4.90
2016-03-18,4.90,4.90,4.90,4.90,000,4.90
2016-03-17,4.90,4.90,4.90,4.90,000,4.90
2016-03-16,4.90,4.90,4.90,4.90,000,4.90
2016-03-15,4.90,4.90,4.90,4.90,000,4.90
2016-03-14,4.90,4.90,4.90,4.90,000,4.90
2016-03-11,4.90,4.90,4.90,4.90,000,4.90
2016-03-10,4.90,4.90,4.90,4.90,000,4.90
2016-03-09,4.90,4.90,4.90,4.90,000,4.90
2016-03-08,4.90,4.90,4.90,4.90,000,4.90
2016-03-07,4.90,4.90,4.90,4.90,000,4.90
2016-03-04,4.90,4.90,4.90,4.90,000,4.90
2016-03-03,4.90,4.90,4.90,4.90,000,4.90
2016-03-02,4.90,4.90,4.90,4.90,000,4.90
2016-03-01,4.90,4.90,4.90,4.90,000,4.90
2016-02-29,4.90,4.90,4.90,4.90,100,4.90
2016-02-26,5.00,5.00,5.00,5.00,000,5.00
2016-02-25,5.00,5.00,5.00,5.00,000,5.00
2016-02-24,5.01,5.01,5.00,5.00,2000,5.00
2016-02-23,5.01,5.01,5.01,5.01,700,5.01
2016-02-22,5.01,5.01,5.01,5.01,000,5.01
2016-02-19,5.01,5.01,5.01,5.01,000,5.01
2016-02-18,5.01,5.01,5.01,5.01,300,5.01
2016-02-17,5.01,5.01,5.01,5.01,000,5.01
2016-02-16,5.01,5.01,5.01,5.01,000,5.01
2016-02-12,5.01,5.01,5.01,5.01,000,5.01
2016-02-11,5.01,5.01,5.01,5.01,000,5.01
