Date,Open,High,Low,Close,Volume,Adj_Close
2016-02-24,3.074,3.074,3.074,3.074,000,3.074
2016-02-23,3.01,3.104,3.005,3.074,7100,3.074
2016-02-22,2.927,3.029,2.908,3.029,8000,3.029
2016-02-19,3.015,3.044,2.956,2.956,10800,2.956
2016-02-18,2.986,3.042,2.927,3.03,5600,3.03
2016-02-17,2.898,3.00,2.82,2.97,2600,2.97
2016-02-16,2.849,2.976,2.849,2.908,500,2.908
2016-02-15,2.83,2.888,2.83,2.855,1300,2.855
2016-02-12,2.883,2.893,2.761,2.849,2200,2.849
2016-02-11,2.874,2.988,2.854,2.963,6200,2.963
2016-02-10,2.903,3.005,2.888,2.919,5200,2.919
2016-02-09,2.991,2.994,2.849,2.849,500,2.849
2016-02-08,2.981,3.016,2.835,3.013,5400,3.013
2016-02-05,3.03,3.03,2.957,3.016,2100,3.016
2016-02-04,3.088,3.088,2.84,3.035,13200,3.035
2016-02-03,3.049,3.10,2.986,3.098,800,3.098
2016-02-02,3.166,3.166,3.08,3.154,500,3.154
2016-02-01,3.166,3.166,3.098,3.108,100,3.108
2016-01-29,3.43,3.493,3.43,3.493,900,3.493
2016-01-28,3.571,3.647,3.444,3.523,1300,3.523
2016-01-27,3.576,3.639,3.444,3.633,11300,3.633
2016-01-26,3.474,3.663,3.474,3.65,17200,3.65
2016-01-25,3.566,3.626,3.527,3.626,700,3.626
2016-01-22,3.593,3.65,3.583,3.65,1200,3.65
2016-01-21,3.464,3.521,3.443,3.453,200,3.453
2016-01-20,3.493,3.52,3.455,3.52,2000,3.52
2016-01-19,3.513,3.61,3.513,3.599,14000,3.599
2016-01-18,3.538,3.603,3.464,3.464,3800,3.464
2016-01-15,3.662,3.662,3.583,3.583,8600,3.583
2016-01-14,3.628,3.645,3.585,3.585,1100,3.585
2016-01-13,3.729,3.80,3.729,3.749,600,3.749
2016-01-12,3.605,3.738,3.605,3.738,100,3.738
2016-01-11,3.659,3.773,3.659,3.773,2900,3.773
2016-01-08,3.552,3.647,3.552,3.647,100,3.647
2016-01-07,3.444,3.546,3.444,3.546,000,3.546
2016-01-06,3.493,3.60,3.493,3.60,4300,3.60
2016-01-05,3.495,3.62,3.495,3.612,1600,3.612
2016-01-04,3.518,3.54,3.518,3.54,100,3.54
2016-01-01,3.501,3.501,3.501,3.501,000,3.501
2015-12-31,3.501,3.501,3.501,3.501,000,3.501
2015-12-30,3.498,3.676,3.49,3.501,900,3.501
2015-12-29,3.44,3.63,3.44,3.586,1700,3.586
2015-12-28,3.446,3.61,3.446,3.505,1900,3.505
2015-12-25,3.578,3.578,3.578,3.578,000,3.578
2015-12-24,3.578,3.578,3.578,3.578,000,3.578
2015-12-23,3.462,3.578,3.437,3.578,5800,3.578
2015-12-22,3.429,3.561,3.39,3.561,2800,3.561
2015-12-21,3.342,3.541,3.342,3.526,1600,3.526
2015-12-18,3.395,3.412,3.395,3.402,3800,3.402
2015-12-17,3.403,3.52,3.403,3.507,17200,3.507
2015-12-16,3.37,3.503,3.37,3.473,7800,3.473
2015-12-15,3.331,3.48,3.331,3.48,4900,3.48
2015-12-14,3.315,3.45,3.315,3.368,5800,3.368
2015-12-11,3.391,3.462,3.37,3.415,3100,3.415
2015-12-10,3.409,3.488,3.409,3.488,8600,3.488
2015-12-09,3.518,3.579,3.461,3.492,6800,3.492
2015-12-08,3.609,3.651,3.555,3.596,21900,3.596
2015-12-07,3.585,3.70,3.585,3.68,8600,3.68
2015-12-04,3.599,3.65,3.585,3.585,2100,3.585
2015-12-03,3.741,3.85,3.667,3.703,1300,3.703
2015-12-02,3.664,3.81,3.664,3.81,2100,3.81
2015-12-01,3.63,3.777,3.63,3.777,6900,3.777
2015-11-30,3.575,3.689,3.575,3.689,3000,3.689
2015-11-27,3.61,3.658,3.61,3.658,100,3.658
2015-11-26,3.617,3.687,3.617,3.687,200,3.687
2015-11-25,3.638,3.638,3.638,3.638,000,3.638
2015-11-24,3.66,3.691,3.66,3.691,000,3.691
2015-11-23,3.668,3.686,3.668,3.686,100,3.686
2015-11-20,3.61,3.755,3.61,3.755,200,3.755
2015-11-19,3.633,3.68,3.633,3.68,2400,3.68
2015-11-18,3.654,3.673,3.654,3.671,200,3.671
2015-11-17,3.612,3.676,3.612,3.665,900,3.665
2015-11-16,3.562,3.562,3.562,3.562,000,3.562
2015-11-13,3.625,3.625,3.618,3.618,000,3.618
2015-11-12,3.635,3.75,3.635,3.674,2800,3.674
2015-11-11,3.582,3.708,3.582,3.708,1700,3.708
2015-11-10,3.714,3.714,3.714,3.714,000,3.714
2015-11-09,3.741,3.80,3.732,3.733,1100,3.733
2015-11-06,3.75,3.75,3.734,3.734,900,3.734
2015-11-05,3.764,3.764,3.74,3.74,2800,3.74
2015-11-04,3.716,3.761,3.716,3.745,600,3.745
2015-11-03,3.563,3.71,3.563,3.71,11300,3.71
2015-11-02,3.54,3.66,3.54,3.628,500,3.628
2015-10-30,3.539,3.645,3.539,3.645,3200,3.645
2015-10-29,3.248,3.591,3.248,3.591,53800,3.591
2015-10-28,3.196,3.227,3.196,3.227,000,3.227
2015-10-27,3.242,3.242,3.242,3.242,000,3.242
2015-10-26,3.29,3.29,3.247,3.247,500,3.247
2015-10-23,3.336,3.336,3.336,3.336,1000,3.336
2015-10-22,3.235,3.35,3.235,3.35,100,3.35
2015-10-21,3.274,3.349,3.274,3.349,000,3.349
2015-10-20,3.238,3.279,3.238,3.25,000,3.25
2015-10-19,3.237,3.306,3.237,3.299,800,3.299
2015-10-16,3.268,3.268,3.265,3.265,100,3.265
2015-10-15,3.228,3.265,3.228,3.253,3800,3.253
2015-10-14,3.137,3.137,3.137,3.137,000,3.137
2015-10-13,3.234,3.234,3.202,3.202,000,3.202
2015-10-12,3.211,3.211,3.211,3.211,000,3.211
2015-10-09,3.29,3.29,3.29,3.29,000,3.29
2015-10-08,3.251,3.31,3.251,3.31,000,3.31
2015-10-07,3.25,3.25,3.25,3.25,000,3.25
2015-10-06,3.224,3.301,3.224,3.299,100,3.299
2015-10-05,3.20,3.26,3.20,3.26,000,3.26
2015-10-02,3.16,3.26,3.16,3.26,000,3.26
2015-10-01,3.257,3.257,3.166,3.166,300,3.166
2015-09-30,3.131,3.202,3.131,3.202,6100,3.202
2015-09-29,3.058,3.129,3.058,3.129,100,3.129
2015-09-28,3.08,3.08,3.08,3.08,000,3.08
2015-09-25,3.142,3.152,3.141,3.152,400,3.152
2015-09-24,3.126,3.126,3.029,3.029,200,3.029
2015-09-23,3.07,3.07,3.07,3.07,000,3.07
2015-09-22,3.121,3.121,3.095,3.095,200,3.095
2015-09-21,3.088,3.16,3.088,3.16,000,3.16
2015-09-18,3.081,3.129,3.081,3.124,100,3.124
2015-09-17,3.193,3.193,3.15,3.15,000,3.15
2015-09-16,3.059,3.161,3.059,3.161,000,3.161
2015-09-15,3.095,3.095,3.095,3.095,000,3.095
2015-09-14,2.994,3.104,2.994,3.104,400,3.104
2015-09-11,3.057,3.057,3.037,3.037,300,3.037
