Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,31.25,31.438,30.00,30.50,73300,30.50
2016-03-31,31.75,31.75,31.75,31.75,219100,31.75
2016-03-30,30.25,34.00,30.25,32.125,210400,32.125
2016-03-29,30.25,32.00,30.00,30.50,56000,30.50
2016-03-28,31.25,31.25,31.25,31.25,000,31.25
2016-03-24,31.00,31.00,30.25,31.25,514700,31.25
2016-03-23,32.00,32.00,32.00,31.75,60200,31.75
2016-03-22,32.00,32.00,31.50,31.50,42600,31.50
2016-03-21,31.00,31.50,30.625,31.25,327300,31.25
2016-03-18,31.459,31.459,31.313,31.25,6000,31.25
2016-03-17,31.50,31.50,31.00,31.00,107300,31.00
2016-03-16,31.00,31.50,31.00,31.00,558100,31.00
2016-03-15,32.25,32.25,32.25,32.25,000,32.25
2016-03-14,32.50,33.00,32.50,32.50,116600,32.50
2016-03-11,32.50,32.50,30.625,32.25,61100,32.25
2016-03-10,32.00,32.00,32.00,32.25,50000,32.25
2016-03-09,32.25,32.25,32.25,32.25,000,32.25
2016-03-08,32.50,32.50,32.50,31.75,60000,31.75
2016-03-07,31.50,32.50,30.938,32.375,220400,32.375
2016-03-04,32.10,32.10,32.10,31.875,205000,31.875
2016-03-03,31.75,33.00,31.75,32.75,510300,32.75
2016-03-02,31.25,32.90,31.00,32.875,162800,32.875
2016-03-01,32.50,33.00,32.03,33.00,213300,33.00
2016-02-29,33.25,33.50,30.75,33.00,227400,33.00
2016-02-26,31.50,34.00,31.25,32.00,86300,32.00
2016-02-25,33.50,35.00,31.50,33.00,245200,33.00
2016-02-24,31.00,36.00,30.64,35.75,1860200,35.75
2016-02-23,26.75,31.55,26.50,31.375,2700400,31.375
2016-02-22,26.00,28.00,24.125,26.50,264200,26.50
2016-02-19,25.75,26.00,25.25,25.625,180000,25.625
2016-02-18,25.00,25.25,25.00,24.875,1574100,24.875
2016-02-17,24.00,28.00,23.25,24.875,2066200,24.875
2016-02-16,24.00,25.00,24.00,24.875,420000,24.875
2016-02-15,25.00,25.00,25.00,25.00,000,25.00
2016-02-12,26.00,26.80,24.00,24.875,466400,24.875
2016-02-11,23.25,26.00,21.75,25.75,477300,25.75
2016-02-10,21.25,22.00,20.75,22.25,268200,22.25
2016-02-09,22.25,22.25,22.25,22.25,000,22.25
2016-02-08,22.00,22.813,21.05,23.00,82300,23.00
2016-02-05,22.195,22.195,22.195,22.75,10700,22.75
2016-02-04,22.375,22.375,22.375,22.375,000,22.375
2016-02-03,22.25,22.50,21.688,22.50,210000,22.50
2016-02-02,21.00,22.00,21.00,22.625,80000,22.625
2016-02-01,21.00,21.063,21.00,21.00,150800,21.00
2016-01-29,21.25,21.25,21.00,20.75,80700,20.75
2016-01-28,23.00,23.00,22.00,23.50,401700,23.50
2016-01-27,22.75,23.50,21.00,22.75,537600,22.75
2016-01-26,21.50,23.00,21.088,23.00,436500,23.00
2016-01-25,23.00,23.00,21.00,23.25,482300,23.25
2016-01-22,22.50,23.00,21.25,23.50,85000,23.50
2016-01-21,23.25,24.00,20.75,22.00,287100,22.00
2016-01-20,24.00,24.00,22.50,22.50,100000,22.50
2016-01-19,24.50,25.00,24.00,25.00,94500,25.00
2016-01-18,26.00,26.50,25.00,25.875,179300,25.875
2016-01-15,25.00,25.00,24.50,24.25,20000,24.25
2016-01-14,24.46,24.46,24.01,24.375,1000,24.375
2016-01-13,24.00,25.00,23.82,24.50,169500,24.50
2016-01-12,24.75,24.91,24.50,24.625,172000,24.625
2016-01-11,26.00,26.75,24.00,25.50,82000,25.50
2016-01-08,23.75,25.00,22.50,25.00,2387300,25.00
2016-01-07,24.00,24.00,24.00,24.25,150000,24.25
2016-01-06,24.50,24.633,24.50,24.25,34000,24.25
2016-01-05,27.00,27.00,25.00,24.75,43100,24.75
2016-01-04,25.00,27.00,24.00,24.75,180400,24.75
2015-12-31,24.50,24.50,24.50,24.50,000,24.50
2015-12-30,25.00,25.00,25.00,24.50,200,24.50
2015-12-29,24.00,24.68,23.50,24.50,112300,24.50
2015-12-24,25.00,25.00,25.00,25.00,000,25.00
2015-12-23,24.00,25.00,24.00,24.75,20700,24.75
2015-12-22,25.00,25.00,24.75,24.75,90600,24.75
2015-12-21,23.25,26.51,23.25,24.75,193600,24.75
2015-12-18,21.00,25.52,21.00,24.75,301400,24.75
2015-12-17,18.75,18.75,18.75,20.25,7300,20.25
2015-12-16,19.50,20.50,18.50,20.50,57900,20.50
2015-12-15,21.25,21.25,21.25,21.25,000,21.25
2015-12-14,21.25,21.25,21.25,21.25,000,21.25
2015-12-11,21.25,21.25,21.25,21.25,000,21.25
2015-12-10,21.203,21.203,21.203,20.875,23500,20.875
2015-12-09,20.50,21.672,20.45,21.25,151800,21.25
2015-12-08,22.25,22.75,20.75,21.00,2130700,21.00
2015-12-07,24.25,24.25,23.51,24.625,17600,24.625
2015-12-04,24.00,24.00,24.00,24.00,000,24.00
2015-12-03,23.75,24.25,23.50,24.25,56700,24.25
2015-12-02,20.50,24.00,20.50,23.00,104100,23.00
2015-12-01,20.00,21.293,20.00,21.50,125100,21.50
2015-11-30,19.00,20.25,18.64,20.625,177700,20.625
2015-11-27,20.00,21.00,18.75,21.25,124800,21.25
2015-11-26,21.00,21.00,21.00,21.00,50000,21.00
2015-11-25,19.25,19.25,19.00,21.00,109200,21.00
2015-11-24,19.00,20.44,18.00,19.625,226800,19.625
2015-11-23,20.625,20.625,20.625,20.625,000,20.625
2015-11-20,20.50,21.25,20.45,20.875,120900,20.875
2015-11-19,23.00,24.00,19.50,20.00,471500,20.00
2015-11-18,24.00,24.00,22.00,22.50,48500,22.50
2015-11-17,24.50,24.50,24.50,24.50,000,24.50
