Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,0.002,0.002,0.002,0.002,1598800,0.002
2016-03-31,0.002,0.002,0.002,0.002,2730100,0.002
2016-03-30,0.002,0.002,0.002,0.002,512200,0.002
2016-03-29,0.002,0.002,0.002,0.002,2692500,0.002
2016-03-28,0.002,0.002,0.002,0.002,13389000,0.002
2016-03-24,0.002,0.002,0.002,0.002,3423200,0.002
2016-03-23,0.002,0.002,0.002,0.002,778200,0.002
2016-03-22,0.002,0.002,0.002,0.002,1950800,0.002
2016-03-21,0.002,0.003,0.002,0.002,5713600,0.002
2016-03-18,0.003,0.003,0.002,0.003,3092600,0.003
2016-03-17,0.003,0.003,0.002,0.003,9173600,0.003
2016-03-16,0.003,0.003,0.003,0.003,4092100,0.003
2016-03-15,0.004,0.004,0.003,0.003,2961500,0.003
2016-03-14,0.004,0.004,0.003,0.004,5725400,0.004
2016-03-11,0.005,0.005,0.003,0.004,5830100,0.004
2016-03-10,0.007,0.007,0.004,0.004,7857500,0.004
2016-03-09,0.004,0.008,0.004,0.005,14231000,0.005
2016-03-08,0.004,0.005,0.004,0.004,2268400,0.004
2016-03-07,0.005,0.005,0.004,0.004,5577200,0.004
2016-03-04,0.003,0.005,0.003,0.005,11296600,0.005
2016-03-03,0.008,0.008,0.003,0.003,20619500,0.003
2016-03-02,0.005,0.016,0.005,0.007,24819300,0.007
2016-03-01,0.002,0.005,0.002,0.003,10153400,0.003
2016-02-29,0.002,0.002,0.002,0.002,486200,0.002
2016-02-26,0.002,0.002,0.001,0.001,8094100,0.001
2016-02-25,0.001,0.002,0.001,0.002,13936900,0.002
2016-02-24,0.001,0.002,0.001,0.001,3220200,0.001
2016-02-23,0.001,0.001,0.001,0.001,172800,0.001
2016-02-22,0.001,0.001,0.001,0.001,2424600,0.001
2016-02-19,0.001,0.001,0.001,0.001,7793900,0.001
2016-02-18,0.001,0.001,0.001,0.001,3615400,0.001
2016-02-17,0.001,0.001,0.001,0.001,3964100,0.001
2016-02-16,0.001,0.001,0.001,0.001,000,0.001
2016-02-12,0.001,0.001,0.001,0.001,105000,0.001
2016-02-11,0.001,0.001,0.001,0.001,1863700,0.001
2016-02-10,0.001,0.002,0.001,0.001,6905600,0.001
2016-02-09,0.002,0.002,0.001,0.001,5709900,0.001
2016-02-08,0.001,0.001,0.001,0.001,1225200,0.001
2016-02-05,0.001,0.002,0.001,0.002,539300,0.002
2016-02-04,0.001,0.001,0.001,0.001,1900400,0.001
2016-02-03,0.002,0.002,0.001,0.001,6094300,0.001
2016-02-02,0.002,0.002,0.001,0.001,7655900,0.001
2016-02-01,0.003,0.003,0.001,0.001,8679000,0.001
2016-01-29,0.002,0.003,0.002,0.003,571300,0.003
2016-01-28,0.002,0.002,0.002,0.002,2841900,0.002
2016-01-27,0.003,0.003,0.002,0.002,1635000,0.002
2016-01-26,0.004,0.004,0.002,0.003,10915600,0.003
2016-01-25,0.004,0.004,0.003,0.004,2470400,0.004
2016-01-22,0.002,0.004,0.002,0.004,3153500,0.004
2016-01-21,0.002,0.002,0.002,0.002,2610600,0.002
2016-01-20,0.003,0.003,0.002,0.002,774400,0.002
2016-01-19,0.005,0.005,0.002,0.002,3396800,0.002
2016-01-15,0.005,0.005,0.005,0.005,000,0.005
2016-01-14,0.005,0.005,0.005,0.005,000,0.005
2016-01-13,0.005,0.005,0.005,0.005,464000,0.005
2016-01-12,0.006,0.006,0.005,0.005,578200,0.005
2016-01-11,0.007,0.007,0.005,0.006,1611900,0.006
2016-01-08,0.01,0.01,0.005,0.006,881100,0.006
2016-01-07,0.01,0.01,0.008,0.008,50000,0.008
2016-01-06,0.014,0.014,0.01,0.01,239800,0.01
2016-01-05,0.013,0.014,0.013,0.014,6900,0.014
2016-01-04,0.017,0.017,0.015,0.015,74000,0.015
2015-12-31,0.017,0.017,0.017,0.017,2000,0.017
2015-12-30,0.019,0.019,0.018,0.019,67500,0.019
2015-12-29,0.017,0.018,0.017,0.018,4400,0.018
2015-12-28,0.019,0.019,0.017,0.017,114000,0.017
2015-12-24,0.016,0.016,0.016,0.016,000,0.016
2015-12-23,0.016,0.016,0.016,0.016,2000,0.016
2015-12-22,0.019,0.019,0.016,0.016,22500,0.016
2015-12-21,0.021,0.021,0.017,0.017,70900,0.017
2015-12-18,0.023,0.023,0.021,0.021,8000,0.021
2015-12-17,0.022,0.023,0.021,0.021,43800,0.021
2015-12-16,0.022,0.022,0.022,0.022,000,0.022
2015-12-15,0.022,0.022,0.022,0.022,7000,0.022
2015-12-14,0.022,0.022,0.022,0.022,000,0.022
2015-12-11,0.025,0.025,0.021,0.022,13800,0.022
2015-12-10,0.022,0.022,0.022,0.022,000,0.022
2015-12-09,0.025,0.025,0.022,0.022,1800,0.022
2015-12-08,0.022,0.022,0.022,0.022,000,0.022
2015-12-07,0.021,0.022,0.021,0.022,21200,0.022
2015-12-04,0.03,0.03,0.021,0.025,42600,0.025
2015-12-03,0.04,0.04,0.04,0.04,7700,0.04
2015-12-02,0.04,0.04,0.04,0.04,600,0.04
2015-12-01,0.029,0.029,0.029,0.029,1000,0.029
2015-11-30,0.029,0.029,0.029,0.029,1000,0.029
2015-11-27,0.029,0.029,0.029,0.029,000,0.029
2015-11-25,0.029,0.029,0.029,0.029,6300,0.029
2015-11-24,0.03,0.03,0.029,0.029,4100,0.029
2015-11-23,0.033,0.033,0.033,0.033,10000,0.033
2015-11-20,0.033,0.033,0.033,0.033,600,0.033
2015-11-19,0.036,0.036,0.033,0.033,10100,0.033
2015-11-18,0.033,0.04,0.03,0.04,52600,0.04
2015-11-17,0.039,0.04,0.033,0.033,79000,0.033
2015-11-16,0.03,0.039,0.03,0.039,56400,0.039
2015-11-13,0.022,0.022,0.022,0.022,2300,0.022
2015-11-12,0.039,0.039,0.039,0.039,000,0.039
2015-11-11,0.039,0.039,0.039,0.039,1400,0.039
2015-11-10,0.039,0.039,0.025,0.039,27500,0.039
2015-11-09,0.022,0.022,0.022,0.022,1500,0.022
2015-11-06,0.031,0.031,0.031,0.031,000,0.031
2015-11-05,0.031,0.031,0.031,0.031,000,0.031
2015-11-04,0.031,0.031,0.031,0.031,2000,0.031
2015-11-03,0.022,0.022,0.022,0.022,000,0.022
2015-11-02,0.022,0.022,0.022,0.022,000,0.022
2015-10-30,0.022,0.022,0.022,0.022,300,0.022
2015-10-29,0.021,0.021,0.021,0.021,300,0.021
2015-10-28,0.029,0.029,0.029,0.029,25000,0.029
2015-10-27,0.022,0.022,0.022,0.022,600,0.022
2015-10-26,0.03,0.03,0.02,0.02,6800,0.02
2015-10-23,0.035,0.035,0.035,0.035,31500,0.035
2015-10-22,0.03,0.03,0.03,0.03,13000,0.03
2015-10-21,0.03,0.035,0.03,0.035,7300,0.035
2015-10-20,0.035,0.035,0.035,0.035,3300,0.035
2015-10-19,0.02,0.03,0.02,0.03,34000,0.03
2015-10-16,0.025,0.025,0.016,0.018,70500,0.018
2015-10-15,0.031,0.031,0.02,0.02,12200,0.02
