Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,74.25,74.55,72.60,73.75,2355000,72.803
2016-03-31,73.30,75.25,73.289,75.20,2863500,74.234
2016-03-30,73.15,74.00,72.00,73.25,4144500,72.309
2016-03-29,72.80,74.60,72.53,74.00,2399500,73.049
2016-03-28,72.30,72.30,72.30,72.30,000,71.371
2016-03-24,74.00,74.419,71.95,72.30,4081900,71.371
2016-03-23,74.60,76.25,74.111,74.75,1818300,73.79
2016-03-22,75.50,75.526,74.35,74.90,2385500,73.938
2016-03-21,75.95,76.75,74.95,74.95,2075800,73.987
2016-03-18,75.05,76.20,72.50,75.80,6680200,74.826
2016-03-17,78.00,78.05,76.05,76.25,3335100,75.271
2016-03-16,77.65,77.90,76.85,77.00,3724600,76.011
2016-03-15,79.45,79.90,77.15,77.20,2318300,76.208
2016-03-14,77.85,79.30,77.85,79.00,1574200,77.985
2016-03-11,75.55,77.75,75.172,77.30,2333000,76.307
2016-03-10,75.75,77.10,74.70,75.00,2580400,74.037
2016-03-09,76.15,78.15,75.772,77.40,1878700,76.406
2016-03-08,77.50,78.30,75.75,77.85,1768800,76.85
2016-03-07,78.70,79.10,75.95,76.25,2702500,75.271
2016-03-04,78.80,79.506,78.10,78.60,1328900,77.59
2016-03-03,79.75,79.75,78.15,78.60,1381500,77.59
2016-03-02,81.15,81.50,79.15,80.25,2151700,79.219
2016-03-01,80.15,81.45,79.00,81.45,2467000,80.404
2016-02-29,77.50,80.005,77.50,80.00,1738900,78.972
2016-02-26,75.95,79.30,75.95,78.35,4226100,77.344
2016-02-25,76.50,78.35,75.70,76.20,2426000,75.221
2016-02-24,77.60,78.088,74.85,75.70,2730400,74.728
2016-02-23,78.40,79.233,77.45,78.15,2387500,77.146
2016-02-22,78.05,80.10,78.05,78.95,3064900,77.936
2016-02-19,77.20,79.15,77.20,78.85,2330400,77.837
2016-02-18,75.90,78.10,75.35,77.85,2538300,76.85
2016-02-17,74.05,75.90,74.05,75.10,2893900,74.135
2016-02-16,74.70,75.497,74.133,74.85,1410800,73.889
2016-02-15,75.60,76.62,74.70,74.80,1469600,73.839
2016-02-12,71.75,75.25,71.75,74.65,3180200,73.691
2016-02-11,75.25,75.25,72.10,72.50,1916900,71.569
2016-02-10,73.30,75.40,73.30,74.65,1767800,73.691
2016-02-09,76.50,76.50,73.25,73.65,2037800,72.704
2016-02-08,78.30,78.90,74.998,75.35,2330000,74.382
2016-02-05,78.60,80.55,78.30,78.45,2436700,77.442
2016-02-04,78.40,79.65,77.40,78.55,2125900,77.541
2016-02-03,79.65,80.00,77.40,77.80,2198100,76.801
2016-02-02,79.15,79.90,77.369,79.50,2511800,78.479
2016-02-01,78.90,79.30,77.20,79.00,3229900,77.985
2016-01-29,79.35,79.35,77.85,78.40,1459200,77.393
2016-01-28,78.00,79.385,77.207,78.20,2391200,77.196
2016-01-27,77.00,77.70,76.05,77.60,1494000,76.603
2016-01-26,77.30,77.65,75.99,77.30,1823700,76.307
2016-01-25,77.50,78.45,76.807,77.50,1928700,76.505
2016-01-22,77.90,78.15,76.95,78.00,3113600,76.998
2016-01-21,75.75,77.50,75.35,77.05,1896000,76.06
2016-01-20,76.25,76.55,75.237,75.90,2656100,74.925
2016-01-19,77.80,77.916,76.10,76.35,2236300,75.369
2016-01-18,77.50,78.40,75.85,76.55,3648600,75.567
2016-01-15,77.15,77.70,75.60,76.60,2723200,75.616
2016-01-14,76.10,78.45,74.272,76.30,5441000,75.32
2016-01-13,77.30,78.074,76.05,76.75,13748700,75.764
2016-01-12,72.60,77.936,72.238,76.50,9665800,75.517
2016-01-11,64.90,66.10,63.75,66.00,4974400,65.152
2016-01-08,67.35,68.95,64.80,64.85,7103300,64.017
2016-01-07,69.75,69.95,67.30,67.70,4246200,66.83
2016-01-06,70.75,71.528,69.85,70.00,3685800,69.101
2016-01-05,72.20,72.20,70.70,71.20,2590100,70.285
2016-01-04,72.50,72.85,72.00,72.50,3272500,71.569
2015-12-31,73.55,73.628,72.70,73.25,926900,72.309
2015-12-30,73.05,73.89,72.90,73.00,1322100,72.062
2015-12-29,74.00,74.00,72.85,73.40,2057900,72.457
2015-12-28,74.10,74.10,74.10,74.10,000,73.148
2015-12-25,74.10,74.10,74.10,74.10,000,73.148
2015-12-24,73.35,74.50,72.90,74.10,579100,73.148
2015-12-23,73.00,73.95,72.90,73.00,3659200,72.062
2015-12-22,74.65,74.65,72.90,73.25,2334400,72.309
2015-12-21,72.65,74.45,72.55,73.60,2659800,72.655
2015-12-18,72.50,73.35,72.25,72.95,4017300,72.013
2015-12-17,73.55,73.55,72.50,73.10,4632600,72.161
2015-12-16,75.80,76.50,73.20,73.30,3749200,72.358
2015-12-15,74.65,76.40,73.40,75.95,3222700,74.974
2015-12-14,76.15,77.00,74.40,74.70,2875400,73.741
2015-12-11,77.65,77.85,76.55,77.10,3341100,76.11
2015-12-10,76.70,78.00,76.29,78.00,3495100,76.998
2015-12-09,78.25,79.23,76.85,77.65,4664000,76.653
2015-12-08,78.35,79.05,77.30,78.65,2544300,77.64
2015-12-07,78.50,80.65,78.50,79.10,2956500,78.084
2015-12-04,78.55,80.90,78.45,80.10,2112200,79.071
2015-12-03,83.40,84.286,78.495,79.65,5011400,78.627
2015-12-02,83.95,85.90,83.95,85.40,2397300,81.934
2015-12-01,84.45,84.45,83.55,84.10,2905500,80.687
2015-11-30,82.60,83.80,82.60,83.60,2179600,80.207
2015-11-27,81.00,83.30,80.643,82.80,2814900,79.439
2015-11-26,81.60,82.002,79.85,80.80,1349900,77.521
2015-11-25,80.70,82.15,80.30,81.30,2101800,78.00
2015-11-24,81.75,81.75,80.00,80.70,19769500,77.425
2015-11-23,82.95,83.15,81.90,81.90,1685000,78.576
2015-11-20,82.05,83.10,80.90,82.65,2284500,79.296
2015-11-19,83.00,83.10,80.75,81.00,5253500,77.712
2015-11-18,81.80,82.167,81.40,81.50,2064600,78.192
2015-11-17,84.60,84.60,82.10,82.50,3134700,79.152
2015-11-16,82.00,83.90,81.80,83.00,1621600,79.631
2015-11-13,84.65,84.748,82.50,83.50,2522700,80.111
2015-11-12,86.10,86.75,84.35,84.35,1364500,80.927
2015-11-11,87.75,87.996,86.15,86.40,2016900,82.893
2015-11-10,88.60,89.25,86.90,86.90,2849200,83.373
2015-11-09,87.65,89.95,87.65,89.10,2794800,85.484
2015-11-06,88.60,89.95,88.322,89.10,2528900,85.484
2015-11-05,89.50,89.75,88.45,88.85,1348900,85.244
2015-11-04,90.00,90.00,87.70,89.00,3497500,85.388
2015-11-03,88.50,89.75,87.80,89.60,1899200,85.963
2015-11-02,88.95,89.45,87.20,88.55,2569300,84.956
2015-10-30,88.70,89.70,87.95,89.45,1572300,85.82
2015-10-29,87.80,88.90,87.60,88.05,1862400,84.476
2015-10-28,86.40,87.80,85.40,87.70,1469200,84.141
2015-10-27,86.40,86.65,85.50,86.05,1670900,82.558
2015-10-26,87.60,87.60,85.65,85.90,2105200,82.414
2015-10-23,85.85,87.60,84.00,87.00,2708800,83.469
2015-10-22,82.70,86.25,82.70,83.80,5510600,80.399
2015-10-21,82.80,83.40,81.15,81.15,2264500,77.856
2015-10-20,82.65,83.90,82.65,83.55,1566000,80.159
2015-10-19,83.00,84.00,82.34,82.85,1856000,79.487
2015-10-16,82.20,84.00,82.00,83.35,1786600,79.967
2015-10-15,80.85,82.296,79.794,82.00,1067000,78.672
2015-10-14,80.30,81.80,80.30,80.70,1288500,77.425
2015-10-13,82.10,82.40,79.90,82.15,1762300,78.816
2015-10-12,80.30,82.70,79.516,82.40,1883600,79.056
2015-10-09,81.35,81.35,79.50,80.25,1219100,76.993
2015-10-08,80.20,80.75,79.45,80.65,1018400,77.377
2015-10-07,81.50,81.75,80.10,80.25,1518400,76.993
2015-10-06,81.35,82.05,80.90,81.75,1373000,78.432
2015-10-05,80.80,81.75,79.57,81.25,1131200,77.952
2015-10-02,79.30,80.85,79.20,79.80,1296400,76.561
2015-10-01,79.75,80.25,79.00,79.20,1031100,75.986
2015-09-30,79.25,79.55,78.10,79.00,1494500,75.794
2015-09-29,78.10,79.667,77.45,78.25,2128600,75.074
2015-09-28,79.30,79.30,78.15,78.40,2439800,75.218
2015-09-25,76.50,79.70,76.50,79.00,2067200,75.794
2015-09-24,76.60,77.60,75.50,75.65,2656300,72.58
2015-09-23,74.75,77.00,74.75,76.70,2332000,73.587
2015-09-22,74.65,75.30,73.65,75.05,5135200,72.004
2015-09-21,75.50,75.778,74.70,75.00,2848100,71.956
2015-09-18,76.30,76.30,73.90,75.50,3780200,72.436
2015-09-17,76.50,76.95,76.15,76.50,1239200,73.395
2015-09-16,75.05,76.40,75.05,76.40,1169300,73.299
2015-09-15,75.30,75.50,73.70,74.85,1199700,71.812
