Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,129.50,129.50,129.50,127.50,1200,127.50
2016-03-31,127.50,127.50,127.50,127.50,000,127.50
2016-03-30,127.50,127.50,127.50,127.50,000,127.50
2016-03-29,127.50,127.50,127.50,127.50,000,127.50
2016-03-28,127.50,127.50,127.50,127.50,000,127.50
2016-03-24,128.00,128.00,125.50,127.50,3000,127.50
2016-03-23,128.00,128.00,128.00,127.50,2200,127.50
2016-03-22,126.50,126.50,126.50,126.50,000,126.50
2016-03-21,126.50,126.50,126.50,126.50,000,126.50
2016-03-18,126.50,126.50,126.50,126.50,000,126.50
2016-03-17,126.50,126.50,126.50,126.50,000,126.50
2016-03-16,126.50,126.50,126.50,126.50,000,126.50
2016-03-15,126.50,126.50,126.50,126.50,000,126.50
2016-03-14,126.50,126.50,126.50,126.50,000,126.50
2016-03-11,126.50,126.50,126.50,126.50,000,126.50
2016-03-10,126.50,126.50,126.50,126.50,000,126.50
2016-03-09,126.50,126.50,126.50,126.50,000,126.50
2016-03-08,126.50,126.50,126.50,126.50,000,126.50
2016-03-07,125.00,125.00,125.00,126.50,2500,126.50
2016-03-04,127.50,127.50,127.50,127.50,000,127.50
2016-03-03,127.50,127.50,127.50,127.50,000,127.50
2016-03-02,127.50,127.50,127.50,127.50,000,127.50
2016-03-01,130.25,125.25,125.25,127.50,1000,127.50
2016-02-29,125.00,125.50,125.00,127.50,12400,127.50
2016-02-26,127.50,127.50,127.50,127.50,000,127.50
2016-02-25,127.50,127.50,127.50,127.50,000,127.50
2016-02-24,127.50,127.50,127.50,127.50,000,127.50
2016-02-23,127.50,127.50,127.50,127.50,000,127.50
2016-02-22,127.50,127.50,127.50,127.50,000,127.50
2016-02-19,127.50,127.50,127.50,127.50,000,127.50
2016-02-18,125.50,125.50,125.50,127.50,2500,127.50
2016-02-17,127.50,127.50,127.50,127.50,000,127.50
2016-02-16,130.00,130.00,126.25,127.50,7900,127.50
2016-02-15,127.00,127.00,126.00,127.50,7700,127.50
2016-02-12,127.50,127.50,127.50,127.50,000,127.50
2016-02-11,127.50,127.50,127.50,127.50,000,127.50
2016-02-10,127.50,127.50,127.50,127.50,000,127.50
2016-02-09,127.00,127.00,127.00,127.50,1000,127.50
2016-02-08,127.50,127.50,127.50,127.50,000,127.50
2016-02-05,126.90,127.00,126.90,127.50,2500,127.50
2016-02-04,123.50,123.50,123.50,123.50,000,123.50
2016-02-03,126.50,126.50,126.50,126.50,000,126.50
2016-02-02,130.00,130.00,130.00,128.00,200,128.00
2016-02-01,125.00,130.00,125.00,128.50,8700,128.50
2016-01-29,126.75,126.75,126.75,126.50,1000,126.50
2016-01-28,122.00,125.00,121.00,123.50,7900,123.50
2016-01-27,117.50,117.50,117.50,118.50,1000,118.50
2016-01-26,116.50,116.50,116.50,116.50,000,116.50
2016-01-25,116.50,116.50,116.50,116.50,000,116.50
2016-01-22,116.50,116.50,116.50,116.50,000,116.50
2016-01-21,116.50,116.50,116.50,116.50,000,116.50
2016-01-20,116.50,116.50,116.50,116.50,000,116.50
2016-01-19,116.50,116.50,116.50,116.50,000,116.50
2016-01-18,116.50,116.50,116.50,116.50,000,116.50
2016-01-15,116.50,116.50,116.50,116.50,000,116.50
2016-01-14,116.50,116.50,116.50,116.50,000,116.50
2016-01-13,116.50,116.50,116.50,116.50,000,116.50
2016-01-12,115.10,115.10,115.10,117.50,700,117.50
2016-01-11,118.00,118.00,115.50,117.50,11000,117.50
2016-01-08,116.50,116.50,116.50,116.50,000,116.50
2016-01-07,113.00,113.00,113.00,116.50,2000,116.50
2016-01-06,117.00,117.00,117.00,116.50,700,116.50
2016-01-05,115.00,115.00,115.00,115.00,000,115.00
2016-01-04,116.90,116.90,116.90,115.00,600,115.00
2015-12-31,115.00,115.00,115.00,115.00,000,115.00
2015-12-30,115.00,115.00,115.00,115.00,000,115.00
2015-12-29,115.00,115.00,115.00,115.00,000,115.00
2015-12-28,115.00,115.00,115.00,115.00,000,115.00
2015-12-25,115.00,115.00,115.00,115.00,000,115.00
2015-12-24,115.00,115.00,115.00,115.00,000,115.00
2015-12-23,115.00,115.00,115.00,115.00,000,115.00
2015-12-22,113.00,113.00,113.00,115.00,100,115.00
2015-12-21,115.00,115.00,115.00,115.00,000,115.00
2015-12-18,114.50,114.50,114.50,114.50,000,114.50
2015-12-17,113.50,113.50,113.50,113.50,000,113.50
2015-12-16,117.00,117.00,117.00,112.50,8900,112.50
2015-12-15,112.50,112.50,112.50,112.50,000,112.50
2015-12-14,110.25,110.25,110.25,112.50,1200,112.50
2015-12-11,110.00,110.00,110.00,112.50,1000,112.50
2015-12-10,113.00,113.00,113.00,112.50,800,112.50
2015-12-09,112.50,113.00,112.50,110.00,300,110.00
2015-12-08,124.00,132.00,107.10,110.00,9300,110.00
2015-12-07,138.00,141.00,132.00,134.50,3700,134.50
2015-12-04,144.00,144.00,141.00,143.00,9900,143.00
2015-12-03,152.00,155.00,138.00,143.00,39300,143.00
