Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,8.01,8.09,7.98,8.09,32100,8.09
2016-03-31,8.02,8.05,7.96,8.04,48000,8.04
2016-03-30,7.96,8.06,7.91,7.97,63100,7.97
2016-03-29,7.87,7.99,7.87,7.96,57600,7.96
2016-03-28,7.90,8.00,7.81,7.94,51300,7.882
2016-03-25,7.94,7.94,7.94,7.94,000,7.882
2016-03-24,7.97,7.97,7.75,7.94,143100,7.882
2016-03-23,8.11,8.11,7.91,7.92,151900,7.862
2016-03-22,8.12,8.16,8.07,8.10,102500,8.04
2016-03-21,8.13,8.15,8.03,8.12,104200,8.06
2016-03-18,8.18,8.19,8.09,8.09,90100,8.031
2016-03-17,8.20,8.20,8.08,8.16,142500,8.10
2016-03-16,8.08,8.19,8.04,8.13,89800,8.07
2016-03-15,8.06,8.10,8.00,8.08,59800,8.021
2016-03-14,8.01,8.12,7.96,8.08,77400,8.021
2016-03-11,8.10,8.16,8.00,8.00,138000,7.941
2016-03-10,8.00,8.10,7.92,8.10,178400,8.04
2016-03-09,8.17,8.24,7.91,8.13,197600,8.07
2016-03-08,8.14,8.25,8.07,8.11,107300,8.05
2016-03-07,8.21,8.26,8.11,8.12,101600,8.06
2016-03-04,8.15,8.18,8.11,8.15,156200,8.09
2016-03-03,7.99,8.11,7.99,8.10,97900,8.04
2016-03-02,7.98,8.13,7.98,8.01,146300,7.951
2016-03-01,7.86,7.99,7.82,7.99,146100,7.931
2016-02-29,7.75,7.88,7.75,7.84,122100,7.782
2016-02-26,7.70,7.84,7.65,7.73,245900,7.673
2016-02-25,7.76,7.85,7.66,7.70,304300,7.643
2016-02-24,7.86,7.91,7.78,7.85,195900,7.734
2016-02-23,7.90,8.00,7.89,7.91,115800,7.794
2016-02-22,7.90,7.96,7.85,7.92,164000,7.803
2016-02-19,7.85,7.87,7.76,7.78,326300,7.665
2016-02-18,7.68,7.97,7.68,7.88,171000,7.764
2016-02-17,7.50,7.66,7.48,7.62,168200,7.508
2016-02-16,7.50,7.60,7.43,7.47,134700,7.36
2016-02-15,7.43,7.43,7.43,7.43,000,7.321
2016-02-12,7.25,7.43,7.25,7.43,317300,7.321
2016-02-11,7.35,7.42,7.15,7.24,168300,7.133
2016-02-10,7.38,7.49,7.37,7.41,323700,7.301
2016-02-09,7.43,7.43,7.19,7.34,312400,7.232
2016-02-08,7.47,7.48,7.40,7.46,151000,7.35
2016-02-05,7.35,7.49,7.35,7.45,121300,7.34
2016-02-04,7.25,7.46,7.25,7.42,151500,7.311
2016-02-03,7.28,7.34,7.22,7.30,51400,7.193
2016-02-02,7.17,7.28,7.15,7.28,129600,7.173
2016-02-01,7.26,7.26,7.10,7.20,300600,7.094
2016-01-29,7.12,7.19,7.08,7.17,172900,7.064
2016-01-28,7.05,7.12,6.99,7.08,434500,6.976
2016-01-27,6.88,7.06,6.81,6.97,313400,6.867
2016-01-26,6.66,6.86,6.62,6.86,167200,6.702
2016-01-25,6.64,6.69,6.52,6.60,237800,6.448
2016-01-22,6.58,6.72,6.51,6.57,135200,6.418
2016-01-21,6.23,6.51,6.16,6.49,186500,6.34
2016-01-20,6.41,6.42,6.02,6.22,295400,6.076
2016-01-19,6.32,6.55,6.24,6.48,261200,6.33
2016-01-18,6.34,6.41,6.22,6.29,96200,6.145
2016-01-15,6.51,6.51,6.28,6.30,186800,6.154
2016-01-14,6.58,6.65,6.35,6.56,249500,6.408
2016-01-13,6.72,6.87,6.60,6.63,143200,6.477
2016-01-12,6.82,6.85,6.55,6.72,169100,6.565
2016-01-11,6.90,6.92,6.73,6.74,179400,6.584
2016-01-08,6.87,6.93,6.85,6.89,84000,6.731
2016-01-07,6.98,6.98,6.80,6.83,175400,6.672
2016-01-06,7.16,7.17,6.99,7.03,154200,6.868
2016-01-05,7.16,7.22,7.16,7.18,33300,7.014
2016-01-04,7.14,7.20,7.00,7.17,104600,7.004
2016-01-01,7.18,7.18,7.18,7.18,000,7.014
2015-12-31,7.23,7.24,7.18,7.18,42200,7.014
2015-12-30,7.21,7.26,7.21,7.25,57600,7.083
2015-12-29,7.20,7.25,7.20,7.23,58500,7.063
2015-12-28,7.25,7.25,7.25,7.25,000,7.026
2015-12-25,7.25,7.25,7.25,7.25,000,7.026
2015-12-24,7.18,7.25,7.18,7.25,74000,7.026
2015-12-23,7.17,7.30,7.17,7.24,132600,7.016
2015-12-22,7.26,7.26,7.17,7.21,74700,6.987
2015-12-21,7.20,7.32,7.20,7.25,104300,7.026
2015-12-18,7.03,7.21,7.01,7.17,141000,6.948
2015-12-17,7.23,7.24,7.03,7.05,255300,6.832
2015-12-16,7.10,7.25,7.05,7.23,156600,7.006
2015-12-15,6.91,7.10,6.91,7.10,287600,6.88
2015-12-14,7.20,7.21,6.92,6.95,351600,6.735
2015-12-11,7.46,7.48,7.25,7.27,183400,7.045
2015-12-10,7.53,7.59,7.48,7.50,221600,7.268
2015-12-09,7.63,7.71,7.50,7.56,133600,7.326
2015-12-08,7.67,7.73,7.58,7.63,96300,7.394
2015-12-07,7.76,7.87,7.69,7.75,195000,7.51
2015-12-04,7.85,7.85,7.77,7.78,80200,7.539
2015-12-03,7.81,7.83,7.73,7.83,117700,7.588
2015-12-02,7.90,7.90,7.81,7.84,96200,7.597
2015-12-01,7.92,7.95,7.87,7.90,64500,7.655
2015-11-30,7.95,8.00,7.88,7.92,118700,7.675
2015-11-27,7.93,7.95,7.86,7.95,60900,7.704
2015-11-26,7.87,7.95,7.85,7.94,56700,7.694
2015-11-25,7.97,8.04,7.85,7.93,158900,7.628
2015-11-24,8.03,8.07,7.92,7.94,95500,7.638
2015-11-23,8.00,8.04,8.00,8.01,57400,7.705
2015-11-20,7.93,8.03,7.91,7.99,94400,7.686
2015-11-19,7.83,7.98,7.80,7.97,98600,7.666
2015-11-18,7.82,7.88,7.78,7.83,64200,7.532
2015-11-17,7.89,7.93,7.78,7.81,71800,7.513
2015-11-16,7.89,7.91,7.73,7.84,129000,7.541
2015-11-13,7.81,7.94,7.79,7.89,61400,7.589
2015-11-12,7.83,7.90,7.78,7.82,106000,7.522
2015-11-11,7.82,7.92,7.76,7.90,114600,7.599
2015-11-10,7.90,7.91,7.77,7.79,46900,7.493
2015-11-09,7.96,7.99,7.84,7.88,63400,7.58
2015-11-06,8.04,8.09,7.95,7.98,85100,7.676
2015-11-05,8.15,8.17,8.03,8.04,104600,7.734
2015-11-04,8.17,8.18,8.03,8.17,73900,7.859
2015-11-03,8.11,8.20,8.05,8.14,55100,7.83
2015-11-02,8.05,8.12,7.99,8.08,115200,7.772
2015-10-30,8.10,8.13,8.01,8.04,67000,7.734
2015-10-29,8.05,8.14,8.05,8.08,48400,7.772
2015-10-28,8.19,8.21,8.08,8.09,58000,7.782
2015-10-27,8.29,8.29,8.10,8.11,44400,7.745
2015-10-26,8.30,8.32,8.25,8.26,52300,7.888
2015-10-23,8.25,8.28,8.15,8.25,160500,7.879
2015-10-22,8.10,8.27,8.10,8.21,197100,7.841
2015-10-21,8.01,8.15,8.00,8.13,42900,7.764
2015-10-20,7.96,8.06,7.96,8.04,87800,7.678
2015-10-19,7.96,8.02,7.96,8.00,28700,7.64
2015-10-16,8.00,8.02,7.93,8.00,75000,7.64
2015-10-15,7.99,8.01,7.85,7.95,91700,7.592
2015-10-14,8.04,8.075,7.92,7.94,74500,7.583
2015-10-13,8.06,8.09,7.98,8.04,68700,7.678
2015-10-12,8.05,8.05,8.05,8.05,000,7.688
2015-10-09,8.00,8.10,7.98,8.05,79800,7.688
2015-10-08,8.04,8.08,7.99,8.02,76000,7.659
2015-10-07,8.02,8.10,7.99,8.03,87200,7.669
2015-10-06,7.93,8.00,7.90,7.96,67600,7.602
2015-10-05,7.86,8.00,7.86,7.98,52100,7.621
2015-10-02,7.74,7.88,7.70,7.86,39700,7.506
2015-10-01,7.93,7.93,7.74,7.78,44000,7.43
2015-09-30,7.70,7.89,7.70,7.89,44900,7.535
2015-09-29,7.76,7.81,7.64,7.71,109000,7.363
2015-09-28,7.85,7.85,7.71,7.75,57200,7.401
2015-09-25,7.95,7.95,7.90,7.90,40900,7.489
2015-09-24,7.95,7.95,7.85,7.89,37300,7.479
2015-09-23,8.07,8.11,7.90,7.92,64000,7.508
2015-09-22,7.98,8.12,7.98,8.08,49700,7.659
2015-09-21,8.00,8.08,7.96,8.03,43800,7.612
2015-09-18,7.95,8.07,7.95,7.96,60200,7.546
2015-09-17,7.99,8.09,7.94,8.01,27800,7.593
2015-09-16,7.98,8.10,7.91,8.01,42800,7.593
2015-09-15,7.91,7.97,7.87,7.90,34300,7.489
2015-09-14,7.82,7.97,7.82,7.97,122200,7.555
2015-09-11,7.95,7.95,7.78,7.80,33600,7.394
2015-09-10,7.90,7.95,7.84,7.93,54600,7.517
2015-09-09,7.94,8.03,7.90,7.95,103800,7.536
2015-09-08,7.85,8.01,7.85,7.93,30500,7.517
2015-09-07,7.90,7.90,7.90,7.90,000,7.489
2015-09-04,8.08,8.12,7.875,7.90,100300,7.489
2015-09-03,8.01,8.16,8.01,8.11,22400,7.688
2015-09-02,7.96,8.02,7.83,8.00,55000,7.584
2015-09-01,8.00,8.00,7.84,7.88,36400,7.47
2015-08-31,8.10,8.16,8.00,8.07,63700,7.65
2015-08-28,7.93,8.13,7.89,8.10,44300,7.678
2015-08-27,7.90,8.02,7.85,7.94,81200,7.527
2015-08-26,7.77,7.85,7.71,7.83,45400,7.367
2015-08-25,7.83,7.91,7.66,7.66,119700,7.207
2015-08-24,7.84,7.88,7.36,7.59,168500,7.141
2015-08-21,8.11,8.18,7.98,8.05,97600,7.574
2015-08-20,8.28,8.28,8.10,8.11,44300,7.631
2015-08-19,8.24,8.25,8.17,8.25,82200,7.762
2015-08-18,8.20,8.25,8.15,8.23,39300,7.743
2015-08-17,8.15,8.21,8.13,8.20,40600,7.715
2015-08-14,8.10,8.15,8.10,8.15,33800,7.668
2015-08-13,8.18,8.18,8.08,8.12,127200,7.64
2015-08-12,8.15,8.19,8.10,8.17,93900,7.687
2015-08-11,8.15,8.15,8.00,8.13,42600,7.649
2015-08-10,8.05,8.17,8.05,8.15,38600,7.668
2015-08-07,8.02,8.12,8.02,8.11,51500,7.631
2015-08-06,8.06,8.08,7.95,8.02,61000,7.546
2015-08-05,7.99,8.16,7.95,8.06,113200,7.584
2015-08-04,7.90,7.97,7.90,7.92,99200,7.452
2015-08-03,7.90,7.90,7.90,7.90,000,7.433
2015-07-31,8.01,8.03,7.90,7.90,80400,7.433
2015-07-30,7.96,8.10,7.94,7.98,73100,7.508
2015-07-29,7.99,8.06,7.86,8.03,62400,7.555
2015-07-28,7.82,7.97,7.81,7.94,148700,7.416
2015-07-27,7.96,8.01,7.78,7.83,159100,7.313
2015-07-24,8.08,8.11,8.00,8.02,33600,7.49
2015-07-23,8.15,8.15,8.07,8.12,52500,7.584
2015-07-22,8.18,8.21,8.11,8.18,48800,7.64
2015-07-21,8.14,8.25,8.14,8.23,117900,7.687
2015-07-20,8.24,8.24,8.13,8.16,27300,7.621
2015-07-17,8.20,8.25,8.13,8.24,47900,7.696
2015-07-16,8.24,8.24,8.18,8.22,98900,7.677
2015-07-15,8.18,8.27,8.16,8.20,72600,7.659
2015-07-14,8.24,8.24,8.17,8.20,71900,7.659
2015-07-13,8.16,8.23,8.15,8.22,41000,7.677
2015-07-10,8.20,8.25,8.12,8.12,46300,7.584
2015-07-09,8.32,8.32,8.10,8.14,66900,7.603
2015-07-08,8.40,8.41,8.25,8.26,49200,7.715
2015-07-07,8.36,8.45,8.24,8.44,52300,7.883
2015-07-06,8.16,8.45,8.15,8.39,62200,7.836
2015-07-03,8.21,8.21,8.11,8.19,33300,7.649
2015-07-02,8.25,8.25,8.19,8.23,35200,7.687
2015-07-01,8.18,8.18,8.18,8.18,000,7.64
2015-06-30,8.20,8.31,8.01,8.18,122600,7.64
