Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,366.60,367.30,362.30,364.10,4152700,364.10
2016-03-31,372.60,372.60,368.90,370.20,3690900,370.20
2016-03-30,375.20,376.20,370.20,373.00,3792800,373.00
2016-03-29,372.00,375.00,369.90,371.60,3351900,371.60
2016-03-28,369.90,369.90,369.90,369.90,000,369.90
2016-03-24,372.60,374.90,369.20,369.90,3257500,369.90
2016-03-23,376.80,377.80,373.30,375.50,4522900,375.50
2016-03-22,376.70,380.20,373.10,380.20,3316500,380.20
2016-03-21,374.30,379.10,374.175,376.80,2408900,376.80
2016-03-18,375.00,378.50,374.10,375.50,6927200,375.50
2016-03-17,374.60,377.50,369.20,375.20,4412200,375.20
2016-03-16,367.00,374.80,365.64,372.40,4081900,372.40
2016-03-15,364.80,367.60,362.00,365.80,2791800,365.80
2016-03-14,367.30,371.10,364.90,366.60,3004900,366.60
2016-03-11,362.70,368.60,361.90,366.50,4534600,366.50
2016-03-10,379.70,379.702,356.30,358.60,12592000,358.60
2016-03-09,394.30,397.80,391.50,394.90,3753500,385.70
2016-03-08,392.80,393.10,385.90,392.00,4628600,382.868
2016-03-07,398.20,402.80,392.60,395.40,4818800,386.188
2016-03-04,399.70,406.30,397.90,398.70,6541100,389.411
2016-03-03,408.70,409.15,396.10,399.00,6751000,389.704
2016-03-02,412.00,416.00,406.00,407.80,4700600,398.299
2016-03-01,389.00,414.10,389.00,409.60,10646400,400.058
2016-02-29,385.10,389.60,385.10,388.60,7663400,379.547
2016-02-26,387.00,389.00,383.90,388.80,4292600,379.742
2016-02-25,378.20,386.30,378.20,384.30,5531500,375.347
2016-02-24,375.60,377.60,372.20,373.50,3625400,364.799
2016-02-23,376.60,381.10,374.30,377.20,2813100,368.412
2016-02-22,378.00,381.60,377.20,378.20,1540400,369.389
2016-02-19,375.60,376.80,370.50,374.70,3123400,365.971
2016-02-18,376.50,378.00,373.20,375.60,3623900,366.85
2016-02-17,365.70,376.20,363.10,376.00,3609800,367.24
2016-02-16,367.20,367.95,361.80,365.80,2595800,357.278
2016-02-15,363.10,368.60,362.90,364.00,4195300,355.52
2016-02-12,352.10,357.90,349.00,357.80,4871400,349.464
2016-02-11,354.10,354.10,343.30,350.10,5420200,341.944
