Date,Open,High,Low,Close,Volume,Adj_Close
2012-03-29,13.755,13.755,13.755,13.755,000,8.799
2012-03-28,13.515,13.515,13.515,13.515,000,8.646
2012-03-27,13.665,13.665,13.665,13.665,000,8.742
2012-03-26,13.655,13.655,13.655,13.655,000,8.735
2012-03-23,13.755,13.755,13.755,13.755,000,8.799
2012-03-22,13.665,13.665,13.665,13.665,000,8.742
2012-03-21,13.815,13.815,13.815,13.815,000,8.838
2012-03-20,14.26,14.26,14.26,14.26,000,9.122
2012-03-19,13.855,13.855,13.855,13.855,000,8.863
2012-03-16,13.22,13.22,13.22,13.22,000,8.457
2012-03-15,13.22,13.22,13.22,13.22,000,8.457
2012-03-14,13.21,13.21,13.21,13.21,000,8.451
2012-03-13,12.92,12.92,12.92,12.92,000,8.265
2012-03-12,12.87,12.87,12.87,12.87,000,8.233
2012-03-09,12.87,12.87,12.87,12.87,000,8.233
2012-03-08,12.865,12.865,12.865,12.865,000,8.23
2012-03-07,12.865,12.865,12.865,12.865,000,8.23
2012-03-06,12.87,12.87,12.87,12.87,000,8.233
2012-03-05,12.87,12.87,12.87,12.87,000,8.233
2012-03-02,12.825,12.825,12.825,12.825,000,8.204
2012-03-01,12.87,12.87,12.87,12.87,000,8.233
2012-02-29,12.87,12.87,12.87,12.87,000,8.233
2012-02-28,12.855,12.855,12.855,12.855,000,8.224
2012-02-27,12.87,12.87,12.87,12.87,000,8.233
2012-02-24,12.855,12.855,12.855,12.855,000,8.224
2012-02-23,12.87,12.87,12.87,12.87,000,8.233
2012-02-22,12.87,12.87,12.87,12.87,000,8.233
2012-02-21,12.90,12.90,12.90,12.90,000,8.252
2012-02-20,12.90,12.90,12.90,12.90,000,8.252
2012-02-17,12.90,12.90,12.90,12.90,000,8.252
2012-02-16,12.855,12.855,12.855,12.855,000,8.224
2012-02-15,12.825,12.825,12.825,12.825,000,8.204
2012-02-14,12.825,12.825,12.825,12.825,000,8.204
2012-02-13,12.87,12.87,12.87,12.87,000,8.233
2012-02-10,12.87,12.87,12.87,12.87,000,8.233
2012-02-09,12.535,12.535,12.535,12.535,000,8.019
2012-02-08,12.575,12.575,12.575,12.575,000,8.044
2012-02-07,12.575,12.575,12.575,12.575,000,8.044
2012-02-06,12.37,12.37,12.37,12.37,000,7.913
2012-02-03,12.05,12.05,12.05,12.05,000,7.709
2012-02-02,12.00,12.00,12.00,12.00,000,7.677
2012-02-01,11.97,11.97,11.97,11.97,000,7.657
2012-01-31,11.89,11.89,11.89,11.89,000,7.606
2012-01-30,11.89,11.89,11.89,11.89,000,7.606
2012-01-27,11.395,11.395,11.395,11.395,000,7.29
2012-01-26,11.385,11.385,11.385,11.385,000,7.283
2012-01-25,11.385,11.385,11.385,11.385,000,7.283
2012-01-24,11.01,11.01,11.01,11.01,000,7.043
2012-01-23,11.04,11.04,11.04,11.04,000,7.062
2012-01-20,11.04,11.04,11.04,11.04,000,7.062
2012-01-19,10.90,10.90,10.90,10.90,000,6.973
2012-01-18,10.89,10.89,10.89,10.89,000,6.967
2012-01-17,10.585,10.585,10.585,10.585,000,6.771
2012-01-16,10.97,10.97,10.97,10.97,000,7.018
2012-01-13,10.545,10.545,10.545,10.545,000,6.746
2012-01-12,10.595,10.595,10.595,10.595,000,6.778
2012-01-11,10.89,10.89,10.89,10.89,000,6.967
2012-01-10,10.99,10.99,10.99,10.99,000,7.03
2012-01-09,11.04,11.04,11.04,11.04,000,7.062
2012-01-06,11.04,11.04,11.04,11.04,000,7.062
2012-01-05,11.04,11.04,11.04,11.04,000,7.062
2012-01-04,11.19,11.19,11.19,11.19,000,7.158
2012-01-03,11.395,11.395,11.395,11.395,000,7.29
2012-01-02,11.685,11.685,11.685,11.685,000,7.475
2011-12-30,11.13,11.13,11.13,11.13,000,7.12
2011-12-29,11.13,11.13,11.13,11.13,000,7.12
2011-12-28,11.14,11.14,11.14,11.14,000,7.126
2011-12-27,11.25,11.25,11.25,11.25,000,7.197
2011-12-26,11.28,11.28,11.28,11.28,000,7.216
2011-12-23,11.28,11.28,11.28,11.28,000,7.216
2011-12-22,10.705,10.705,10.705,10.705,000,6.848
