Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,1.56,1.67,1.55,1.65,23000,1.65
2016-03-31,1.65,1.65,1.56,1.56,8500,1.56
2016-03-30,1.71,1.72,1.61,1.63,22300,1.63
2016-03-29,1.75,1.77,1.70,1.74,13900,1.74
2016-03-28,1.74,1.77,1.69,1.72,22600,1.72
2016-03-24,1.71,1.72,1.70,1.72,17500,1.72
2016-03-23,1.69,1.73,1.68,1.72,6400,1.72
2016-03-22,1.73,1.75,1.71,1.75,18200,1.75
2016-03-21,1.69,1.73,1.67,1.70,18000,1.70
2016-03-18,1.68,1.72,1.67,1.72,10300,1.72
2016-03-17,1.68,1.68,1.66,1.68,12400,1.68
2016-03-16,1.59,1.66,1.55,1.65,26300,1.65
2016-03-15,1.61,1.62,1.54,1.58,21300,1.58
2016-03-14,1.66,1.66,1.62,1.62,3400,1.62
2016-03-11,1.64,1.65,1.61,1.64,3200,1.64
2016-03-10,1.57,1.63,1.55,1.63,14700,1.63
2016-03-09,1.58,1.68,1.55,1.62,24500,1.62
2016-03-08,1.65,1.65,1.58,1.59,5500,1.59
2016-03-07,1.63,1.69,1.62,1.64,22200,1.64
2016-03-04,1.64,1.64,1.60,1.61,6800,1.61
2016-03-03,1.60,1.63,1.59,1.63,7500,1.63
2016-03-02,1.60,1.61,1.60,1.61,6300,1.61
2016-03-01,1.58,1.58,1.58,1.58,000,1.58
2016-02-29,1.59,1.59,1.58,1.58,3700,1.58
2016-02-26,1.55,1.57,1.54,1.57,2500,1.57
2016-02-25,1.58,1.59,1.55,1.55,16100,1.55
2016-02-24,1.55,1.57,1.54,1.57,11200,1.57
2016-02-23,1.51,1.53,1.51,1.53,4500,1.53
2016-02-22,1.55,1.57,1.50,1.50,7500,1.50
2016-02-19,1.52,1.54,1.48,1.54,4500,1.54
2016-02-18,1.51,1.51,1.50,1.50,2600,1.50
2016-02-17,1.50,1.52,1.48,1.51,5000,1.51
2016-02-16,1.42,1.49,1.41,1.49,3800,1.49
2016-02-12,1.45,1.47,1.45,1.45,7700,1.45
2016-02-11,1.38,1.45,1.38,1.43,35100,1.43
2016-02-10,1.35,1.37,1.35,1.36,6400,1.36
2016-02-09,1.37,1.41,1.37,1.41,15900,1.41
2016-02-08,1.35,1.37,1.33,1.37,16000,1.37
