Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,908.50,915.00,901.50,908.00,70400,908.00
2016-03-31,895.00,921.55,895.00,913.50,145100,913.50
2016-03-30,922.50,924.48,893.558,899.50,264900,899.50
2016-03-29,945.50,945.50,920.00,926.50,69000,926.50
2016-03-28,921.00,921.00,921.00,921.00,000,921.00
2016-03-24,930.00,930.00,915.50,921.00,87000,921.00
2016-03-23,929.50,948.00,922.92,930.00,82600,930.00
2016-03-22,910.00,933.00,910.00,926.50,96200,926.50
2016-03-21,922.50,945.00,922.50,930.00,49700,930.00
2016-03-18,942.50,966.50,936.50,937.50,141700,937.50
2016-03-17,977.00,978.152,958.00,967.00,66300,967.00
2016-03-16,945.00,977.50,941.637,974.50,121600,974.50
2016-03-15,933.50,951.00,926.00,946.50,96200,946.50
2016-03-14,929.50,936.00,923.00,934.00,65600,934.00
2016-03-11,901.50,930.00,901.50,930.00,70800,930.00
2016-03-10,921.50,935.50,911.438,912.00,77300,912.00
2016-03-09,915.50,934.50,903.00,918.50,146600,918.50
2016-03-08,964.00,964.00,913.19,923.00,236000,923.00
2016-03-07,999.00,1000.00,951.00,953.00,94600,953.00
2016-03-04,977.50,998.50,974.40,997.00,103000,997.00
2016-03-03,1000.00,1000.00,965.00,977.50,105100,977.50
2016-03-02,1011.00,1018.00,995.00,1018.00,88600,1012.00
2016-03-01,1005.00,1005.41,990.50,992.50,68600,986.65
2016-02-29,1006.00,1006.00,975.00,995.00,108800,989.136
2016-02-26,1001.00,1010.00,986.50,992.50,57100,986.65
2016-02-25,990.00,998.50,980.62,998.50,51200,992.615
2016-02-24,970.00,979.00,964.00,979.00,59100,973.23
2016-02-23,990.00,990.00,963.50,973.50,72200,967.762
2016-02-22,960.00,983.39,960.00,970.00,59100,964.283
2016-02-19,960.00,974.50,955.68,972.50,75100,966.768
2016-02-18,953.00,971.00,947.50,967.50,142000,961.798
2016-02-17,944.00,954.50,943.50,945.00,296200,939.43
2016-02-16,927.00,951.50,920.00,940.50,65000,934.957
2016-02-15,929.00,929.00,913.50,920.00,94700,914.578
2016-02-12,910.00,932.00,909.00,910.50,81500,905.134
2016-02-11,946.00,949.00,886.00,920.00,135300,914.578
2016-02-10,842.00,934.50,842.00,934.50,162100,928.992
2016-02-09,836.50,836.50,810.035,825.00,76700,820.138
2016-02-08,821.50,838.275,814.00,820.50,178700,815.664
2016-02-05,840.50,860.00,833.50,834.50,71300,829.582
2016-02-04,851.50,869.50,840.00,857.00,38400,851.949
2016-02-03,867.50,887.50,839.00,857.50,47800,852.446
2016-02-02,892.50,898.00,876.697,885.50,30200,880.281
2016-02-01,860.00,894.50,860.00,892.50,50900,887.24
2016-01-29,871.50,889.50,868.00,876.00,67100,870.837
2016-01-28,862.50,893.50,859.50,889.50,62600,884.257
2016-01-27,869.00,869.00,845.00,865.50,60200,860.399
2016-01-26,842.00,859.00,842.00,851.50,66700,846.481
2016-01-25,860.50,869.50,837.66,856.50,50100,851.452
2016-01-22,826.50,854.00,826.50,844.00,54400,839.026
2016-01-21,803.50,858.00,803.50,834.50,108400,829.582
2016-01-20,840.00,861.94,809.075,820.00,86800,815.167
2016-01-19,859.50,867.00,854.50,857.50,71600,852.446
2016-01-18,840.50,864.14,840.50,860.50,103700,855.428
2016-01-15,850.00,865.00,845.89,860.00,71100,854.931
2016-01-14,858.50,875.00,858.50,865.00,112800,859.902
2016-01-13,880.00,887.00,858.00,879.00,163600,873.819
2016-01-12,903.00,905.00,887.00,905.00,194200,899.666
2016-01-11,919.00,919.00,877.50,882.50,67500,877.299
2016-01-08,918.50,918.50,895.08,902.50,251600,897.181
2016-01-07,920.50,920.50,887.30,896.00,130000,890.719
2016-01-06,921.50,939.00,910.00,912.00,122000,906.625
2016-01-05,900.00,946.50,900.00,929.00,68200,923.525
2016-01-04,932.50,935.50,899.50,912.50,119800,907.122
2015-12-31,959.00,959.00,932.50,943.00,15300,937.442
2015-12-30,970.00,970.00,949.69,958.00,25300,952.354
2015-12-29,957.00,965.50,940.18,957.50,27600,951.857
2015-12-28,952.00,952.00,952.00,952.00,000,946.389
2015-12-25,952.00,952.00,952.00,952.00,000,946.389
2015-12-24,942.00,960.50,942.00,952.00,11500,946.389
2015-12-23,951.00,951.00,935.00,946.00,29100,940.424
2015-12-22,955.00,955.00,932.00,936.50,28700,930.98
2015-12-21,951.00,951.00,936.00,940.00,28800,934.46
2015-12-18,964.00,964.00,936.50,941.50,97000,935.951
2015-12-17,947.00,951.26,945.00,949.50,181400,943.904
2015-12-16,930.50,948.00,930.50,944.50,151900,938.933
2015-12-15,949.50,958.50,938.00,946.00,46800,940.424
2015-12-14,951.50,958.00,940.50,943.00,23600,937.442
2015-12-11,962.00,967.50,944.00,955.00,57500,949.371
2015-12-10,962.00,968.00,951.00,965.00,48900,959.312
2015-12-09,971.50,977.50,970.00,972.00,47900,966.271
2015-12-08,993.00,993.00,970.00,979.50,39200,973.727
2015-12-07,1009.00,1009.00,972.46,978.00,54600,972.236
2015-12-04,999.00,1005.00,982.00,986.50,44400,980.686
2015-12-03,1006.00,1018.58,988.688,1002.00,46900,996.094
2015-12-02,1023.00,1023.00,995.84,1004.00,65500,998.083
2015-12-01,970.00,1001.00,970.00,998.00,93500,992.118
2015-11-30,963.00,981.00,955.70,979.50,123100,973.727
2015-11-27,954.00,964.00,953.50,963.00,319400,957.324
2015-11-26,960.00,963.102,953.00,955.50,26900,949.868
2015-11-25,952.50,960.00,950.69,958.00,204300,952.354
2015-11-24,975.00,975.00,947.477,955.00,72300,949.371
2015-11-23,955.50,979.50,948.00,977.00,125000,971.242
2015-11-20,940.50,965.50,936.00,965.50,59100,959.809
2015-11-19,960.00,966.00,955.50,958.00,59400,952.354
2015-11-18,955.00,960.00,948.00,960.00,53600,954.342
2015-11-17,947.00,970.50,933.50,962.00,60100,956.33
2015-11-16,933.50,942.00,927.50,942.00,37300,936.448
2015-11-13,935.00,943.00,908.281,939.00,66800,933.466
2015-11-12,944.50,949.95,934.00,940.00,28100,934.46
2015-11-11,939.00,954.00,937.00,954.00,54100,948.377
2015-11-10,970.00,970.00,934.00,944.50,68800,938.933
2015-11-09,963.00,966.00,935.533,959.50,46100,953.845
2015-11-06,960.00,965.00,947.00,962.50,57900,956.827
2015-11-05,946.00,957.50,946.00,957.50,35900,951.857
2015-11-04,960.00,962.50,948.00,955.00,64000,949.371
2015-11-03,950.00,955.00,940.50,953.00,34800,947.383
2015-11-02,943.00,951.00,940.00,947.00,42900,941.418
2015-10-30,936.50,958.50,936.50,947.00,62200,941.418
2015-10-29,936.50,950.00,935.50,947.50,25100,941.916
2015-10-28,968.50,968.50,944.00,948.00,46400,942.413
2015-10-27,954.50,963.68,946.50,950.00,37700,944.401
2015-10-26,940.00,950.00,940.00,950.00,42600,944.401
2015-10-23,935.00,952.50,935.00,942.50,43500,936.945
2015-10-22,949.00,951.88,942.50,945.00,283900,939.43
2015-10-21,947.00,954.00,935.00,948.00,59400,942.413
2015-10-20,927.00,951.00,925.50,945.00,52800,939.43
2015-10-19,904.00,928.50,904.00,927.00,85600,921.536
2015-10-16,930.00,932.50,907.50,920.00,122700,914.578
2015-10-15,923.00,930.00,922.15,927.50,70800,922.033
2015-10-14,949.00,957.253,932.80,942.50,85900,921.039
2015-10-13,950.00,957.00,937.20,952.00,75400,930.323
2015-10-12,925.00,951.00,925.00,947.00,66800,925.437
2015-10-09,923.00,954.50,917.70,948.00,127800,926.414
2015-10-08,907.00,928.00,900.50,915.00,106500,894.165
2015-10-07,916.00,917.37,891.50,895.00,59400,874.621
2015-10-06,913.50,919.00,905.94,912.00,47700,891.234
2015-10-05,906.00,916.50,903.50,916.50,43400,895.631
2015-10-02,905.00,910.00,898.00,905.50,62900,884.882
2015-10-01,900.00,910.00,899.50,903.50,150900,882.927
2015-09-30,890.00,900.00,885.30,900.00,75500,879.507
2015-09-29,880.00,890.00,869.50,888.50,133100,868.269
2015-09-28,894.00,895.00,884.00,888.00,113000,867.78
2015-09-25,885.00,894.00,882.00,893.50,48900,873.155
2015-09-24,887.50,894.00,876.00,880.50,87600,860.451
2015-09-23,879.50,898.00,878.00,892.00,38400,871.689
2015-09-22,890.00,891.60,880.00,889.00,81300,868.757
2015-09-21,890.00,901.50,883.00,888.50,52300,868.269
