Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,1.71,1.71,1.69,1.71,141500,1.71
2016-03-31,1.72,1.74,1.69,1.70,119600,1.70
2016-03-30,1.75,1.75,1.64,1.71,156400,1.71
2016-03-29,1.71,1.76,1.70,1.73,382800,1.73
2016-03-28,1.71,1.72,1.69,1.71,197500,1.71
2016-03-25,1.71,1.72,1.69,1.70,145300,1.70
2016-03-24,1.72,1.80,1.69,1.70,305200,1.70
2016-03-23,1.73,1.74,1.70,1.72,118400,1.72
2016-03-22,1.73,1.74,1.70,1.73,131200,1.73
2016-03-21,1.73,1.76,1.71,1.73,781600,1.73
2016-03-18,1.72,1.73,1.70,1.72,61800,1.72
2016-03-17,1.74,1.76,1.70,1.71,226800,1.71
2016-03-16,1.80,1.80,1.72,1.73,322100,1.73
2016-03-15,1.78,1.81,1.76,1.80,123500,1.80
2016-03-14,1.88,1.88,1.76,1.79,195300,1.79
2016-03-11,1.85,1.99,1.80,1.84,617100,1.84
2016-03-10,1.87,1.88,1.78,1.81,209300,1.81
2016-03-09,1.70,1.94,1.69,1.87,970700,1.87
2016-03-08,1.83,1.88,1.67,1.70,338600,1.70
2016-03-07,2.00,2.00,1.75,1.85,366200,1.85
2016-03-04,1.94,2.03,1.91,1.94,198000,1.94
2016-03-03,1.95,1.97,1.92,1.96,62100,1.96
2016-03-02,1.99,2.09,1.95,1.95,375700,1.95
2016-03-01,2.00,2.00,1.96,1.98,45300,1.98
2016-02-26,2.00,2.00,1.94,1.96,27900,1.96
2016-02-25,2.00,2.01,1.95,1.97,22400,1.97
2016-02-24,2.00,2.03,1.94,1.97,75400,1.97
2016-02-23,2.02,2.07,1.98,1.99,143100,1.99
2016-02-22,2.05,2.09,1.98,2.02,349700,2.02
2016-02-19,2.01,2.21,1.99,2.06,316100,2.06
2016-02-18,2.03,2.05,2.00,2.01,75400,2.01
2016-02-17,2.07,2.11,2.00,2.01,121900,2.01
2016-02-16,2.00,2.09,1.97,2.03,21000,2.03
2016-02-15,2.00,2.08,1.97,2.00,40200,2.00
2016-02-12,2.06,2.08,2.00,2.01,35900,2.01
2016-02-11,2.06,2.12,2.02,2.05,7400,2.05
2016-02-09,2.12,2.15,2.03,2.05,69500,2.05
2016-02-08,2.14,2.16,2.10,2.10,50500,2.10
2016-02-05,2.14,2.15,2.09,2.14,71900,2.14
2016-02-04,2.13,2.19,2.12,2.14,53000,2.14
2016-02-03,2.19,2.19,2.11,2.15,142300,2.15
2016-02-02,2.05,2.35,2.04,2.15,390200,2.15
2016-02-01,2.05,2.05,2.00,2.03,34700,2.03
2016-01-29,2.01,2.06,1.99,2.03,61500,2.03
2016-01-28,2.06,2.06,2.01,2.03,34300,2.03
2016-01-27,2.09,2.09,2.03,2.06,38500,2.06
2016-01-26,2.07,2.08,2.05,2.06,17600,2.06
2016-01-21,2.06,2.09,2.02,2.06,166300,2.06
2016-01-20,2.03,2.10,2.00,2.04,273600,2.04
2016-01-19,2.02,2.05,1.98,2.04,98400,2.04
2016-01-18,2.00,2.01,1.97,2.00,349600,2.00
2016-01-15,1.90,2.01,1.89,2.00,345500,2.00
2016-01-14,1.80,1.93,1.79,1.89,458900,1.89
2016-01-12,1.79,1.79,1.74,1.77,26000,1.77
2016-01-11,1.77,1.78,1.72,1.76,70100,1.76
2016-01-08,1.75,1.78,1.71,1.77,41900,1.77
2016-01-07,1.69,1.77,1.66,1.73,28000,1.73
2016-01-06,1.66,1.70,1.65,1.67,42000,1.67
2016-01-05,1.78,1.78,1.65,1.67,148900,1.67
2016-01-04,1.80,1.82,1.73,1.73,16400,1.73
2016-01-01,1.77,1.77,1.77,1.77,000,1.77
2015-12-31,1.80,1.80,1.76,1.77,32700,1.77
2015-12-30,1.79,1.80,1.79,1.80,11700,1.80
2015-12-29,1.77,1.85,1.75,1.77,51400,1.77
2015-12-28,1.77,1.80,1.74,1.76,66400,1.76
2015-12-25,1.72,1.82,1.72,1.75,58500,1.75
2015-12-24,1.77,1.79,1.67,1.72,65000,1.72
2015-12-23,1.80,1.81,1.76,1.77,52800,1.77
2015-12-22,1.83,1.84,1.77,1.78,64000,1.78
2015-12-21,1.92,2.05,1.81,1.81,197300,1.81
2015-12-18,1.91,1.92,1.87,1.90,11800,1.90
2015-12-17,1.94,1.97,1.90,1.91,79100,1.91
2015-12-16,1.99,2.00,1.88,1.92,51300,1.92
2015-12-15,1.94,1.99,1.92,1.99,83100,1.99
2015-12-14,1.92,2.06,1.85,1.92,339300,1.92
2015-12-11,1.82,2.00,1.82,1.90,305400,1.90
2015-12-10,1.90,1.92,1.84,1.85,73800,1.85
2015-12-09,1.86,1.89,1.80,1.89,95700,1.89
2015-12-08,1.86,1.88,1.78,1.84,183700,1.84
2015-12-07,1.94,1.95,1.82,1.83,68300,1.83
2015-12-04,1.96,1.96,1.81,1.90,122200,1.90
2015-12-03,1.96,1.98,1.90,1.94,85600,1.94
2015-12-02,1.92,1.96,1.89,1.93,95900,1.93
2015-12-01,1.92,2.05,1.88,1.92,304100,1.92
2015-11-27,1.89,1.91,1.86,1.89,114200,1.89
2015-11-26,1.95,1.95,1.86,1.88,34900,1.88
2015-11-25,1.90,1.95,1.87,1.94,46400,1.94
2015-11-24,1.99,1.99,1.89,1.90,33900,1.90
2015-11-23,2.01,2.02,1.99,2.01,47400,2.01
2015-11-20,2.00,2.02,1.97,2.00,49400,2.00
2015-11-19,1.99,2.01,1.96,1.98,46100,1.98
2015-11-18,1.92,2.00,1.86,1.92,208300,1.92
2015-11-17,1.86,1.87,1.80,1.86,33500,1.86
2015-11-16,1.85,1.86,1.79,1.85,97100,1.85
2015-11-13,1.86,1.86,1.75,1.86,54500,1.86
2015-11-12,1.83,1.84,1.78,1.83,17700,1.83
2015-11-11,1.89,1.89,1.84,1.84,29500,1.84
2015-11-10,1.79,1.83,1.79,1.83,62000,1.83
