Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,3.15,3.15,2.86,2.99,105900,2.99
2016-03-31,2.91,3.35,2.91,3.09,356600,3.09
2016-03-30,2.71,2.98,2.71,2.90,194800,2.90
2016-03-29,2.62,2.70,2.43,2.70,129200,2.70
2016-03-28,2.55,2.55,2.55,2.55,000,2.55
2016-03-25,2.55,2.55,2.55,2.55,000,2.55
2016-03-24,2.62,2.62,2.55,2.55,42100,2.55
2016-03-23,2.54,2.62,2.43,2.62,263700,2.62
2016-03-22,2.25,2.64,2.25,2.54,350900,2.54
2016-03-21,2.23,2.23,2.21,2.23,30300,2.23
2016-03-18,2.14,2.19,2.10,2.19,66600,2.19
2016-03-17,2.15,2.19,2.14,2.19,47600,2.19
2016-03-16,2.20,2.20,2.07,2.13,28100,2.13
2016-03-15,2.08,2.15,2.08,2.15,88400,2.15
2016-03-14,1.95,2.10,1.95,2.03,161100,2.03
2016-03-11,2.00,2.08,1.92,1.92,72100,1.92
2016-03-10,2.10,2.10,1.94,1.98,63100,1.98
2016-03-09,2.00,2.18,1.89,2.04,93900,2.04
2016-03-08,1.94,2.05,1.90,2.01,114400,2.01
2016-03-07,1.97,1.97,1.86,1.88,4100,1.88
2016-03-04,1.85,1.97,1.79,1.97,46700,1.97
2016-03-03,1.85,1.88,1.85,1.88,14700,1.88
2016-03-02,1.81,1.89,1.81,1.89,36500,1.89
2016-03-01,1.86,1.86,1.84,1.85,50900,1.85
2016-02-29,1.88,1.88,1.82,1.82,10400,1.82
2016-02-26,1.87,1.90,1.83,1.88,9600,1.88
2016-02-25,1.89,1.90,1.83,1.88,64200,1.88
2016-02-24,1.86,1.90,1.77,1.77,31000,1.77
2016-02-23,1.90,1.97,1.85,1.90,85700,1.90
2016-02-22,1.90,1.95,1.85,1.95,42900,1.95
2016-02-19,1.97,1.97,1.97,1.97,000,1.97
2016-02-18,1.97,2.00,1.90,1.97,79800,1.97
2016-02-17,2.02,2.03,1.95,2.00,22500,2.00
2016-02-16,1.99,2.04,1.92,2.00,48500,2.00
2016-02-15,1.95,2.06,1.95,1.98,45900,1.98
2016-02-12,2.00,2.05,1.95,1.97,22400,1.97
2016-02-11,1.69,1.95,1.69,1.95,51600,1.95
2016-02-10,2.00,2.05,1.60,2.00,163100,2.00
2016-02-09,1.98,2.00,1.56,1.99,30700,1.99
2016-02-08,2.13,2.13,1.93,2.00,38700,2.00
2016-02-05,2.15,2.20,2.12,2.12,107400,2.12
2016-02-04,2.10,2.19,2.10,2.17,81100,2.17
2016-02-03,2.07,2.10,2.04,2.10,31500,2.10
2016-02-02,2.07,2.10,2.07,2.10,5700,2.10
2016-02-01,2.10,2.11,2.05,2.07,60600,2.07
2016-01-29,2.22,2.22,2.01,2.04,40900,2.04
2016-01-28,2.16,2.18,2.12,2.12,7200,2.12
2016-01-27,2.23,2.23,2.16,2.20,22600,2.20
2016-01-26,2.13,2.23,2.11,2.22,52900,2.22
2016-01-25,2.25,2.25,2.15,2.17,35200,2.17
2016-01-22,2.21,2.30,2.15,2.23,151200,2.23
2016-01-21,2.01,2.09,2.01,2.02,11000,2.02
2016-01-20,2.00,2.05,1.97,2.05,28700,2.05
2016-01-19,2.01,2.10,2.01,2.05,6900,2.05
2016-01-18,2.03,2.04,2.00,2.01,104300,2.01
2016-01-15,2.11,2.11,2.00,2.04,85200,2.04
2016-01-14,2.13,2.13,2.08,2.11,28600,2.11
2016-01-13,2.13,2.20,2.10,2.12,20800,2.12
2016-01-12,2.25,2.29,2.12,2.20,123700,2.20
2016-01-11,2.19,2.24,2.18,2.18,26500,2.18
2016-01-08,2.17,2.23,2.10,2.23,169300,2.23
2016-01-07,2.15,2.19,2.05,2.19,164900,2.19
2016-01-06,2.10,2.10,2.10,2.10,000,2.10
2016-01-05,2.20,2.20,2.10,2.10,22900,2.10
2016-01-04,2.25,2.25,2.07,2.19,101900,2.19
2016-01-01,2.25,2.25,2.25,2.25,000,2.25
2015-12-31,2.25,2.25,2.25,2.25,000,2.25
2015-12-30,2.28,2.32,2.25,2.25,49500,2.25
2015-12-29,2.36,2.36,2.19,2.29,78800,2.29
2015-12-28,2.25,2.40,2.09,2.40,101000,2.40
2015-12-25,2.27,2.27,2.27,2.27,000,2.27
2015-12-24,2.27,2.27,2.27,2.27,000,2.27
2015-12-23,2.09,2.27,2.09,2.27,86800,2.27
2015-12-22,2.16,2.16,2.05,2.11,140900,2.11
2015-12-21,2.20,2.22,2.15,2.16,130700,2.16
2015-12-18,2.22,2.22,2.16,2.22,45700,2.22
2015-12-17,2.21,2.32,2.00,2.24,119800,2.24
2015-12-16,2.20,2.28,2.18,2.28,47200,2.28
2015-12-15,2.28,2.28,2.15,2.20,54500,2.20
2015-12-14,2.30,2.34,2.15,2.27,206900,2.27
2015-12-11,2.36,2.46,2.26,2.36,261900,2.36
2015-12-10,2.26,2.49,2.20,2.40,464100,2.40
2015-12-09,2.40,2.42,2.24,2.41,283200,2.41
2015-12-08,2.50,2.53,2.37,2.45,234200,2.45
2015-12-07,2.54,2.60,2.40,2.50,475000,2.50
2015-12-04,2.41,2.53,2.34,2.50,486200,2.50
2015-12-03,2.37,2.59,2.35,2.40,995700,2.40
2015-12-02,2.20,2.35,2.11,2.35,628600,2.35
2015-12-01,2.15,2.20,2.10,2.18,86300,2.18
2015-11-30,2.10,2.18,2.10,2.15,233800,2.15
2015-11-27,2.10,2.11,2.05,2.08,18100,2.08
2015-11-26,2.10,2.10,2.04,2.08,46800,2.08
2015-11-25,2.15,2.15,2.06,2.11,61000,2.11
2015-11-24,2.10,2.11,2.05,2.11,36600,2.11
2015-11-23,2.06,2.15,2.05,2.15,64700,2.15
2015-11-20,2.05,2.13,2.00,2.06,39300,2.06
2015-11-19,2.11,2.14,1.90,2.10,337800,2.10
2015-11-18,2.17,2.17,2.08,2.13,60300,2.13
2015-11-17,2.11,2.22,2.09,2.14,231000,2.14
2015-11-16,2.24,2.25,2.12,2.18,304700,2.18
2015-11-13,2.16,2.24,2.15,2.22,460200,2.22
2015-11-12,2.06,2.22,2.01,2.15,478700,2.15
2015-11-11,2.04,2.08,2.01,2.06,85400,2.06
2015-11-10,2.00,2.10,1.98,2.04,63700,2.04
2015-11-09,2.06,2.08,1.99,2.00,137300,2.00
2015-11-06,2.08,2.14,1.96,2.05,135500,2.05
2015-11-05,2.14,2.14,1.99,2.08,66500,2.08
2015-11-04,2.09,2.12,2.03,2.10,98800,2.10
2015-11-03,2.04,2.13,2.02,2.11,194700,2.11
2015-11-02,2.01,2.15,1.87,2.05,259800,2.05
2015-10-30,2.16,2.16,2.05,2.07,143400,2.07
2015-10-29,2.31,2.35,2.17,2.17,94300,2.17
2015-10-28,2.35,2.42,2.29,2.31,69700,2.31
2015-10-27,2.23,2.36,2.20,2.31,66900,2.31
2015-10-26,2.36,2.36,2.32,2.34,12300,2.34
2015-10-23,2.43,2.43,2.29,2.38,21400,2.38
2015-10-22,2.30,2.43,2.25,2.43,80100,2.43
2015-10-21,2.31,2.31,2.26,2.30,25000,2.30
2015-10-20,2.30,2.32,2.24,2.29,23200,2.29
2015-10-19,2.45,2.45,2.23,2.27,12700,2.27
2015-10-16,2.30,2.30,2.25,2.29,4700,2.29
2015-10-15,2.22,2.28,2.20,2.28,34100,2.28
2015-10-14,2.28,2.28,2.25,2.26,47300,2.26
2015-10-13,2.30,2.32,2.29,2.29,9800,2.29
2015-10-12,2.30,2.34,2.30,2.30,9000,2.30
2015-10-09,2.28,2.30,2.28,2.30,6600,2.30
2015-10-08,2.43,2.44,2.25,2.28,28000,2.28
2015-10-07,2.37,2.42,2.35,2.35,33100,2.35
2015-10-06,2.35,2.36,2.31,2.36,24000,2.36
2015-10-05,2.39,2.42,2.36,2.36,11900,2.36
2015-10-02,2.29,2.49,2.29,2.36,127300,2.36
2015-10-01,2.37,2.37,2.24,2.25,35500,2.25
2015-09-30,2.28,2.40,2.18,2.40,77300,2.40
2015-09-29,2.24,2.28,2.18,2.26,34300,2.26
2015-09-28,2.33,2.40,2.19,2.40,41400,2.40
2015-09-25,2.25,2.37,2.25,2.33,6500,2.33
2015-09-24,2.31,2.44,2.26,2.44,20400,2.44
2015-09-23,2.35,2.39,2.26,2.31,82800,2.31
2015-09-22,2.42,2.42,2.35,2.35,15400,2.35
2015-09-21,2.40,2.42,2.34,2.40,23300,2.40
2015-09-18,2.48,2.48,2.46,2.46,4200,2.46
2015-09-17,2.42,2.46,2.30,2.46,8200,2.46
2015-09-16,2.44,2.48,2.42,2.48,27000,2.48
2015-09-15,2.48,2.48,2.42,2.42,35900,2.42
2015-09-14,2.55,2.55,2.48,2.49,45500,2.49
2015-09-11,2.38,2.50,2.38,2.50,108800,2.50
2015-09-10,2.49,2.49,2.39,2.39,24200,2.39
2015-09-09,2.48,2.50,2.42,2.49,25000,2.49
2015-09-08,2.44,2.50,2.44,2.49,28500,2.49
2015-09-07,2.34,2.49,2.34,2.45,89400,2.45
2015-09-04,2.49,2.49,2.43,2.43,27100,2.43
2015-09-03,2.45,2.45,2.41,2.41,12500,2.41
2015-09-02,2.35,2.48,2.35,2.44,23700,2.44
2015-09-01,2.27,2.55,2.27,2.35,14200,2.35
2015-08-31,2.27,2.57,2.24,2.55,35700,2.55
2015-08-28,2.36,2.49,2.36,2.46,28100,2.46
2015-08-27,2.41,2.48,2.35,2.35,53200,2.35
2015-08-26,2.40,2.49,2.40,2.49,57100,2.49
2015-08-25,2.17,2.43,2.17,2.40,59600,2.40
2015-08-24,2.25,2.34,2.05,2.34,384400,2.34
2015-08-21,2.39,2.49,2.33,2.39,121000,2.39
2015-08-20,2.48,2.52,2.40,2.52,64600,2.52
2015-08-19,2.51,2.54,2.48,2.54,34300,2.54
2015-08-18,2.44,2.48,2.41,2.48,49900,2.48
2015-08-17,2.52,2.53,2.45,2.52,122700,2.52
2015-08-14,2.60,2.60,2.50,2.57,44300,2.57
2015-08-13,2.60,2.64,2.60,2.62,55700,2.62
2015-08-12,2.64,2.67,2.50,2.50,93700,2.50
2015-08-11,2.79,2.79,2.66,2.72,26000,2.72
2015-08-10,2.58,3.00,2.55,2.81,385400,2.81
2015-08-07,2.56,2.68,2.50,2.68,64200,2.68
2015-08-06,2.54,2.58,2.51,2.56,21700,2.56
2015-08-05,2.50,2.54,2.50,2.53,10100,2.53
2015-08-04,2.55,2.59,2.50,2.57,40000,2.57
2015-08-03,2.50,2.57,2.50,2.57,24900,2.57
2015-07-31,2.53,2.60,2.42,2.60,83000,2.60
2015-07-30,2.60,2.60,2.33,2.40,111300,2.40
2015-07-29,2.84,2.90,2.39,2.63,298500,2.63
2015-07-28,2.64,2.84,2.58,2.72,64100,2.72
2015-07-27,2.61,2.64,2.58,2.64,33500,2.64
2015-07-24,2.63,2.64,2.60,2.61,29200,2.61
2015-07-23,2.51,2.63,2.51,2.63,60000,2.63
2015-07-22,2.56,2.59,2.53,2.57,24100,2.57
2015-07-21,2.64,2.65,2.56,2.57,18500,2.57
2015-07-20,2.51,2.68,2.49,2.62,109900,2.62
2015-07-17,2.56,2.56,2.49,2.56,12700,2.56
2015-07-16,2.52,2.56,2.47,2.56,57800,2.56
2015-07-15,2.57,2.60,2.57,2.57,15100,2.57
2015-07-14,2.60,2.60,2.52,2.57,15800,2.57
2015-07-13,2.62,2.62,2.56,2.56,16000,2.56
2015-07-10,2.53,2.65,2.43,2.56,102000,2.56
2015-07-09,2.55,2.60,2.50,2.51,54400,2.51
2015-07-08,2.61,2.61,2.50,2.60,15000,2.60
2015-07-07,2.63,2.63,2.53,2.60,36500,2.60
2015-07-06,2.65,2.75,2.24,2.48,177300,2.48
2015-07-03,2.46,2.75,2.46,2.75,58800,2.75
2015-07-02,2.53,2.53,2.50,2.50,9500,2.50
2015-07-01,2.43,2.75,2.43,2.50,40900,2.50
2015-06-30,2.44,2.62,2.42,2.50,53300,2.50
2015-06-29,2.50,2.50,2.36,2.50,33000,2.50
2015-06-26,2.46,2.50,2.40,2.50,19400,2.50
2015-06-25,2.53,2.54,2.47,2.50,45700,2.50
2015-06-24,2.41,2.51,2.40,2.51,25400,2.51
2015-06-23,2.42,2.50,2.42,2.50,38900,2.50
2015-06-22,2.33,2.43,2.33,2.37,56300,2.37
2015-06-19,2.39,2.39,2.39,2.39,000,2.39
2015-06-18,2.48,2.48,2.37,2.39,11600,2.39
2015-06-17,2.31,2.52,2.31,2.43,149900,2.43
2015-06-16,2.23,2.40,2.23,2.40,28300,2.40
2015-06-15,2.45,2.46,2.30,2.39,58700,2.39
2015-06-12,2.60,2.84,2.40,2.40,247300,2.40
2015-06-11,2.57,2.60,2.48,2.51,41400,2.51
2015-06-10,2.60,2.70,2.44,2.59,109200,2.59
2015-06-09,2.42,2.59,2.35,2.50,181100,2.50
2015-06-08,2.29,2.50,2.18,2.35,225100,2.35
2015-06-05,2.15,2.21,2.13,2.21,23700,2.21
2015-06-04,2.16,2.25,2.14,2.17,41700,2.17
2015-06-03,2.24,2.24,2.16,2.17,32600,2.17
2015-06-02,2.20,2.24,2.15,2.24,50900,2.24
2015-06-01,2.21,2.32,2.16,2.18,105300,2.18
2015-05-29,2.17,2.33,2.16,2.24,71000,2.24
