Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,1.524,1.524,1.524,1.524,500,1.524
2016-03-31,1.60,1.60,1.60,1.60,3000,1.60
2016-03-30,1.60,1.60,1.60,1.60,000,1.60
2016-03-29,1.60,1.61,1.60,1.601,13000,1.601
2016-03-28,1.50,1.50,1.50,1.50,000,1.50
2016-03-25,1.50,1.50,1.50,1.50,000,1.50
2016-03-24,1.301,1.571,1.301,1.50,11300,1.50
2016-03-23,1.301,1.301,1.301,1.301,000,1.301
2016-03-22,1.301,1.301,1.301,1.301,000,1.301
2016-03-21,1.301,1.301,1.301,1.301,000,1.301
2016-03-18,1.275,1.275,1.275,1.275,000,1.275
2016-03-17,1.275,1.275,1.275,1.275,000,1.275
2016-03-16,1.276,1.276,1.275,1.275,500,1.275
2016-03-15,1.275,1.275,1.275,1.275,000,1.275
2016-03-14,1.275,1.275,1.275,1.275,000,1.275
2016-03-11,1.275,1.275,1.275,1.275,000,1.275
2016-03-10,1.26,1.26,1.26,1.26,000,1.26
2016-03-09,1.257,1.257,1.257,1.257,2000,1.257
2016-03-08,1.20,1.32,1.20,1.32,500,1.32
2016-03-07,1.20,1.20,1.20,1.20,000,1.20
2016-03-04,1.20,1.20,1.20,1.20,000,1.20
2016-03-03,1.20,1.20,1.20,1.20,000,1.20
2016-03-02,1.19,1.19,1.19,1.19,000,1.19
2016-03-01,1.19,1.19,1.19,1.19,000,1.19
2016-02-29,1.19,1.19,1.19,1.19,000,1.19
2016-02-26,1.19,1.19,1.19,1.19,000,1.19
2016-02-25,1.19,1.19,1.19,1.19,000,1.19
2016-02-24,1.19,1.19,1.19,1.19,000,1.19
2016-02-23,1.19,1.19,1.19,1.19,000,1.19
2016-02-22,1.19,1.19,1.19,1.19,000,1.19
2016-02-19,1.19,1.19,1.19,1.19,000,1.19
2016-02-18,1.19,1.19,1.19,1.19,000,1.19
2016-02-17,1.19,1.19,1.19,1.19,000,1.19
2016-02-16,1.19,1.19,1.19,1.19,000,1.19
2016-02-15,1.25,1.25,1.25,1.25,300,1.25
2016-02-12,1.25,1.25,1.25,1.25,000,1.25
2016-02-11,1.25,1.25,1.25,1.25,000,1.25
2016-02-10,1.25,1.25,1.25,1.25,000,1.25
