Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,8.70,8.91,8.67,8.90,302400,8.90
2016-03-31,8.68,8.75,8.67,8.71,279400,8.71
2016-03-30,8.65,8.68,8.65,8.68,204700,8.68
2016-03-29,8.68,8.68,8.60,8.64,209000,8.64
2016-03-28,8.61,8.71,8.60,8.68,176800,8.613
2016-03-25,8.57,8.57,8.57,8.57,000,8.504
2016-03-24,8.60,8.61,8.52,8.57,238000,8.504
2016-03-23,8.70,8.72,8.52,8.61,249100,8.544
2016-03-22,8.75,8.77,8.70,8.70,194200,8.633
2016-03-21,8.76,8.79,8.70,8.77,224700,8.703
2016-03-18,8.78,8.83,8.68,8.69,604300,8.623
2016-03-17,8.72,8.83,8.66,8.73,387500,8.663
2016-03-16,8.64,8.75,8.64,8.64,342400,8.574
2016-03-15,8.63,8.67,8.57,8.60,169000,8.534
2016-03-14,8.68,8.72,8.60,8.62,189900,8.554
2016-03-11,8.64,8.73,8.61,8.68,187500,8.613
2016-03-10,8.41,8.60,8.41,8.60,182500,8.534
2016-03-09,8.47,8.52,8.36,8.37,289100,8.306
2016-03-08,8.51,8.53,8.41,8.46,312000,8.395
2016-03-07,8.43,8.53,8.42,8.52,183400,8.455
2016-03-04,8.46,8.47,8.34,8.41,262400,8.345
2016-03-03,8.32,8.40,8.30,8.37,224800,8.306
2016-03-02,8.19,8.32,8.18,8.28,253700,8.216
2016-03-01,8.17,8.23,8.10,8.18,233500,8.117
2016-02-29,8.06,8.18,8.04,8.13,300400,8.068
2016-02-26,8.20,8.24,8.05,8.05,240900,7.988
2016-02-25,8.28,8.31,8.17,8.19,142800,8.127
2016-02-24,8.29,8.34,8.23,8.32,263500,8.19
2016-02-23,8.29,8.33,8.21,8.30,185400,8.17
2016-02-22,8.31,8.37,8.26,8.26,232100,8.131
2016-02-19,8.35,8.35,8.14,8.24,275400,8.111
2016-02-18,7.95,8.39,7.95,8.36,442600,8.229
2016-02-17,7.88,7.97,7.84,7.97,281900,7.845
2016-02-16,7.80,7.86,7.77,7.85,215000,7.727
2016-02-15,7.72,7.72,7.72,7.72,000,7.599
2016-02-12,7.72,7.87,7.71,7.72,170800,7.599
2016-02-11,7.64,7.75,7.51,7.68,279300,7.56
2016-02-10,7.63,7.78,7.61,7.65,323100,7.53
2016-02-09,7.82,7.84,7.54,7.54,258400,7.422
2016-02-08,8.00,8.01,7.76,7.83,212300,7.708
2016-02-05,8.14,8.14,7.99,8.02,168300,7.895
2016-02-04,8.08,8.18,8.06,8.10,137900,7.973
2016-02-03,8.07,8.07,7.97,8.05,157800,7.924
2016-02-02,8.04,8.05,7.94,8.02,181800,7.895
2016-02-01,8.16,8.16,8.00,8.00,214000,7.875
2016-01-29,8.11,8.14,7.98,8.05,334300,7.924
2016-01-28,8.05,8.06,7.92,8.03,262300,7.904
2016-01-27,8.08,8.08,7.94,7.97,193500,7.845
2016-01-26,8.11,8.15,8.03,8.06,174500,7.868
2016-01-25,8.21,8.26,7.99,8.03,182300,7.839
2016-01-22,8.06,8.19,8.06,8.15,270500,7.956
2016-01-21,7.87,8.08,7.86,8.02,249000,7.829
2016-01-20,7.95,7.96,7.67,7.85,336800,7.663
2016-01-19,8.00,8.12,7.95,8.01,242400,7.82
2016-01-18,8.00,8.06,7.92,7.94,155700,7.751
2016-01-15,7.91,8.00,7.79,7.96,339000,7.771
2016-01-14,8.06,8.07,7.87,8.03,369200,7.839
2016-01-13,8.18,8.25,8.07,8.07,204700,7.878
2016-01-12,8.12,8.18,8.05,8.15,349800,7.956
2016-01-11,8.26,8.28,8.00,8.06,258200,7.868
2016-01-08,8.32,8.35,8.21,8.24,230500,8.044
2016-01-07,8.41,8.52,8.19,8.25,423900,8.054
2016-01-06,8.65,8.65,8.46,8.48,170400,8.278
2016-01-05,8.70,8.70,8.60,8.64,129300,8.435
2016-01-04,8.69,8.70,8.56,8.66,227600,8.454
2016-01-01,8.66,8.66,8.66,8.66,000,8.454
