Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,15.24,15.24,14.80,15.20,17400,14.7313
2016-03-31,14.50,15.18,14.50,15.15,28800,14.6829
2016-03-30,14.00,14.84,14.00,14.78,37200,14.3243
2016-03-29,12.84,13.90,12.77,13.8999,55200,13.4713
2016-03-28,12.25,12.85,12.1101,12.85,155500,12.4538
2016-03-24,11.50,12.09,11.50,11.57,37600,11.2133
2016-03-23,11.95,11.95,11.70,11.89,30400,11.5234
2016-03-22,12.05,12.05,11.7232,11.90,27900,11.5331
2016-03-21,11.88,12.22,11.80,12.03,106500,11.6591
2016-03-18,11.79,11.79,11.66,11.75,5000,11.3877
2016-03-17,11.88,11.88,11.30,11.60,63300,11.2423
2016-03-16,11.8899,11.89,11.70,11.70,3100,11.3393
2016-03-15,11.8712,11.8712,11.37,11.53,5000,11.1745
2016-03-14,11.50,11.949,11.4854,11.9445,3000,11.5762
2016-03-11,11.39,11.40,10.99,11.40,4200,11.0485
2016-03-10,11.71,11.91,11.50,11.60,11100,11.2423
2016-03-09,11.6563,11.71,11.30,11.71,4000,11.3489
2016-03-08,12.89,12.89,12.0499,12.38,9000,11.9983
2016-03-07,13.15,13.46,12.90,13.00,16100,12.5992
2016-03-04,12.7451,13.28,12.22,13.19,37300,12.7833
2016-03-03,11.60,12.7318,11.60,12.6499,17400,12.2599
2016-03-02,10.94,11.70,10.94,11.69,10200,11.3296
2016-03-01,10.8599,10.998,10.609,10.95,4500,10.6124
2016-02-29,10.47,10.9506,10.04,10.92,3900,10.5833
2016-02-26,10.65,10.65,10.49,10.49,700,10.1666
2016-02-25,10.52,10.5995,10.0001,10.4899,7900,10.1665
2016-02-24,10.2501,10.71,10.2501,10.71,2700,10.3798
2016-02-23,10.80,10.84,10.55,10.75,600,10.4185
2016-02-22,11.07,11.07,10.70,10.89,3100,10.5542
2016-02-19,10.686,10.9999,10.686,10.9999,1200,10.6607
2016-02-18,10.79,11.3399,10.7839,11.1526,3100,10.8087
2016-02-17,11.10,11.48,10.94,11.20,17300,10.8547
2016-02-16,11.48,11.48,10.50,11.09,2700,10.7481
2016-02-12,9.99,11.24,9.52,11.20,26300,10.8547
2016-02-11,9.86,10.3839,9.55,10.33,4700,10.0115
2016-02-10,10.36,10.45,10.1172,10.45,1700,10.1278
2016-02-09,10.27,10.611,9.70,10.45,9200,10.1278
2016-02-08,12.055,12.1767,9.73,10.6999,10200,10.37
2016-02-05,12.25,12.81,12.20,12.81,1000,12.415
2016-02-04,12.0001,12.89,12.00,12.00,8600,11.63
2016-02-03,12.50,12.50,12.104,12.165,2800,11.7899
2016-02-02,12.02,12.25,12.02,12.25,500,11.8723
2016-02-01,12.50,12.83,12.06,12.83,13100,12.4344
2016-01-29,12.1402,12.69,11.68,12.69,16200,12.2987
2016-01-28,11.65,11.85,11.475,11.85,3800,11.4846
2016-01-27,11.794,11.898,11.39,11.44,10600,11.0873
2016-01-26,12.00,12.1128,11.52,11.90,2000,11.5331
2016-01-25,11.90,12.20,11.40,11.74,5700,11.378
2016-01-22,11.23,12.25,10.90,12.19,43100,11.8141
2016-01-21,10.00,11.00,10.00,10.8776,18500,10.5422
2016-01-20,10.80,10.80,8.95,9.50,26300,9.2071
2016-01-19,11.25,11.47,10.81,10.81,18600,10.4767
2016-01-15,10.50,11.25,10.17,11.25,47300,10.9031
2016-01-14,9.98,11.25,8.98,11.25,76300,10.9031
2016-01-13,11.00,11.00,8.821,9.5782,79500,9.2829
2016-01-12,10.615,11.10,10.25,10.60,23200,10.2732
2016-01-11,13.14,13.14,10.90,11.11,38800,10.2299
2016-01-08,13.64,13.65,12.66,13.17,21700,12.1267
2016-01-07,14.03,14.48,12.82,13.72,33400,12.6331
2016-01-06,14.69,14.70,14.14,14.62,7600,13.4618
2016-01-05,14.50,14.92,14.10,14.7001,12500,13.5355
2016-01-04,14.00,14.50,13.75,14.50,13900,13.3513
2015-12-31,13.95,14.25,13.761,14.25,28900,13.1211
2015-12-30,13.95,14.6199,13.95,14.24,8500,13.1119
2015-12-29,14.00,14.2499,13.80,13.95,18100,12.8449
2015-12-28,14.00,14.29,13.70,14.29,12400,13.1579
2015-12-24,14.24,14.4699,14.002,14.34,5900,13.204
2015-12-23,13.70,14.58,13.5842,14.10,22400,12.983
2015-12-22,11.1479,13.29,11.04,13.20,26200,12.1543
2015-12-21,11.58,11.60,11.0999,11.46,9000,10.5521
2015-12-18,11.47,11.759,11.47,11.7585,400,10.827
2015-12-17,12.04,12.04,10.7151,11.57,61200,10.6534
2015-12-16,11.16,12.03,11.0301,12.03,26500,11.077
2015-12-15,11.00,11.10,10.60,10.99,25500,10.1194
2015-12-14,11.00,11.00,10.75,10.80,27100,9.9444
2015-12-11,10.80,11.205,10.80,11.09,33100,10.2114
2015-12-10,11.134,11.45,10.67,11.45,25700,10.5429
2015-12-09,11.89,12.79,10.8893,11.13,45200,10.2483
2015-12-08,11.35,12.325,11.35,11.98,21700,11.0309
2015-12-07,13.00,13.00,11.09,11.33,33600,10.4324
2015-12-04,13.50,13.50,12.78,13.47,11100,12.4029
2015-12-03,12.652,13.49,12.50,13.49,19500,12.4213
2015-12-02,13.70,13.70,12.3042,12.86,37100,11.8412
2015-12-01,14.80,14.80,13.56,14.16,11100,13.0382
2015-11-30,14.1286,14.809,14.05,14.75,13300,13.5815
2015-11-27,13.69,14.10,13.69,14.10,3200,12.983
2015-11-25,13.50,13.989,13.114,13.61,40100,12.5318
2015-11-24,13.31,13.8799,12.81,13.518,19300,12.4471
2015-11-23,14.90,15.12,12.80,13.26,60900,12.2095
