Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,15.669,15.703,15.28,15.519,42500,14.4695
2016-03-31,15.93,15.93,15.74,15.813,7500,14.7436
2016-03-30,15.771,16.02,15.728,15.947,52800,14.8685
2016-03-29,15.57,15.775,15.421,15.72,17200,14.6569
2016-03-28,15.59,15.59,15.59,15.59,000,14.5357
2016-03-25,15.59,15.59,15.59,15.59,000,14.5357
2016-03-24,15.691,15.691,15.441,15.59,14000,14.5357
2016-03-23,15.64,15.83,15.64,15.72,55500,14.6569
2016-03-22,15.798,15.798,15.40,15.643,34400,14.5851
2016-03-21,15.744,15.90,15.60,15.802,20600,14.7333
2016-03-18,15.764,15.911,15.74,15.828,37800,14.7576
2016-03-17,16.03,16.113,15.596,15.821,25400,14.7511
2016-03-16,15.97,16.064,15.90,16.031,167900,14.9468
2016-03-15,15.934,16.05,15.86,15.917,23300,14.8406
2016-03-14,15.95,16.056,15.90,15.986,51200,14.9049
2016-03-11,15.46,15.88,15.46,15.781,24900,14.7138
2016-03-10,15.34,16.08,15.241,15.30,67000,14.2653
2016-03-09,15.268,15.58,15.245,15.386,11400,14.3455
2016-03-08,15.305,15.332,14.98,15.275,23000,14.242
2016-03-07,15.445,15.445,15.192,15.439,30200,14.3949
2016-03-04,15.46,15.70,15.35,15.471,42700,14.4247
2016-03-03,15.779,15.779,15.24,15.49,45200,14.4424
2016-03-02,15.961,15.965,15.589,15.699,20400,14.6373
2016-03-01,15.439,15.899,15.399,15.899,37100,14.8238
2016-02-29,15.288,15.574,15.145,15.454,40800,14.4089
2016-02-26,15.50,15.745,15.30,15.429,42700,14.3856
2016-02-25,15.44,15.51,14.80,15.441,127800,14.3968
2016-02-24,15.29,15.358,14.955,15.124,22700,14.1012
2016-02-23,15.553,15.58,15.333,15.35,15400,14.3119
2016-02-22,15.265,15.71,15.26,15.702,28900,14.6401
2016-02-19,15.445,15.45,15.10,15.244,26000,14.2131
2016-02-18,15.11,15.455,15.079,15.255,42700,14.2233
2016-02-17,14.648,15.112,14.61,15.027,16700,14.0107
2016-02-16,14.769,14.77,14.49,14.65,23300,13.6592
2016-02-15,14.84,14.93,14.636,14.741,29900,13.7441
2016-02-12,14.353,14.594,14.307,14.497,30300,13.5166
2016-02-11,14.35,14.444,14.03,14.30,100500,13.3329
2016-02-10,14.50,14.835,14.463,14.656,35000,13.6648
2016-02-09,14.14,14.56,14.106,14.388,88100,13.415
2016-02-08,15.00,15.00,14.18,14.18,110100,13.221
2016-02-05,15.408,15.466,14.80,14.964,61400,13.952
2016-02-04,15.899,15.899,15.35,15.509,21000,14.4602
2016-02-03,15.701,15.816,15.50,15.60,33900,14.545
2016-02-02,16.00,16.21,15.80,15.84,33000,14.7688
2016-02-01,16.04,16.04,15.84,15.90,17000,14.8247
2016-01-29,15.809,16.029,15.70,15.97,12300,14.89
2016-01-28,15.92,16.06,15.50,15.608,49100,14.5525
2016-01-27,15.909,16.11,15.766,16.05,10500,14.9646
2016-01-26,15.60,15.927,15.53,15.927,23100,14.8499
2016-01-25,15.90,15.96,15.735,15.879,25600,14.8051
2016-01-22,15.549,15.878,15.549,15.846,42700,14.7744
2016-01-21,14.90,15.469,14.813,15.379,40900,14.3389
2016-01-20,15.17,15.19,14.632,14.847,144600,13.8429
2016-01-19,15.44,15.58,15.44,15.47,24200,14.4238
2016-01-18,15.40,15.507,15.126,15.273,33700,14.2401
2016-01-15,15.674,15.80,15.143,15.23,76500,14.20
2016-01-14,15.76,15.819,15.396,15.819,61800,14.7492
2016-01-13,16.04,16.26,15.72,15.779,33400,14.7119
2016-01-12,15.626,16.074,15.55,15.889,25200,14.8145
2016-01-11,15.526,15.895,15.522,15.69,81400,14.6289
2016-01-08,16.02,16.20,15.741,15.84,47100,14.7688
2016-01-07,15.70,16.115,15.491,15.85,87800,14.7781
2016-01-06,15.929,16.131,15.835,16.044,40700,14.959
2016-01-05,16.221,16.285,15.91,16.04,28400,14.9552
2016-01-04,16.25,16.263,15.92,16.134,51800,15.0429
2016-01-01,16.69,16.69,16.69,16.69,000,15.5613
2015-12-31,16.69,16.69,16.69,16.69,000,15.5613
2015-12-30,16.99,16.99,16.669,16.69,20100,15.5613
2015-12-29,16.634,16.97,16.605,16.97,38400,15.8223
2015-12-28,16.59,16.671,16.516,16.569,15100,15.4485
2015-12-25,16.561,16.561,16.561,16.561,000,15.441
2015-12-24,16.561,16.561,16.561,16.561,000,15.441
2015-12-23,16.286,16.605,16.285,16.561,20200,15.441
2015-12-22,16.363,16.446,16.12,16.277,22300,15.1762
2015-12-21,16.44,16.71,16.301,16.38,30100,15.2722
2015-12-18,16.51,16.655,16.45,16.463,20800,15.3496
2015-12-17,16.41,16.865,16.319,16.601,53500,15.4783
2015-12-16,16.329,16.458,16.155,16.183,31700,15.0886
2015-12-15,15.65,16.295,15.562,16.26,24400,15.1604
2015-12-14,15.90,16.013,15.461,15.638,65100,14.5804
2015-12-11,16.274,16.274,15.80,15.899,37300,14.8238
2015-12-10,16.151,16.33,16.08,16.226,22900,15.1287
2015-12-09,16.329,16.585,16.10,16.15,44400,15.0578
2015-12-08,16.615,16.66,16.25,16.301,43200,15.1986
2015-12-07,16.41,16.716,16.361,16.582,47600,15.4606
2015-12-04,16.39,16.548,16.065,16.33,112500,15.2256
2015-12-03,17.25,17.485,16.35,16.388,150800,15.2797
2015-12-02,17.366,17.515,17.23,17.29,20600,16.1207
2015-12-01,17.46,17.505,17.19,17.26,50800,16.0927
2015-11-30,17.50,17.555,17.373,17.461,35600,16.2801
2015-11-27,17.315,17.53,17.315,17.465,52500,16.2839
2015-11-26,17.271,17.472,17.27,17.40,70900,16.2233
2015-11-25,16.981,17.449,16.933,17.30,60100,16.13
2015-11-24,17.111,17.152,16.826,16.99,30800,15.841
2015-11-23,17.176,17.25,17.105,17.194,24100,16.0312
