Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,27.95,27.95,27.95,27.95,000,27.95
2016-03-31,27.355,27.355,27.355,27.355,000,27.355
2016-03-30,27.155,27.155,27.155,27.155,000,27.155
2016-03-29,26.73,26.73,26.73,26.73,000,26.73
2016-03-28,26.825,26.825,26.825,26.825,000,26.825
2016-03-25,26.825,26.825,26.825,26.825,000,26.825
2016-03-24,26.825,26.825,26.825,26.825,000,26.825
2016-03-23,26.74,26.74,26.74,26.74,000,26.74
2016-03-22,26.55,26.55,26.55,26.55,000,26.55
2016-03-21,26.445,26.445,26.445,26.445,000,26.445
2016-03-18,26.40,26.40,26.40,26.40,000,26.40
2016-03-17,26.295,26.295,26.295,26.295,000,26.295
2016-03-16,25.995,26.32,25.995,26.32,100,26.32
2016-03-15,25.69,25.69,25.69,25.69,000,25.69
2016-03-14,25.365,25.365,25.365,25.365,000,25.365
2016-03-11,24.285,24.285,24.285,24.285,000,24.285
2016-03-10,24.115,24.115,24.115,24.115,000,24.115
2016-03-09,24.055,24.055,24.055,24.055,000,24.055
2016-03-08,24.135,24.135,24.135,24.135,000,24.135
2016-03-07,24.385,24.385,24.385,24.385,000,24.385
2016-03-04,24.605,24.605,24.605,24.605,000,24.605
2016-03-03,24.52,24.52,24.52,24.52,000,24.52
2016-03-02,24.885,24.885,24.885,24.885,000,24.885
2016-03-01,24.315,24.86,24.315,24.86,000,24.86
2016-02-29,24.295,24.295,24.295,24.295,000,24.295
2016-02-26,24.31,24.31,24.31,24.31,000,24.31
2016-02-25,23.995,23.995,23.995,23.995,000,23.995
2016-02-24,24.17,24.17,24.17,24.17,000,24.17
2016-02-23,24.40,24.40,24.40,24.40,000,24.40
2016-02-22,24.495,24.495,24.495,24.495,000,24.495
2016-02-19,24.235,24.235,24.235,24.235,000,24.235
2016-02-18,24.575,24.575,24.575,24.575,000,24.575
2016-02-17,24.275,24.275,24.275,24.275,000,24.275
2016-02-16,24.285,24.285,24.285,24.285,000,24.285
2016-02-15,23.695,23.695,23.695,23.695,000,23.695
2016-02-12,22.84,22.84,22.84,22.84,000,22.84
2016-02-11,22.90,22.90,22.90,22.90,000,22.90
2016-02-10,22.145,22.145,22.145,22.145,000,22.145
2016-02-09,21.94,21.94,21.94,21.94,000,21.94
2016-02-08,23.24,23.24,23.24,23.24,000,23.24
2016-02-05,23.595,23.595,23.595,23.595,000,23.595
2016-02-04,24.295,24.295,24.295,24.295,000,24.295
2016-02-03,24.00,24.00,24.00,24.00,000,24.00
2016-02-02,24.165,24.165,24.165,24.165,000,24.165
2016-02-01,24.235,24.235,24.235,24.235,000,24.235
2016-01-29,24.09,24.09,24.09,24.09,000,24.09
2016-01-28,24.105,24.105,24.105,24.105,000,24.105
2016-01-27,24.04,24.04,24.04,24.04,000,24.04
2016-01-26,23.845,23.845,23.845,23.845,000,23.845
2016-01-25,24.495,24.495,24.495,24.495,000,24.495
2016-01-22,23.545,23.545,23.545,23.545,000,23.545
2016-01-21,22.915,22.915,22.915,22.915,000,22.915
2016-01-20,22.955,22.955,22.955,22.955,000,22.955
2016-01-19,23.50,23.50,23.50,23.50,000,23.50
2016-01-18,23.165,23.165,23.165,23.165,000,23.165
2016-01-15,24.195,24.195,24.195,24.195,000,24.195
2016-01-14,24.115,24.115,24.115,24.115,000,24.115
2016-01-13,24.295,24.295,24.295,24.295,000,24.295
2016-01-12,23.465,23.465,23.465,23.465,000,23.465
2016-01-11,23.625,23.70,23.625,23.70,000,23.70
2016-01-08,23.65,23.65,23.65,23.65,000,23.65
2016-01-07,24.295,24.295,24.295,24.295,000,24.295
2016-01-06,24.84,24.84,24.84,24.84,000,24.84
2016-01-05,25.155,25.155,25.155,25.155,000,25.155
2016-01-04,25.35,25.35,25.05,25.05,000,25.05
2016-01-01,25.67,25.67,25.67,25.67,000,25.67
2015-12-31,25.67,25.67,25.67,25.67,000,25.67
2015-12-30,25.67,25.67,25.67,25.67,000,25.67
2015-12-29,25.12,25.12,25.12,25.12,000,25.12
2015-12-28,25.165,25.165,25.165,25.165,000,25.165
2015-12-25,25.085,25.085,25.085,25.085,000,25.085
2015-12-24,25.085,25.085,25.085,25.085,000,25.085
2015-12-23,25.085,25.085,25.085,25.085,000,25.085
2015-12-22,25.145,25.145,25.145,25.145,000,25.145
2015-12-21,25.025,25.025,25.025,25.025,000,25.025
2015-12-18,24.915,24.915,24.915,24.915,000,24.915
