Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,21.995,22.00,21.995,22.00,000,21.4827
2016-03-31,21.995,21.995,21.995,21.995,000,21.4778
2016-03-30,21.80,21.995,21.80,21.995,100,21.4778
2016-03-29,22.005,22.005,21.80,21.80,200,21.2874
2016-03-28,22.27,22.27,22.27,22.27,000,21.7463
2016-03-25,22.27,22.27,22.27,22.27,000,21.7463
2016-03-24,21.90,22.27,21.90,22.27,400,21.7463
2016-03-23,21.80,21.80,21.80,21.80,000,21.2874
2016-03-22,20.90,21.70,20.90,21.70,000,21.1897
2016-03-21,21.00,21.40,21.00,21.00,700,20.5062
2016-03-18,20.09,20.09,20.09,20.09,500,19.6176
2016-03-17,20.395,20.395,20.395,20.395,000,19.9154
2016-03-16,21.20,21.20,20.51,20.585,400,20.101
2016-03-15,21.60,21.60,21.245,21.245,000,20.7454
2016-03-14,21.12,21.12,21.12,21.12,000,20.6234
2016-03-11,21.20,21.21,21.12,21.12,700,20.6234
2016-03-10,21.30,21.30,21.30,21.30,000,20.7991
2016-03-09,21.30,21.30,21.30,21.30,000,20.7991
2016-03-08,21.795,21.795,21.30,21.30,000,20.7991
2016-03-07,21.795,21.795,21.32,21.32,000,20.8187
2016-03-04,22.20,22.295,21.535,21.535,100,21.0286
2016-03-03,22.295,22.50,21.90,21.90,1200,21.385
2016-03-02,21.90,21.90,21.90,21.90,000,21.385
2016-03-01,22.00,22.00,21.90,21.90,400,21.385
2016-02-29,22.07,22.07,22.07,22.07,500,21.551
2016-02-26,22.21,22.695,22.145,22.145,000,21.6243
2016-02-25,22.30,22.905,22.245,22.905,500,22.3664
2016-02-24,22.50,22.785,22.005,22.50,400,21.9709
2016-02-23,22.195,22.195,22.195,22.195,000,21.6731
2016-02-22,22.195,22.195,22.195,22.195,000,21.6731
2016-02-19,22.12,22.195,22.12,22.195,300,21.6731
2016-02-18,20.905,22.175,20.905,22.175,800,21.6536
2016-02-17,21.00,21.00,21.00,21.00,200,20.5062
2016-02-16,20.60,20.975,20.60,20.975,300,20.4818
2016-02-15,20.355,20.50,20.355,20.50,700,20.018
2016-02-12,19.90,20.305,19.90,20.305,600,19.8275
2016-02-11,19.995,19.995,19.995,19.995,000,19.5248
2016-02-10,19.90,19.995,19.90,19.995,000,19.5248
2016-02-09,19.78,19.90,19.78,19.80,100,19.3344
2016-02-08,20.305,20.685,19.50,19.50,200,19.0415
2016-02-05,20.60,20.60,20.60,20.60,100,20.1156
2016-02-04,20.40,20.775,20.30,20.30,500,19.8227
2016-02-03,20.145,20.615,20.145,20.20,600,19.725
2016-02-02,20.60,20.60,20.00,20.085,500,19.6127
2016-02-01,21.25,21.25,20.69,20.69,200,20.2035
2016-01-29,20.695,20.695,20.695,20.695,500,20.2084
2016-01-28,20.82,20.82,20.82,20.82,000,20.3304
2016-01-27,20.995,21.30,20.945,20.945,400,20.4525
2016-01-26,20.995,21.185,20.72,20.72,100,20.2328
2016-01-25,21.075,21.08,20.68,20.68,400,20.1937
2016-01-22,21.00,21.42,20.995,21.00,300,20.5062
2016-01-21,20.87,20.87,20.67,20.67,300,20.184
2016-01-20,22.00,22.00,20.87,20.87,1200,20.3793
2016-01-19,22.40,22.50,22.07,22.07,000,21.551
2016-01-18,23.03,23.03,22.00,22.35,700,21.8245
2016-01-15,21.005,22.53,21.005,22.53,600,22.0002
2016-01-14,20.995,20.995,20.995,20.995,000,20.5013
2016-01-13,20.96,20.995,20.29,20.995,500,20.5013
2016-01-12,20.285,20.29,20.285,20.29,500,19.8129
2016-01-11,20.10,20.10,20.10,20.10,000,19.6274
2016-01-08,20.10,20.10,20.10,20.10,300,19.6274
2016-01-07,20.165,20.165,20.165,20.165,400,19.6908
2016-01-06,20.30,20.70,20.215,20.215,500,19.7397
2016-01-05,20.13,20.795,20.00,20.795,1200,20.306
2016-01-04,20.00,21.81,20.00,20.58,1000,20.0961
2016-01-01,20.615,20.615,20.615,20.615,000,20.1303
2015-12-31,20.615,20.615,20.615,20.615,000,20.1303
2015-12-30,20.81,20.81,20.615,20.615,100,20.1303
2015-12-29,20.785,20.785,20.785,20.785,000,20.2963
2015-12-28,20.785,20.785,20.785,20.785,100,20.2963
2015-12-25,21.565,21.565,21.565,21.565,000,21.0579
2015-12-24,21.565,21.565,21.565,21.565,000,21.0579
2015-12-23,20.40,21.565,20.00,21.565,1600,21.0579
2015-12-22,20.30,20.90,20.22,20.775,1600,20.2865
2015-12-21,20.80,20.80,20.395,20.395,600,19.9154
2015-12-18,21.10,21.10,20.87,20.87,300,20.3793
2015-12-17,21.02,21.02,21.02,21.02,000,20.5257
2015-12-16,21.495,21.495,21.105,21.105,000,20.6087
2015-12-15,21.60,21.60,21.225,21.225,100,20.7259
2015-12-14,21.90,22.10,21.50,21.62,700,21.1116
2015-12-11,22.00,22.00,21.595,21.595,000,21.0872
2015-12-10,22.00,22.00,21.615,21.615,000,21.1067
2015-12-09,21.65,21.65,21.65,21.65,000,21.1409
2015-12-08,22.09,22.09,21.735,21.735,400,21.2239
2015-12-07,21.60,21.60,21.50,21.50,000,20.9944
2015-12-04,22.00,22.00,21.60,21.60,900,21.0921
2015-12-03,22.50,22.50,21.965,21.965,300,21.4485
2015-12-02,22.405,22.405,22.405,22.405,100,21.8782
2015-12-01,22.40,22.905,22.40,22.905,100,22.3664
