Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,1.44,1.45,1.43,1.43,212200,1.43
2016-03-31,1.44,1.465,1.43,1.43,368600,1.43
2016-03-30,1.45,1.46,1.435,1.435,181800,1.435
2016-03-29,1.45,1.46,1.425,1.425,357000,1.425
2016-03-28,1.435,1.435,1.435,1.435,000,1.435
2016-03-25,1.435,1.435,1.435,1.435,000,1.435
2016-03-24,1.435,1.465,1.435,1.435,179000,1.435
2016-03-23,1.43,1.47,1.43,1.435,552700,1.435
2016-03-22,1.46,1.47,1.42,1.43,1202500,1.43
2016-03-21,1.50,1.50,1.455,1.455,225400,1.455
2016-03-18,1.465,1.495,1.455,1.49,289700,1.49
2016-03-17,1.48,1.50,1.455,1.46,257300,1.46
2016-03-16,1.47,1.485,1.455,1.48,185600,1.48
2016-03-15,1.475,1.49,1.465,1.47,300000,1.47
2016-03-14,1.51,1.53,1.475,1.475,277800,1.475
2016-03-11,1.55,1.55,1.485,1.505,293900,1.505
2016-03-10,1.57,1.59,1.56,1.56,337100,1.50
2016-03-09,1.58,1.59,1.57,1.575,289500,1.5144
2016-03-08,1.59,1.59,1.575,1.58,352400,1.5192
2016-03-07,1.585,1.59,1.57,1.58,274800,1.5192
2016-03-04,1.59,1.59,1.56,1.575,318600,1.5144
2016-03-03,1.545,1.595,1.535,1.575,310900,1.5144
2016-03-02,1.60,1.60,1.525,1.53,491400,1.4712
2016-03-01,1.52,1.59,1.50,1.585,585500,1.524
2016-02-29,1.46,1.54,1.455,1.50,451700,1.4423
2016-02-26,1.47,1.51,1.45,1.455,497900,1.399
2016-02-25,1.44,1.46,1.34,1.43,1424000,1.375
2016-02-24,1.49,1.54,1.45,1.53,589900,1.4712
2016-02-23,1.52,1.53,1.465,1.495,466600,1.4375
2016-02-22,1.52,1.57,1.49,1.50,329300,1.4423
2016-02-19,1.52,1.56,1.51,1.52,181400,1.4615
2016-02-18,1.51,1.555,1.475,1.54,293600,1.4808
2016-02-17,1.54,1.575,1.51,1.52,328500,1.4615
2016-02-16,1.49,1.545,1.485,1.54,262600,1.4808
2016-02-15,1.50,1.50,1.45,1.46,267600,1.4038
2016-02-12,1.505,1.545,1.48,1.495,367100,1.4375
2016-02-11,1.565,1.565,1.50,1.505,413800,1.4471
2016-02-10,1.59,1.61,1.55,1.565,406400,1.5048
2016-02-09,1.595,1.60,1.57,1.575,289900,1.5144
2016-02-08,1.645,1.645,1.595,1.625,324900,1.5625
2016-02-05,1.58,1.63,1.58,1.63,332100,1.5673
2016-02-04,1.61,1.61,1.57,1.57,367700,1.5096
2016-02-03,1.55,1.625,1.55,1.61,639100,1.5481
2016-02-02,1.52,1.545,1.51,1.545,302400,1.4856
2016-02-01,1.495,1.53,1.48,1.53,384400,1.4712
2016-01-29,1.40,1.47,1.40,1.46,264700,1.4038
2016-01-28,1.37,1.422,1.35,1.40,353700,1.3462
2016-01-27,1.35,1.38,1.34,1.36,479700,1.3077
2016-01-26,1.355,1.355,1.355,1.355,000,1.3029
2016-01-25,1.42,1.435,1.34,1.355,574500,1.3029
2016-01-22,1.39,1.43,1.37,1.385,267100,1.3317
2016-01-21,1.385,1.42,1.335,1.365,455800,1.3125
2016-01-20,1.36,1.415,1.35,1.385,175100,1.3317
2016-01-19,1.35,1.36,1.335,1.335,185300,1.2837
2016-01-18,1.325,1.37,1.315,1.35,137000,1.2981
2016-01-15,1.39,1.425,1.33,1.36,353600,1.3077
2016-01-14,1.40,1.41,1.37,1.385,317400,1.3317
2016-01-13,1.43,1.455,1.39,1.41,302900,1.3558
2016-01-12,1.40,1.435,1.40,1.425,164300,1.3702
2016-01-11,1.435,1.435,1.37,1.39,281600,1.3365
2016-01-08,1.43,1.445,1.40,1.435,249800,1.3798
2016-01-07,1.47,1.47,1.43,1.43,461500,1.375
2016-01-06,1.52,1.52,1.48,1.48,161500,1.4231
2016-01-05,1.56,1.56,1.49,1.49,380700,1.4327
2016-01-04,1.57,1.60,1.535,1.56,135900,1.50
2016-01-01,1.565,1.565,1.565,1.565,000,1.5048
2015-12-31,1.615,1.62,1.565,1.565,163000,1.5048
2015-12-30,1.58,1.63,1.57,1.63,340200,1.5673
2015-12-29,1.55,1.59,1.54,1.57,314400,1.5096
2015-12-28,1.535,1.535,1.535,1.535,000,1.476
2015-12-25,1.535,1.535,1.535,1.535,000,1.476
