Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,0.026,0.026,0.023,0.024,1242600,0.024
2016-03-31,0.025,0.025,0.024,0.024,382000,0.024
2016-03-30,0.028,0.028,0.025,0.025,1031800,0.025
2016-03-29,0.027,0.027,0.027,0.027,76800,0.027
2016-03-28,0.03,0.03,0.03,0.03,000,0.03
2016-03-25,0.03,0.03,0.03,0.03,000,0.03
2016-03-24,0.029,0.03,0.026,0.03,619300,0.03
2016-03-23,0.027,0.029,0.027,0.029,346900,0.029
2016-03-22,0.03,0.03,0.027,0.027,773500,0.027
2016-03-21,0.029,0.03,0.029,0.03,770800,0.03
2016-03-18,0.027,0.03,0.027,0.03,1787000,0.03
2016-03-17,0.025,0.025,0.024,0.025,1006100,0.025
2016-03-16,0.025,0.026,0.024,0.024,452300,0.024
2016-03-15,0.023,0.023,0.023,0.023,375600,0.023
2016-03-14,0.023,0.023,0.023,0.023,73500,0.023
2016-03-11,0.024,0.024,0.023,0.023,127500,0.023
2016-03-10,0.025,0.025,0.024,0.024,705400,0.024
2016-03-09,0.025,0.025,0.024,0.024,510200,0.024
2016-03-08,0.027,0.027,0.025,0.025,510000,0.025
2016-03-07,0.025,0.027,0.025,0.027,202700,0.027
2016-03-04,0.025,0.025,0.024,0.024,342200,0.024
2016-03-03,0.024,0.025,0.024,0.025,234300,0.025
2016-03-02,0.028,0.03,0.024,0.024,3042400,0.024
2016-03-01,0.024,0.024,0.024,0.024,15000,0.024
2016-02-29,0.026,0.026,0.022,0.022,511200,0.022
2016-02-26,0.024,0.026,0.023,0.026,703400,0.026
2016-02-25,0.023,0.023,0.023,0.023,110800,0.023
2016-02-24,0.023,0.024,0.023,0.024,170100,0.024
2016-02-23,0.025,0.025,0.023,0.023,60200,0.023
2016-02-22,0.025,0.025,0.022,0.023,105000,0.023
2016-02-19,0.026,0.027,0.026,0.026,105000,0.026
2016-02-18,0.026,0.026,0.026,0.026,000,0.026
2016-02-17,0.022,0.027,0.021,0.026,665900,0.026
2016-02-16,0.027,0.027,0.027,0.027,150000,0.027
2016-02-15,0.024,0.027,0.024,0.027,150800,0.027
2016-02-12,0.023,0.026,0.023,0.025,1053800,0.025
2016-02-11,0.021,0.023,0.02,0.023,2381800,0.023
2016-02-10,0.029,0.029,0.019,0.021,7433100,0.021
2016-02-09,0.03,0.03,0.03,0.03,248400,0.03
2016-02-08,0.031,0.031,0.026,0.026,244900,0.026
2016-02-05,0.03,0.03,0.03,0.03,94600,0.03
2016-02-04,0.029,0.029,0.028,0.028,165100,0.028
2016-02-03,0.03,0.03,0.03,0.03,35000,0.03
2016-02-02,0.029,0.03,0.029,0.03,26000,0.03
2016-02-01,0.03,0.03,0.03,0.03,000,0.03
2016-01-29,0.03,0.032,0.03,0.03,159300,0.03
2016-01-28,0.028,0.028,0.028,0.028,269900,0.028
2016-01-27,0.031,0.032,0.028,0.028,245600,0.028
2016-01-26,0.029,0.029,0.029,0.029,000,0.029
2016-01-25,0.028,0.029,0.028,0.029,465600,0.029
