Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,35.73,35.73,35.73,35.73,000,35.73
2016-03-31,35.34,35.34,35.34,35.34,000,35.34
2016-03-30,36.245,36.245,36.245,36.245,000,36.245
2016-03-29,35.27,35.27,35.255,35.255,200,35.255
2016-03-28,34.64,34.64,34.64,34.64,000,34.64
2016-03-25,34.64,34.64,34.64,34.64,000,34.64
2016-03-24,34.64,34.64,34.64,34.64,000,34.64
2016-03-23,35.53,35.605,35.055,35.055,000,35.055
2016-03-22,35.59,35.59,35.59,35.59,000,35.59
2016-03-21,36.485,36.485,36.485,36.485,000,36.485
2016-03-18,35.20,35.20,35.20,35.20,000,35.20
2016-03-17,34.89,34.89,34.19,34.19,100,34.19
2016-03-16,34.92,34.92,34.92,34.92,000,34.92
2016-03-15,34.90,34.90,34.585,34.585,000,34.585
2016-03-14,35.575,35.71,35.575,35.71,100,35.71
2016-03-11,35.305,35.685,35.305,35.685,300,35.685
2016-03-10,36.265,36.265,35.88,35.88,100,35.88
2016-03-09,36.375,36.375,36.375,36.375,000,36.375
2016-03-08,36.895,36.895,36.895,36.895,000,36.895
2016-03-07,36.89,36.89,36.89,36.89,000,36.89
2016-03-04,37.745,37.745,37.745,37.745,000,37.745
2016-03-03,38.07,38.07,38.07,38.07,000,38.07
2016-03-02,38.075,38.075,37.735,37.735,000,37.735
2016-03-01,34.04,34.04,34.04,34.04,000,34.04
2016-02-29,31.185,31.185,31.185,31.185,000,31.185
2016-02-26,30.69,30.69,30.69,30.69,000,30.69
2016-02-25,30.295,30.295,30.295,30.295,000,30.295
2016-02-24,29.895,29.895,29.895,29.895,000,29.895
2016-02-23,29.69,29.69,29.69,29.69,000,29.69
2016-02-22,30.22,30.22,30.22,30.22,000,30.22
2016-02-19,30.465,30.465,30.465,30.465,000,30.465
2016-02-18,30.74,30.74,30.74,30.74,000,30.74
2016-02-17,29.355,29.355,29.355,29.355,000,29.355
2016-02-16,29.015,29.015,29.015,29.015,000,29.015
2016-02-15,28.66,28.66,28.66,28.66,000,28.66
2016-02-12,27.82,27.82,27.82,27.82,000,27.82
2016-02-11,26.97,26.97,26.97,26.97,000,26.97
2016-02-10,27.45,27.45,27.45,27.45,000,27.45
2016-02-09,28.435,28.435,28.435,28.435,000,28.435
2016-02-08,28.17,28.17,28.17,28.17,000,28.17
2016-02-05,29.415,29.415,29.415,29.415,000,29.415
2016-02-04,29.82,29.82,29.82,29.82,000,29.82
2016-02-03,30.135,30.135,30.135,30.135,000,30.135
2016-02-02,31.335,31.335,31.335,31.335,000,31.335
2016-02-01,31.425,31.425,31.425,31.425,000,31.425
2016-01-29,30.215,30.215,30.215,30.215,000,30.215
2016-01-28,29.585,29.585,29.585,29.585,000,29.585
2016-01-27,30.595,30.595,30.595,30.595,000,30.595
2016-01-26,30.21,30.21,30.21,30.21,000,30.21
2016-01-25,30.58,30.58,30.58,30.58,000,30.58
2016-01-22,29.815,29.815,29.815,29.815,000,29.815
2016-01-21,28.835,29.32,28.835,29.32,000,29.32
2016-01-20,27.015,27.015,27.015,27.015,000,27.015
2016-01-19,28.18,28.18,28.18,28.18,000,28.18
2016-01-18,28.035,28.035,28.035,28.035,000,28.035
2016-01-15,27.68,27.68,27.68,27.68,000,27.68
2016-01-14,27.60,27.60,27.60,27.60,000,27.60
2016-01-13,28.695,28.695,28.695,28.695,000,28.695
2016-01-12,27.22,27.22,27.22,27.22,000,27.22
2016-01-11,26.91,26.91,26.91,26.91,000,26.91
2016-01-08,27.235,27.235,27.235,27.235,000,27.235
2016-01-07,27.76,27.76,27.76,27.76,000,27.76
2016-01-06,28.40,28.40,28.40,28.40,000,28.40
2016-01-05,29.125,29.125,29.125,29.125,000,29.125
2016-01-04,29.99,29.99,29.99,29.99,000,29.99
2016-01-01,31.01,31.01,31.01,31.01,000,31.01
2015-12-31,31.01,31.01,31.01,31.01,000,31.01
2015-12-30,31.01,31.01,31.01,31.01,000,31.01
2015-12-29,30.575,30.575,30.575,30.575,000,30.575
2015-12-28,30.695,30.695,30.695,30.695,000,30.695
2015-12-25,30.39,30.39,30.39,30.39,000,30.39
