Date,Open,High,Low,Close,Volume,Adj_Close
2015-12-15,7.90,7.90,7.90,7.90,000,7.90
2015-12-14,7.90,7.90,7.90,7.90,000,7.90
2015-12-11,7.90,7.90,7.90,7.90,000,7.90
2015-12-10,7.90,7.90,7.90,7.90,000,7.90
2015-12-09,7.90,7.90,7.90,7.90,000,7.90
2015-12-08,7.90,7.90,7.90,7.90,000,7.90
2015-12-07,7.90,7.90,7.90,7.90,000,7.90
2015-12-04,7.90,7.90,7.90,7.90,000,7.90
2015-12-03,7.90,7.90,7.90,7.90,000,7.90
2015-12-02,7.90,7.90,7.90,7.90,000,7.90
2015-12-01,7.90,7.90,7.90,7.90,000,7.90
2015-11-30,7.90,7.90,7.90,7.90,000,7.90
2015-11-27,7.90,7.90,7.90,7.90,000,7.90
2015-11-25,7.90,7.90,7.90,7.90,000,7.90
2015-11-24,7.90,7.90,7.90,7.90,000,7.90
2015-11-23,7.90,7.90,7.90,7.90,000,7.90
2015-11-20,7.90,7.90,7.90,7.90,000,7.90
2015-11-19,7.90,7.90,7.90,7.90,000,7.90
2015-11-18,7.90,7.90,7.90,7.90,000,7.90
2015-11-17,7.90,7.90,7.90,7.90,000,7.90
2015-11-16,7.90,7.90,7.90,7.90,000,7.90
2015-11-13,7.90,7.90,7.90,7.90,000,7.90
2015-11-12,7.90,7.90,7.90,7.90,000,7.90
2015-11-11,7.90,7.90,7.90,7.90,000,7.90
2015-11-10,7.90,7.90,7.90,7.90,000,7.90
2015-11-09,7.90,7.90,7.90,7.90,000,7.90
2015-11-06,7.90,7.90,7.90,7.90,000,7.90
2015-11-05,7.90,7.90,7.90,7.90,000,7.90
2015-11-04,7.90,7.90,7.90,7.90,000,7.90
2015-11-03,7.90,7.90,7.90,7.90,000,7.90
2015-11-02,7.90,7.90,7.90,7.90,000,7.90
2015-10-30,7.90,7.90,7.90,7.90,000,7.90
2015-10-29,7.90,7.90,7.90,7.90,000,7.90
2015-10-28,7.90,7.90,7.90,7.90,000,7.90
2015-10-27,7.90,7.90,7.90,7.90,000,7.90
2015-10-26,7.90,7.90,7.90,7.90,000,7.90
2015-10-23,7.90,7.90,7.90,7.90,000,7.90
2015-10-22,7.90,7.90,7.90,7.90,000,7.90
2015-10-21,7.90,7.90,7.90,7.90,000,7.90
2015-10-20,7.90,7.90,7.90,7.90,000,7.90
2015-10-19,7.90,7.90,7.90,7.90,100,7.90
2015-10-16,8.50,8.50,8.50,8.50,000,8.50
2015-10-15,8.50,8.50,8.50,8.50,000,8.50
2015-10-14,8.50,8.50,8.50,8.50,000,8.50
2015-10-13,8.50,8.50,8.50,8.50,000,8.50
2015-10-12,8.50,8.50,8.50,8.50,300,8.50
2015-10-09,7.85,7.85,7.85,7.85,000,7.85
2015-10-08,7.85,7.85,7.85,7.85,000,7.85
2015-10-07,7.85,7.85,7.85,7.85,000,7.85
2015-10-06,7.85,7.85,7.85,7.85,000,7.85
2015-10-05,7.85,7.85,7.85,7.85,000,7.85
2015-10-02,7.85,7.85,7.85,7.85,000,7.85
2015-10-01,7.85,7.85,7.85,7.85,000,7.85
2015-09-30,7.85,7.85,7.85,7.85,000,7.85
2015-09-29,7.85,7.85,7.85,7.85,000,7.85
2015-09-28,7.85,7.85,7.85,7.85,000,7.85
2015-09-25,7.85,7.85,7.85,7.85,000,7.85
2015-09-24,7.85,7.85,7.85,7.85,000,7.85
2015-09-23,7.85,7.85,7.85,7.85,000,7.85
2015-09-22,7.85,7.85,7.85,7.85,1900,7.85
2015-09-21,8.25,8.25,8.25,8.25,000,8.25
2015-09-18,8.25,8.25,8.25,8.25,000,8.25
2015-09-17,8.25,8.25,8.25,8.25,000,8.25
2015-09-16,7.75,8.25,7.75,8.25,200,8.25
2015-09-15,7.40,7.40,7.40,7.40,2000,7.40
2015-09-14,7.10,7.10,7.10,7.10,000,7.10
2015-09-11,7.10,7.10,7.10,7.10,000,7.10
2015-09-10,7.10,7.10,7.10,7.10,000,7.10
2015-09-09,7.10,7.10,7.10,7.10,000,7.10
2015-09-08,7.10,7.10,7.10,7.10,000,7.10
2015-09-04,7.10,7.10,7.10,7.10,000,7.10
2015-09-03,7.10,7.10,7.10,7.10,000,7.10
2015-09-02,7.10,7.10,7.10,7.10,000,7.10
2015-09-01,7.10,7.10,7.10,7.10,000,7.10
2015-08-31,7.10,7.10,7.10,7.10,000,7.10
2015-08-28,7.10,7.10,7.10,7.10,000,7.10
2015-08-27,7.10,7.10,7.10,7.10,000,7.10
2015-08-26,7.10,7.10,7.10,7.10,000,7.10
2015-08-25,7.10,7.10,7.10,7.10,000,7.10
2015-08-24,7.10,7.10,7.10,7.10,000,7.10
2015-08-21,7.10,7.10,7.10,7.10,000,7.10
2015-08-20,7.10,7.10,7.10,7.10,000,7.10
2015-08-19,7.10,7.10,7.10,7.10,000,7.10
2015-08-18,7.10,7.10,7.10,7.10,000,7.10
2015-08-17,7.10,7.10,7.10,7.10,000,7.10
2015-08-14,7.10,7.10,7.10,7.10,000,7.10
