Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,20.93,20.93,20.65,20.74,1258900,20.74
2016-03-31,21.08,21.15,20.959999,21.09,1333000,21.09
2016-03-30,21.35,21.41,21.120001,21.139999,795300,21.139999
2016-03-29,20.790001,21.280001,20.709999,21.280001,1036600,21.280001
2016-03-28,21.08,21.139999,20.719999,20.860001,817900,20.860001
2016-03-24,20.860001,21.059999,20.67,21.02,826500,21.02
2016-03-23,21.110001,21.190001,20.90,20.940001,1028800,20.940001
2016-03-22,21.08,21.190001,20.91,21.110001,1409400,21.110001
2016-03-21,21.700001,21.76,21.17,21.219999,1758900,21.219999
2016-03-18,21.91,22.219999,21.639999,21.690001,8926600,21.690001
2016-03-17,21.610001,21.950001,21.25,21.940001,5109600,21.940001
2016-03-16,20.60,21.610001,20.58,21.52,2006400,21.52
2016-03-15,20.76,20.950001,20.65,20.700001,2298500,20.700001
2016-03-14,20.469999,21.219999,20.379999,20.90,3056900,20.90
2016-03-11,20.110001,20.450001,20.040001,20.450001,2137400,20.450001
2016-03-10,20.23,20.25,19.719999,19.91,969200,19.91
2016-03-09,20.50,20.50,19.809999,20.01,1317600,20.01
2016-03-08,20.139999,20.24,19.790001,19.90,1281400,19.90
2016-03-07,19.93,20.35,19.799999,20.32,1663100,20.32
2016-03-04,19.85,20.190001,19.73,19.99,1138800,19.99
2016-03-03,19.59,19.91,19.540001,19.799999,1876000,19.799999
2016-03-02,19.190001,19.68,19.10,19.549999,1361400,19.549999
2016-03-01,18.690001,19.43,18.540001,19.41,2188500,19.249999
2016-02-29,19.00,19.219999,18.450001,18.65,17730900,18.496264
2016-02-26,19.02,19.26,18.799999,18.92,1680400,18.764039
2016-02-25,18.90,19.139999,18.85,19.00,1268000,18.843379
2016-02-24,17.440001,18.85,17.34,18.799999,5684400,18.645027
2016-02-23,18.17,18.379999,17.559999,17.59,1774300,17.445002
2016-02-22,18.049999,18.32,17.959999,18.07,1468600,17.921045
2016-02-19,18.01,18.110001,17.870001,17.91,1667500,17.762364
2016-02-18,18.00,18.110001,17.870001,17.99,2979400,17.841705
2016-02-17,17.74,18.26,17.74,17.91,2175300,17.762364
2016-02-16,17.290001,17.690001,17.08,17.67,2914000,17.524343
2016-02-12,16.889999,17.33,16.879999,17.07,2676400,16.929288
2016-02-11,16.809999,16.98,16.450001,16.67,1610400,16.532586
2016-02-10,16.84,17.33,16.77,17.02,2882000,16.879701
2016-02-09,17.129999,17.219999,16.43,16.780001,3710600,16.64168
2016-02-08,18.200001,18.309999,16.950001,17.299999,1868400,17.157392
2016-02-05,18.76,18.969999,18.299999,18.389999,1777000,18.238407
2016-02-04,18.709999,19.07,18.639999,18.860001,3811000,18.704534
2016-02-03,18.950001,18.99,18.440001,18.73,2092500,18.575604
2016-02-02,19.370001,19.459999,18.809999,18.879999,1643000,18.724367
2016-02-01,19.65,19.700001,19.32,19.49,2231400,19.32934
2016-01-29,19.639999,19.77,19.530001,19.700001,2746800,19.53761
2016-01-28,19.860001,20.059999,19.459999,19.57,1108400,19.40868
2016-01-27,19.77,19.92,19.629999,19.75,1113200,19.587197
2016-01-26,19.57,19.940001,19.389999,19.85,1162900,19.686373
2016-01-25,19.48,19.98,19.379999,19.440001,1398200,19.279753
2016-01-22,19.290001,19.82,19.25,19.530001,3336600,19.369011
2016-01-21,19.10,19.299999,18.879999,19.00,2356900,18.843379
2016-01-20,19.549999,19.65,18.02,18.959999,3857400,18.803708
2016-01-19,19.93,19.93,19.469999,19.709999,1874300,19.547526
2016-01-15,19.530001,19.860001,19.42,19.790001,1620900,19.626868
2016-01-14,19.90,19.98,19.59,19.82,1780200,19.656619
2016-01-13,20.00,20.129999,19.68,19.860001,1639700,19.696291
2016-01-12,20.059999,20.26,19.870001,19.99,2027300,19.825218
2016-01-11,20.34,20.42,19.92,19.99,1952100,19.825218
2016-01-08,20.860001,21.02,20.139999,20.23,1405400,20.06324
2016-01-07,21.799999,21.799999,20.59,20.790001,2830400,20.618625
2016-01-06,21.639999,22.209999,21.60,21.950001,3892000,21.769062
2016-01-05,21.540001,21.98,21.42,21.66,1722500,21.481452
2016-01-04,21.35,21.780001,21.25,21.549999,1094600,21.372358
2015-12-31,21.26,22.02,21.059999,21.93,1629400,21.749227
2015-12-30,21.08,21.51,21.02,21.290001,1288200,21.114503
2015-12-29,21.389999,21.559999,21.049999,21.27,1030300,21.094668
2015-12-28,21.67,21.67,21.139999,21.24,1236100,21.064914
2015-12-24,21.42,21.889999,21.299999,21.68,599400,21.501288
2015-12-23,21.67,21.68,21.24,21.440001,1280600,21.263266
2015-12-22,21.440001,21.74,21.299999,21.620001,1466300,21.441783
2015-12-21,21.360001,21.50,20.969999,21.34,1045700,21.16409
2015-12-18,21.280001,21.52,21.059999,21.27,3337900,21.094668
2015-12-17,22.030001,22.27,21.35,21.389999,1217000,21.213677
2015-12-16,21.15,21.85,20.90,21.77,1858500,21.590546
2015-12-15,21.15,21.34,20.860001,21.139999,1889200,20.965738
2015-12-14,21.48,21.690001,21.01,21.08,1980300,20.906233
2015-12-11,21.57,21.700001,21.41,21.549999,875800,21.372358
2015-12-10,21.68,21.860001,21.549999,21.799999,654900,21.620297
2015-12-09,21.799999,22.17,21.52,21.709999,903100,21.531039
2015-12-08,21.799999,21.92,21.610001,21.799999,577600,21.620297
2015-12-07,22.120001,22.27,21.85,21.940001,932400,21.759145
2015-12-04,21.809999,22.299999,21.68,22.219999,733200,22.036835
2015-12-03,22.00,22.10,21.620001,21.73,1319600,21.550875
2015-12-02,21.91,22.610001,21.719999,21.950001,2930200,21.769062
2015-12-01,22.360001,22.51,22.10,22.129999,709600,21.947577
2015-11-30,22.23,22.34,22.10,22.24,1022900,22.056671
2015-11-27,22.129999,22.26,22.030001,22.200001,292700,22.017002
2015-11-25,22.02,22.17,21.90,22.15,488300,21.967413
2015-11-24,21.780001,22.10,21.66,22.030001,914300,21.848403
2015-11-23,21.889999,22.110001,21.83,21.93,891900,21.749227
2015-11-20,21.549999,21.93,21.549999,21.85,1017400,21.669886
