Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,9.09,9.09,9.09,9.09,000,9.09
2016-03-31,9.09,9.09,9.09,9.09,000,9.09
2016-03-30,9.09,9.09,9.09,9.09,000,9.09
2016-03-29,9.09,9.09,9.09,9.09,000,9.09
2016-03-28,9.09,9.09,9.09,9.09,000,9.09
2016-03-25,9.09,9.09,9.09,9.09,000,9.09
2016-03-24,9.62,9.62,9.09,9.09,1500,9.09
2016-03-23,10.60,10.65,10.41,10.41,1600,10.41
2016-03-22,10.45,10.45,10.45,10.45,000,10.45
2016-03-21,10.60,10.60,10.41,10.45,3900,10.45
2016-03-18,10.52,10.52,10.52,10.52,500,10.52
2016-03-17,10.24,10.24,10.24,10.24,1000,10.24
2016-03-16,9.51,9.51,9.51,9.51,700,9.51
2016-03-15,9.365,9.365,9.365,9.365,000,9.365
2016-03-14,9.50,9.50,9.365,9.365,500,9.365
2016-03-11,9.615,9.725,9.49,9.49,2800,9.49
2016-03-10,8.93,8.93,8.93,8.93,000,8.93
2016-03-09,8.96,8.96,8.93,8.93,2500,8.93
2016-03-08,9.86,9.86,9.86,9.86,200,9.86
2016-03-07,9.835,9.835,9.835,9.835,1000,9.835
2016-03-04,9.675,10.20,9.37,10.20,3100,10.20
2016-03-03,9.00,9.00,9.00,9.00,500,9.00
2016-03-02,7.485,7.485,7.485,7.485,000,7.485
2016-03-01,7.485,7.485,7.485,7.485,000,7.485
2016-02-29,7.485,7.485,7.485,7.485,000,7.485
2016-02-26,7.485,7.485,7.485,7.485,300,7.485
2016-02-25,7.22,7.22,7.22,7.22,000,7.22
2016-02-24,7.315,7.315,7.315,7.22,000,7.22
2016-02-23,7.355,7.355,7.22,7.22,2100,7.22
2016-02-22,7.055,7.835,7.055,7.835,1600,7.835
2016-02-19,6.71,6.71,6.71,6.71,000,6.71
2016-02-18,6.62,6.71,6.62,6.71,3900,6.71
2016-02-17,6.395,7.475,6.395,7.36,34900,7.36
2016-02-16,5.945,6.02,5.92,5.95,30000,5.95
2016-02-15,5.775,5.775,5.775,5.775,2000,5.775
2016-02-12,5.33,5.33,5.33,5.33,1000,5.33
2016-02-11,4.646,4.646,4.646,4.646,2500,4.646
2016-02-10,4.948,4.948,4.948,4.948,100,4.948
2016-02-09,5.35,5.435,5.20,5.435,4400,5.435
2016-02-08,5.63,5.69,5.63,5.69,5400,5.69
2016-02-05,5.60,5.60,5.59,5.59,2000,5.59
2016-02-04,4.98,5.05,4.98,5.05,5900,5.05
2016-02-03,4.469,4.584,4.468,4.527,6000,4.527
2016-02-02,4.90,4.90,4.90,4.90,1500,4.90
2016-02-01,4.871,4.871,4.839,4.839,700,4.839
2016-01-29,3.754,3.754,3.754,3.754,000,3.754
2016-01-28,3.754,3.754,3.754,3.754,000,3.754
2016-01-27,3.754,3.754,3.754,3.754,000,3.754
2016-01-26,3.754,3.754,3.754,3.754,000,3.754
2016-01-25,3.754,3.754,3.754,3.754,000,3.754
2016-01-22,3.754,3.754,3.754,3.754,000,3.754
2016-01-21,3.754,3.754,3.754,3.754,000,3.754
2016-01-20,3.90,3.90,3.754,3.754,6000,3.754
2016-01-19,4.487,4.487,4.487,4.487,000,4.487
2016-01-18,4.487,4.487,4.487,4.487,500,4.487
2016-01-15,5.43,5.43,5.43,5.43,000,5.43
2016-01-14,5.43,5.43,5.43,5.43,000,5.43
2016-01-13,5.43,5.43,5.43,5.43,000,5.43
2016-01-12,5.43,5.43,5.43,5.43,000,5.43
2016-01-11,5.43,5.43,5.43,5.43,2900,5.43
