Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,95.40,97.70,95.40,97.55,2632200,97.55
2016-03-31,97.70,97.70,95.56,96.70,3801200,96.70
2016-03-30,95.80,96.50,95.15,95.60,1604000,95.60
2016-03-29,94.60,95.15,93.76,94.80,1534300,94.80
2016-03-28,93.65,93.65,93.65,93.65,000,93.65
2016-03-24,93.30,95.05,92.95,93.65,1827700,93.65
2016-03-23,92.55,94.85,92.50,94.00,3800300,94.00
2016-03-22,93.80,93.80,90.95,92.55,1523100,92.55
2016-03-21,94.15,95.40,93.65,93.85,1191600,93.85
2016-03-18,93.85,95.50,93.85,94.70,3642400,94.70
2016-03-17,95.85,96.20,93.318,94.15,1355000,94.15
2016-03-16,95.05,96.25,94.00,95.55,2257600,95.55
2016-03-15,95.10,95.15,93.80,94.30,1340300,94.30
2016-03-14,96.15,96.90,94.30,94.95,1778600,94.95
2016-03-11,94.75,96.263,93.40,95.60,2094300,95.60
2016-03-10,93.55,97.00,92.80,93.00,2654200,93.00
2016-03-09,94.45,94.60,93.00,93.35,1113400,93.35
2016-03-08,95.10,95.475,94.20,94.50,1101900,94.50
2016-03-07,95.75,96.60,94.55,95.20,1261000,95.20
2016-03-04,95.05,95.95,94.516,95.95,1598400,95.95
2016-03-03,95.20,95.20,93.25,94.45,1746700,94.45
2016-03-02,94.90,95.25,93.263,94.45,1830800,94.45
2016-03-01,92.85,94.30,91.20,93.90,1875400,93.90
2016-02-29,92.50,93.15,91.85,92.25,2620100,92.25
2016-02-26,92.30,92.95,91.65,92.80,2393200,92.80
2016-02-25,88.30,92.00,87.95,91.30,3345900,91.30
2016-02-24,88.40,88.40,86.45,86.95,2415900,86.95
2016-02-23,87.80,88.75,86.25,87.50,2130100,87.50
2016-02-22,86.45,88.20,86.45,87.50,1463000,87.50
2016-02-19,88.70,88.70,85.40,86.25,1470000,86.25
2016-02-18,88.40,89.40,87.15,88.20,1475400,88.20
2016-02-17,86.70,88.744,85.60,88.60,2587200,88.60
2016-02-16,87.20,87.70,85.30,85.85,2256000,85.85
2016-02-15,86.70,88.25,85.10,86.05,1867300,86.05
2016-02-12,80.85,85.90,80.30,85.60,3279300,85.60
2016-02-11,82.25,83.05,79.55,80.75,3393200,80.75
2016-02-10,81.55,83.80,80.75,82.65,2826500,82.65
2016-02-09,83.40,85.00,80.55,81.70,3869400,81.70
2016-02-08,89.20,90.10,83.50,83.90,4851600,83.90
2016-02-05,90.00,91.40,87.90,89.25,3411000,89.25
2016-02-04,86.55,89.70,86.25,88.80,5302000,88.80
2016-02-03,92.25,92.75,87.60,88.65,5401400,88.65
2016-02-02,92.10,94.35,90.75,91.75,4654000,91.75
2016-02-01,93.55,94.60,91.30,92.50,5600300,92.50
2016-01-29,89.05,93.40,86.608,93.00,8283200,93.00
2016-01-28,95.00,101.10,89.50,90.05,15331000,90.05
2016-01-27,102.20,102.50,100.90,102.30,1809800,102.30
2016-01-26,100.90,102.122,100.30,101.90,1893800,101.90
2016-01-25,98.45,101.80,98.00,101.30,3052900,101.30
2016-01-22,96.00,99.15,95.70,98.65,2019800,98.65
2016-01-21,94.75,95.90,93.60,94.80,1962800,94.80
2016-01-20,97.30,98.05,94.70,94.95,2067300,94.95
2016-01-19,99.60,100.448,97.823,99.20,2192100,99.20
2016-01-18,98.80,100.70,97.827,98.45,3871100,98.45
2016-01-15,102.50,103.012,98.15,98.80,2510700,98.80
2016-01-14,102.70,103.20,102.10,102.50,3019900,102.50
2016-01-13,103.20,105.20,102.80,103.80,2630500,103.80
2016-01-12,105.00,105.00,103.00,103.60,2403200,103.60
2016-01-11,102.90,104.80,101.50,104.10,1974400,104.10
2016-01-08,105.00,107.70,103.40,103.40,2076500,103.40
2016-01-07,105.40,105.90,103.80,105.70,3359300,105.70
2016-01-06,107.30,107.40,106.00,106.90,1422000,106.90
2016-01-05,106.20,107.10,104.80,107.10,1279700,107.10
2016-01-04,107.00,108.432,105.00,105.40,1913400,105.40
2015-12-31,107.80,107.992,107.10,107.30,128100,107.30
2015-12-30,109.10,109.20,107.60,108.50,860200,108.50
2015-12-29,106.90,109.10,106.90,108.80,1185600,108.80
2015-12-28,108.00,108.00,108.00,108.00,000,108.00
2015-12-25,108.00,108.00,108.00,108.00,000,108.00
2015-12-24,107.60,108.00,107.00,108.00,210200,108.00
2015-12-23,107.30,107.30,105.20,106.90,2731800,106.90
2015-12-22,105.30,106.20,104.50,105.60,800500,105.60
2015-12-21,103.20,106.00,103.20,105.10,3176000,105.10
2015-12-18,105.20,105.50,103.50,103.70,3256000,103.70
