Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,105.089996,109.190002,104.959999,108.800003,331200,108.800003
2016-03-31,104.889999,106.480003,104.889999,106.089996,240400,106.089996
2016-03-30,105.690002,106.00,103.93,105.059998,147500,105.059998
2016-03-29,100.419998,106.00,100.419998,105.389999,313400,105.389999
2016-03-28,101.699997,101.839996,100.349998,100.650002,195200,100.650002
2016-03-24,100.25,101.599998,99.959999,101.00,140400,101.00
2016-03-23,102.389999,102.599998,99.400002,100.589996,350400,100.589996
2016-03-22,104.139999,106.639999,104.139999,104.610001,191200,104.610001
2016-03-21,103.949997,104.370003,103.050003,104.129997,81300,104.129997
2016-03-18,104.529999,105.059998,103.330002,104.339996,271600,104.339996
2016-03-17,102.080002,104.489998,100.849998,104.019997,197700,104.019997
2016-03-16,99.230003,102.349998,99.230003,102.330002,156100,102.330002
2016-03-15,99.720001,100.800003,99.199997,99.449997,85000,99.449997
2016-03-14,99.709999,100.57,99.010002,100.279999,109200,100.279999
2016-03-11,100.050003,100.860001,98.629997,99.919998,117900,99.919998
2016-03-10,98.169998,101.18,97.779999,99.290001,306300,99.290001
2016-03-09,98.129997,98.480003,97.349998,97.75,130200,97.75
2016-03-08,99.50,99.50,97.790001,97.889999,144900,97.889999
2016-03-07,100.57,101.400002,99.419998,100.160004,169200,100.160004
2016-03-04,102.269997,102.269997,100.639999,101.260002,232200,101.24
2016-03-03,102.690002,102.690002,101.400002,102.18,197600,102.159817
2016-03-02,102.220001,102.970001,101.769997,102.900002,178100,102.879676
2016-03-01,100.00,102.910004,99.730003,102.629997,335500,102.609725
2016-02-29,96.660004,99.919998,96.660004,99.519997,498200,99.500338
2016-02-26,98.25,99.00,96.150002,96.660004,218400,96.64091
2016-02-25,95.910004,98.790001,95.300003,98.580002,314700,98.560529
2016-02-24,93.82,95.760002,93.82,95.589996,214800,95.571114
2016-02-23,94.68,95.00,94.379997,94.550003,178400,94.531327
2016-02-22,93.760002,95.349998,93.639999,94.919998,193300,94.901249
2016-02-19,92.790001,94.00,92.699997,93.00,261600,92.98163
2016-02-18,94.32,94.860001,92.290001,92.910004,296100,92.891651
2016-02-17,94.519997,95.010002,93.699997,94.349998,236300,94.331362
2016-02-16,94.339996,94.410004,93.419998,93.980003,266400,93.96144
2016-02-12,92.779999,93.699997,91.779999,93.010002,202500,92.99163
2016-02-11,90.720001,92.32,90.389999,91.419998,262700,91.40194
2016-02-10,92.089996,94.190002,91.540001,92.470001,317700,92.451736
2016-02-09,91.480003,93.269997,90.349998,91.379997,255700,91.361947
2016-02-08,93.07,93.07,90.620003,92.370003,334100,92.351757
2016-02-05,95.510002,96.080002,93.540001,94.330002,290400,94.311369
2016-02-04,96.43,96.870003,95.010002,95.910004,276600,95.891059
2016-02-03,97.050003,97.160004,94.639999,96.650002,320000,96.63091
2016-02-02,94.50,96.489998,93.720001,96.089996,379500,96.071016
2016-02-01,94.93,98.43,94.650002,95.559998,427200,95.541122
2016-01-29,87.559998,98.959999,85.809998,95.57,960800,95.551122
2016-01-28,82.949997,82.949997,81.550003,82.339996,140600,82.323732
2016-01-27,83.43,84.050003,81.739998,82.050003,181700,82.033796
2016-01-26,81.720001,84.389999,81.669998,84.059998,203100,84.043393
2016-01-25,83.449997,83.809998,80.800003,81.080002,290900,81.063986
2016-01-22,81.989998,84.099998,81.989998,83.970001,370000,83.953415
2016-01-21,85.519997,85.620003,80.199997,81.010002,504700,80.994
2016-01-20,84.199997,86.279999,82.730003,85.25,284500,85.233161
2016-01-19,86.410004,86.699997,84.18,85.309998,262100,85.293146
2016-01-15,83.129997,85.599998,83.059998,85.489998,409800,85.473111
2016-01-14,84.559998,86.150002,82.43,85.480003,425500,85.463119
2016-01-13,88.379997,88.779999,83.309998,84.379997,285400,84.36333
2016-01-12,89.989998,90.209999,86.75,88.379997,446400,88.36254
2016-01-11,89.309998,89.790001,88.50,89.339996,229000,89.322349
2016-01-08,91.849998,92.029999,88.629997,88.959999,278300,88.942427
2016-01-07,92.32,93.690002,91.410004,91.459999,258500,91.441933
2016-01-06,92.760002,94.660004,91.980003,94.00,350600,93.981432
2016-01-05,93.059998,94.540001,92.809998,94.00,204300,93.981432
2016-01-04,93.330002,93.43,91.330002,93.059998,318700,93.041615
2015-12-31,95.209999,96.279999,94.160004,94.18,161600,94.161397
2015-12-30,96.550003,96.849998,95.400002,95.449997,104000,95.431143
2015-12-29,96.339996,97.00,95.50,96.43,132000,96.410953
2015-12-28,94.779999,95.839996,94.419998,95.830002,121700,95.811073
2015-12-24,94.779999,95.510002,94.459999,95.099998,42500,95.081213
2015-12-23,94.379997,94.839996,93.900002,94.75,116300,94.731284
2015-12-22,93.160004,94.199997,92.779999,94.00,129200,93.981432
2015-12-21,92.230003,92.910004,91.800003,92.839996,99600,92.821658
2015-12-18,92.699997,93.690002,91.480003,91.75,330200,91.731877
2015-12-17,93.489998,94.75,92.82,92.900002,125100,92.881651
2015-12-16,92.00,92.940002,91.169998,92.849998,136400,92.831658
2015-12-15,90.489998,92.470001,90.269997,91.529999,147300,91.511919
2015-12-14,89.489998,90.879997,89.489998,89.919998,279800,89.902236
2015-12-11,89.309998,90.800003,89.239998,89.610001,355000,89.5923
2015-12-10,89.269997,91.080002,89.260002,90.720001,275500,90.702081
2015-12-09,91.440002,92.080002,88.779999,89.110001,197000,89.092399
2015-12-08,91.080002,92.900002,91.029999,91.910004,154800,91.891849
2015-12-07,93.610001,93.949997,91.800003,91.989998,120800,91.971827
2015-12-04,92.099998,94.010002,92.050003,93.639999,143200,93.621503
2015-12-03,95.010002,95.010002,91.910004,92.099998,121000,92.081806
2015-12-02,95.879997,96.059998,94.57,94.849998,68200,94.831263
2015-12-01,95.389999,96.18,95.129997,95.889999,102700,95.871058
2015-11-30,95.150002,95.400002,94.699997,95.25,138400,95.231185
2015-11-27,94.610001,95.349998,94.050003,94.849998,82100,94.811266
2015-11-25,92.830002,94.889999,92.830002,94.589996,145200,94.55137
2015-11-24,91.370003,93.029999,91.129997,92.839996,115400,92.802085
2015-11-23,91.260002,92.339996,91.260002,92.129997,88100,92.092376
2015-11-20,90.489998,91.629997,90.379997,91.580002,175800,91.542605
2015-11-19,89.790001,91.00,89.790001,90.040001,290100,90.003233
2015-11-18,87.849998,90.860001,87.50,89.699997,276700,89.663368
2015-11-17,87.800003,89.209999,87.25,87.760002,142000,87.724165
2015-11-16,87.220001,87.919998,86.730003,87.559998,126100,87.524242
2015-11-13,85.790001,87.150002,85.370003,87.00,202700,86.964473
2015-11-12,86.410004,87.419998,85.949997,86.379997,188700,86.344724
2015-11-11,87.620003,88.019997,86.860001,86.889999,201000,86.854518
2015-11-10,86.57,87.400002,86.029999,87.190002,156000,87.154398
2015-11-09,86.760002,87.349998,85.900002,87.010002,225900,86.974471
2015-11-06,89.50,89.50,78.110001,87.370003,742700,87.334325
2015-11-05,93.480003,93.800003,92.059998,92.209999,101800,92.172345
2015-11-04,93.849998,94.00,93.110001,93.419998,134900,93.38185
2015-11-03,92.449997,94.00,90.660004,93.650002,239100,93.611759
2015-11-02,92.610001,93.230003,92.25,92.769997,229200,92.732114
2015-10-30,91.970001,93.00,91.589996,92.370003,83300,92.332283
2015-10-29,94.349998,94.75,90.910004,92.220001,157200,92.182343
2015-10-28,89.029999,93.370003,88.82,93.349998,284400,93.311879
2015-10-27,90.519997,91.050003,88.360001,88.650002,168400,88.613801
2015-10-26,90.779999,91.790001,90.00,90.970001,274700,90.932853
2015-10-23,90.07,90.800003,89.349998,90.68,113900,90.642971
2015-10-22,88.650002,90.010002,88.650002,89.209999,156900,89.17357
2015-10-21,89.910004,89.910004,87.779999,88.029999,94900,87.994052
2015-10-20,89.839996,90.709999,89.260002,89.559998,150000,89.523426
2015-10-19,88.889999,90.419998,88.889999,89.82,124400,89.783322
2015-10-16,90.050003,90.199997,88.779999,89.510002,138500,89.473451
2015-10-15,88.050003,90.160004,87.809998,89.980003,121900,89.94326
2015-10-14,88.540001,89.190002,87.540001,87.620003,90800,87.584223
