Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,0.06,0.06,0.06,0.06,000,0.06
2016-03-31,0.06,0.06,0.06,0.06,000,0.06
2016-03-30,0.06,0.06,0.06,0.06,000,0.06
2016-03-29,0.06,0.06,0.06,0.06,000,0.06
2016-03-28,0.06,0.06,0.06,0.06,23000,0.06
2016-03-24,0.05,0.05,0.05,0.05,000,0.05
2016-03-23,0.05,0.05,0.05,0.05,000,0.05
2016-03-22,0.05,0.05,0.05,0.05,85000,0.05
2016-03-21,0.05,0.05,0.05,0.05,000,0.05
2016-03-18,0.05,0.05,0.05,0.05,1200,0.05
2016-03-17,0.06,0.06,0.06,0.06,2000,0.06
2016-03-16,0.06,0.06,0.06,0.06,000,0.06
2016-03-15,0.06,0.06,0.06,0.06,10000,0.06
2016-03-14,0.06,0.06,0.05,0.05,30000,0.05
2016-03-11,0.06,0.06,0.06,0.06,6500,0.06
2016-03-10,0.06,0.06,0.06,0.06,13000,0.06
2016-03-09,0.06,0.06,0.06,0.06,000,0.06
2016-03-08,0.06,0.06,0.06,0.06,1000,0.06
2016-03-07,0.05,0.06,0.05,0.06,18000,0.06
2016-03-04,0.06,0.06,0.06,0.06,20000,0.06
2016-03-03,0.05,0.06,0.05,0.06,58000,0.06
2016-03-02,0.05,0.05,0.05,0.05,000,0.05
2016-03-01,0.05,0.05,0.05,0.05,000,0.05
2016-02-29,0.05,0.05,0.05,0.05,000,0.05
2016-02-26,0.06,0.06,0.05,0.05,8000,0.05
2016-02-25,0.06,0.06,0.06,0.06,000,0.06
2016-02-24,0.05,0.06,0.05,0.06,38000,0.06
2016-02-23,0.06,0.06,0.06,0.06,000,0.06
2016-02-22,0.06,0.06,0.06,0.06,000,0.06
2016-02-19,0.05,0.06,0.05,0.06,41700,0.06
2016-02-18,0.06,0.06,0.05,0.06,35000,0.06
2016-02-17,0.06,0.06,0.06,0.06,000,0.06
2016-02-16,0.06,0.06,0.06,0.06,000,0.06
2016-02-12,0.06,0.06,0.06,0.06,4000,0.06
2016-02-11,0.06,0.06,0.06,0.06,33000,0.06
2016-02-10,0.06,0.06,0.05,0.05,40000,0.05
2016-02-09,0.07,0.07,0.07,0.07,000,0.07
2016-02-08,0.07,0.07,0.07,0.07,1000,0.07
2016-02-05,0.06,0.07,0.06,0.07,50000,0.07
2016-02-04,0.06,0.06,0.06,0.06,000,0.06
2016-02-03,0.06,0.06,0.06,0.06,000,0.06
2016-02-02,0.05,0.07,0.05,0.06,183000,0.06
2016-02-01,0.05,0.05,0.05,0.05,000,0.05
2016-01-29,0.05,0.05,0.05,0.05,000,0.05
2016-01-28,0.05,0.05,0.05,0.05,13000,0.05
2016-01-27,0.05,0.05,0.05,0.05,30000,0.05
2016-01-26,0.05,0.05,0.05,0.05,103000,0.05
2016-01-25,0.05,0.05,0.05,0.05,21000,0.05
2016-01-22,0.05,0.05,0.05,0.05,000,0.05
2016-01-21,0.05,0.05,0.05,0.05,2100,0.05
2016-01-20,0.05,0.05,0.05,0.05,000,0.05
2016-01-19,0.05,0.05,0.05,0.05,11000,0.05
2016-01-18,0.06,0.06,0.06,0.06,000,0.06
2016-01-15,0.05,0.06,0.05,0.06,39000,0.06
2016-01-14,0.05,0.06,0.05,0.06,59000,0.06
2016-01-13,0.05,0.05,0.05,0.05,6000,0.05
2016-01-12,0.06,0.06,0.06,0.06,17000,0.06
2016-01-11,0.06,0.06,0.06,0.06,000,0.06
2016-01-08,0.06,0.06,0.06,0.06,000,0.06
2016-01-07,0.06,0.06,0.06,0.06,1000,0.06
2016-01-06,0.06,0.06,0.05,0.05,21600,0.05
2016-01-05,0.05,0.05,0.05,0.05,16000,0.05
2016-01-04,0.06,0.06,0.06,0.06,25000,0.06
2015-12-31,0.05,0.05,0.05,0.05,5000,0.05
2015-12-30,0.05,0.05,0.05,0.05,000,0.05
2015-12-29,0.05,0.07,0.05,0.05,129700,0.05
2015-12-24,0.05,0.06,0.05,0.06,219000,0.06
2015-12-23,0.05,0.05,0.05,0.05,3000,0.05
2015-12-22,0.05,0.05,0.05,0.05,11400,0.05
2015-12-21,0.04,0.05,0.04,0.05,53000,0.05
2015-12-18,0.04,0.04,0.04,0.04,240000,0.04
2015-12-17,0.04,0.04,0.04,0.04,6000,0.04
2015-12-16,0.04,0.04,0.04,0.04,000,0.04
2015-12-15,0.04,0.04,0.04,0.04,1000,0.04
2015-12-14,0.04,0.04,0.04,0.04,18000,0.04
2015-12-11,0.04,0.04,0.04,0.04,85000,0.04
2015-12-10,0.04,0.04,0.04,0.04,000,0.04
2015-12-09,0.04,0.04,0.04,0.04,7000,0.04
2015-12-08,0.04,0.04,0.04,0.04,220000,0.04
2015-12-07,0.05,0.05,0.05,0.05,12000,0.05
2015-12-04,0.04,0.04,0.04,0.04,000,0.04
2015-12-03,0.04,0.04,0.04,0.04,3000,0.04
2015-12-02,0.05,0.05,0.04,0.04,745000,0.04
2015-12-01,0.06,0.06,0.05,0.05,10000,0.05
2015-11-30,0.06,0.06,0.06,0.06,43000,0.06
2015-11-27,0.05,0.06,0.05,0.05,45000,0.05
2015-11-26,0.05,0.05,0.05,0.05,000,0.05
2015-11-25,0.05,0.05,0.05,0.05,000,0.05
2015-11-24,0.05,0.05,0.05,0.05,30000,0.05
2015-11-23,0.06,0.06,0.06,0.06,000,0.06
2015-11-20,0.06,0.06,0.04,0.06,387000,0.06
2015-11-19,0.08,0.08,0.06,0.06,114500,0.06
2015-11-18,0.08,0.08,0.08,0.08,25000,0.08
2015-11-17,0.08,0.08,0.08,0.08,23500,0.08
2015-11-16,0.09,0.09,0.09,0.09,11500,0.09
2015-11-13,0.09,0.10,0.09,0.09,74500,0.09
2015-11-12,0.09,0.09,0.09,0.09,000,0.09
2015-11-11,0.07,0.09,0.07,0.09,188500,0.09
2015-11-10,0.08,0.08,0.08,0.08,25500,0.08
2015-11-09,0.08,0.08,0.08,0.08,50000,0.08
2015-11-06,0.07,0.08,0.07,0.08,78000,0.08
2015-11-05,0.07,0.07,0.07,0.07,22000,0.07
2015-11-04,0.06,0.06,0.06,0.06,95000,0.06
2015-11-03,0.07,0.07,0.07,0.07,5000,0.07
2015-11-02,0.07,0.07,0.07,0.07,16000,0.07
2015-10-30,0.07,0.07,0.07,0.07,27000,0.07
2015-10-29,0.08,0.08,0.07,0.07,67000,0.07
2015-10-28,0.08,0.08,0.08,0.08,000,0.08
2015-10-27,0.07,0.08,0.07,0.08,40000,0.08
2015-10-26,0.07,0.07,0.07,0.07,5000,0.07
2015-10-23,0.08,0.08,0.08,0.08,000,0.08
2015-10-22,0.08,0.08,0.08,0.08,8000,0.08
2015-10-21,0.07,0.07,0.07,0.07,000,0.07
2015-10-20,0.06,0.06,0.06,0.06,30000,0.06
2015-10-19,0.07,0.07,0.07,0.07,000,0.07
2015-10-16,0.07,0.07,0.07,0.07,2000,0.07
2015-10-15,0.06,0.06,0.06,0.06,30000,0.06
2015-10-14,0.07,0.07,0.07,0.07,32000,0.07
2015-10-13,0.07,0.07,0.07,0.07,25000,0.07
2015-10-09,0.06,0.06,0.06,0.06,000,0.06
2015-10-08,0.06,0.06,0.06,0.06,123200,0.06
2015-10-07,0.07,0.07,0.07,0.07,71000,0.07
2015-10-06,0.07,0.07,0.07,0.07,1000,0.07
2015-10-05,0.07,0.07,0.07,0.07,2000,0.07
2015-10-02,0.08,0.08,0.07,0.07,6000,0.07
2015-10-01,0.07,0.08,0.07,0.08,7000,0.08
2015-09-30,0.07,0.07,0.07,0.07,22000,0.07
2015-09-29,0.08,0.08,0.08,0.08,10000,0.08
2015-09-28,0.07,0.08,0.07,0.08,31200,0.08
2015-09-25,0.07,0.08,0.07,0.08,19000,0.08
2015-09-24,0.07,0.07,0.07,0.07,3000,0.07
2015-09-23,0.07,0.08,0.07,0.07,5000,0.07
2015-09-22,0.07,0.07,0.07,0.07,10000,0.07
2015-09-21,0.07,0.07,0.07,0.07,000,0.07
2015-09-18,0.08,0.08,0.08,0.08,000,0.08
2015-09-17,0.08,0.08,0.08,0.08,29000,0.08
2015-09-16,0.08,0.08,0.08,0.08,000,0.08
2015-09-15,0.08,0.09,0.08,0.08,53000,0.08
2015-09-14,0.08,0.08,0.08,0.08,23000,0.08
2015-09-11,0.08,0.08,0.07,0.08,163500,0.08
2015-09-10,0.07,0.07,0.06,0.06,34400,0.06
2015-09-09,0.08,0.08,0.08,0.08,80000,0.08
