Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,15.185,15.44,15.13,15.44,11200,15.03
2016-03-31,15.425,15.425,15.425,15.425,100,15.015
2016-03-30,15.645,15.66,15.585,15.585,5100,15.171
2016-03-29,15.605,15.605,15.605,15.605,100,15.191
2016-03-28,15.46,15.46,15.46,15.46,000,15.049
2016-03-25,15.46,15.46,15.46,15.46,000,15.049
2016-03-24,15.575,15.575,15.41,15.46,4700,15.049
2016-03-23,15.73,15.755,15.68,15.695,6000,15.278
2016-03-22,15.37,15.615,15.37,15.615,1600,15.20
2016-03-21,15.495,15.54,15.37,15.515,6000,15.103
2016-03-18,15.725,15.805,15.64,15.64,800,15.225
2016-03-17,16.05,16.05,15.83,15.83,3200,15.41
2016-03-16,16.40,16.40,16.26,16.26,2100,15.828
2016-03-15,16.375,16.405,16.295,16.295,2200,15.862
2016-03-14,16.51,16.55,16.34,16.42,7400,15.984
2016-03-11,16.28,16.50,16.205,16.445,3800,16.008
2016-03-10,16.015,16.59,15.995,16.10,26300,15.672
2016-03-09,15.985,16.05,15.945,15.945,18300,15.521
2016-03-08,15.50,15.75,15.455,15.735,8800,15.317
2016-03-07,15.65,15.71,15.65,15.71,1800,15.293
2016-03-04,15.94,16.15,15.87,15.945,2000,15.521
2016-03-03,15.88,15.91,15.88,15.885,5200,15.463
2016-03-02,16.20,16.20,15.985,15.985,3500,15.56
2016-03-01,16.24,16.24,16.24,16.24,300,15.809
2016-02-29,15.62,15.99,15.62,15.99,700,15.565
2016-02-26,16.055,16.055,15.825,15.825,1700,15.405
2016-02-25,15.825,15.96,15.825,15.94,800,15.517
2016-02-24,15.85,15.85,15.525,15.525,8700,15.113
2016-02-23,16.255,16.27,16.005,16.005,1100,15.58
2016-02-22,16.10,16.30,16.09,16.295,26300,15.862
2016-02-19,16.00,16.01,15.885,15.915,3900,15.492
2016-02-18,15.80,16.035,15.80,15.965,5800,15.541
2016-02-17,15.72,15.74,15.715,15.715,1400,15.298
2016-02-16,15.54,15.55,15.37,15.39,3000,14.981
2016-02-15,15.335,15.515,15.30,15.365,8500,14.957
2016-02-12,14.805,14.865,14.69,14.865,6100,14.47
2016-02-11,14.75,14.77,14.48,14.63,8600,14.241
2016-02-10,14.845,15.185,14.845,14.965,700,14.568
2016-02-09,14.82,14.82,14.585,14.79,5500,14.397
2016-02-08,14.96,14.96,14.78,14.78,12400,14.387
2016-02-05,15.60,15.605,15.35,15.41,4800,15.001
2016-02-04,15.86,15.86,15.65,15.715,15000,15.298
2016-02-03,16.135,16.135,15.86,16.025,1600,15.599
2016-02-02,16.20,16.60,16.20,16.265,4900,15.833
2016-02-01,16.285,16.34,16.205,16.315,5000,15.882
2016-01-29,16.10,16.28,16.035,16.28,3800,15.848
2016-01-28,16.265,16.265,16.05,16.115,1200,15.687
2016-01-27,16.105,16.325,16.105,16.305,24200,15.872
2016-01-26,15.60,15.85,15.55,15.85,5100,15.429
2016-01-25,15.695,15.99,15.68,15.76,6900,15.341
2016-01-22,15.40,15.855,15.30,15.855,5700,15.434
2016-01-21,15.015,15.235,14.945,15.03,9600,14.631
2016-01-20,15.05,15.05,14.72,14.755,7500,14.363
2016-01-19,15.315,15.40,15.295,15.38,3400,14.972
2016-01-18,15.40,15.455,15.135,15.135,3700,14.733
2016-01-15,15.53,15.53,15.105,15.265,15600,14.86
2016-01-14,15.54,15.54,15.54,15.54,200,15.127
2016-01-13,15.995,16.015,15.755,15.755,18200,15.337
2016-01-12,15.345,15.965,15.34,15.845,26000,15.424
2016-01-11,15.345,15.37,15.165,15.205,20100,14.801
2016-01-08,15.525,15.61,15.30,15.30,21300,14.894
2016-01-07,15.115,15.47,15.005,15.465,24200,15.054
2016-01-06,15.215,15.57,15.215,15.57,2100,15.156
2016-01-05,15.445,15.475,15.25,15.29,8300,14.884
2016-01-04,15.18,15.365,15.00,15.16,30100,14.757
2016-01-01,15.59,15.59,15.59,15.59,000,15.176
2015-12-31,15.59,15.59,15.59,15.59,000,15.176
2015-12-30,15.535,15.59,15.505,15.59,1700,15.176
2015-12-29,15.52,15.57,15.51,15.565,5400,15.152
2015-12-28,15.38,15.43,15.34,15.34,15600,14.933
2015-12-25,15.45,15.45,15.45,15.45,000,15.04
