Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,0.20,0.21,0.20,0.20,187800,0.20
2016-03-31,0.20,0.20,0.20,0.20,46900,0.20
2016-03-30,0.21,0.21,0.20,0.20,40600,0.20
2016-03-29,0.22,0.22,0.20,0.20,117300,0.20
2016-03-28,0.20,0.20,0.19,0.19,107100,0.19
2016-03-24,0.19,0.19,0.19,0.19,7500,0.19
2016-03-23,0.20,0.20,0.20,0.20,18300,0.20
2016-03-22,0.21,0.21,0.20,0.20,57500,0.20
2016-03-21,0.18,0.18,0.18,0.18,59400,0.18
2016-03-18,0.17,0.20,0.17,0.18,216700,0.18
2016-03-17,0.18,0.18,0.16,0.17,61200,0.17
2016-03-16,0.17,0.17,0.16,0.17,75000,0.17
2016-03-15,0.17,0.17,0.16,0.16,6100,0.16
2016-03-14,0.17,0.18,0.16,0.17,328600,0.17
2016-03-11,0.19,0.19,0.16,0.17,75000,0.17
2016-03-10,0.18,0.18,0.16,0.18,267600,0.18
2016-03-09,0.18,0.20,0.16,0.18,83000,0.18
2016-03-08,0.21,0.21,0.17,0.18,160300,0.18
2016-03-07,0.18,0.30,0.18,0.22,295000,0.22
2016-03-04,0.17,0.18,0.17,0.18,126500,0.18
2016-03-03,0.16,0.16,0.16,0.16,512400,0.16
2016-03-02,0.14,0.15,0.14,0.15,63000,0.15
2016-03-01,0.14,0.14,0.14,0.14,36000,0.14
2016-02-29,0.13,0.13,0.11,0.13,50400,0.13
2016-02-26,0.14,0.14,0.14,0.14,14500,0.14
2016-02-25,0.14,0.14,0.14,0.14,56500,0.14
2016-02-24,0.15,0.15,0.13,0.14,98700,0.14
2016-02-23,0.15,0.15,0.15,0.15,6500,0.15
2016-02-22,0.16,0.16,0.14,0.15,47200,0.15
2016-02-19,0.13,0.15,0.13,0.13,9600,0.13
2016-02-18,0.12,0.12,0.12,0.12,11600,0.12
2016-02-17,0.12,0.12,0.11,0.12,53900,0.12
2016-02-16,0.10,0.12,0.10,0.12,6600,0.12
2016-02-12,0.11,0.11,0.10,0.10,72500,0.10
2016-02-11,0.10,0.11,0.09,0.11,138800,0.11
2016-02-10,0.11,0.11,0.11,0.11,8800,0.11
2016-02-09,0.11,0.11,0.11,0.11,5700,0.11
2016-02-08,0.12,0.12,0.12,0.12,20000,0.12
2016-02-05,0.13,0.13,0.12,0.13,42400,0.13
2016-02-04,0.12,0.13,0.12,0.13,42100,0.13
2016-02-03,0.12,0.12,0.12,0.12,14100,0.12
2016-02-02,0.12,0.12,0.11,0.12,59700,0.12
2016-02-01,0.13,0.13,0.12,0.13,159000,0.13
2016-01-29,0.14,0.14,0.14,0.14,62900,0.14
2016-01-28,0.14,0.14,0.13,0.13,39500,0.13
2016-01-27,0.15,0.16,0.15,0.16,110000,0.16
2016-01-26,0.16,0.16,0.15,0.15,106200,0.15
2016-01-25,0.15,0.15,0.15,0.15,153800,0.15
2016-01-22,0.14,0.17,0.14,0.17,48300,0.17
2016-01-21,0.14,0.14,0.14,0.14,49800,0.14
2016-01-20,0.14,0.14,0.13,0.13,25000,0.13
2016-01-19,0.13,0.13,0.12,0.13,14400,0.13
2016-01-15,0.14,0.14,0.13,0.13,150400,0.13
2016-01-14,0.13,0.13,0.12,0.13,10600,0.13
2016-01-13,0.12,0.13,0.12,0.13,48300,0.13
2016-01-12,0.11,0.11,0.11,0.11,80200,0.11
2016-01-11,0.10,0.10,0.10,0.10,45000,0.10
2016-01-08,0.09,0.09,0.09,0.09,000,0.09
2016-01-07,0.10,0.10,0.09,0.09,30800,0.09
2016-01-06,0.09,0.10,0.09,0.10,115300,0.10
2016-01-05,0.08,0.08,0.08,0.08,000,0.08
2016-01-04,0.08,0.08,0.08,0.08,20000,0.08
2015-12-31,0.08,0.09,0.08,0.09,5500,0.09
2015-12-30,0.09,0.09,0.09,0.09,000,0.09
2015-12-29,0.09,0.09,0.09,0.09,21200,0.09
2015-12-28,0.08,0.09,0.08,0.09,30000,0.09
2015-12-24,0.07,0.07,0.07,0.07,000,0.07
2015-12-23,0.09,0.09,0.07,0.07,20600,0.07
2015-12-22,0.08,0.08,0.08,0.08,000,0.08
2015-12-21,0.08,0.08,0.08,0.08,14400,0.08
2015-12-18,0.07,0.08,0.07,0.07,76000,0.07
2015-12-17,0.06,0.07,0.06,0.07,15900,0.07
2015-12-16,0.06,0.06,0.06,0.06,10300,0.06
2015-12-15,0.07,0.07,0.07,0.07,000,0.07
2015-12-14,0.06,0.07,0.06,0.07,40100,0.07
2015-12-11,0.06,0.06,0.06,0.06,10000,0.06
2015-12-10,0.07,0.07,0.07,0.07,1300,0.07
2015-12-09,0.07,0.07,0.05,0.07,81100,0.07
2015-12-08,0.06,0.06,0.06,0.06,100,0.06
2015-12-07,0.07,0.07,0.07,0.07,86100,0.07
2015-12-04,0.07,0.07,0.07,0.07,5000,0.07
2015-12-03,0.06,0.07,0.06,0.07,139300,0.07
2015-12-02,0.06,0.06,0.06,0.06,33900,0.06
2015-12-01,0.05,0.05,0.05,0.05,2300,0.05
2015-11-30,0.06,0.06,0.05,0.05,64700,0.05
2015-11-27,0.05,0.05,0.05,0.05,5900,0.05
2015-11-25,0.05,0.05,0.05,0.05,000,0.05
2015-11-24,0.05,0.05,0.05,0.05,000,0.05
2015-11-23,0.05,0.05,0.05,0.05,600,0.05
2015-11-20,0.05,0.05,0.05,0.05,000,0.05
2015-11-19,0.05,0.05,0.05,0.05,2000,0.05
2015-11-18,0.04,0.04,0.04,0.04,15100,0.04
2015-11-17,0.06,0.06,0.05,0.05,30000,0.05
2015-11-16,0.05,0.05,0.05,0.05,100,0.05
2015-11-13,0.05,0.05,0.05,0.05,5000,0.05
2015-11-12,0.06,0.06,0.05,0.05,51500,0.05
2015-11-11,0.06,0.06,0.06,0.06,21500,0.06
2015-11-10,0.07,0.07,0.07,0.07,15000,0.07
2015-11-09,0.06,0.06,0.06,0.06,000,0.06
2015-11-06,0.06,0.06,0.06,0.06,36200,0.06
2015-11-05,0.06,0.06,0.05,0.05,17400,0.05
2015-11-04,0.06,0.06,0.06,0.06,38000,0.06
2015-11-03,0.06,0.06,0.06,0.06,000,0.06
2015-11-02,0.06,0.06,0.05,0.06,27000,0.06
2015-10-30,0.05,0.06,0.05,0.06,128000,0.06
2015-10-29,0.05,0.05,0.04,0.05,44900,0.05
2015-10-28,0.04,0.04,0.04,0.04,000,0.04
2015-10-27,0.04,0.04,0.04,0.04,000,0.04
2015-10-26,0.04,0.04,0.04,0.04,000,0.04
2015-10-23,0.04,0.04,0.04,0.04,30000,0.04
2015-10-22,0.03,0.03,0.03,0.03,000,0.03
2015-10-21,0.03,0.03,0.03,0.03,000,0.03
2015-10-20,0.03,0.03,0.03,0.03,000,0.03
2015-10-19,0.03,0.03,0.03,0.03,000,0.03
2015-10-16,0.03,0.03,0.03,0.03,000,0.03
2015-10-15,0.03,0.03,0.03,0.03,10000,0.03
2015-10-14,0.03,0.03,0.03,0.03,000,0.03
2015-10-13,0.03,0.03,0.03,0.03,000,0.03
2015-10-12,0.03,0.03,0.03,0.03,000,0.03
2015-10-09,0.03,0.03,0.03,0.03,19500,0.03
2015-10-08,0.02,0.02,0.02,0.02,000,0.02
2015-10-07,0.02,0.02,0.02,0.02,200,0.02
2015-10-06,0.02,0.02,0.02,0.02,000,0.02
2015-10-05,0.02,0.02,0.02,0.02,000,0.02
2015-10-02,0.02,0.02,0.02,0.02,000,0.02
2015-10-01,0.02,0.02,0.02,0.02,000,0.02
2015-09-30,0.02,0.02,0.02,0.02,000,0.02
2015-09-29,0.02,0.02,0.02,0.02,2000,0.02
2015-09-28,0.02,0.02,0.02,0.02,000,0.02
2015-09-25,0.02,0.02,0.02,0.02,000,0.02
2015-09-24,0.02,0.02,0.02,0.02,18100,0.02
2015-09-23,0.02,0.02,0.02,0.02,16800,0.02
2015-09-22,0.02,0.02,0.02,0.02,000,0.02
2015-09-21,0.02,0.02,0.02,0.02,000,0.02
2015-09-18,0.01,0.02,0.01,0.02,3100,0.02
2015-09-17,0.02,0.02,0.02,0.02,35000,0.02
2015-09-16,0.02,0.02,0.02,0.02,10000,0.02
2015-09-15,0.02,0.02,0.02,0.02,000,0.02
2015-09-14,0.02,0.02,0.02,0.02,000,0.02
2015-09-11,0.02,0.02,0.02,0.02,000,0.02
2015-09-10,0.02,0.02,0.02,0.02,100,0.02
2015-09-09,0.02,0.02,0.02,0.02,000,0.02
2015-09-08,0.02,0.02,0.02,0.02,000,0.02
2015-09-04,0.02,0.02,0.02,0.02,000,0.02
2015-09-03,0.02,0.02,0.02,0.02,000,0.02
2015-09-02,0.02,0.02,0.02,0.02,000,0.02
2015-09-01,0.02,0.02,0.02,0.02,800,0.02
2015-08-31,0.02,0.02,0.02,0.02,000,0.02
2015-08-28,0.02,0.02,0.02,0.02,000,0.02
2015-08-27,0.02,0.02,0.02,0.02,000,0.02
2015-08-26,0.02,0.02,0.02,0.02,30000,0.02
2015-08-25,0.02,0.02,0.02,0.02,000,0.02
2015-08-24,0.01,0.02,0.01,0.02,3100,0.02
2015-08-21,0.03,0.03,0.03,0.03,1000,0.03
2015-08-20,0.03,0.03,0.03,0.03,000,0.03
2015-08-19,0.03,0.03,0.03,0.03,000,0.03
2015-08-18,0.03,0.03,0.03,0.03,000,0.03
2015-08-17,0.03,0.03,0.03,0.03,000,0.03
2015-08-14,0.03,0.03,0.03,0.03,000,0.03
2015-08-13,0.03,0.03,0.03,0.03,412300,0.03
2015-08-12,0.03,0.03,0.03,0.03,000,0.03
2015-08-11,0.03,0.03,0.03,0.03,4900,0.03
2015-08-10,0.03,0.03,0.03,0.03,000,0.03
2015-08-07,0.03,0.03,0.03,0.03,98000,0.03
2015-08-06,0.03,0.03,0.03,0.03,92400,0.03
2015-08-05,0.03,0.03,0.03,0.03,10300,0.03
