Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,0.355,0.41,0.35,0.38,990400,0.38
2016-03-31,0.35,0.35,0.33,0.345,392100,0.345
2016-03-30,0.315,0.315,0.315,0.315,000,0.315
2016-03-29,0.315,0.315,0.315,0.315,000,0.315
2016-03-28,0.315,0.315,0.315,0.315,000,0.315
2016-03-25,0.315,0.315,0.315,0.315,000,0.315
2016-03-24,0.31,0.315,0.305,0.315,312000,0.315
2016-03-23,0.32,0.32,0.31,0.32,229400,0.32
2016-03-22,0.31,0.315,0.31,0.31,474200,0.31
2016-03-21,0.325,0.325,0.315,0.315,240300,0.315
2016-03-18,0.34,0.34,0.32,0.32,423700,0.32
2016-03-17,0.32,0.322,0.315,0.32,365400,0.32
2016-03-16,0.295,0.295,0.29,0.29,236300,0.29
2016-03-15,0.30,0.30,0.28,0.29,357900,0.29
2016-03-14,0.32,0.33,0.305,0.315,437100,0.315
2016-03-11,0.34,0.34,0.315,0.325,404700,0.325
2016-03-10,0.32,0.335,0.315,0.335,251100,0.335
2016-03-09,0.325,0.335,0.315,0.32,200700,0.32
2016-03-08,0.345,0.35,0.315,0.32,456400,0.32
2016-03-07,0.32,0.35,0.32,0.335,1098900,0.335
2016-03-04,0.31,0.325,0.29,0.31,887900,0.31
2016-03-03,0.28,0.29,0.28,0.29,246400,0.29
2016-03-02,0.31,0.31,0.28,0.28,747400,0.28
2016-03-01,0.265,0.32,0.265,0.305,1463300,0.305
2016-02-29,0.245,0.26,0.24,0.26,353300,0.26
2016-02-26,0.24,0.25,0.24,0.245,872400,0.245
2016-02-25,0.245,0.245,0.24,0.24,296300,0.24
2016-02-24,0.24,0.245,0.22,0.245,386600,0.245
2016-02-23,0.24,0.24,0.225,0.23,491500,0.23
2016-02-22,0.25,0.27,0.235,0.235,528900,0.235
2016-02-19,0.20,0.22,0.20,0.22,1505400,0.22
2016-02-18,0.19,0.195,0.18,0.195,456700,0.195
2016-02-17,0.18,0.19,0.18,0.19,310600,0.19
2016-02-16,0.19,0.19,0.18,0.18,110000,0.18
2016-02-15,0.195,0.20,0.19,0.19,1320900,0.19
2016-02-12,0.19,0.21,0.18,0.19,827100,0.19
2016-02-11,0.175,0.18,0.17,0.18,135000,0.18
