Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,140.50,141.00,136.80,138.40,530900,131.9861
2016-03-31,140.80,141.50,140.60,141.10,477600,134.561
2016-03-30,139.50,141.70,139.40,141.70,418700,135.1332
2016-03-29,141.50,141.50,138.00,139.00,424300,132.5583
2016-03-28,141.10,141.10,141.10,141.10,000,134.561
2016-03-25,141.10,141.10,141.10,141.10,000,134.561
2016-03-24,141.10,141.10,141.10,141.10,000,134.561
2016-03-23,142.50,142.80,141.10,141.10,150000,134.561
2016-03-22,142.60,142.70,141.10,141.90,329500,135.3239
2016-03-21,141.00,142.80,140.50,142.60,296500,135.9915
2016-03-18,139.80,141.40,139.30,141.40,421400,134.8471
2016-03-17,140.50,140.60,137.20,140.00,443100,133.512
2016-03-16,139.00,140.30,138.60,140.30,367500,133.7981
2016-03-15,139.00,139.30,137.70,138.60,318600,132.1768
2016-03-14,140.00,140.00,137.60,138.70,370300,132.2722
2016-03-11,138.40,139.80,137.00,139.70,395600,133.2259
2016-03-10,137.00,138.60,135.80,137.80,503000,131.4139
2016-03-09,135.50,135.90,134.00,135.70,427400,129.4112
2016-03-08,134.00,135.70,132.40,135.70,389900,129.4112
2016-03-07,137.00,137.00,133.60,134.50,285300,128.2668
2016-03-04,134.50,136.40,134.30,136.10,357600,129.7927
2016-03-03,135.60,136.00,133.80,134.30,334500,128.0761
2016-03-02,136.50,138.00,134.30,135.00,523900,128.7437
2016-03-01,137.40,139.00,136.60,138.10,265300,131.70
2016-02-29,138.00,138.30,135.90,136.80,479300,130.4603
2016-02-26,137.60,138.90,137.60,138.60,395200,132.1768
2016-02-25,136.40,136.70,135.30,136.60,283900,130.2695
2016-02-24,136.10,136.40,132.90,133.50,550300,127.3132
2016-02-23,137.40,137.80,135.70,136.00,405100,129.6973
2016-02-22,135.70,137.80,135.30,137.80,439300,131.4139
2016-02-19,134.80,135.60,133.30,134.00,422700,127.79
2016-02-18,135.70,136.80,134.00,135.60,543100,129.3159
2016-02-17,133.60,135.00,132.30,135.00,608900,128.7437
2016-02-16,136.50,136.70,132.10,132.20,545100,126.0734
2016-02-15,135.00,135.50,133.50,134.50,596800,128.2668
2016-02-12,133.40,135.10,131.80,132.10,732900,125.9781
2016-02-11,137.00,137.20,132.60,132.60,954400,126.4549
2016-02-10,140.50,143.00,138.10,138.50,910700,132.0815
2016-02-09,142.00,144.70,140.00,140.50,1041800,133.9888
2016-02-08,145.50,145.70,141.80,142.00,877200,135.4193
2016-02-05,143.60,145.50,143.00,145.10,613600,138.3756
2016-02-04,143.40,144.70,142.30,143.60,910900,136.9451
2016-02-03,141.00,143.90,139.00,141.30,948700,134.7517
2016-02-02,138.90,140.00,138.00,138.90,663800,132.4629
2016-02-01,137.50,139.50,137.30,139.00,451300,132.5583
2016-01-29,136.80,137.70,136.20,137.70,870900,131.3185
2016-01-28,134.30,135.50,132.00,135.30,656200,129.0298
2016-01-27,134.70,134.80,132.70,134.20,374300,127.9807
2016-01-26,130.70,134.80,130.10,134.80,433600,128.5529
2016-01-25,134.70,134.90,132.70,133.00,331700,126.8364
2016-01-22,133.60,134.60,132.00,134.40,621500,128.1715
2016-01-21,129.10,131.80,127.30,130.20,715200,124.1661
2016-01-20,131.30,132.00,128.60,129.00,542800,123.0217
2016-01-19,131.90,133.70,131.50,133.70,612700,127.5039
2016-01-18,130.00,131.80,129.00,130.40,443400,124.3568
2016-01-15,133.40,133.50,128.80,131.20,501600,125.1198
2016-01-14,134.90,134.90,131.60,132.50,585000,126.3595
2016-01-13,137.00,139.00,136.30,136.50,397100,130.1742
2016-01-12,133.20,136.60,132.00,135.70,452900,129.4112
2016-01-11,134.90,136.20,133.30,134.00,288500,127.79
2016-01-08,134.90,137.20,134.90,135.40,303300,129.1251
2016-01-07,136.10,136.10,132.50,134.40,461800,128.1715
2016-01-06,138.10,139.20,137.10,138.00,329800,131.6046
2016-01-05,142.00,142.00,137.50,137.80,349600,131.4139
2016-01-04,140.70,140.90,138.30,138.90,313000,132.4629
2016-01-01,142.10,142.10,142.10,142.10,000,135.5146
2015-12-31,142.10,142.10,142.10,142.10,000,135.5146
2015-12-30,142.00,142.70,141.50,142.10,256000,135.5146
2015-12-29,140.70,141.80,140.10,141.80,164600,135.2285
2015-12-28,140.80,141.40,139.70,140.70,131700,134.1795
2015-12-25,140.80,140.80,140.80,140.80,000,134.2749
2015-12-24,140.80,140.80,140.80,140.80,000,134.2749
2015-12-23,138.50,141.00,137.70,140.80,221900,134.2749
2015-12-22,139.00,139.50,137.30,138.60,290300,132.1768
2015-12-21,139.00,139.80,138.00,139.20,327300,132.749
2015-12-18,140.50,141.90,139.20,139.20,691000,132.749
2015-12-17,141.40,143.00,141.10,141.70,330900,135.1332
2015-12-16,139.70,141.30,138.70,141.10,405500,134.561
2015-12-15,138.10,139.40,137.70,139.40,391500,132.9398
