Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,0.23,0.23,0.23,0.23,200,0.23
2016-03-31,0.23,0.23,0.23,0.23,1400,0.23
2016-03-30,0.21,0.24,0.21,0.24,2500,0.24
2016-03-29,0.22,0.22,0.22,0.22,000,0.22
2016-03-28,0.22,0.22,0.22,0.22,500,0.22
2016-03-24,0.23,0.23,0.23,0.23,000,0.23
2016-03-23,0.23,0.23,0.23,0.23,200,0.23
2016-03-22,0.21,0.24,0.21,0.24,1600,0.24
2016-03-21,0.21,0.23,0.20,0.23,23000,0.23
2016-03-18,0.23,0.23,0.23,0.23,2300,0.23
2016-03-17,0.23,0.23,0.23,0.23,000,0.23
2016-03-16,0.23,0.23,0.23,0.23,000,0.23
2016-03-15,0.23,0.23,0.23,0.23,000,0.23
2016-03-14,0.23,0.23,0.23,0.23,000,0.23
2016-03-11,0.23,0.23,0.23,0.23,000,0.23
2016-03-10,0.23,0.23,0.23,0.23,600,0.23
2016-03-09,0.23,0.23,0.23,0.23,000,0.23
2016-03-08,0.23,0.23,0.23,0.23,000,0.23
2016-03-07,0.23,0.23,0.23,0.23,000,0.23
2016-03-04,0.23,0.23,0.23,0.23,000,0.23
2016-03-03,0.23,0.23,0.23,0.23,5900,0.23
2016-03-02,0.24,0.25,0.24,0.24,7500,0.24
2016-03-01,0.24,0.26,0.24,0.26,6600,0.26
2016-02-29,0.25,0.25,0.25,0.25,2000,0.25
2016-02-26,0.23,0.23,0.23,0.23,1000,0.23
2016-02-25,0.22,0.22,0.22,0.22,000,0.22
2016-02-24,0.20,0.22,0.20,0.22,700,0.22
2016-02-23,0.22,0.22,0.22,0.22,000,0.22
2016-02-22,0.22,0.22,0.22,0.22,2500,0.22
2016-02-19,0.22,0.22,0.20,0.22,11000,0.22
2016-02-18,0.21,0.21,0.21,0.21,000,0.21
2016-02-17,0.21,0.21,0.21,0.21,2000,0.21
2016-02-16,0.20,0.20,0.20,0.20,000,0.20
2016-02-12,0.20,0.20,0.20,0.20,000,0.20
2016-02-11,0.20,0.20,0.20,0.20,000,0.20
2016-02-10,0.20,0.20,0.20,0.20,000,0.20
2016-02-09,0.20,0.20,0.20,0.20,1000,0.20
2016-02-08,0.20,0.21,0.18,0.18,32300,0.18
2016-02-05,0.21,0.21,0.21,0.21,000,0.21
2016-02-04,0.18,0.21,0.18,0.21,9900,0.21
2016-02-03,0.18,0.18,0.18,0.18,9500,0.18
2016-02-02,0.16,0.16,0.16,0.16,000,0.16
2016-02-01,0.16,0.16,0.16,0.16,000,0.16
2016-01-29,0.16,0.16,0.16,0.16,1000,0.16
2016-01-28,0.15,0.15,0.15,0.15,8500,0.15
2016-01-27,0.14,0.16,0.14,0.16,5400,0.16
2016-01-26,0.15,0.15,0.15,0.15,1500,0.15
2016-01-25,0.13,0.13,0.13,0.13,000,0.13
2016-01-22,0.13,0.13,0.13,0.13,000,0.13
2016-01-21,0.13,0.13,0.13,0.13,000,0.13
