Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,10.79,10.97,10.79,10.96,84000,10.842095
2016-03-31,10.90,10.94,10.83,10.88,36000,10.762956
2016-03-30,10.92,10.94,10.79,10.87,152600,10.753063
2016-03-29,10.66,10.85,10.62,10.82,48900,10.703601
2016-03-28,10.72,10.79,10.63,10.74,43300,10.624462
2016-03-24,10.68,10.70,10.50,10.69,87100,10.574999
2016-03-23,10.84,10.84,10.68,10.70,196400,10.584892
2016-03-22,10.75,10.86,10.75,10.85,36400,10.733279
2016-03-21,10.93,10.93,10.78,10.81,31700,10.693709
2016-03-18,10.84,10.92,10.80,10.90,28700,10.78274
2016-03-17,10.65,10.87,10.65,10.85,96900,10.733279
2016-03-16,10.64,10.75,10.64,10.69,36600,10.574999
2016-03-15,10.83,10.89,10.70,10.77,27700,10.540377
2016-03-14,10.91,10.94,10.84,10.85,25600,10.618671
2016-03-11,10.76,10.98,10.76,10.93,53900,10.696966
2016-03-10,10.74,10.77,10.66,10.71,36400,10.481656
2016-03-09,10.75,10.87,10.66,10.70,52900,10.471869
2016-03-08,10.75,10.80,10.69,10.76,49500,10.53059
2016-03-07,10.81,10.86,10.75,10.84,29800,10.608884
2016-03-04,10.81,10.92,10.79,10.89,31500,10.657819
2016-03-03,10.73,10.86,10.73,10.78,34600,10.550163
2016-03-02,10.66,10.74,10.66,10.72,20800,10.491443
2016-03-01,10.53,10.72,10.52,10.67,50900,10.442509
2016-02-29,10.51,10.58,10.47,10.48,38300,10.256559
2016-02-26,10.46,10.58,10.44,10.52,42100,10.295707
2016-02-25,10.32,10.37,10.19,10.37,52900,10.148905
2016-02-24,10.22,10.30,10.10,10.27,160200,10.051037
2016-02-23,10.39,10.41,10.28,10.34,35800,10.119545
2016-02-22,10.45,10.45,10.39,10.41,12900,10.188052
2016-02-19,10.33,10.35,10.26,10.33,20500,10.109758
2016-02-18,10.36,10.43,10.27,10.32,18800,10.099971
2016-02-17,10.39,10.45,10.35,10.36,33800,10.139118
2016-02-16,10.31,10.43,10.29,10.37,29200,10.036357
2016-02-12,10.27,10.29,10.14,10.25,45300,9.920218
2016-02-11,10.19,10.23,10.05,10.12,50300,9.7944
2016-02-10,10.41,10.41,10.28,10.28,34200,9.949252
2016-02-09,10.19,10.36,10.19,10.28,28600,9.949252
2016-02-08,10.55,10.55,10.25,10.28,45300,9.949252
2016-02-05,10.90,10.90,10.61,10.62,47400,10.278313
2016-02-04,10.85,10.97,10.78,10.89,43600,10.539627
2016-02-03,10.95,10.96,10.73,10.96,68900,10.607374
2016-02-02,10.94,11.03,10.82,10.82,38100,10.471878
2016-02-01,11.01,11.10,10.85,11.05,74700,10.694479
2016-01-29,10.94,11.12,10.80,11.00,56700,10.646087
2016-01-28,10.69,10.86,10.63,10.86,46300,10.510591
